Layer[0],IN[1],INFER[1-9],OUT[9],TEE[1-9],Layer[10],classifier
0.397996,0.153956,0.609171,0.064001,0.831032,0.000769,1.234341
0.400108,0.161893,0.610610,0.068482,0.845081,0.000736,1.251077
0.397548,0.159364,0.626291,0.075810,0.865305,0.000800,1.268389
0.395468,0.146661,0.609010,0.063746,0.823449,0.000736,1.223845
0.400204,0.159909,0.608338,0.067106,0.840089,0.000768,1.246021
0.408812,0.150148,0.620115,0.065826,0.839865,0.000768,1.253381
0.394828,0.160197,0.608274,0.068226,0.840729,0.000704,1.240869
0.400620,0.159909,0.623890,0.075747,0.863162,0.000768,1.268710
0.395211,0.183654,0.606834,0.066946,0.861082,0.000672,1.261189
0.399436,0.153060,0.607377,0.066465,0.831032,0.000704,1.235493
0.394764,0.170021,0.621426,0.081923,0.877594,0.000736,1.277542
0.395628,0.163173,0.608402,0.066274,0.841753,0.000736,1.243493
0.398508,0.152996,0.608530,0.064866,0.830072,0.000768,1.234308
0.417453,0.146020,0.620787,0.065730,0.836537,0.000704,1.259174
0.402028,0.160901,0.611186,0.067618,0.843705,0.000832,1.251109
0.397868,0.163109,0.628691,0.108515,0.904155,0.000896,1.306951
0.400876,0.145764,0.607922,0.063842,0.821400,0.000704,1.227492
0.396331,0.155269,0.606578,0.064514,0.830009,0.000672,1.231684
0.396427,0.191366,0.637682,0.068962,0.918396,0.000672,1.320263
0.397100,0.157508,0.607122,0.064866,0.833496,0.000736,1.236612
0.402668,0.169445,0.609458,0.065570,0.848313,0.000768,1.256261
0.416077,0.148740,0.621171,0.067202,0.841561,0.000896,1.264454
0.396716,0.148165,0.609074,0.065826,0.827289,0.000704,1.229573
0.397900,0.159173,0.625554,0.076546,0.865177,0.000833,1.267846
0.396940,0.161636,0.609554,0.065634,0.840952,0.000704,1.243173
0.397804,0.149796,0.606674,0.064930,0.825432,0.000864,1.228580
0.396491,0.216007,0.632786,0.071458,0.924444,0.000864,1.326119
0.397292,0.148868,0.606577,0.064833,0.824280,0.000704,1.226853
0.402188,0.161637,0.606834,0.065634,0.837529,0.000832,1.245093
0.401612,0.165029,0.618995,0.067266,0.854874,0.000864,1.262246
0.398540,0.161797,0.622418,0.065474,0.853721,0.000768,1.257317
0.396972,0.163589,0.626322,0.114276,0.908123,0.000768,1.311047
0.396972,0.184485,0.606897,0.064865,0.860121,0.000672,1.263078
0.401132,0.158245,0.613586,0.064386,0.839993,0.000704,1.246309
0.413037,0.185893,0.618771,0.069186,0.877626,0.000768,1.295751
0.396684,0.151364,0.609746,0.064578,0.829656,0.000832,1.232484
0.397676,0.165701,0.607378,0.065762,0.842809,0.000832,1.245541
0.396940,0.183365,0.608178,0.066530,0.862137,0.000832,1.264165
0.396875,0.162084,0.606866,0.065154,0.837784,0.000800,1.240292
0.396843,0.157861,0.627507,0.090306,0.881627,0.000832,1.284678
0.401931,0.151780,0.605266,0.063554,0.824600,0.000896,1.231172
0.398220,0.149573,0.607090,0.066178,0.827033,0.000768,1.232037
0.401484,0.197926,0.608562,0.069282,0.880026,0.000736,1.286726
0.401260,0.147524,0.606898,0.063074,0.821304,0.000736,1.227620
0.397323,0.161381,0.608114,0.066050,0.839289,0.000832,1.242340
0.396428,0.163877,0.608082,0.064994,0.840985,0.000896,1.242981
0.397868,0.148868,0.609234,0.063937,0.826200,0.000832,1.229668
0.400844,0.181605,0.624819,0.069986,0.880666,0.000864,1.286534
0.396268,0.148004,0.609074,0.066946,0.827544,0.000800,1.229764
0.397323,0.161476,0.606514,0.066306,0.838168,0.000864,1.240452
0.401484,0.175781,0.614738,0.070082,0.864409,0.000800,1.270789
0.396364,0.194470,0.610034,0.068770,0.877562,0.000736,1.280198
0.397804,0.163909,0.609810,0.067010,0.844569,0.000736,1.247077
0.402988,0.155429,0.606674,0.064994,0.831097,0.000832,1.239269
0.402988,0.144356,0.617235,0.065986,0.831321,0.000800,1.239045
0.396716,0.193222,0.625682,0.112995,0.936156,0.000864,1.338792
0.400396,0.142053,0.606066,0.064642,0.816313,0.000768,1.221509
0.397196,0.155396,0.607026,0.064162,0.830776,0.000672,1.232804
0.395884,0.175237,0.621203,0.066818,0.867802,0.000864,1.269030
0.397036,0.162085,0.607634,0.066626,0.840345,0.000800,1.242501
0.396428,0.159877,0.609778,0.068482,0.842073,0.000640,1.243717
0.396460,0.134948,0.612114,0.067170,0.818328,0.000705,1.220741
0.396652,0.160740,0.607313,0.064737,0.837016,0.000833,1.239173
0.397195,0.185894,0.631187,0.077474,0.898523,0.000800,1.301190
0.400556,0.161701,0.622258,0.066498,0.854233,0.000801,1.260070
0.396299,0.160101,0.606546,0.066882,0.837209,0.000864,1.238437
0.425293,0.149156,0.617683,0.065345,0.835705,0.000800,1.265702
0.397675,0.162276,0.609618,0.067330,0.843353,0.000640,1.246117
0.396811,0.159269,0.608146,0.065538,0.836793,0.000640,1.238468
0.400716,0.145221,0.606994,0.064962,0.821113,0.000608,1.226725
0.400491,0.157444,0.606226,0.064994,0.832248,0.000736,1.239044
0.401099,0.151364,0.628019,0.080898,0.864569,0.000608,1.272325
0.396812,0.158693,0.608754,0.066338,0.837913,0.000672,1.239269
0.396428,0.159588,0.608498,0.065058,0.836920,0.000640,1.237988
0.397484,0.181670,0.633170,0.064994,0.883642,0.000736,1.285862
0.401996,0.158661,0.607250,0.065890,0.835385,0.000864,1.243749
0.397516,0.158085,0.605170,0.064097,0.830872,0.000736,1.233413
0.401836,0.145124,0.606449,0.066465,0.823320,0.000896,1.230341
0.400844,0.158725,0.608306,0.065890,0.836953,0.000672,1.243045
0.401676,0.186629,0.616915,0.075330,0.882554,0.000896,1.289414
0.396812,0.165989,0.609170,0.065826,0.844633,0.000864,1.247013
0.401772,0.157412,0.604817,0.064738,0.830968,0.000832,1.237508
0.397740,0.177061,0.631155,0.070722,0.882810,0.000768,1.285414
0.396108,0.158308,0.620627,0.064898,0.847673,0.000800,1.248549
0.402028,0.175941,0.603602,0.064386,0.847449,0.000608,1.254661
0.413228,0.157701,0.617042,0.065250,0.843801,0.000672,1.262149
0.398220,0.155620,0.605042,0.064162,0.828408,0.000832,1.231588
0.395756,0.155173,0.619474,0.073826,0.851929,0.000672,1.252197
0.397004,0.153413,0.604722,0.063361,0.825720,0.000641,1.227941
0.395948,0.153125,0.605714,0.063106,0.826105,0.000608,1.227045
0.397419,0.147044,0.624818,0.077058,0.852857,0.000768,1.257221
0.396556,0.156357,0.613202,0.065762,0.839449,0.000736,1.241413
0.398092,0.148645,0.607346,0.063810,0.823833,0.000704,1.226149
0.417516,0.158757,0.609362,0.065634,0.837529,0.000832,1.260805
0.397836,0.160293,0.608690,0.065890,0.838649,0.000736,1.241445
0.398188,0.184229,0.627091,0.106787,0.922139,0.000768,1.326119
0.400876,0.159301,0.603730,0.065250,0.832025,0.000704,1.237861
0.401292,0.157188,0.607954,0.065250,0.834360,0.000832,1.240932
0.398956,0.154149,0.624018,0.070562,0.852601,0.000672,1.257222
0.396107,0.155461,0.607026,0.065922,0.832377,0.000800,1.233413
0.396268,0.163525,0.608754,0.065538,0.842009,0.000704,1.243845
0.414444,0.147237,0.617618,0.064802,0.833593,0.000672,1.253157
0.401644,0.147876,0.605874,0.064450,0.821880,0.000800,1.228388
0.400876,0.157413,0.605842,0.063649,0.830553,0.000672,1.236197
0.401132,0.154884,0.605426,0.062050,0.826040,0.000768,1.232100
