Layer[0],IN[1],INFER[1-9],OUT[9],TEE[1-9],Layer[10],classifier
0.397228,0.147876,0.608498,0.066306,0.826328,0.000608,1.228452
0.396780,0.163813,0.610802,0.068642,0.847065,0.000864,1.249861
0.400747,0.158853,0.628243,0.078914,0.869530,0.000640,1.275429
0.397227,0.156837,0.607762,0.064962,0.832889,0.000672,1.234500
0.396364,0.158021,0.607282,0.065954,0.835065,0.000736,1.236805
0.402700,0.181413,0.621555,0.068802,0.876474,0.000736,1.285574
0.396076,0.159044,0.611987,0.066146,0.841145,0.000704,1.241925
0.397388,0.180934,0.610226,0.066658,0.861690,0.000640,1.263782
0.396300,0.155748,0.608306,0.065697,0.833241,0.000800,1.234149
0.400812,0.167301,0.608146,0.063938,0.842681,0.000832,1.248805
0.401100,0.160293,0.622930,0.075682,0.862777,0.000832,1.269701
0.396972,0.159557,0.609938,0.065314,0.838329,0.000800,1.240261
0.400268,0.152773,0.607186,0.064610,0.828249,0.000704,1.233573
0.396139,0.205287,0.606802,0.064706,0.880507,0.000704,1.281574
0.404076,0.158404,0.605713,0.064834,0.832504,0.000576,1.241444
0.404108,0.159045,0.607698,0.067106,0.837305,0.000864,1.247429
0.416876,0.157989,0.620339,0.065026,0.847002,0.000672,1.268902
0.403244,0.157541,0.608146,0.066626,0.836121,0.000672,1.244709
0.402540,0.158277,0.625650,0.110691,0.898555,0.000864,1.307079
0.403692,0.156677,0.606162,0.065506,0.832569,0.000832,1.241637
0.398412,0.163045,0.610514,0.068002,0.846041,0.000832,1.251237
0.404140,0.179590,0.608978,0.067042,0.859482,0.000832,1.268838
0.404620,0.155845,0.619154,0.067266,0.845817,0.000832,1.255813
0.404075,0.162020,0.609074,0.065698,0.840664,0.000864,1.249573
0.398604,0.146885,0.607154,0.065858,0.823257,0.000704,1.227045
0.402316,0.159845,0.608114,0.066530,0.837977,0.000704,1.245765
0.400012,0.158468,0.622483,0.068194,0.853081,0.000864,1.258405
0.398892,0.157029,0.609970,0.065218,0.835897,0.000864,1.239877
0.397260,0.171941,0.612626,0.069922,0.858425,0.000736,1.260901
0.399500,0.181862,0.624786,0.073634,0.884250,0.000832,1.289286
0.403788,0.162597,0.610002,0.066306,0.843257,0.000768,1.253989
0.398828,0.160612,0.611763,0.066818,0.843481,0.000736,1.247845
0.403564,0.161093,0.621170,0.066882,0.853273,0.000768,1.262277
0.403916,0.172037,0.609362,0.066882,0.852217,0.000672,1.261285
0.403884,0.157796,0.627763,0.107587,0.897306,0.000704,1.306982
0.398540,0.160741,0.609810,0.067042,0.841849,0.000768,1.246533
0.402700,0.193829,0.606257,0.065122,0.869337,0.000608,1.277317
0.417612,0.182150,0.623794,0.066082,0.875674,0.000896,1.298886
0.398444,0.156452,0.607154,0.065954,0.833528,0.000736,1.237892
0.398252,0.157573,0.607826,0.065762,0.835001,0.000768,1.238309
0.398124,0.161477,0.608626,0.066242,0.840441,0.000832,1.245157
0.403852,0.158404,0.606513,0.066529,0.837145,0.000640,1.245861
0.403436,0.163333,0.624499,0.077666,0.870074,0.000896,1.279526
0.396171,0.158725,0.607634,0.066146,0.836249,0.000640,1.237412
0.399532,0.144868,0.606705,0.064577,0.820088,0.000832,1.225381
0.421644,0.182982,0.607954,0.066306,0.860762,0.000832,1.288326
0.395820,0.156421,0.609074,0.065378,0.834681,0.000832,1.235653
0.396396,0.160485,0.616626,0.068642,0.849177,0.000704,1.250885
0.396587,0.140996,0.606642,0.065890,0.817400,0.000864,1.220164
0.396780,0.158180,0.605874,0.064290,0.832344,0.000800,1.234148
0.396203,0.163396,0.629491,0.081347,0.878458,0.000864,1.281414
0.396492,0.145668,0.605682,0.065314,0.820408,0.000736,1.222148
0.397644,0.157636,0.608530,0.065762,0.835736,0.000832,1.238404
0.396588,0.165957,0.606482,0.067458,0.843609,0.000800,1.245733
0.397228,0.156292,0.607058,0.065794,0.833016,0.000736,1.235428
0.397164,0.159493,0.609650,0.065858,0.839097,0.000768,1.241221
0.396747,0.184677,0.606258,0.064482,0.859033,0.000736,1.260997
0.395884,0.159525,0.609010,0.069186,0.841401,0.000736,1.242405
0.397260,0.150532,0.626226,0.081315,0.864218,0.000736,1.267526
0.396395,0.158020,0.607858,0.072258,0.842072,0.000800,1.244165
0.395788,0.163685,0.608786,0.067074,0.843321,0.000704,1.245061
0.395755,0.174725,0.608626,0.069570,0.856985,0.000736,1.258693
0.395980,0.157957,0.612722,0.066370,0.841081,0.000768,1.242661
0.395244,0.156836,0.607506,0.065857,0.834136,0.000705,1.234437
0.397196,0.148036,0.620339,0.070338,0.842489,0.000736,1.245285
0.400908,0.157605,0.607730,0.066274,0.835289,0.000832,1.241285
0.396940,0.157828,0.626259,0.076098,0.865305,0.000768,1.267429
0.396235,0.156741,0.606738,0.064066,0.831129,0.000800,1.232036
0.400812,0.160805,0.605362,0.066082,0.835897,0.000736,1.241797
0.396267,0.183813,0.624723,0.066914,0.879578,0.000704,1.282470
0.396267,0.195622,0.609234,0.067810,0.877306,0.000832,1.281733
0.396140,0.158693,0.607922,0.065986,0.836281,0.000736,1.237509
0.401004,0.160196,0.607698,0.065826,0.837080,0.000576,1.243460
0.396235,0.158629,0.607314,0.065858,0.835353,0.000864,1.236708
0.395659,0.196901,0.626963,0.079746,0.907579,0.000896,1.309958
0.396108,0.160100,0.607473,0.064577,0.835960,0.000737,1.237413
0.396715,0.159588,0.609042,0.066754,0.839129,0.000736,1.240868
0.400204,0.169733,0.623762,0.065186,0.862617,0.000704,1.267781
0.395884,0.160901,0.608466,0.065474,0.838457,0.000640,1.239653
0.396396,0.163877,0.619858,0.067970,0.855449,0.000800,1.256517
0.421196,0.165797,0.618099,0.070178,0.858170,0.000768,1.285766
0.400844,0.159877,0.610482,0.066050,0.840185,0.000768,1.246149
0.396459,0.145573,0.625106,0.073890,0.848569,0.000864,1.250532
0.396204,0.159205,0.608658,0.064098,0.835929,0.000864,1.237573
0.401260,0.154341,0.609298,0.067042,0.834425,0.000800,1.240933
0.401451,0.167780,0.614066,0.069026,0.854969,0.000864,1.262213
0.397164,0.188902,0.607410,0.065186,0.865082,0.000640,1.267526
0.396652,0.157508,0.609522,0.067970,0.838521,0.000768,1.240325
0.417740,0.159205,0.609394,0.066146,0.838777,0.000768,1.261957
0.400876,0.161668,0.608402,0.067458,0.841593,0.000704,1.248357
0.401036,0.159717,0.626034,0.080611,0.870330,0.000672,1.276422
0.396556,0.154980,0.607442,0.066434,0.832472,0.000704,1.234084
0.396844,0.159333,0.608466,0.066754,0.838361,0.000704,1.240485
0.396972,0.160005,0.625906,0.080355,0.870074,0.000704,1.272294
0.400876,0.163749,0.606482,0.066338,0.840633,0.000832,1.247525
0.397612,0.150949,0.606098,0.064034,0.825369,0.000800,1.228229
0.413676,0.159781,0.617618,0.066338,0.847577,0.000704,1.266565
0.396396,0.190054,0.607090,0.064546,0.865594,0.000768,1.266822
0.400492,0.185733,0.617491,0.074786,0.881690,0.000736,1.287750
0.400972,0.161573,0.608338,0.067394,0.841305,0.000736,1.247845
0.396396,0.161349,0.609650,0.065058,0.840025,0.000832,1.241861
0.396619,0.158149,0.626419,0.112643,0.901211,0.000864,1.302918
0.396012,0.158949,0.606994,0.066018,0.835577,0.000896,1.236997
0.400844,0.157637,0.607890,0.066402,0.835417,0.000800,1.241509
0.409165,0.161700,0.617426,0.067042,0.850297,0.000672,1.264934
0.396140,0.181765,0.607922,0.064578,0.857753,0.000704,1.258693
0.401516,0.158437,0.622098,0.072514,0.857113,0.000832,1.264133
0.400780,0.148069,0.606322,0.065826,0.823961,0.000896,1.229925
0.397228,0.160516,0.608370,0.065281,0.838264,0.000705,1.240357
0.396428,0.160645,0.624018,0.081667,0.870554,0.000768,1.273414
0.400748,0.161189,0.607794,0.066274,0.839417,0.000704,1.245381
0.401132,0.158053,0.606802,0.064514,0.832985,0.000800,1.239365
0.422092,0.160453,0.617106,0.066338,0.847641,0.000864,1.274853
0.396459,0.166533,0.606674,0.064322,0.840921,0.000832,1.242340
0.395948,0.163909,0.626451,0.118691,0.913179,0.000896,1.315239
0.396652,0.161573,0.604786,0.064994,0.835097,0.000832,1.236805
0.401164,0.157637,0.606258,0.065250,0.832537,0.000864,1.238917
0.395852,0.173445,0.623058,0.071107,0.871226,0.000832,1.272326
0.400844,0.143876,0.622482,0.064386,0.834264,0.000704,1.240260
0.396747,0.163076,0.629139,0.066402,0.862457,0.000800,1.265125
0.412589,0.159844,0.605906,0.065570,0.834840,0.000864,1.252645
0.400716,0.158949,0.605746,0.064930,0.833433,0.000832,1.238981
0.400332,0.146628,0.606610,0.084579,0.842041,0.000672,1.247525
0.401516,0.162628,0.607986,0.066529,0.841049,0.000704,1.248037
0.401803,0.157796,0.606258,0.065442,0.833625,0.000736,1.240388
0.396043,0.163269,0.625619,0.108611,0.901915,0.000736,1.303238
0.401388,0.160357,0.606578,0.064962,0.835769,0.000832,1.242437
0.401996,0.209926,0.622610,0.068834,0.905723,0.001344,1.317799
0.418381,0.166853,0.624370,0.068002,0.863353,0.000672,1.287367
0.397836,0.159557,0.610482,0.066530,0.840825,0.000672,1.245541
0.396524,0.157540,0.625778,0.074146,0.861817,0.000672,1.263525
0.402060,0.157252,0.610130,0.066882,0.838264,0.000800,1.245701
0.401708,0.186085,0.609202,0.066754,0.865946,0.000672,1.272998
0.402668,0.186534,0.613330,0.069154,0.875098,0.000768,1.283558
0.400971,0.160420,0.607538,0.064610,0.836600,0.000832,1.242852
0.396556,0.162309,0.608498,0.067554,0.842329,0.000704,1.244933
0.397516,0.164197,0.620018,0.067522,0.856314,0.000704,1.259366
0.396364,0.150564,0.608914,0.064450,0.828184,0.000736,1.229828
0.398348,0.153444,0.627955,0.074594,0.860857,0.000800,1.264965
0.399404,0.165861,0.611250,0.068194,0.849849,0.000800,1.255301
0.397452,0.157989,0.609426,0.067010,0.838777,0.000832,1.241733
0.401900,0.169733,0.617619,0.067874,0.859194,0.000832,1.266342
0.398156,0.159941,0.610546,0.065954,0.840761,0.000832,1.244485
0.397804,0.162981,0.610162,0.066754,0.844089,0.000832,1.247525
0.400844,0.157157,0.609394,0.065762,0.836377,0.000800,1.242373
0.400908,0.162276,0.608658,0.065953,0.841048,0.000801,1.247045
0.396108,0.161573,0.624018,0.079939,0.869562,0.000768,1.271334
0.402412,0.159365,0.606482,0.066626,0.836057,0.000672,1.243493
0.398252,0.159685,0.606130,0.065410,0.835257,0.000800,1.238789
0.400939,0.184421,0.611026,0.068642,0.868665,0.000864,1.276389
0.396972,0.161413,0.610066,0.065922,0.841689,0.000704,1.244133
0.401036,0.192486,0.607474,0.071042,0.875290,0.000704,1.281670
0.400908,0.161540,0.609170,0.066242,0.840985,0.000704,1.247109
0.398732,0.162693,0.610610,0.067298,0.844505,0.000832,1.249125
0.401259,0.164101,0.628467,0.104547,0.901019,0.000832,1.307366
0.397067,0.160516,0.608242,0.066146,0.839481,0.000864,1.242180
0.396492,0.160932,0.607665,0.071106,0.844121,0.000704,1.246277
0.419981,0.162757,0.624882,0.067842,0.859225,0.000832,1.284582
0.403084,0.161253,0.610290,0.067042,0.842489,0.000832,1.251013
0.397708,0.159877,0.610322,0.068482,0.842841,0.000768,1.246053
0.396748,0.150085,0.619890,0.065186,0.839449,0.000768,1.241573
0.401579,0.159748,0.607570,0.064834,0.836280,0.000704,1.243012
0.396876,0.160612,0.623283,0.089443,0.877786,0.000704,1.279974
0.396812,0.160261,0.609746,0.065986,0.840281,0.000768,1.242789
0.401163,0.154596,0.608306,0.064834,0.831736,0.000832,1.237956
0.414412,0.148516,0.619570,0.064194,0.836313,0.000640,1.256133
0.397292,0.144069,0.606642,0.064706,0.819321,0.000736,1.221797
0.396652,0.161188,0.607057,0.064001,0.836088,0.000704,1.237924
0.404012,0.162885,0.608914,0.066306,0.842329,0.000864,1.252485
0.403180,0.191910,0.609458,0.068226,0.873530,0.000704,1.282150
0.398092,0.161285,0.628562,0.077379,0.871322,0.000736,1.274918
0.402924,0.139332,0.607058,0.064674,0.815192,0.000768,1.223236
0.401292,0.141412,0.608050,0.064706,0.817944,0.000640,1.223972
0.420269,0.161828,0.624530,0.065602,0.856089,0.000640,1.281222
0.400459,0.157829,0.608658,0.064706,0.836633,0.000672,1.241476
0.396908,0.154020,0.604529,0.061762,0.823704,0.000736,1.225220
0.403276,0.146597,0.607090,0.062850,0.820793,0.000704,1.228933
0.401708,0.154884,0.606738,0.063522,0.828984,0.000768,1.235620
0.401068,0.157029,0.619698,0.066370,0.847289,0.000736,1.254213
0.402700,0.145156,0.606578,0.062850,0.818456,0.000768,1.226148
0.396940,0.167621,0.606194,0.065602,0.843321,0.000800,1.245637
0.400940,0.172773,0.629363,0.066434,0.872634,0.000800,1.278790
0.409644,0.190310,0.644915,0.113379,0.954812,0.001121,1.374409
0.402028,0.153317,0.615282,0.074274,0.847546,0.000864,1.255366
0.396780,0.188933,0.609362,0.065698,0.868089,0.000832,1.270214
0.401228,0.153125,0.610898,0.065314,0.833337,0.000800,1.239493
0.396396,0.158565,0.629523,0.110755,0.902811,0.000864,1.304711
0.397164,0.145125,0.606898,0.063073,0.818808,0.000832,1.220933
0.396844,0.162437,0.610514,0.066978,0.843929,0.000800,1.246757
0.416908,0.185766,0.625714,0.067426,0.883130,0.000800,1.305350
0.400619,0.162148,0.610066,0.066306,0.842456,0.000832,1.249189
0.396588,0.146596,0.624947,0.087810,0.863545,0.000704,1.265893
0.396620,0.160804,0.609522,0.068867,0.843353,0.000704,1.245349
0.396556,0.160165,0.610162,0.065730,0.839513,0.000704,1.241381
0.401612,0.150757,0.625330,0.073507,0.853914,0.000832,1.260838
0.401836,0.157221,0.606706,0.064290,0.832089,0.000768,1.239141
0.396364,0.159941,0.607538,0.065154,0.837017,0.000672,1.238629
0.415084,0.158181,0.622579,0.066018,0.850490,0.000672,1.270758
0.401996,0.164581,0.607378,0.065858,0.841561,0.000768,1.249669
0.397356,0.192838,0.640402,0.092002,0.929787,0.000896,1.333095
