Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.512108,0.018113,0.208421,0.004864,0.047393,0.000800,0.013472,0.000352,0.001408,0.011457,0.000608,0.827284
0.466091,0.018337,0.205925,0.005024,0.048801,0.001056,0.013792,0.000384,0.001920,0.002592,0.000640,0.775922
0.863957,0.036513,0.422474,0.010368,0.097667,0.001408,0.028288,0.000768,0.003040,0.002656,0.000769,1.482948
0.454763,0.018369,0.206085,0.005088,0.048705,0.000992,0.014688,0.000352,0.001760,0.002048,0.000416,0.762419
0.861780,0.036737,0.421899,0.010272,0.098146,0.001248,0.028193,0.000736,0.003264,0.002624,0.000832,1.481347
0.689553,0.027649,0.320007,0.007584,0.074817,0.000992,0.021569,0.000544,0.002592,0.001856,0.000544,1.160124
0.899381,0.036000,0.422411,0.010464,0.097986,0.001280,0.028161,0.000736,0.002912,0.002144,0.000736,1.516196
0.870389,0.036161,0.420554,0.010369,0.097634,0.001152,0.027841,0.000768,0.003168,0.001856,0.000672,1.485380
0.900694,0.036097,0.421642,0.010400,0.098627,0.001184,0.027968,0.000704,0.003040,0.001825,0.000672,1.517157
0.861588,0.036225,0.419530,0.010465,0.097890,0.001152,0.027937,0.000736,0.002848,0.001856,0.000704,1.475235
0.911862,0.036641,0.429770,0.010464,0.098851,0.001792,0.028801,0.001024,0.003648,0.003744,0.001184,1.546117
0.864725,0.036385,0.425034,0.010145,0.098562,0.001696,0.028225,0.000704,0.003296,0.003552,0.001120,1.488612
0.901942,0.036193,0.422570,0.010721,0.098242,0.001376,0.028321,0.000736,0.003328,0.002304,0.000672,1.521669
0.861204,0.036224,0.422091,0.010304,0.097634,0.001344,0.028321,0.000768,0.003008,0.001984,0.000768,1.478083
0.901301,0.036160,0.421259,0.010880,0.099234,0.001408,0.028385,0.000736,0.003040,0.002048,0.000992,1.519940
0.860469,0.036449,0.420874,0.010369,0.098914,0.001344,0.028129,0.000768,0.003200,0.001792,0.000960,1.478852
0.904022,0.036321,0.422666,0.010305,0.098242,0.001344,0.027969,0.000768,0.003040,0.002240,0.000864,1.523557
0.861141,0.036321,0.420778,0.010592,0.097922,0.001441,0.028256,0.000832,0.003040,0.001952,0.000768,1.477571
