Layer[0],TEE[1-9],Layer[10],classifier
0.420209,0.766687,0.000640,1.193264
0.435090,0.768447,0.000672,1.211441
0.420977,0.775391,0.000672,1.202384
0.420017,0.800928,0.000672,1.227697
0.416432,0.779872,0.000640,1.202480
0.420049,0.781087,0.000672,1.207440
0.415793,0.797728,0.000768,1.220017
0.420465,0.767134,0.000640,1.194704
0.420016,0.777951,0.000704,1.205072
0.419985,0.803616,0.000768,1.229649
0.416337,0.786335,0.000640,1.209105
0.416817,0.783807,0.000672,1.208368
0.435633,0.786720,0.000704,1.228753
0.420977,0.763326,0.000672,1.190640
0.420849,0.766047,0.000544,1.192592
0.422481,0.774751,0.000672,1.202801
0.420209,0.800896,0.000672,1.227249
0.420049,0.838466,0.000768,1.265523
0.420592,0.789471,0.000576,1.217008
0.421009,0.769535,0.000704,1.197136
0.422577,0.817473,0.000864,1.248818
0.421041,0.764991,0.000768,1.192432
0.420785,0.742205,0.000641,1.169359
0.433201,0.799648,0.000704,1.239186
0.416721,0.780415,0.000736,1.203536
0.420497,0.799072,0.000512,1.225841
0.421457,0.767551,0.000672,1.194736
0.420753,0.772735,0.000640,1.200272
0.420369,0.803841,0.000736,1.233202
0.420817,0.767327,0.000608,1.194960
0.418161,0.774751,0.000672,1.201616
0.417265,0.841058,0.000768,1.265299
0.421073,0.771551,0.000608,1.199440
0.421265,0.770591,0.000640,1.198640
0.435825,0.776960,0.000608,1.218225
0.417457,0.764031,0.000768,1.188528
0.416433,0.776159,0.000832,1.198992
0.420593,0.811808,0.000705,1.239378
0.416465,0.780063,0.000864,1.204080
0.421329,0.789888,0.000672,1.218609
0.421329,0.767775,0.000640,1.196560
0.420657,0.763614,0.000704,1.190607
0.415793,0.788704,0.000800,1.211921
0.419953,0.773919,0.000544,1.200656
0.422129,0.794592,0.000640,1.222897
0.439442,0.766559,0.000768,1.212977
0.415760,0.770655,0.000704,1.192527
0.420945,0.739838,0.000576,1.167631
0.430481,0.812000,0.000736,1.249586
0.415985,0.766783,0.000672,1.189136
0.417041,0.789183,0.000800,1.214481
0.417745,0.777855,0.000672,1.201296
0.420433,0.774559,0.000672,1.202032
0.421169,0.793952,0.000704,1.221553
0.419729,0.767999,0.000672,1.193936
0.420945,0.760254,0.000672,1.187696
0.448914,0.777727,0.000640,1.233169
0.416881,0.777407,0.000768,1.201616
0.420688,0.801952,0.000608,1.229617
0.415537,0.777919,0.000544,1.199856
0.420401,0.777663,0.000736,1.206384
0.416016,0.800704,0.000768,1.222929
0.415696,0.775679,0.000672,1.197904
0.421137,0.775263,0.000736,1.202640
0.415825,0.793824,0.000960,1.217425
0.415312,0.804737,0.000736,1.226385
0.420688,0.779359,0.000608,1.207344
0.437425,0.783680,0.000672,1.228561
0.419761,0.772415,0.000608,1.197328
0.415824,0.775455,0.000608,1.197776
0.416912,0.787872,0.000832,1.211088
0.420657,0.779264,0.000640,1.207057
0.420337,0.800512,0.000704,1.227889
0.420273,0.769727,0.000704,1.196528
0.416081,0.774015,0.000640,1.196496
0.417137,0.791584,0.000704,1.215985
0.416657,0.784352,0.000736,1.208689
0.416528,0.787167,0.000704,1.211088
0.439762,0.817761,0.000768,1.264851
0.416337,0.785728,0.000832,1.209329
0.416209,0.779775,0.000640,1.203664
0.420208,0.777855,0.000704,1.204592
0.416081,0.769983,0.000672,1.193136
0.420337,0.803233,0.000832,1.230674
0.420881,0.770111,0.000736,1.198160
0.420689,0.798144,0.000640,1.225137
0.420273,0.795008,0.000704,1.222705
0.416560,0.778144,0.000704,1.202640
0.416176,0.780767,0.000672,1.204464
0.439569,0.772287,0.000672,1.219089
0.421713,0.786784,0.000800,1.217009
0.416465,0.804608,0.000800,1.228401
0.420945,0.768543,0.000832,1.197872
0.420304,0.775103,0.000704,1.202000
0.420849,0.828674,0.000704,1.256371
0.420721,0.773823,0.000704,1.201584
0.417809,0.785951,0.000832,1.211280
0.440210,0.784095,0.000672,1.231889
0.416272,0.765503,0.000640,1.188239
0.416753,0.783936,0.000704,1.209137
0.416688,0.781503,0.000768,1.205072
0.416753,0.773119,0.000640,1.197072
0.416337,0.801984,0.000865,1.225106
0.416368,0.773375,0.000768,1.196528
0.421457,0.778815,0.000704,1.206864
0.421297,0.794496,0.000736,1.223473
0.416337,0.764190,0.000705,1.187088
0.416208,0.770143,0.000704,1.194447
0.432625,0.775231,0.000704,1.215217
0.416272,0.767839,0.000800,1.192271
0.420721,0.801184,0.000672,1.228946
0.417457,0.770495,0.000736,1.194768
0.415857,0.765151,0.000768,1.187312
0.421393,0.796832,0.000608,1.224946
0.415697,0.798272,0.000672,1.220593
0.420305,0.809729,0.000768,1.236434
0.420849,0.766463,0.000832,1.194544
0.416177,0.768287,0.000576,1.191984
0.416752,0.766494,0.000704,1.190223
0.434289,0.803969,0.000736,1.246738
0.415824,0.773503,0.000576,1.195599
0.415761,0.766367,0.000640,1.187888
0.420529,0.783071,0.000672,1.209232
0.420305,0.754430,0.000608,1.180175
0.415696,0.776703,0.000864,1.198128
0.418032,0.813888,0.001120,1.243281
0.416241,0.770079,0.000672,1.194032
0.418065,0.891172,0.001280,1.319317
0.420721,0.775487,0.000896,1.203024
0.415408,0.766815,0.000960,1.190479
0.437874,0.765310,0.000896,1.209329
0.416369,0.771743,0.000608,1.194000
0.415888,0.790175,0.000640,1.210992
0.416464,0.775040,0.000704,1.197040
0.416080,0.762046,0.000640,1.183951
0.415409,0.808704,0.000672,1.231378
0.416081,0.775199,0.000768,1.199088
0.415216,0.775359,0.000672,1.195760
0.415377,0.808064,0.000640,1.229393
0.418384,0.765215,0.000640,1.190223
0.416465,0.767422,0.000672,1.189039
0.433938,0.806592,0.000608,1.246002
0.420689,0.779167,0.000576,1.205808
0.416976,0.771743,0.000640,1.194736
0.420977,0.789664,0.000608,1.216977
0.419953,0.765887,0.000704,1.191632
0.415792,0.782463,0.000672,1.205456
0.415793,0.778847,0.000608,1.200656
0.415633,0.775551,0.000768,1.198032
0.419537,0.788799,0.000640,1.216240
0.416496,0.772383,0.000704,1.194799
0.419920,0.762847,0.000608,1.188751
0.433522,0.753790,0.000800,1.193232
0.416848,0.753822,0.000704,1.176463
0.416048,0.768734,0.000800,1.190383
0.454802,0.803873,0.000768,1.265715
0.416976,0.772767,0.000608,1.196656
0.420113,0.794880,0.000704,1.221521
0.420496,0.759806,0.000672,1.186415
0.420881,0.781568,0.000800,1.210161
0.420977,0.777663,0.000736,1.205777
0.420465,0.765502,0.000672,1.192367
0.415985,0.771039,0.000608,1.192912
0.420817,0.824065,0.000896,1.251603
0.420209,0.773727,0.000704,1.199952
0.416625,0.772031,0.000640,1.195184
0.441810,0.784288,0.000544,1.234514
0.421744,0.768766,0.000576,1.197040
0.416944,0.774623,0.000672,1.198768
0.415889,0.780191,0.000864,1.203536
0.416657,0.773887,0.000768,1.198160
0.420593,0.796928,0.000608,1.224337
0.419729,0.763519,0.000640,1.189520
0.420337,0.810657,0.000672,1.237490
0.420849,0.834978,0.000800,1.262291
0.421456,0.796672,0.000672,1.224497
0.416145,0.759166,0.000608,1.183056
0.439986,0.773887,0.000544,1.219345
0.422033,0.768255,0.000640,1.198448
0.417105,0.760318,0.000640,1.202576
0.417008,0.766974,0.000608,1.190767
0.420369,0.784032,0.000608,1.210353
0.420209,0.801728,0.000800,1.228850
0.420241,0.767167,0.000672,1.193232
0.415312,0.776959,0.000704,1.199056
0.417392,0.801696,0.001120,1.226481
0.416368,0.772094,0.000992,1.196592
0.420529,0.765599,0.000704,1.193648
