Layer[0],TEE[1-9],Layer[10],classifier
0.421425,0.789664,0.000672,1.219697
0.419696,0.783968,0.000768,1.210896
0.416593,0.789792,0.001152,1.213905
0.420401,0.775455,0.000768,1.201904
0.420529,0.777823,0.000704,1.204688
0.422001,0.793312,0.000640,1.221969
0.421585,0.782015,0.000864,1.210192
0.416913,0.777567,0.000704,1.201584
0.438961,0.784416,0.000672,1.230129
0.416273,0.771199,0.000832,1.194256
0.415312,0.791167,0.000800,1.213392
0.416240,0.823137,0.000928,1.246641
0.419953,0.778656,0.000704,1.205233
0.420337,0.833601,0.000800,1.261266
0.414833,0.781439,0.000576,1.202800
0.421297,0.776447,0.000608,1.203952
0.422417,0.795392,0.000800,1.224145
0.420208,0.784543,0.000672,1.212368
0.415921,0.778431,0.000832,1.201104
0.434321,0.791392,0.000736,1.232337
0.415697,0.788031,0.000673,1.211857
0.420337,0.766879,0.000608,1.193808
0.421393,0.780415,0.000672,1.208560
0.421009,0.779231,0.000640,1.206608
0.416657,0.817217,0.000736,1.240242
0.421009,0.780607,0.000736,1.208881
0.415569,0.766431,0.000608,1.187984
0.420401,0.796064,0.000928,1.223953
0.420497,0.766559,0.000640,1.193104
0.416113,0.779615,0.000960,1.202961
0.438385,0.800896,0.000832,1.245938
0.421104,0.776384,0.000608,1.203888
0.420465,0.773311,0.000544,1.199856
0.420081,0.758590,0.000704,1.185135
0.420369,0.762719,0.000672,1.189008
0.420529,0.813185,0.000768,1.240562
0.420817,0.776191,0.000704,1.203856
0.421809,0.788063,0.000864,1.217649
0.420849,0.788544,0.000768,1.216945
0.420305,0.771967,0.000864,1.200272
0.419121,0.786399,0.000672,1.213104
0.441394,0.784671,0.000609,1.232946
0.420976,0.789535,0.000608,1.217456
0.420657,0.778943,0.000896,1.206256
0.420689,0.790272,0.000896,1.217041
0.420817,0.793248,0.000640,1.220337
0.420625,0.800352,0.000704,1.229009
0.420593,0.806112,0.000928,1.234066
0.415505,0.777983,0.000704,1.200400
0.420561,0.802816,0.000992,1.231729
0.421489,0.778367,0.000896,1.207312
0.420497,0.779583,0.000672,1.206160
0.440402,0.781663,0.000704,1.228529
0.417040,0.767902,0.000768,1.191567
0.420593,0.796320,0.000992,1.224049
0.420560,0.782687,0.000672,1.208944
0.420209,0.782655,0.000640,1.210224
0.420657,0.802368,0.000768,1.229873
0.420912,0.776192,0.000832,1.203537
0.420881,0.780928,0.000640,1.209617
0.435410,0.774303,0.000928,1.216337
0.421361,0.775871,0.000864,1.203504
0.421553,0.762975,0.000896,1.191024
0.436402,0.772959,0.000800,1.215473
0.420561,0.772095,0.000608,1.199120
0.417649,0.801856,0.000928,1.225969
0.417169,0.781471,0.000704,1.205552
0.420753,0.781855,0.000705,1.209457
0.420689,0.795648,0.000896,1.223057
0.420785,0.786656,0.000832,1.215473
0.420817,0.783423,0.000736,1.211024
0.437777,0.785856,0.000864,1.230673
0.417744,0.774847,0.000705,1.198960
0.416369,0.768799,0.000672,1.191344
0.432209,0.786816,0.000640,1.225297
0.420849,0.755070,0.000576,1.181647
0.420497,0.800416,0.001088,1.228817
0.416049,0.791008,0.000640,1.213265
0.415505,0.755870,0.000896,1.177391
0.416849,0.809601,0.000736,1.234194
0.415857,0.751614,0.000672,1.172591
0.415153,0.743965,0.000640,1.164559
0.416049,0.783711,0.000736,1.205936
0.415600,0.747518,0.000736,1.169422
0.463123,0.780127,0.000672,1.248978
0.429361,0.743134,0.000640,1.178991
0.415184,0.763935,0.000608,1.185295
0.415441,0.762558,0.000704,1.183055
0.428337,0.746942,0.000576,1.181071
0.416081,0.748926,0.000736,1.171951
0.415985,0.759710,0.000704,1.181423
0.416017,0.736445,0.000737,1.157903
0.415601,0.757886,0.000768,1.178799
0.415248,0.736638,0.000736,1.173006
0.416305,0.758239,0.000704,1.180976
0.415249,0.767551,0.000736,1.190768
0.415153,0.767327,0.000768,1.191344
0.415313,0.751326,0.000672,1.173551
0.415217,0.765502,0.000736,1.187375
0.415408,0.783552,0.000672,1.206768
0.415345,0.755518,0.000768,1.177679
0.415953,0.759806,0.000672,1.181935
0.415696,0.796640,0.000800,1.218513
0.415409,0.774463,0.000736,1.195856
0.415313,0.760446,0.000672,1.181904
0.431634,0.753278,0.000864,1.191248
0.416592,0.766175,0.000640,1.189103
0.415600,0.785215,0.000704,1.206800
0.435729,0.771934,0.000768,1.215665
0.416752,0.808097,0.000768,1.231570
0.420689,0.790240,0.000960,1.217297
0.420273,0.768671,0.000640,1.194896
0.420144,0.765374,0.000800,1.191599
0.419921,0.772095,0.000704,1.198000
0.415665,0.766111,0.000640,1.187248
0.420657,0.772959,0.000704,1.199760
0.420080,0.786624,0.000704,1.213232
0.420593,0.759198,0.000640,1.185519
0.420337,0.782016,0.000768,1.209009
0.433778,0.765055,0.000704,1.204753
0.420625,0.789791,0.000641,1.216145
0.421169,0.750238,0.000832,1.176751
0.415857,0.768030,0.000705,1.189296
0.419825,0.766239,0.000704,1.191472
0.419825,0.835745,0.000800,1.261618
0.415632,0.762750,0.000704,1.184687
0.419985,0.772415,0.000928,1.198736
0.415216,0.794687,0.000736,1.217521
0.416208,0.775711,0.001120,1.200272
0.420464,0.776639,0.000672,1.204528
0.434226,0.773855,0.000864,1.215185
0.420913,0.779328,0.000800,1.206673
0.416305,0.770495,0.000800,1.193776
0.416337,0.776287,0.000768,1.200016
0.420657,0.783199,0.000928,1.211569
0.420624,0.786975,0.000992,1.215632
0.420401,0.782143,0.000800,1.210289
0.415953,0.783359,0.000800,1.206512
0.421553,0.812193,0.000864,1.241298
0.417265,0.781855,0.000832,1.205840
0.420721,0.779679,0.000768,1.207120
0.439730,0.765919,0.000864,1.212497
0.419984,0.781376,0.000768,1.208304
0.416081,0.775935,0.000832,1.198608
0.420881,0.811712,0.000704,1.239281
0.420625,0.781344,0.000768,1.208977
0.420624,0.802144,0.000960,1.229841
0.421713,0.780639,0.000928,1.209264
0.420593,0.777119,0.000992,1.205553
0.418929,0.838338,0.000800,1.264051
0.420401,0.773471,0.000832,1.200496
0.420849,0.777663,0.000736,1.205136
0.439025,0.776736,0.000736,1.222353
0.421297,0.782271,0.000960,1.209712
0.421137,0.808449,0.000736,1.236434
0.421424,0.767230,0.000704,1.195823
0.421777,0.777823,0.000800,1.206416
0.420305,0.800896,0.000800,1.228177
0.421009,0.803072,0.001056,1.231985
0.420913,0.781087,0.000800,1.209041
0.439985,0.779648,0.000768,1.226513
0.421585,0.779263,0.000832,1.207312
0.421137,0.776287,0.000704,1.203440
0.420913,0.777279,0.000704,1.204176
0.422864,0.783327,0.000640,1.212720
0.422513,0.810433,0.000800,1.240434
0.421585,0.777055,0.000736,1.205968
0.421681,0.779103,0.000800,1.207344
0.422097,0.798112,0.000832,1.227249
0.417681,0.776639,0.000992,1.201264
0.422416,0.776383,0.000736,1.205136
0.434929,0.782656,0.000832,1.224369
0.420433,0.772799,0.000672,1.199312
0.421361,0.763358,0.000705,1.190800
0.419376,0.776927,0.000832,1.203056
0.415953,0.783487,0.000800,1.206608
0.420401,0.784255,0.000768,1.210480
0.421777,0.767230,0.000896,1.195631
0.421233,0.780127,0.000864,1.208496
0.422481,0.792864,0.000704,1.221681
0.420561,0.791328,0.000608,1.217201
0.416176,0.799904,0.000704,1.220848
0.438418,0.767839,0.000640,1.211857
0.422128,0.823905,0.001600,1.255858
0.418801,0.873699,0.001312,1.303284
0.418705,0.812833,0.001120,1.240530
0.420689,0.777375,0.000640,1.205040
0.420785,0.791776,0.000832,1.219601
0.420273,0.776703,0.000832,1.203952
0.420785,0.760094,0.000640,1.187087
0.437202,0.800928,0.000576,1.244210
0.415408,0.771423,0.000640,1.192911
0.421105,0.776735,0.000864,1.204208
0.420273,0.777856,0.000640,1.204657
0.419665,0.823681,0.000832,1.251218
0.417744,0.847266,0.000768,1.272594
0.421777,0.808992,0.000640,1.237425
0.418448,0.767710,0.000640,1.193711
0.415985,0.791327,0.000833,1.214097
0.420529,0.764415,0.000608,1.191440
0.416400,0.776255,0.000672,1.199183
0.439921,0.776639,0.000800,1.223505
0.420017,0.776159,0.000640,1.202352
0.421201,0.812897,0.000928,1.241170
0.420881,0.765886,0.000672,1.193872
0.423089,0.771007,0.000704,1.200752
0.416337,0.794656,0.000736,1.217969
0.420817,0.784255,0.000928,1.211728
0.421265,0.808704,0.000640,1.237425
0.434162,0.800416,0.000864,1.242418
0.415729,0.777599,0.000768,1.199568
0.420817,0.770943,0.000736,1.198864
0.421073,0.779967,0.000928,1.208112
0.421777,0.780511,0.000864,1.209744
0.420177,0.802528,0.000800,1.230642
0.422224,0.771326,0.000705,1.200112
0.420817,0.778431,0.000832,1.206033
0.420433,0.788031,0.001088,1.216752
0.415664,0.767966,0.000672,1.190127
0.416657,0.776479,0.000864,1.199984
0.433425,0.772223,0.000896,1.213072
0.420976,0.798528,0.000576,1.226641
0.416273,0.775903,0.000832,1.198896
0.415856,0.774847,0.000672,1.197392
0.416113,0.802272,0.000832,1.225713
0.416592,0.793536,0.000640,1.216880
0.420849,0.775327,0.000896,1.202000
0.418609,0.774655,0.000672,1.200656
0.420657,0.802592,0.000928,1.231281
0.420465,0.773343,0.000736,1.200976
0.419952,0.772575,0.000608,1.198640
0.433553,0.769727,0.000832,1.210224
0.420273,0.803968,0.000800,1.231153
0.420369,0.768991,0.000640,1.195184
0.420849,0.780863,0.000800,1.209777
0.415729,0.774591,0.000672,1.197136
0.420273,0.800416,0.000704,1.227153
0.416625,0.802752,0.000768,1.227217
0.416496,0.760063,0.000768,1.183631
0.415601,0.793792,0.000768,1.216785
0.415985,0.776735,0.000704,1.199056
0.417328,0.773855,0.000736,1.197648
0.448210,0.772607,0.000608,1.227281
0.416336,0.761214,0.000800,1.183983
0.416625,0.804544,0.000832,1.227121
0.415633,0.770943,0.000672,1.192528
0.417712,0.796415,0.000609,1.220049
0.424049,0.828417,0.001024,1.260594
0.419825,0.779871,0.000672,1.205840
0.423089,0.765022,0.000608,1.194672
0.417264,0.796256,0.000704,1.220304
0.417137,0.769503,0.000736,1.192688
0.417648,0.765951,0.000672,1.189839
0.444434,0.780479,0.000704,1.230801
0.416464,0.778080,0.000704,1.201264
0.415600,0.768863,0.000672,1.190959
0.420241,0.802496,0.000736,1.229074
0.416432,0.766911,0.000768,1.190415
0.416721,0.794303,0.000832,1.217521
0.420689,0.773055,0.000544,1.199728
0.415377,0.803712,0.000928,1.226673
0.417521,0.789087,0.000704,1.213136
0.419792,0.843010,0.001536,1.271731
0.418545,0.765727,0.001088,1.191472
0.436113,0.811361,0.000768,1.253554
0.416305,0.759102,0.000704,1.180367
0.416817,0.771967,0.000736,1.195312
0.420272,0.760159,0.000832,1.186287
0.420785,0.767295,0.000736,1.193648
0.415536,0.780191,0.000672,1.200592
0.417777,0.752574,0.000672,1.175503
0.420433,0.758303,0.000608,1.183856
0.420241,0.799584,0.000640,1.226513
0.417008,0.768543,0.000704,1.192143
0.416145,0.754718,0.000576,1.175951
0.416145,0.790719,0.000608,1.212017
0.416081,0.757951,0.000800,1.180912
0.420049,0.770399,0.000608,1.195728
0.437649,0.777855,0.000768,1.220912
0.415761,0.755326,0.000704,1.177135
0.415569,0.751646,0.000800,1.172847
0.416048,0.756927,0.000672,1.178927
0.416113,0.762910,0.000608,1.184015
0.419921,0.783743,0.000736,1.212464
0.415792,0.762431,0.000640,1.184239
0.416816,0.778111,0.000736,1.202960
0.420913,0.804192,0.000896,1.234289
0.419281,0.814432,0.000704,1.241809
0.416177,0.777439,0.000704,1.200560
0.432753,0.770814,0.000800,1.210833
0.420817,0.774975,0.000992,1.202704
0.420049,0.770879,0.000800,1.198096
0.421297,0.780479,0.000800,1.208336
0.416048,0.767391,0.000704,1.191759
0.420785,0.801120,0.000960,1.228785
0.421009,0.808000,0.000928,1.236369
0.416273,0.774303,0.000832,1.198672
0.415952,0.788608,0.000640,1.211920
0.416752,0.774847,0.000928,1.198768
0.416529,0.780415,0.000704,1.203760
0.432049,0.796352,0.000960,1.235569
0.417361,0.776191,0.000704,1.199280
0.416081,0.798912,0.000960,1.222865
0.416273,0.780799,0.000704,1.204689
0.417169,0.779007,0.001024,1.203952
0.417233,0.801280,0.000960,1.225713
0.420401,0.779520,0.000768,1.207153
0.419792,0.776607,0.000896,1.203376
