Layer[0],Layer[1],Layer[2],IN[3],INFER[3-8],OUT[8],TEE[3-8],Layer[9],Layer[10],classifier
0.530052,0.017920,0.205922,0.140417,0.121441,0.063136,0.328866,0.003072,0.000672,1.093032
0.421955,0.017792,0.204289,0.126113,0.105313,0.064033,0.299107,0.001536,0.000640,0.950535
0.422467,0.017249,0.203809,0.130049,0.102401,0.060544,0.296258,0.001248,0.000224,0.946215
0.420387,0.017184,0.221698,0.159233,0.108289,0.062464,0.333378,0.001664,0.000384,1.000103
0.416003,0.017472,0.203265,0.125089,0.104609,0.061152,0.294146,0.001568,0.000320,0.938407
0.416003,0.017472,0.202722,0.151521,0.121953,0.066016,0.342754,0.001632,0.000352,0.985095
0.417379,0.017216,0.202722,0.131393,0.118752,0.076417,0.330146,0.001728,0.000384,0.974887
0.420067,0.017632,0.202593,0.124161,0.102369,0.061024,0.290946,0.001184,0.000448,0.937734
0.415875,0.017216,0.202946,0.113345,0.115968,0.062657,0.295554,0.001152,0.000288,0.937607
0.415235,0.017409,0.202881,0.160193,0.100033,0.062240,0.325506,0.001216,0.000384,0.966791
0.436163,0.017696,0.203330,0.135681,0.101217,0.063808,0.304034,0.001280,0.000416,0.968551
0.414883,0.017504,0.202753,0.131329,0.114145,0.060352,0.309634,0.001345,0.000288,0.950855
0.415267,0.017984,0.203170,0.144865,0.114113,0.062784,0.325314,0.001376,0.000352,0.968263
0.415619,0.017472,0.231201,0.132705,0.108097,0.062785,0.307235,0.001248,0.000320,0.978023
0.416451,0.017568,0.204801,0.143009,0.102689,0.063616,0.312994,0.001408,0.000832,0.960390
0.421699,0.017376,0.203074,0.136993,0.100064,0.061537,0.301922,0.001344,0.000416,0.950695
0.420355,0.017312,0.203777,0.127457,0.103649,0.064128,0.299106,0.001568,0.000512,0.948006
0.416579,0.017280,0.202850,0.127137,0.100417,0.067136,0.297954,0.001472,0.000384,0.941991
0.421283,0.017376,0.202625,0.136448,0.101793,0.063073,0.304706,0.001472,0.000384,0.953351
0.420483,0.017441,0.202689,0.140385,0.102273,0.063072,0.309122,0.001248,0.000416,0.956871
