Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.508496,0.017665,0.207380,0.004833,0.047044,0.000864,0.013441,0.000385,0.001440,0.002432,0.000576,0.813005
0.417703,0.018113,0.203828,0.005056,0.047397,0.000768,0.013665,0.000352,0.001568,0.001729,0.000384,0.719076
0.416039,0.017761,0.218324,0.005153,0.047620,0.000832,0.013698,0.000352,0.001504,0.000832,0.000384,0.731845
0.416967,0.017602,0.202451,0.005057,0.047588,0.000832,0.013730,0.000544,0.001440,0.000896,0.000256,0.716419
0.415975,0.017345,0.202868,0.005056,0.047749,0.000480,0.013633,0.000352,0.001504,0.000896,0.000320,0.713731
0.415271,0.017345,0.202515,0.004801,0.049189,0.000480,0.013537,0.000384,0.001472,0.000864,0.000320,0.715171
0.415975,0.017122,0.203027,0.004833,0.048836,0.000480,0.013954,0.000320,0.001472,0.000768,0.000384,0.716612
0.415847,0.017474,0.202675,0.004960,0.048293,0.000480,0.013537,0.000384,0.001472,0.001473,0.000416,0.715652
0.416680,0.017378,0.202003,0.004768,0.048516,0.000576,0.013794,0.000384,0.001504,0.000736,0.000320,0.716516
0.415431,0.017250,0.202163,0.004993,0.047460,0.000480,0.013410,0.000320,0.001632,0.000800,0.000256,0.711683
0.416583,0.017761,0.202067,0.004801,0.047492,0.000800,0.013730,0.000416,0.001504,0.000992,0.000352,0.714371
0.429417,0.017666,0.202291,0.004832,0.047749,0.000448,0.013441,0.000352,0.001440,0.000833,0.000256,0.727685
0.415623,0.017186,0.202131,0.004992,0.047621,0.000576,0.013441,0.000352,0.001409,0.000864,0.000224,0.711587
0.415303,0.017282,0.201907,0.004961,0.047076,0.000448,0.013345,0.000352,0.001441,0.000928,0.000352,0.711715
0.415399,0.017282,0.202003,0.005024,0.046917,0.000672,0.013377,0.000352,0.001504,0.000736,0.000385,0.711043
0.415431,0.029250,0.202579,0.004800,0.047109,0.000480,0.013345,0.000352,0.001600,0.000960,0.000224,0.724132
0.415431,0.017250,0.201971,0.004800,0.047109,0.000512,0.013441,0.000352,0.001408,0.000673,0.000384,0.712099
0.417063,0.017249,0.202260,0.004832,0.047173,0.000480,0.013377,0.000352,0.001440,0.000768,0.000384,0.713379
0.416071,0.020578,0.201939,0.004897,0.047620,0.000480,0.013378,0.000352,0.001504,0.000928,0.000256,0.716771
0.415527,0.017121,0.202547,0.005280,0.062758,0.000512,0.013345,0.000352,0.001472,0.000768,0.000352,0.728741
0.415559,0.017410,0.201747,0.004832,0.047141,0.000608,0.013313,0.000320,0.001408,0.000832,0.000288,0.711138
0.415143,0.017410,0.201715,0.004865,0.046916,0.000576,0.013377,0.000320,0.001408,0.000928,0.000256,0.711011
0.416295,0.017346,0.203539,0.004769,0.046820,0.000512,0.013313,0.000353,0.001408,0.000608,0.000384,0.713507
0.415495,0.017409,0.202419,0.004769,0.047332,0.000480,0.013346,0.000352,0.001472,0.000768,0.000320,0.712259
0.427688,0.017441,0.202995,0.004801,0.046788,0.000480,0.013313,0.000352,0.001344,0.000576,0.000352,0.725060
0.415303,0.017154,0.202483,0.004865,0.047172,0.000480,0.013250,0.000384,0.001376,0.000672,0.000224,0.710819
0.415431,0.017249,0.205524,0.004992,0.047269,0.000480,0.013345,0.000352,0.001504,0.000736,0.000256,0.717955
0.415015,0.017442,0.201875,0.004833,0.047204,0.000480,0.013313,0.000385,0.001344,0.000960,0.000288,0.710851
0.430441,0.017506,0.202483,0.005280,0.047972,0.000512,0.013377,0.000384,0.001440,0.000864,0.000256,0.730085
0.414983,0.017857,0.201843,0.004769,0.049220,0.000608,0.013378,0.000384,0.001344,0.000800,0.000352,0.713251
0.415271,0.017281,0.202035,0.004800,0.047300,0.000545,0.013345,0.000384,0.001312,0.000800,0.000288,0.711555
0.415015,0.017442,0.202259,0.004864,0.047109,0.000448,0.013345,0.000352,0.001472,0.000672,0.000352,0.711074
0.415431,0.017474,0.202355,0.004992,0.063718,0.000640,0.013345,0.000352,0.001440,0.000992,0.000288,0.729892
0.415431,0.017282,0.201811,0.004832,0.047109,0.000512,0.013377,0.000352,0.001376,0.000768,0.000256,0.710498
0.416903,0.017250,0.202099,0.004832,0.047269,0.000544,0.013313,0.000352,0.001376,0.000897,0.000352,0.713315
0.415303,0.017249,0.202259,0.004833,0.047012,0.000576,0.013377,0.000320,0.001376,0.000928,0.000256,0.711267
0.415815,0.017473,0.202259,0.004833,0.046820,0.000608,0.013410,0.000352,0.001376,0.000704,0.000320,0.713891
0.424456,0.017282,0.202131,0.004896,0.046821,0.000576,0.013313,0.000352,0.001376,0.000928,0.000352,0.720324
0.415912,0.017250,0.205363,0.004865,0.046852,0.000608,0.013377,0.000352,0.001409,0.000992,0.000320,0.716964
