Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-10],OUT[10],TEE[5-10],classifier
0.397964,0.017824,0.191622,0.005088,0.048290,0.110307,0.068482,0.065122,0.247783,0.914459
0.397579,0.017825,0.191590,0.005056,0.048353,0.106883,0.056098,0.064258,0.231047,0.896826
0.397516,0.017824,0.191590,0.005056,0.050242,0.105443,0.054849,0.062818,0.226822,0.894522
0.417133,0.017728,0.191750,0.005088,0.048034,0.114211,0.059554,0.065922,0.243175,0.928956
0.397004,0.017440,0.192070,0.004896,0.047969,0.110884,0.054689,0.063746,0.233319,0.898362
0.396396,0.017729,0.192325,0.005056,0.048801,0.104323,0.066946,0.068226,0.243143,0.910075
0.396971,0.017632,0.192198,0.004800,0.048257,0.105220,0.051585,0.096995,0.257960,0.923355
0.396491,0.017505,0.191718,0.004832,0.047617,0.102307,0.053026,0.063170,0.222151,0.885594
0.396300,0.017760,0.191398,0.005056,0.047393,0.109284,0.054305,0.061218,0.228455,0.892122
0.417516,0.017601,0.199494,0.004832,0.047457,0.103011,0.053538,0.079714,0.241479,0.934523
0.431085,0.017600,0.191718,0.004800,0.047682,0.108451,0.054114,0.063297,0.229415,0.928380
0.396108,0.017537,0.191717,0.004864,0.047362,0.109155,0.066626,0.067394,0.246695,0.909499
0.396236,0.017504,0.191654,0.004800,0.048130,0.108227,0.054338,0.061985,0.227686,0.890874
0.396396,0.017568,0.191462,0.004832,0.047554,0.111971,0.051649,0.093987,0.261191,0.924155
0.396939,0.017345,0.192710,0.005088,0.047169,0.103811,0.050146,0.062274,0.220039,0.885114
0.396011,0.017505,0.192326,0.004800,0.047041,0.101379,0.053666,0.062018,0.220487,0.883194
0.399212,0.017537,0.191397,0.004833,0.047169,0.130756,0.054754,0.063745,0.252872,0.918204
0.413452,0.017440,0.192390,0.004832,0.047137,0.105667,0.065698,0.062498,0.236999,0.917435
0.396652,0.017472,0.191878,0.004864,0.047458,0.110115,0.053217,0.066562,0.233350,0.897018
0.398508,0.017824,0.192582,0.004992,0.047266,0.114019,0.059586,0.065954,0.243175,0.910395
0.397772,0.017664,0.192486,0.005120,0.047522,0.113187,0.053890,0.087938,0.259015,0.925339
0.398571,0.017793,0.192198,0.004800,0.047553,0.108643,0.062818,0.062818,0.237831,0.904090
0.397675,0.017504,0.191750,0.004896,0.047681,0.125092,0.053154,0.063009,0.244648,0.909083
0.397580,0.017313,0.192997,0.004800,0.047202,0.104003,0.054562,0.063201,0.225479,0.891259
0.420332,0.017729,0.191941,0.004833,0.047393,0.108579,0.055906,0.066562,0.234855,0.923867
0.396908,0.017536,0.192454,0.004896,0.047105,0.095715,0.051586,0.060738,0.211719,0.875546
0.396747,0.017537,0.192326,0.004896,0.047233,0.104163,0.055490,0.061186,0.224359,0.887994
0.395948,0.017345,0.191941,0.004832,0.047138,0.107683,0.053794,0.060610,0.225671,0.888283
0.398059,0.017536,0.191590,0.004768,0.047777,0.106371,0.051329,0.063778,0.224903,0.889274
0.396427,0.017536,0.191910,0.004832,0.047329,0.109924,0.050817,0.061698,0.226407,0.890778
0.395756,0.017600,0.191622,0.004832,0.047170,0.105187,0.051937,0.060546,0.220934,0.883098
0.414188,0.017665,0.192262,0.004928,0.047233,0.109379,0.053154,0.062466,0.228551,0.910555
0.396300,0.017344,0.192710,0.004864,0.047137,0.106212,0.053985,0.062850,0.226791,0.890586
0.396908,0.017536,0.192678,0.004768,0.047330,0.108035,0.063938,0.062626,0.238183,0.903227
0.397260,0.017536,0.192518,0.004800,0.047361,0.109924,0.054689,0.064258,0.232775,0.898490
0.396652,0.017632,0.192230,0.004800,0.047681,0.101219,0.052674,0.064258,0.221639,0.886618
