Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-10],classifier
0.416912,0.017504,0.202152,0.004864,0.048226,0.142150,0.902339
0.416432,0.017505,0.202760,0.005248,0.048386,0.140741,0.904675
0.416112,0.017793,0.202024,0.005248,0.049250,0.138278,0.904035
0.430993,0.017825,0.202088,0.004896,0.048546,0.142726,0.919236
0.415952,0.017697,0.201800,0.005056,0.048290,0.140005,0.899427
0.416016,0.017729,0.202088,0.005344,0.048706,0.136197,0.894595
0.416080,0.017921,0.203528,0.004992,0.048450,0.163911,0.923300
0.415920,0.017505,0.202023,0.005344,0.048450,0.137317,0.896355
0.417328,0.017665,0.203912,0.005120,0.048322,0.144709,0.905955
0.416945,0.017696,0.203112,0.004865,0.048769,0.144325,0.907332
0.432145,0.017825,0.202792,0.004832,0.047650,0.137542,0.912228
0.416240,0.017537,0.202440,0.005184,0.048162,0.140677,0.899940
0.417776,0.017761,0.202920,0.005216,0.048098,0.140229,0.904100
0.418064,0.017729,0.215944,0.005281,0.047938,0.145445,0.922276
0.416081,0.017504,0.202472,0.004768,0.047906,0.137094,0.894339
0.417457,0.017472,0.203240,0.004961,0.048674,0.142021,0.908260
0.416657,0.017568,0.202376,0.004769,0.048961,0.137414,0.894531
0.432337,0.017761,0.202152,0.005024,0.048898,0.132741,0.906084
0.417489,0.017792,0.202760,0.004769,0.049058,0.137445,0.897027
0.416721,0.017728,0.202599,0.005249,0.048546,0.142469,0.902884
0.416240,0.017537,0.220713,0.005440,0.048258,0.147878,0.926084
0.416912,0.017665,0.202248,0.005024,0.048258,0.137029,0.895939
0.417201,0.017505,0.202344,0.004992,0.049378,0.144741,0.906692
0.416624,0.017505,0.202248,0.004800,0.048610,0.145830,0.905859
0.418033,0.018048,0.202152,0.005057,0.048577,0.144358,0.903844
0.416081,0.017472,0.202248,0.005024,0.048706,0.141798,0.898435
0.416369,0.017536,0.202312,0.004833,0.048802,0.139621,0.898820
0.416977,0.017537,0.222376,0.005313,0.048737,0.146982,0.930693
0.418480,0.017697,0.203816,0.005024,0.048642,0.147302,0.913667
0.416561,0.017601,0.202888,0.004864,0.047490,0.146437,0.907332
0.416720,0.017729,0.202312,0.005248,0.048194,0.144198,0.909763
0.416944,0.017569,0.202376,0.004992,0.047874,0.143654,0.907939
0.416849,0.017472,0.201960,0.005088,0.048162,0.144934,0.909252
0.417649,0.017696,0.202248,0.005025,0.048545,0.141958,0.900644
0.436561,0.017569,0.202344,0.005568,0.048834,0.145030,0.929957
0.417488,0.017729,0.202184,0.005120,0.048066,0.144389,0.906691
0.416048,0.017537,0.202376,0.005248,0.048098,0.138725,0.896323
0.417392,0.017793,0.202344,0.005216,0.048194,0.164551,0.931172
0.418961,0.017824,0.203432,0.005089,0.048065,0.141158,0.907972
0.417584,0.017889,0.203784,0.005088,0.048386,0.146086,0.911972
0.418352,0.017825,0.202504,0.005024,0.049314,0.141062,0.904611
0.434161,0.017697,0.202504,0.004896,0.048834,0.142054,0.923876
0.416368,0.017441,0.202632,0.005056,0.048770,0.134918,0.895427
0.416016,0.017665,0.202760,0.004832,0.048418,0.139749,0.898275
0.416496,0.017537,0.205064,0.005024,0.048130,0.193351,0.958853
0.415888,0.017569,0.202600,0.005024,0.048514,0.136261,0.895267
0.415312,0.017537,0.203080,0.005280,0.048898,0.135685,0.893955
0.439345,0.017505,0.210088,0.005024,0.048546,0.140166,0.929700
0.435857,0.017440,0.202504,0.005025,0.048130,0.142053,0.922596
0.417424,0.017792,0.202440,0.005088,0.049858,0.133446,0.894371
0.416464,0.017569,0.202280,0.005024,0.047842,0.133637,0.892739
0.415952,0.017505,0.202024,0.005024,0.065827,0.137701,0.916804
0.416208,0.017473,0.202344,0.004960,0.048514,0.138853,0.896067
0.416561,0.017440,0.202280,0.004992,0.048866,0.135398,0.892963
0.415728,0.017568,0.202376,0.005024,0.048674,0.141158,0.896931
0.436433,0.017504,0.202376,0.004865,0.049218,0.145861,0.927812
0.416368,0.017505,0.202664,0.005184,0.048418,0.131525,0.886979
0.415856,0.017729,0.202280,0.005216,0.049218,0.139622,0.899043
0.416144,0.020961,0.202088,0.004832,0.065699,0.135365,0.913475
0.415760,0.017697,0.202856,0.005024,0.048066,0.139973,0.907363
0.416113,0.017536,0.202056,0.005025,0.047938,0.134245,0.891107
0.415184,0.017441,0.202760,0.005056,0.048642,0.141478,0.901635
0.451858,0.017761,0.203496,0.005280,0.048258,0.146950,0.946597
0.417200,0.017505,0.203048,0.005056,0.048290,0.138725,0.905027
0.415985,0.017632,0.201992,0.005249,0.048673,0.141670,0.900452
0.416561,0.017504,0.219880,0.005472,0.047938,0.141382,0.928421
0.417073,0.017729,0.203272,0.004992,0.047842,0.140709,0.901700
0.417840,0.017728,0.202344,0.005216,0.048418,0.137446,0.903587
0.415857,0.017472,0.202120,0.004992,0.047522,0.142470,0.900003
0.432241,0.017472,0.202568,0.005217,0.047649,0.139014,0.912067
0.415760,0.017729,0.203112,0.005248,0.047874,0.135493,0.894659
0.416337,0.017600,0.203304,0.004993,0.048097,0.139301,0.902148
0.417840,0.017633,0.220552,0.005313,0.048258,0.138597,0.916708
0.417040,0.017889,0.202376,0.004992,0.048098,0.139749,0.901507
0.416240,0.017536,0.202056,0.005088,0.048322,0.139718,0.902980
0.415952,0.017824,0.202408,0.005248,0.048482,0.135462,0.894243
0.434129,0.017569,0.202279,0.005025,0.048258,0.144549,0.929380
0.416336,0.017697,0.202440,0.005184,0.048226,0.140870,0.903011
0.416048,0.017632,0.203560,0.005280,0.048738,0.140422,0.904708
0.416816,0.017633,0.221225,0.005280,0.048642,0.138917,0.916548
0.415952,0.017633,0.202888,0.004992,0.048386,0.139142,0.897827
0.415889,0.017920,0.202280,0.004993,0.048065,0.139078,0.899780
0.417040,0.017728,0.202408,0.005312,0.048002,0.139750,0.901603
0.416400,0.017697,0.203080,0.005376,0.047778,0.145766,0.907779
0.416272,0.017697,0.202632,0.005280,0.048162,0.132453,0.890114
0.415920,0.017761,0.202088,0.005280,0.048450,0.140998,0.896707
0.416144,0.017825,0.219401,0.005280,0.048450,0.139493,0.916644
0.416528,0.017408,0.202184,0.005120,0.048610,0.140006,0.898307
0.418321,0.017921,0.204872,0.004896,0.048546,0.149990,0.919524
0.416656,0.017696,0.203784,0.004864,0.048482,0.142630,0.906756
0.416305,0.017504,0.203464,0.004865,0.048578,0.145765,0.910212
0.416048,0.017601,0.202440,0.005280,0.048546,0.134373,0.894435
0.416336,0.017569,0.202056,0.005088,0.048290,0.145605,0.914243
0.435121,0.017696,0.202567,0.005121,0.048322,0.147045,0.931332
0.416528,0.017537,0.202888,0.005056,0.048322,0.137605,0.894851
0.416465,0.017568,0.202439,0.005025,0.047938,0.139877,0.897475
0.416496,0.017633,0.202472,0.004992,0.047906,0.141286,0.901635
0.416401,0.017504,0.202311,0.004929,0.047938,0.143333,0.905156
0.416144,0.017665,0.202344,0.004992,0.048962,0.138693,0.897219
0.415536,0.017568,0.202184,0.005088,0.048866,0.137734,0.897859
0.431089,0.017664,0.202631,0.004865,0.048738,0.144933,0.922180
0.415953,0.017505,0.202375,0.005088,0.048002,0.141061,0.901860
0.416112,0.017537,0.202824,0.005248,0.048482,0.144133,0.904579
0.416144,0.017601,0.201896,0.005120,0.048802,0.144390,0.928100
0.416049,0.017504,0.202280,0.005249,0.048290,0.141925,0.901060
0.417009,0.017504,0.202024,0.005057,0.048065,0.136806,0.895459
0.416368,0.017697,0.202504,0.005248,0.048770,0.142534,0.903299
0.436241,0.017632,0.202600,0.004896,0.048002,0.144262,0.926629
0.415792,0.017729,0.203816,0.005216,0.048514,0.137542,0.895715
0.416113,0.017568,0.202248,0.004992,0.048418,0.137158,0.893891
0.417040,0.017536,0.202184,0.005056,0.047970,0.130725,0.909764
0.415536,0.017664,0.202248,0.005440,0.048674,0.137926,0.898499
0.415760,0.017569,0.203464,0.005120,0.048802,0.142150,0.904291
0.415632,0.017569,0.202632,0.004992,0.048418,0.140133,0.901411
0.434161,0.017793,0.202184,0.005152,0.047970,0.140933,0.919204
0.415985,0.017697,0.202887,0.005024,0.048130,0.144037,0.903780
0.416624,0.017697,0.202696,0.005344,0.048322,0.138661,0.897987
0.416272,0.017825,0.202504,0.005248,0.048706,0.164358,0.930981
0.416048,0.017697,0.202248,0.005056,0.048578,0.143941,0.902563
0.415888,0.017473,0.202664,0.005312,0.048450,0.140646,0.900867
0.416368,0.017696,0.202184,0.004992,0.048898,0.128421,0.884323
0.449298,0.017505,0.202504,0.005024,0.048738,0.134149,0.924837
0.416528,0.018273,0.202312,0.005088,0.048322,0.142694,0.903619
0.415760,0.018337,0.202440,0.005056,0.048098,0.142661,0.904388
0.417488,0.017633,0.202792,0.005056,0.068579,0.137541,0.919012
0.416080,0.017921,0.202280,0.005280,0.048770,0.139718,0.899779
0.415856,0.017665,0.202408,0.005280,0.047714,0.135813,0.892643
0.416240,0.017761,0.202248,0.005344,0.048354,0.149830,0.913059
0.430353,0.017665,0.202376,0.005056,0.048898,0.137029,0.907748
0.416112,0.017729,0.202152,0.005216,0.048706,0.144550,0.907235
0.417136,0.017697,0.202280,0.005280,0.048610,0.123589,0.882914
0.416624,0.017569,0.238953,0.005248,0.048546,0.152230,0.952422
0.416272,0.017761,0.202184,0.004896,0.048770,0.145798,0.904867
0.416241,0.017600,0.202248,0.005024,0.048802,0.143302,0.905220
0.417264,0.017761,0.203336,0.005248,0.048386,0.141798,0.905283
0.415856,0.017697,0.201992,0.004992,0.048610,0.138533,0.896227
0.416240,0.017889,0.202824,0.005216,0.048706,0.139846,0.900707
0.416304,0.017569,0.202408,0.005056,0.048642,0.146021,0.908099
0.417201,0.017568,0.223785,0.005216,0.048738,0.146854,0.932325
0.417648,0.017409,0.202824,0.005024,0.048642,0.141254,0.902851
0.419088,0.018016,0.203944,0.005313,0.048642,0.204936,0.979238
0.417392,0.017536,0.203848,0.005665,0.048865,0.197992,0.966086
0.417681,0.017729,0.204392,0.005376,0.048898,0.178951,0.947781
0.415632,0.017793,0.202888,0.005344,0.048802,0.138630,0.902851
0.416401,0.017504,0.203528,0.005089,0.048642,0.141221,0.900836
0.436785,0.017601,0.202888,0.005248,0.048546,0.140550,0.920964
0.416272,0.017472,0.202056,0.005280,0.048098,0.139302,0.898083
0.416273,0.017825,0.203080,0.005248,0.049026,0.145829,0.908580
0.416816,0.017504,0.221641,0.005216,0.048802,0.143398,0.924132
0.416049,0.017440,0.202760,0.005089,0.048833,0.137061,0.897187
0.417553,0.017632,0.202152,0.005249,0.048097,0.130757,0.887779
0.416560,0.017569,0.202152,0.004960,0.048386,0.142918,0.907268
0.415920,0.017505,0.202536,0.005280,0.048706,0.129637,0.886690
0.416048,0.017953,0.203400,0.005280,0.048354,0.142534,0.908932
0.416273,0.017696,0.203176,0.005249,0.048866,0.139173,0.899428
0.416625,0.017729,0.222536,0.005248,0.048833,0.140582,0.922757
0.417168,0.017856,0.204264,0.005056,0.048386,0.142022,0.906212
0.417008,0.018401,0.204040,0.005056,0.048962,0.142374,0.909284
0.417937,0.017505,0.202888,0.005248,0.049314,0.139045,0.902340
0.417009,0.017600,0.202536,0.005056,0.048354,0.143206,0.906180
0.416240,0.017985,0.202792,0.005120,0.048194,0.134821,0.899491
0.416240,0.017505,0.203208,0.005024,0.048418,0.140038,0.908419
0.445297,0.017953,0.203080,0.005056,0.048386,0.142662,0.934308
0.416272,0.017505,0.202056,0.005216,0.047938,0.127621,0.885155
0.416657,0.017536,0.202504,0.005280,0.048641,0.136518,0.895811
0.415665,0.017760,0.202760,0.005312,0.048129,0.137254,0.895619
0.416593,0.017696,0.202952,0.005249,0.048065,0.139878,0.902180
0.417296,0.017921,0.202920,0.005184,0.048162,0.138405,0.900387
0.416176,0.017729,0.202376,0.005280,0.048482,0.140934,0.901859
0.437905,0.017857,0.202568,0.004992,0.048674,0.139430,0.919204
0.416977,0.017697,0.202791,0.005280,0.048322,0.139845,0.901732
0.416656,0.017601,0.203048,0.005248,0.048866,0.135077,0.895876
0.417777,0.017601,0.202984,0.005152,0.048738,0.141765,0.926405
0.417360,0.017633,0.202856,0.005216,0.048354,0.139365,0.902147
0.416209,0.017728,0.202696,0.005121,0.048802,0.139141,0.900100
0.416400,0.017473,0.204104,0.004960,0.048802,0.136582,0.895907
0.435025,0.018049,0.203528,0.005056,0.048770,0.141414,0.920580
0.415984,0.017537,0.202248,0.005024,0.048322,0.140806,0.902979
0.416881,0.017601,0.203016,0.005344,0.048130,0.143653,0.904996
0.416848,0.017569,0.202888,0.005280,0.048738,0.163782,0.929349
0.416368,0.017569,0.202344,0.005216,0.048130,0.141830,0.901443
0.416945,0.017632,0.202664,0.005025,0.048033,0.143238,0.905412
0.415984,0.018113,0.202920,0.005344,0.048610,0.142085,0.902052
0.435537,0.017824,0.203048,0.005280,0.048706,0.144422,0.926469
0.416337,0.017696,0.202888,0.005249,0.048609,0.141445,0.900196
0.416400,0.017505,0.202760,0.005408,0.047842,0.134598,0.893731
0.416081,0.017632,0.202344,0.004832,0.068643,0.136966,0.916836
0.416401,0.017569,0.202279,0.005216,0.048706,0.129605,0.888483
0.417040,0.017793,0.202728,0.004992,0.048002,0.135557,0.895875
0.415856,0.017793,0.202376,0.004800,0.048706,0.141925,0.900323
0.450130,0.017793,0.203592,0.005248,0.048642,0.136197,0.931365
0.416848,0.017793,0.202344,0.005088,0.048034,0.133893,0.889955
0.416144,0.017537,0.202824,0.005120,0.049378,0.138085,0.897091
0.416016,0.017633,0.202888,0.005312,0.063107,0.148261,0.923492
0.415601,0.017472,0.202408,0.005249,0.048801,0.135782,0.893507
0.415633,0.017504,0.202376,0.005249,0.048161,0.133541,0.892931
0.416720,0.017761,0.202952,0.005216,0.047874,0.132837,0.891587
0.432785,0.017760,0.202664,0.005217,0.048577,0.137798,0.915203
0.416112,0.017537,0.202664,0.005216,0.048194,0.134373,0.892546
0.415216,0.017473,0.202248,0.004992,0.048322,0.135589,0.891843
0.415696,0.017473,0.202600,0.005216,0.048354,0.177607,0.936996
0.416529,0.017536,0.202664,0.005025,0.048578,0.134117,0.893283
0.416112,0.017665,0.202920,0.005024,0.048226,0.141926,0.906916
0.416305,0.017632,0.202440,0.005217,0.048801,0.125925,0.880227
0.432177,0.017537,0.202728,0.005056,0.048002,0.161990,0.938725
0.415601,0.017728,0.202280,0.004801,0.049921,0.136133,0.899044
0.415728,0.017505,0.202504,0.005312,0.048450,0.137605,0.896131
0.416848,0.017473,0.202536,0.005344,0.048546,0.153510,0.913475
0.415376,0.017505,0.202472,0.004960,0.047938,0.142117,0.895139
0.415505,0.017504,0.202600,0.005249,0.047105,0.136422,0.893635
0.416368,0.021057,0.203464,0.005024,0.047010,0.136486,0.901603
0.430513,0.017729,0.202856,0.004832,0.047330,0.138533,0.911748
0.416176,0.017601,0.202472,0.005216,0.048642,0.142373,0.904035
0.416688,0.017601,0.202440,0.005216,0.048034,0.134277,0.889891
0.415728,0.017569,0.202760,0.005024,0.048354,0.138405,0.900483
0.415984,0.017601,0.203048,0.005248,0.048674,0.135525,0.899683
0.415760,0.017473,0.203176,0.004992,0.048930,0.138021,0.897347
0.415921,0.018048,0.202503,0.005249,0.048226,0.134789,0.896548
0.434769,0.017601,0.202344,0.004832,0.049218,0.161094,0.937861
0.415792,0.017441,0.202408,0.005280,0.048450,0.132389,0.890499
0.416241,0.017504,0.202664,0.005249,0.047937,0.136390,0.894371
0.417200,0.017601,0.202952,0.005216,0.047362,0.135781,0.896771
0.417040,0.017665,0.204328,0.005024,0.048514,0.141990,0.904515
0.416784,0.017729,0.203752,0.005024,0.048962,0.138246,0.902115
0.416113,0.017537,0.202887,0.005057,0.048194,0.137221,0.897476
0.439249,0.018241,0.202696,0.005088,0.047426,0.136965,0.919940
0.416848,0.017761,0.202856,0.005248,0.047522,0.137926,0.901315
0.416369,0.017664,0.202728,0.004929,0.048129,0.134086,0.892771
0.416336,0.017473,0.202824,0.004992,0.048738,0.136101,0.893635
0.417456,0.017504,0.202056,0.004992,0.047426,0.128133,0.882307
0.416273,0.017696,0.202760,0.005217,0.047713,0.132006,0.889475
0.416401,0.017728,0.202600,0.005089,0.047841,0.138309,0.896099
0.435377,0.017696,0.202056,0.004832,0.047650,0.131877,0.906372
0.416048,0.017632,0.202472,0.004736,0.047586,0.132741,0.886851
0.415024,0.017729,0.203464,0.005248,0.047106,0.131301,0.884002
0.415408,0.017664,0.202120,0.004832,0.047010,0.136326,0.890947
0.417264,0.017568,0.203016,0.005056,0.047362,0.142310,0.902403
0.414896,0.017697,0.202568,0.004992,0.047074,0.129221,0.881090
0.416112,0.017601,0.203144,0.005216,0.046946,0.133797,0.888162
0.415504,0.017536,0.222665,0.005248,0.047234,0.135525,0.911428
0.415825,0.017632,0.203656,0.005057,0.047233,0.133478,0.893571
0.416465,0.017888,0.202056,0.005057,0.047681,0.136389,0.893763
0.415824,0.017633,0.203112,0.005024,0.047554,0.135493,0.889538
0.416176,0.017697,0.203144,0.005248,0.048258,0.164102,0.924612
0.415920,0.017601,0.202536,0.005024,0.048034,0.137445,0.898147
0.416145,0.017632,0.202471,0.005089,0.048290,0.142117,0.900068
0.416177,0.017440,0.221993,0.005248,0.048130,0.137222,0.916740
0.416080,0.017729,0.202472,0.005184,0.048290,0.132261,0.888418
0.416400,0.017889,0.202952,0.005088,0.048226,0.140486,0.899555
0.416400,0.017505,0.202088,0.005024,0.048706,0.133893,0.891235
0.416880,0.017729,0.202088,0.005216,0.048258,0.145606,0.907107
0.416368,0.017569,0.202472,0.005280,0.048418,0.139302,0.898659
0.416209,0.017792,0.202408,0.005057,0.048258,0.139173,0.893923
0.416688,0.017409,0.222089,0.005440,0.048610,0.134341,0.909827
0.416400,0.017921,0.203816,0.005216,0.048162,0.142470,0.903331
0.416240,0.017664,0.202792,0.005376,0.048450,0.139110,0.895907
0.416720,0.017729,0.203656,0.005280,0.049218,0.141446,0.904131
0.416560,0.017601,0.203176,0.005344,0.048514,0.140422,0.898275
0.416656,0.017761,0.202504,0.005344,0.048290,0.142053,0.905731
0.415921,0.017568,0.203144,0.005377,0.048289,0.134982,0.893219
0.416016,0.017825,0.221768,0.005377,0.048161,0.142725,0.921892
0.417361,0.017696,0.203272,0.005281,0.048066,0.140485,0.901572
0.416336,0.017824,0.202440,0.004960,0.048002,0.140678,0.902787
0.417936,0.017793,0.203080,0.005280,0.048450,0.150118,0.915459
0.417392,0.017569,0.202984,0.005280,0.048546,0.139334,0.901571
0.416784,0.018049,0.202184,0.005216,0.049250,0.139525,0.901603
0.416720,0.017601,0.203112,0.005056,0.047490,0.145414,0.914916
0.435185,0.017985,0.202376,0.005024,0.048386,0.145254,0.924804
0.416688,0.017729,0.203976,0.005024,0.048514,0.136933,0.901027
0.417040,0.017664,0.202952,0.005152,0.048482,0.132486,0.891715
0.417168,0.017633,0.202952,0.005280,0.048706,0.140965,0.930468
0.417104,0.017537,0.202696,0.005280,0.048674,0.140869,0.905731
0.416496,0.017505,0.202248,0.005120,0.048258,0.137350,0.900451
0.417200,0.017665,0.202344,0.005408,0.048610,0.138597,0.897635
0.434545,0.017889,0.202568,0.005280,0.048706,0.142245,0.922500
0.417425,0.017633,0.203624,0.005312,0.048706,0.146886,0.910884
0.416848,0.017729,0.203304,0.005280,0.048578,0.140454,0.903299
0.416977,0.017632,0.203368,0.005249,0.048930,0.158246,0.921508
0.417425,0.018272,0.202664,0.005505,0.048385,0.136198,0.901539
0.416912,0.017729,0.203752,0.005248,0.048258,0.142054,0.902275
0.416272,0.017537,0.203208,0.005536,0.048450,0.145190,0.907908
0.436785,0.017633,0.202568,0.005120,0.049058,0.144774,0.928484
0.416784,0.017537,0.202856,0.005312,0.048386,0.141350,0.902403
0.415953,0.017760,0.203368,0.005089,0.049282,0.140069,0.901572
0.416304,0.017697,0.222408,0.005505,0.048546,0.136101,0.916131
0.416400,0.017889,0.202760,0.005056,0.048930,0.141989,0.904547
0.416080,0.017793,0.202856,0.005120,0.048034,0.133733,0.892162
0.416112,0.017569,0.202504,0.005184,0.047650,0.144133,0.903780
0.436369,0.017793,0.202824,0.005184,0.049218,0.142405,0.922820
0.416881,0.017568,0.203367,0.005057,0.048546,0.144805,0.908516
0.416528,0.017537,0.202696,0.005120,0.047970,0.142533,0.909155
0.416976,0.017601,0.223945,0.005280,0.048130,0.140901,0.923556
0.416240,0.017569,0.202568,0.005024,0.048226,0.139429,0.900483
0.417360,0.017985,0.202792,0.004992,0.048546,0.140998,0.900131
0.416625,0.017760,0.202120,0.005057,0.048226,0.143333,0.910468
0.416240,0.017633,0.202376,0.005504,0.048610,0.144518,0.915107
0.416688,0.017601,0.202312,0.005344,0.048450,0.143558,0.905155
0.416816,0.017921,0.202952,0.005248,0.048098,0.140390,0.902371
0.441138,0.017568,0.203144,0.005089,0.048385,0.144934,0.935909
0.416241,0.018016,0.203016,0.005025,0.048513,0.141605,0.900644
0.417265,0.017633,0.203656,0.005024,0.048258,0.145605,0.907012
0.416144,0.017729,0.202632,0.005056,0.049026,0.142182,0.902435
0.416209,0.017792,0.202824,0.005121,0.048449,0.144070,0.906980
0.416017,0.017633,0.202375,0.005281,0.048418,0.141445,0.900740
0.416688,0.017633,0.203368,0.004992,0.048226,0.142853,0.904579
0.437265,0.017953,0.203688,0.005312,0.048962,0.142693,0.924132
0.417680,0.017825,0.202280,0.005120,0.048770,0.143590,0.902371
0.416464,0.017856,0.202888,0.005024,0.048130,0.143046,0.904099
0.417616,0.017569,0.202664,0.005024,0.048450,0.169159,0.928196
0.416336,0.017569,0.202536,0.005024,0.049346,0.139142,0.899459
0.416048,0.017761,0.203720,0.005088,0.048706,0.143142,0.905092
0.417488,0.017729,0.202248,0.005024,0.048322,0.139237,0.897635
0.436945,0.017985,0.202536,0.005024,0.048482,0.141318,0.921572
0.415984,0.017537,0.202664,0.005088,0.048642,0.142406,0.901507
0.417072,0.017568,0.202472,0.005024,0.048706,0.140166,0.897507
0.417713,0.017761,0.202887,0.005025,0.048322,0.164614,0.932997
0.416497,0.017600,0.204072,0.005057,0.048417,0.139430,0.901988
0.415920,0.017505,0.202568,0.005024,0.047970,0.138374,0.896259
0.416080,0.017665,0.202856,0.005088,0.048898,0.144550,0.905187
0.433073,0.017825,0.202664,0.005056,0.048546,0.144166,0.920324
0.416721,0.017729,0.203080,0.005056,0.047938,0.143845,0.909252
0.416656,0.017729,0.203176,0.004992,0.047970,0.141894,0.902595
0.416464,0.017601,0.202728,0.005056,0.066179,0.140805,0.917860
0.416785,0.017632,0.203144,0.005057,0.048866,0.137701,0.898116
0.416016,0.017760,0.202760,0.005056,0.047842,0.141318,0.900931
0.417072,0.017696,0.203016,0.005152,0.048290,0.143078,0.905828
0.433841,0.017633,0.203048,0.004960,0.048802,0.142854,0.920868
0.415824,0.017792,0.202856,0.005248,0.048578,0.142182,0.902563
0.416049,0.017504,0.202407,0.005313,0.048482,0.138373,0.895523
0.415920,0.017761,0.238409,0.005312,0.048354,0.145318,0.943620
0.415760,0.017728,0.201992,0.005248,0.047746,0.139142,0.897795
0.415664,0.017632,0.203112,0.005088,0.048034,0.142310,0.898755
0.416144,0.017569,0.202056,0.005280,0.048770,0.142342,0.902147
0.415696,0.017665,0.202984,0.005088,0.048226,0.138981,0.896451
0.416752,0.017569,0.201800,0.005216,0.048642,0.140805,0.899299
0.418897,0.017953,0.203976,0.005312,0.048482,0.143205,0.909540
0.416464,0.017696,0.221865,0.005184,0.047810,0.145190,0.923972
0.416048,0.017600,0.203208,0.005248,0.048290,0.138598,0.898819
0.416080,0.017601,0.202696,0.005056,0.048514,0.140645,0.899875
0.415856,0.017569,0.203112,0.005216,0.048674,0.140006,0.902819
0.416081,0.017472,0.202728,0.005057,0.048482,0.143621,0.901732
0.415856,0.017505,0.203400,0.005120,0.048706,0.138950,0.896675
0.416304,0.017537,0.202568,0.004992,0.048482,0.141285,0.899203
0.433617,0.017664,0.202760,0.005025,0.048130,0.137861,0.913219
0.416624,0.017921,0.202760,0.005312,0.048258,0.139718,0.900451
0.417361,0.017696,0.204713,0.005056,0.048098,0.144645,0.908228
0.417072,0.018657,0.202664,0.005536,0.048514,0.141574,0.928516
0.416400,0.017569,0.203560,0.005312,0.048802,0.139014,0.901987
0.416464,0.017505,0.203528,0.005216,0.048418,0.140390,0.908483
0.416080,0.017633,0.202472,0.005312,0.047746,0.138629,0.896099
0.434385,0.017824,0.203592,0.004992,0.048258,0.141798,0.925029
0.416017,0.017504,0.203080,0.005057,0.048418,0.135973,0.896355
0.416369,0.017568,0.202248,0.005216,0.048450,0.139494,0.900035
0.416656,0.017409,0.202152,0.005344,0.048194,0.160806,0.922053
0.418193,0.017760,0.203432,0.005281,0.048673,0.141798,0.905828
0.416369,0.017632,0.202376,0.005057,0.048033,0.142630,0.906724
0.415889,0.017664,0.202504,0.005248,0.048258,0.153670,0.913636
0.433617,0.017569,0.202888,0.005184,0.048322,0.143462,0.922756
0.416976,0.017889,0.202696,0.005280,0.048258,0.138502,0.898371
0.415888,0.017729,0.203336,0.005376,0.048770,0.142694,0.909156
0.416560,0.017473,0.202728,0.005024,0.068963,0.141605,0.926212
0.416209,0.017728,0.202952,0.005025,0.048642,0.141381,0.902852
0.416401,0.017728,0.202568,0.005313,0.048353,0.142277,0.904068
0.417041,0.017728,0.202280,0.005249,0.048161,0.139429,0.901188
0.431249,0.017793,0.202631,0.005057,0.048226,0.142565,0.921156
0.415984,0.017537,0.202664,0.005024,0.048642,0.140742,0.901219
0.416208,0.017729,0.202280,0.005280,0.047490,0.140965,0.900067
0.415792,0.017665,0.224777,0.005376,0.048066,0.148742,0.930788
0.415824,0.017665,0.202152,0.005088,0.048386,0.140549,0.907075
0.416369,0.017824,0.202728,0.005249,0.048386,0.144837,0.906404
0.416144,0.017793,0.203240,0.005024,0.048642,0.145157,0.908035
0.416049,0.017728,0.202568,0.005120,0.048610,0.150022,0.912324
0.416176,0.017761,0.203656,0.005056,0.048258,0.141446,0.898915
0.416304,0.017569,0.202088,0.004992,0.048226,0.140614,0.902307
0.416560,0.017921,0.224072,0.005216,0.047810,0.144613,0.926052
0.416304,0.017601,0.202280,0.005312,0.048354,0.135525,0.892675
0.415856,0.017601,0.203496,0.005120,0.049026,0.141829,0.900643
0.415728,0.017601,0.202504,0.004992,0.048546,0.141574,0.900355
1.439481,0.017953,0.397199,0.005344,0.087748,0.209320,2.256025
0.416976,0.017569,0.202824,0.004992,0.048258,0.143526,0.904227
0.415888,0.017601,0.205608,0.005248,0.048322,0.150598,0.913859
0.416433,0.017569,0.205256,0.005216,0.048770,0.138661,0.901828
0.415632,0.017665,0.203496,0.005024,0.048514,0.137701,0.894883
0.430321,0.017569,0.202951,0.005248,0.048002,0.143365,0.917924
0.416721,0.017760,0.203400,0.005377,0.048577,0.156038,0.915908
0.415888,0.017697,0.202568,0.005280,0.048674,0.136581,0.892675
0.417617,0.017601,0.203624,0.004864,0.048642,0.134053,0.890659
0.415665,0.017504,0.202856,0.005024,0.047778,0.132102,0.887171
0.415472,0.017633,0.203048,0.004992,0.048322,0.136070,0.898307
0.416112,0.017569,0.203400,0.005248,0.048610,0.136453,0.896131
0.433585,0.017697,0.202344,0.005248,0.048002,0.138821,0.913796
0.415760,0.017729,0.202856,0.005280,0.047554,0.131685,0.894467
0.415312,0.017281,0.203048,0.005280,0.047394,0.131365,0.882786
0.416016,0.017473,0.202824,0.005312,0.047106,0.134117,0.892707
0.417137,0.017601,0.202920,0.005248,0.047106,0.137253,0.895683
0.416176,0.021088,0.202376,0.005121,0.048609,0.131846,0.897347
0.415633,0.017536,0.202984,0.005248,0.046882,0.134694,0.893187
0.415440,0.031489,0.203432,0.005216,0.047234,0.129797,0.898723
