Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-10],classifier
0.416336,0.017569,0.202216,0.004896,0.049442,0.139429,0.901763
0.416336,0.017633,0.202312,0.004864,0.048834,0.138566,0.899843
0.433265,0.017664,0.203240,0.004833,0.048802,0.141285,0.923140
0.415600,0.017729,0.202280,0.004992,0.048162,0.135429,0.895203
0.417392,0.017569,0.202248,0.004800,0.048258,0.137509,0.897603
0.415825,0.017473,0.201959,0.004865,0.048290,0.155494,0.911908
0.415952,0.017537,0.202056,0.004992,0.048578,0.134597,0.892675
0.416240,0.017409,0.201896,0.004992,0.048226,0.136645,0.892451
0.416657,0.017697,0.202472,0.004800,0.049346,0.138469,0.900356
0.449554,0.017921,0.202280,0.004768,0.048578,0.138053,0.930693
0.416464,0.017632,0.202056,0.004800,0.048386,0.140230,0.897571
0.416048,0.017537,0.203432,0.004896,0.048802,0.135461,0.896963
0.415697,0.017632,0.202088,0.005089,0.049506,0.157062,0.915748
0.416656,0.017697,0.201800,0.004928,0.049122,0.137606,0.895395
0.416177,0.017792,0.202824,0.004864,0.048609,0.141542,0.901155
0.415761,0.017664,0.202504,0.004897,0.048162,0.137701,0.895491
0.432849,0.017728,0.201928,0.004865,0.048033,0.136422,0.912899
0.415473,0.017472,0.202216,0.004865,0.048513,0.137254,0.894755
0.416369,0.017504,0.202152,0.004960,0.048450,0.134662,0.892195
0.416240,0.017473,0.202024,0.005280,0.049026,0.151334,0.909827
0.416368,0.017633,0.203272,0.004832,0.048386,0.137573,0.894723
0.416976,0.017472,0.202056,0.004992,0.048642,0.134598,0.891427
0.416304,0.017473,0.202408,0.004832,0.048258,0.136038,0.895875
0.433105,0.017569,0.201896,0.004896,0.048418,0.139718,0.913892
0.416496,0.017889,0.202024,0.004992,0.048354,0.140678,0.905763
0.416369,0.017600,0.202088,0.004928,0.048546,0.130437,0.884835
0.416240,0.017409,0.204296,0.004768,0.048514,0.158406,0.922628
0.415697,0.017761,0.202119,0.004929,0.048162,0.134725,0.891587
0.416240,0.017696,0.202728,0.004960,0.048706,0.137126,0.896739
0.416176,0.017761,0.202344,0.004832,0.048834,0.140229,0.895427
0.431057,0.017505,0.202088,0.004896,0.048898,0.148518,0.925956
0.415696,0.017761,0.202280,0.004768,0.048450,0.137957,0.894339
0.416432,0.017665,0.202408,0.004864,0.048642,0.137925,0.897411
