Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-9],OUT[9],TEE[5-9],Layer[10],classifier
0.419564,0.017568,0.192198,0.004896,0.048417,0.114244,0.066402,0.061186,0.245512,0.000704,0.934716
0.396108,0.017504,0.192166,0.004896,0.048193,0.109060,0.050913,0.061698,0.224743,0.000704,0.890490
0.397067,0.017697,0.191878,0.004832,0.047841,0.115364,0.062977,0.062242,0.244039,0.000800,0.910298
0.396716,0.017504,0.192582,0.004864,0.048065,0.111075,0.052673,0.080867,0.248424,0.000736,0.915131
0.396556,0.017536,0.191750,0.004864,0.047970,0.110755,0.053858,0.065218,0.233095,0.000928,0.898587
0.396780,0.017441,0.191685,0.004832,0.048226,0.135236,0.054722,0.065794,0.258984,0.000832,0.924924
0.396236,0.017504,0.191782,0.004928,0.047650,0.111587,0.052450,0.061537,0.229062,0.000704,0.893883
0.413708,0.017441,0.191845,0.004832,0.049762,0.117731,0.061250,0.062242,0.244711,0.000704,0.929179
0.397099,0.017633,0.191590,0.004992,0.047905,0.119684,0.053409,0.062818,0.239239,0.000864,0.905946
0.397068,0.017824,0.192358,0.004800,0.047842,0.116035,0.054210,0.063234,0.236935,0.000704,0.903835
0.396940,0.017472,0.191846,0.004896,0.049506,0.132836,0.054945,0.066018,0.257191,0.000768,0.924571
0.396556,0.017664,0.192262,0.004864,0.047778,0.108867,0.054850,0.066626,0.233863,0.000768,0.899963
0.396972,0.017632,0.192614,0.004896,0.047874,0.104355,0.052161,0.064418,0.224582,0.000736,0.891482
0.398059,0.017921,0.192390,0.004864,0.048385,0.111204,0.053089,0.065058,0.232711,0.000736,0.901562
0.412812,0.017537,0.192389,0.004928,0.048546,0.110947,0.053634,0.061090,0.230567,0.000864,0.913787
0.396556,0.017664,0.191910,0.004864,0.048066,0.109219,0.053153,0.063457,0.229254,0.000736,0.895194
0.396076,0.017984,0.191654,0.004896,0.048738,0.111043,0.050401,0.060450,0.225318,0.000704,0.891674
0.396684,0.017888,0.191942,0.004832,0.048161,0.128324,0.053282,0.066946,0.251592,0.000800,0.917563
