Layer[0],IN[1],INFER[1-5],OUT[5],TEE[1-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.493935,0.115395,8.010957,0.086275,8.217779,0.015104,0.000672,0.001537,0.002784,0.000544,8.739459
0.414092,0.172837,0.602290,0.069442,0.848665,0.016000,0.000960,0.001632,0.002464,0.000640,1.292358
0.394700,0.164517,0.588593,0.063329,0.819864,0.015073,0.000576,0.001632,0.001184,0.000352,1.238885
0.395788,0.168037,0.623506,0.079843,0.875994,0.016192,0.000704,0.001760,0.001856,0.000608,1.299750
0.395660,0.172645,0.610098,0.066178,0.852825,0.015713,0.000704,0.001632,0.001824,0.000416,1.275494
0.394732,0.165029,0.591185,0.064289,0.824024,0.015393,0.000544,0.001664,0.001248,0.000416,1.244101
0.394892,0.223431,0.623698,0.064386,0.915387,0.015745,0.000512,0.001568,0.001376,0.000352,1.335592
0.395243,0.189158,0.589841,0.064065,0.846777,0.014465,0.000512,0.001600,0.001056,0.000384,1.265413
0.395243,0.166052,0.588945,0.062690,0.821720,0.014848,0.000576,0.001728,0.001120,0.000384,1.241637
0.395243,0.166500,0.588337,0.064098,0.822488,0.015360,0.000544,0.001536,0.001440,0.000384,1.243749
0.395500,0.158789,0.606034,0.062721,0.831224,0.014945,0.000480,0.001664,0.001344,0.000352,1.252453
0.395019,0.152676,0.604562,0.071490,0.832984,0.015489,0.000608,0.001632,0.001152,0.000384,1.253381
0.395115,0.162501,0.588914,0.063778,0.819161,0.014720,0.000576,0.001600,0.001280,0.000384,1.238724
0.394540,0.153828,0.588050,0.063810,0.809048,0.014880,0.000480,0.001664,0.001184,0.000384,1.228324
0.394764,0.181349,0.599890,0.063778,0.848729,0.014752,0.000512,0.001568,0.001184,0.000385,1.268422
0.394188,0.161733,0.588401,0.064482,0.818360,0.016289,0.000576,0.001568,0.001184,0.000352,1.238789
0.394827,0.161540,0.587570,0.063874,0.816504,0.014528,0.000512,0.001472,0.001248,0.000352,1.235460
0.394604,0.165317,0.587793,0.062882,0.819640,0.015265,0.000480,0.001504,0.001024,0.000320,1.238373
0.394603,0.151780,0.599250,0.063650,0.818616,0.014816,0.000512,0.001600,0.001312,0.000320,1.238148
0.395180,0.161221,0.606706,0.070914,0.842233,0.014688,0.000544,0.001600,0.001216,0.000320,1.262374
0.394668,0.167685,0.588529,0.064226,0.824088,0.014561,0.000512,0.001504,0.001120,0.000352,1.244005
0.394827,0.166629,0.604882,0.063586,0.838745,0.014881,0.000576,0.001600,0.001184,0.000352,1.258757
0.411789,0.190981,0.597938,0.075042,0.867961,0.015073,0.000512,0.001632,0.001312,0.000320,1.305063
0.394636,0.188101,0.589682,0.063746,0.845209,0.014560,0.000576,0.001472,0.001248,0.000352,1.264453
0.395340,0.204486,0.592114,0.063649,0.863705,0.032993,0.000832,0.001792,0.001280,0.000384,1.304231
0.394348,0.198022,0.588785,0.062657,0.853017,0.014721,0.000480,0.001632,0.001088,0.000352,1.272070
0.394699,0.167237,0.589650,0.064386,0.824697,0.014368,0.000480,0.001600,0.001120,0.000384,1.242660
0.394315,0.186054,0.603154,0.070114,0.862842,0.014816,0.000480,0.001568,0.001121,0.000320,1.281510
0.394444,0.185285,0.588978,0.062658,0.840601,0.014976,0.000512,0.001600,0.001280,0.000352,1.259397
0.394892,0.169701,0.604082,0.063330,0.840761,0.014401,0.000544,0.001568,0.001280,0.000352,1.261414
0.409164,0.164901,0.603858,0.064098,0.836313,0.014784,0.000480,0.001600,0.001088,0.000352,1.270085
0.396108,0.169381,0.590897,0.064930,0.829176,0.014689,0.000544,0.001600,0.001248,0.000384,1.250917
0.395692,0.145508,0.603730,0.105699,0.858745,0.014689,0.000512,0.001600,0.001088,0.000320,1.278278
0.394891,0.164836,0.587506,0.070690,0.826424,0.014720,0.000480,0.001536,0.001184,0.000352,1.245061
0.395052,0.159557,0.586769,0.064130,0.814392,0.014689,0.000576,0.001568,0.001120,0.000416,1.234565
0.396491,0.166693,0.605138,0.070466,0.845977,0.014881,0.000576,0.001568,0.001152,0.000352,1.266245
0.394732,0.153093,0.587665,0.068002,0.812216,0.014625,0.000480,0.001568,0.001216,0.000288,1.230469
0.394540,0.160901,0.588241,0.063202,0.816120,0.014785,0.000608,0.001600,0.000992,0.000352,1.234565
0.408844,0.151237,0.586993,0.063330,0.805560,0.014849,0.000512,0.001568,0.001120,0.000352,1.239557
0.394411,0.149029,0.587441,0.067106,0.807192,0.015361,0.000544,0.001632,0.001024,0.000416,1.227012
0.395787,0.157860,0.587890,0.073986,0.842969,0.015393,0.000512,0.001632,0.001152,0.000320,1.263429
0.395211,0.180902,0.587985,0.063746,0.836377,0.014689,0.000608,0.001568,0.001088,0.000448,1.256869
