Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-9],OUT[9],TEE[4-9],Layer[10],classifier
0.396619,0.017761,0.191430,0.004896,0.136708,0.120483,0.061922,0.322761,0.000800,0.939867
0.395916,0.017537,0.191685,0.004864,0.111236,0.105539,0.067522,0.287657,0.000832,0.905307
0.396076,0.017633,0.191077,0.004833,0.113827,0.102467,0.072738,0.292424,0.000832,0.908315
0.395692,0.017761,0.191525,0.004896,0.117444,0.112515,0.065698,0.299689,0.000832,0.916827
0.412652,0.018049,0.191654,0.004896,0.122819,0.111748,0.066594,0.304905,0.000832,0.942396
0.397484,0.018017,0.191269,0.004832,0.106404,0.100291,0.060993,0.270792,0.000704,0.888282
0.396235,0.017473,0.191270,0.004896,0.107715,0.116099,0.063202,0.290312,0.000672,0.905722
0.396492,0.017697,0.191461,0.004865,0.168613,0.120259,0.108963,0.401643,0.000832,1.018527
0.400715,0.018272,0.191942,0.004832,0.149060,0.118308,0.067586,0.339530,0.001440,0.963772
0.397195,0.017857,0.191398,0.004800,0.116643,0.105187,0.063842,0.289384,0.000896,0.907834
0.398700,0.017505,0.191781,0.004864,0.130404,0.104803,0.065058,0.304489,0.000960,0.925499
0.399628,0.018688,0.193190,0.005344,0.154117,0.111811,0.071266,0.341674,0.001376,0.967516
0.396108,0.017440,0.191654,0.005120,0.117156,0.106179,0.064066,0.291049,0.000896,0.907835
0.396748,0.018048,0.191750,0.004992,0.114980,0.105859,0.064162,0.289417,0.000960,0.907291
0.414925,0.017984,0.191238,0.005056,0.114979,0.106564,0.064770,0.289993,0.000832,0.925500
0.397099,0.017888,0.191142,0.005024,0.111235,0.105667,0.063042,0.283208,0.000832,0.900314
0.397388,0.017793,0.191461,0.005089,0.112067,0.112995,0.068706,0.296968,0.000832,0.914491
0.396107,0.017793,0.191782,0.004992,0.112131,0.121540,0.077282,0.314409,0.000992,0.931707
0.397196,0.017313,0.191525,0.004833,0.110435,0.102979,0.062850,0.279688,0.000736,0.896571
0.395980,0.017376,0.191590,0.004896,0.111171,0.104931,0.063457,0.282632,0.000704,0.898714
0.396203,0.017313,0.191429,0.004864,0.107779,0.100899,0.063266,0.275272,0.001056,0.891578
0.414060,0.017697,0.192230,0.004864,0.111395,0.105891,0.065538,0.286440,0.000928,0.921723
0.396172,0.017665,0.191685,0.005088,0.110884,0.104323,0.064322,0.282921,0.000864,0.899675
0.397356,0.017888,0.191814,0.004832,0.115619,0.104356,0.065442,0.288745,0.000864,0.907579
0.396140,0.017505,0.191813,0.004864,0.115715,0.128196,0.083746,0.331082,0.000800,0.947324
0.396779,0.018049,0.192742,0.004832,0.109123,0.105027,0.067490,0.285576,0.000864,0.904602
0.397163,0.017857,0.191814,0.004864,0.113923,0.104387,0.069442,0.291720,0.000864,0.909178
0.396811,0.017441,0.191654,0.004832,0.111843,0.111363,0.064578,0.291048,0.000736,0.908090
0.407917,0.017472,0.192326,0.004864,0.114723,0.105443,0.063777,0.287112,0.000736,0.915515
0.396076,0.017793,0.191749,0.004897,0.115875,0.103587,0.063778,0.286792,0.000864,0.904027
0.395723,0.017793,0.191301,0.004865,0.111555,0.103651,0.065314,0.284072,0.000960,0.900059
0.396172,0.017376,0.191206,0.004864,0.138980,0.134468,0.063042,0.340490,0.000928,0.956636
0.395852,0.018017,0.191301,0.005089,0.114371,0.109955,0.064386,0.292008,0.001088,0.908763
0.395532,0.017825,0.191237,0.005056,0.116356,0.106883,0.064610,0.291561,0.000800,0.908443
0.396075,0.017889,0.191525,0.004833,0.113859,0.121252,0.063970,0.302729,0.000768,0.918812
0.415116,0.017537,0.191558,0.005056,0.111363,0.121156,0.063106,0.299305,0.000736,0.935036
0.396684,0.017952,0.191750,0.005056,0.115556,0.113763,0.065122,0.297737,0.000736,0.914811
0.397740,0.017696,0.191238,0.005056,0.115812,0.103235,0.063778,0.286153,0.000608,0.903707
0.396396,0.017536,0.192166,0.019841,0.121347,0.114116,0.066402,0.305609,0.000992,0.938012
0.396747,0.017761,0.192038,0.005024,0.112707,0.103299,0.063842,0.283272,0.001024,0.901114
0.396587,0.017856,0.191718,0.004832,0.113571,0.104867,0.067874,0.289992,0.000928,0.907579
0.396236,0.017824,0.191238,0.004864,0.116772,0.103331,0.064418,0.288041,0.000768,0.905179
0.414124,0.017921,0.191141,0.005088,0.116612,0.112899,0.063938,0.296617,0.000832,0.930715
0.396011,0.017313,0.191270,0.005088,0.119139,0.103683,0.064450,0.291080,0.000864,0.907898
0.397196,0.017536,0.191398,0.004864,0.115299,0.105187,0.064578,0.288424,0.000800,0.905082
0.395915,0.017601,0.205542,0.005184,0.110916,0.113987,0.065026,0.293161,0.000768,0.924187
0.395948,0.017440,0.192326,0.004832,0.110947,0.115844,0.064610,0.294889,0.000704,0.911227
0.396268,0.017536,0.192838,0.005312,0.115459,0.103332,0.064737,0.287049,0.000832,0.905371
0.396812,0.017696,0.191846,0.005088,0.112387,0.103171,0.063010,0.281672,0.000864,0.898938
0.399020,0.018241,0.192454,0.005120,0.153700,0.108740,0.067938,0.334442,0.001184,0.961373
0.398155,0.017920,0.191974,0.005088,0.130020,0.108899,0.062274,0.304777,0.001120,0.925947
0.396396,0.017664,0.191750,0.005056,0.117539,0.106916,0.065154,0.293257,0.000832,0.910747
0.423628,0.017825,0.191398,0.004896,0.117795,0.105123,0.063810,0.291048,0.000864,0.934779
0.396747,0.017601,0.191078,0.005024,0.118051,0.106467,0.065729,0.294664,0.000960,0.912091
0.395755,0.017537,0.191269,0.005056,0.112707,0.104931,0.062050,0.283176,0.000928,0.898714
0.396364,0.017568,0.191526,0.004992,0.105795,0.100547,0.060354,0.286665,0.000672,0.903259
0.396619,0.017569,0.191590,0.004832,0.111395,0.105795,0.063554,0.284008,0.000960,0.900538
0.397964,0.017889,0.192101,0.005056,0.138853,0.108547,0.067586,0.319818,0.001120,0.940540
0.397580,0.018177,0.191430,0.005088,0.136420,0.109347,0.067202,0.317289,0.001120,0.936252
0.412588,0.017537,0.191525,0.004864,0.113028,0.120355,0.064930,0.302217,0.001088,0.935227
0.396876,0.017505,0.191557,0.005089,0.110307,0.102019,0.061698,0.277288,0.000992,0.894267
0.395948,0.017344,0.191654,0.004864,0.110787,0.103683,0.060706,0.278440,0.001120,0.895066
0.396460,0.017601,0.191429,0.004768,0.111844,0.141348,0.063010,0.319850,0.000832,0.935708
0.400652,0.017601,0.191461,0.004832,0.115140,0.119843,0.067234,0.305993,0.000832,0.927675
0.396364,0.017248,0.191398,0.004864,0.111779,0.103235,0.062305,0.280712,0.000705,0.896731
0.396780,0.017345,0.191429,0.004865,0.108227,0.105571,0.061762,0.279208,0.000640,0.895419
0.411884,0.017344,0.191686,0.004800,0.108771,0.117124,0.061442,0.291017,0.000672,0.922395
0.396492,0.017312,0.191654,0.004800,0.105091,0.103459,0.060386,0.272232,0.000960,0.888666
0.396044,0.017280,0.191046,0.004864,0.110691,0.103940,0.067266,0.285321,0.000832,0.900091
0.396460,0.017344,0.191622,0.004864,0.112323,0.121028,0.071618,0.308265,0.000832,0.924699
0.396875,0.017505,0.191430,0.004800,0.116451,0.104867,0.065890,0.291048,0.000896,0.908634
0.402348,0.018528,0.200678,0.005152,0.171493,0.109763,0.075074,0.361002,0.001440,0.997885
0.401132,0.018016,0.193254,0.005312,0.149573,0.112067,0.066754,0.332490,0.001536,0.959004
0.398091,0.017792,0.192070,0.005184,0.118211,0.106116,0.064194,0.292009,0.000800,0.911611
0.396971,0.017536,0.192806,0.004864,0.111747,0.107171,0.064226,0.286760,0.000800,0.905306
0.396491,0.017601,0.191558,0.004864,0.104675,0.104547,0.062882,0.275496,0.000800,0.892090
0.418220,0.017601,0.192134,0.004832,0.110275,0.104003,0.062978,0.280648,0.000736,0.919291
0.398764,0.017441,0.192325,0.004832,0.108291,0.105795,0.062114,0.279784,0.000672,0.900059
0.396588,0.017377,0.192613,0.004801,0.116099,0.102915,0.063394,0.286024,0.000800,0.903995
0.396140,0.017345,0.191685,0.005153,0.109347,0.113859,0.088419,0.315113,0.000864,0.932412
0.397740,0.017472,0.192198,0.004832,0.112515,0.101443,0.065442,0.283369,0.000768,0.902299
0.396235,0.017472,0.191974,0.004864,0.111395,0.104419,0.063906,0.282888,0.000768,0.899674
0.396428,0.017505,0.192453,0.004896,0.114980,0.105507,0.066306,0.290249,0.000864,0.908091
0.422444,0.018721,0.192870,0.004864,0.145444,0.115844,0.068642,0.333962,0.001248,0.983197
0.396203,0.017345,0.191846,0.004832,0.115555,0.108195,0.064865,0.292104,0.001025,0.908731
0.396684,0.017280,0.191814,0.004864,0.112035,0.111972,0.064258,0.291625,0.000800,0.908603
0.395628,0.017952,0.191302,0.004864,0.111908,0.125187,0.073282,0.314025,0.000865,0.929980
