label,count,max,max5,min,mean(exclude_max)
TEE[6-7],500,0.300201,0.27971999999999997,0.20186199999999999,0.2289625616161616
TEE[6-8],500,0.33933800000000003,0.284873,0.196197,0.2277180929292929
TEE[6-9],500,0.33649,0.290761,0.20717399999999997,0.23715955757575757
TEE[7-10],500,0.286729,0.263272,0.18311,0.21498734545454545
TEE[7-7],500,0.27744800000000003,0.23590999999999998,0.176709,0.2053250181818182
TEE[7-8],500,0.26916,0.25261500000000003,0.173925,0.2092756404040404
TEE[7-9],500,0.298216,0.252264,0.178213,0.21195072727272726
TEE[8-10],500,0.34925900000000004,0.26132,0.179653,0.21535820404040404
TEE[8-8],500,0.292136,0.257608,0.178086,0.21060776565656567
TEE[8-9],500,0.367147,0.28333600000000003,0.179429,0.21094459797979798
TEE[9-10],500,0.256135,0.243367,0.17751,0.2065928303030303
TEE[9-9],500,0.258344,0.24679099999999998,0.185926,0.21048520202020202
classifier,33500,9.320117,9.283189,0.804856,1.1503028927004033
