Layer[0],IN[1],INFER[1-1],OUT[1],TEE[1-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.395275,0.173446,0.049249,0.062306,0.288393,0.193606,0.005408,0.047809,0.000544,0.013857,0.000352,0.001504,0.001152,0.000384,0.956796
0.399084,0.153156,0.050210,0.063746,0.270504,0.199430,0.005376,0.047969,0.000608,0.013728,0.000640,0.001600,0.001120,0.000832,0.949948
0.418348,0.164453,0.061442,0.064674,0.294313,0.193702,0.009536,0.048706,0.000832,0.013760,0.000384,0.001504,0.001248,0.000832,0.992573
0.399244,0.155557,0.050113,0.066722,0.276072,0.193830,0.005152,0.047906,0.000832,0.013600,0.000384,0.001536,0.001248,0.000832,0.948764
0.399500,0.171205,0.049186,0.063650,0.287369,0.193190,0.005536,0.048545,0.000800,0.013825,0.000448,0.001440,0.001152,0.000608,0.960317
0.399147,0.171621,0.066210,0.068194,0.309641,0.193509,0.005280,0.048225,0.000576,0.013601,0.000416,0.001504,0.001120,0.000608,0.982205
0.395339,0.161508,0.049570,0.062434,0.276777,0.199270,0.005280,0.048033,0.000576,0.013633,0.000416,0.001472,0.001152,0.000576,0.950108
0.399756,0.169509,0.048065,0.064354,0.285480,0.194310,0.005344,0.047778,0.000576,0.013856,0.000384,0.001568,0.001120,0.000576,0.959356
0.399628,0.202374,0.050562,0.069378,0.325674,0.209734,0.005152,0.047522,0.000608,0.013792,0.000384,0.001600,0.001184,0.000864,1.014782
0.400204,0.154437,0.048129,0.061602,0.267656,0.199622,0.005504,0.047522,0.000608,0.013856,0.000352,0.001632,0.001088,0.000416,0.946876
0.399276,0.166213,0.049858,0.069026,0.288585,0.193894,0.005376,0.047489,0.000576,0.013761,0.000384,0.001472,0.001120,0.000352,0.960957
0.395179,0.169541,0.051618,0.067298,0.291785,0.197286,0.005376,0.048385,0.000577,0.013568,0.000384,0.001536,0.001120,0.000384,0.963516
0.400716,0.172518,0.061761,0.067810,0.305418,0.192773,0.005312,0.048578,0.000608,0.013664,0.000384,0.001504,0.001248,0.000416,0.978750
0.399435,0.170566,0.049409,0.066658,0.290249,0.199590,0.005312,0.048610,0.000608,0.013952,0.000352,0.001440,0.001120,0.000640,0.969244
0.402316,0.178021,0.050146,0.063682,0.295305,0.193990,0.005568,0.048001,0.000576,0.013697,0.000416,0.001504,0.001120,0.000864,0.971517
0.414156,0.156805,0.060065,0.062466,0.282824,0.193830,0.005632,0.048930,0.000576,0.013760,0.000448,0.001440,0.001184,0.000832,0.972188
0.399852,0.161253,0.048866,0.080898,0.294345,0.196326,0.005632,0.047777,0.000608,0.013921,0.000416,0.001472,0.001152,0.000544,0.970205
0.399083,0.168485,0.048289,0.062082,0.282312,0.194790,0.005568,0.047489,0.000576,0.013569,0.000416,0.001440,0.001120,0.000416,0.954684
0.398988,0.186021,0.074018,0.069090,0.333002,0.193893,0.005536,0.047234,0.000608,0.013792,0.000416,0.001472,0.001344,0.000640,1.005758
0.394604,0.171429,0.049282,0.062433,0.286888,0.192966,0.005152,0.047554,0.000576,0.013664,0.000384,0.001472,0.001184,0.000384,0.953052
0.399116,0.166245,0.049794,0.062274,0.282217,0.193254,0.005408,0.047393,0.000832,0.013921,0.000352,0.001536,0.001152,0.000576,0.954525
0.394603,0.168325,0.049762,0.062562,0.284297,0.219238,0.005345,0.047809,0.000608,0.013632,0.000416,0.001505,0.001120,0.000416,0.977565
0.395564,0.158853,0.049505,0.061762,0.273864,0.193350,0.005440,0.047969,0.000640,0.014080,0.000384,0.001440,0.001184,0.000384,0.942812
0.399756,0.169701,0.051234,0.083842,0.308297,0.196198,0.005344,0.047906,0.000608,0.013792,0.000384,0.001472,0.001216,0.000608,0.983549
0.394540,0.163685,0.048353,0.062210,0.277960,0.197062,0.005312,0.048706,0.000576,0.013888,0.000352,0.001536,0.001120,0.000608,0.949404
0.394892,0.167493,0.048929,0.062498,0.282312,0.193382,0.005088,0.048290,0.000608,0.013696,0.000352,0.001472,0.000928,0.000384,0.948700
0.395564,0.147588,0.049346,0.064482,0.264936,0.198758,0.005504,0.048161,0.000864,0.013697,0.000416,0.001504,0.001056,0.000352,0.939644
0.395083,0.161957,0.049058,0.063074,0.277641,0.195014,0.005536,0.047361,0.000608,0.013761,0.000384,0.001440,0.000992,0.000320,0.945372
0.419757,0.167269,0.060034,0.066402,0.297097,0.194310,0.005152,0.047745,0.000608,0.013761,0.000320,0.001504,0.000928,0.000320,0.990622
0.399787,0.147429,0.048129,0.062722,0.261768,0.197638,0.009440,0.048290,0.000576,0.013632,0.000416,0.001728,0.001152,0.000352,0.943099
0.399340,0.171301,0.049634,0.064418,0.289033,0.193478,0.009536,0.048129,0.001056,0.013505,0.000384,0.001504,0.001024,0.000352,0.966237
0.399148,0.152292,0.062498,0.089859,0.308553,0.193126,0.005280,0.048417,0.000576,0.013505,0.000384,0.001536,0.001056,0.000384,0.979677
0.399564,0.172134,0.059393,0.066114,0.301449,0.193798,0.005408,0.048802,0.000800,0.013568,0.000416,0.001472,0.001056,0.000352,0.975293
0.394956,0.160357,0.065186,0.065954,0.294857,0.194437,0.005313,0.048193,0.000832,0.013792,0.000416,0.001472,0.000992,0.000320,0.963325
0.399148,0.166821,0.067170,0.064610,0.302441,0.192998,0.005152,0.065122,0.000800,0.014240,0.000352,0.001568,0.001088,0.000384,0.991742
0.399052,0.185893,0.059138,0.066050,0.314601,0.193126,0.005344,0.049985,0.000608,0.014016,0.000384,0.001440,0.001056,0.000416,0.987901
0.395211,0.151908,0.048578,0.082306,0.286184,0.193574,0.005344,0.048385,0.000832,0.013697,0.000352,0.001504,0.001152,0.000384,0.955740
0.394604,0.150212,0.066626,0.067714,0.287944,0.193382,0.005120,0.048706,0.000832,0.013760,0.000384,0.001472,0.001024,0.000352,0.954780
0.416620,0.155653,0.058754,0.064161,0.281736,0.193798,0.005344,0.048034,0.000576,0.013664,0.000352,0.001504,0.001088,0.000416,0.971740
0.399212,0.171461,0.048065,0.063073,0.285608,0.192966,0.005408,0.047778,0.000576,0.013664,0.000352,0.001504,0.001184,0.000352,0.957276
0.399244,0.155140,0.048386,0.062178,0.268968,0.193318,0.005120,0.048417,0.000800,0.013697,0.000352,0.001504,0.001056,0.000416,0.941084
0.394540,0.170629,0.059394,0.070658,0.304297,0.192966,0.005408,0.047906,0.000832,0.013504,0.000352,0.001440,0.001088,0.000512,0.970429
0.394219,0.163397,0.049730,0.068066,0.285129,0.192998,0.005600,0.048353,0.000608,0.013697,0.000384,0.001440,0.001024,0.000384,0.952124
0.399115,0.166021,0.049986,0.063842,0.283241,0.192518,0.005120,0.047649,0.000576,0.013441,0.000384,0.001472,0.001088,0.000288,0.952093
0.398636,0.144932,0.065762,0.062370,0.276392,0.214343,0.005184,0.048545,0.000640,0.013505,0.000384,0.001408,0.001056,0.000320,0.969245
0.399884,0.153732,0.050466,0.080802,0.288136,0.193478,0.005664,0.047682,0.000576,0.013472,0.000384,0.001440,0.001088,0.000576,0.959804
0.399243,0.151428,0.048226,0.065601,0.268680,0.195557,0.005216,0.048385,0.000576,0.013504,0.000352,0.001408,0.000993,0.000352,0.941436
0.399404,0.158981,0.049473,0.067810,0.279304,0.192678,0.005120,0.047937,0.000576,0.013441,0.000416,0.001440,0.001024,0.000352,0.949148
