Layer[0],Layer[1],IN[2],INFER[2-4],OUT[4],TEE[2-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.395916,0.017569,0.138084,0.568560,0.068322,0.778775,0.000736,0.014624,0.000640,0.001440,0.001088,0.000320,1.218884
0.395371,0.017760,0.128740,0.578417,0.064418,0.775767,0.000800,0.015009,0.000864,0.001536,0.001376,0.000384,1.216196
0.412172,0.017792,0.142116,0.569457,0.068258,0.783831,0.001088,0.015104,0.000608,0.001472,0.000992,0.000384,1.241284
0.395788,0.017984,0.129668,0.569009,0.074178,0.776567,0.000800,0.014657,0.000640,0.001504,0.001120,0.000384,1.216260
0.395692,0.017920,0.127492,0.569489,0.065410,0.765975,0.001088,0.014656,0.000608,0.001568,0.001120,0.000385,1.206372
0.395787,0.017889,0.125156,0.568561,0.064993,0.762583,0.000800,0.015104,0.000384,0.001440,0.001056,0.000384,1.202243
0.395820,0.017888,0.164101,0.572561,0.073314,0.813496,0.000800,0.014465,0.000640,0.001536,0.001056,0.000608,1.253509
0.396908,0.017665,0.139172,0.585713,0.075426,0.804535,0.000768,0.014529,0.000416,0.001600,0.001184,0.000416,1.246085
0.395468,0.017856,0.129444,0.580849,0.071331,0.785432,0.001152,0.014688,0.000864,0.001568,0.001152,0.000448,1.225764
0.396684,0.017792,0.138277,0.585137,0.073186,0.800280,0.001120,0.014817,0.000608,0.001568,0.001120,0.000384,1.241509
0.416588,0.018081,0.143460,0.580913,0.067298,0.795351,0.000704,0.014401,0.000640,0.001504,0.001248,0.000608,1.255493
0.395436,0.017665,0.137060,0.567089,0.066210,0.774135,0.000736,0.014688,0.000416,0.001536,0.001152,0.000384,1.213252
0.396908,0.017761,0.142468,0.583857,0.068066,0.798487,0.000768,0.014849,0.000640,0.001536,0.001120,0.000384,1.240069
0.396524,0.017793,0.136452,0.572177,0.064962,0.777719,0.000800,0.014944,0.000672,0.001440,0.001120,0.000608,1.218628
0.395852,0.017696,0.136324,0.569424,0.071330,0.780568,0.000864,0.014656,0.000352,0.001472,0.001088,0.000320,1.219780
0.396332,0.018176,0.133636,0.585426,0.082594,0.805752,0.000832,0.014433,0.000608,0.001664,0.001088,0.000384,1.246917
0.396492,0.017920,0.137220,0.569681,0.066498,0.776919,0.000800,0.015105,0.000608,0.001504,0.001216,0.000352,1.217892
0.395595,0.017889,0.137828,0.568625,0.066498,0.776439,0.000832,0.014912,0.000384,0.001536,0.001120,0.000384,1.216196
0.395852,0.018113,0.137636,0.605490,0.077698,0.825400,0.000800,0.014689,0.000704,0.001536,0.001216,0.000480,1.265606
0.396492,0.017729,0.139108,0.568561,0.065506,0.777015,0.000800,0.015104,0.000640,0.001696,0.001536,0.000416,1.218564
0.396556,0.017824,0.135972,0.566449,0.063586,0.770263,0.000768,0.015200,0.000641,0.001440,0.001056,0.000416,1.211588
0.442381,0.017632,0.139876,0.578705,0.067106,0.789400,0.001088,0.015104,0.000672,0.001536,0.001120,0.000608,1.277285
0.395404,0.017664,0.141541,0.583473,0.067138,0.796664,0.000800,0.014880,0.000640,0.001536,0.001120,0.000416,1.236293
0.395115,0.017697,0.134340,0.587249,0.078275,0.804024,0.000768,0.014624,0.000928,0.001632,0.001152,0.000608,1.243780
0.395244,0.017697,0.139140,0.570769,0.067074,0.780567,0.000736,0.014720,0.000416,0.001440,0.001152,0.000608,1.218404
0.395628,0.017696,0.137317,0.570832,0.069443,0.781304,0.000800,0.014944,0.000608,0.001504,0.001120,0.000576,1.221124
0.395275,0.017600,0.137924,0.585426,0.084226,0.811640,0.001056,0.014849,0.000672,0.001504,0.001120,0.000384,1.251141
0.395404,0.017505,0.136100,0.569393,0.067042,0.776087,0.001088,0.014784,0.000640,0.001504,0.001152,0.000384,1.215460
0.396876,0.017793,0.138244,0.576369,0.070018,0.788471,0.001024,0.014817,0.000608,0.001472,0.001120,0.000576,1.229829
0.415500,0.017760,0.137892,0.579249,0.071170,0.792088,0.001056,0.014720,0.000608,0.001504,0.001344,0.000576,1.251973
0.396620,0.017920,0.120612,0.566065,0.063330,0.753655,0.000704,0.014720,0.000640,0.001504,0.001024,0.000416,1.193731
0.396236,0.017728,0.131012,0.579025,0.067938,0.781687,0.001024,0.014689,0.000640,0.001472,0.001024,0.000384,1.222148
0.401260,0.017793,0.136452,0.580209,0.066594,0.786615,0.001088,0.015105,0.000608,0.001568,0.001056,0.000384,1.232229
0.395212,0.017728,0.134756,0.569233,0.064994,0.772951,0.000736,0.014817,0.000384,0.001504,0.001184,0.000384,1.211524
0.395371,0.017441,0.134116,0.599794,0.088834,0.828248,0.000769,0.014496,0.000608,0.001600,0.000960,0.000384,1.267077
0.395180,0.017664,0.139972,0.571345,0.068546,0.783703,0.000800,0.014785,0.000640,0.001536,0.001152,0.000608,1.223588
0.399692,0.018433,0.193254,0.587537,0.070082,0.855961,0.001408,0.016513,0.000640,0.001952,0.002496,0.000544,1.308743
0.412524,0.018240,0.130532,0.582930,0.069186,0.786680,0.001024,0.015872,0.000640,0.001632,0.001472,0.000416,1.246020
0.395563,0.017537,0.137220,0.571281,0.066466,0.778519,0.000832,0.015488,0.000640,0.001632,0.001312,0.000384,1.218884
0.395500,0.017600,0.135524,0.580625,0.123364,0.843097,0.000800,0.015265,0.000640,0.001504,0.001184,0.000608,1.283462
0.395307,0.017857,0.136548,0.572017,0.067106,0.779191,0.000800,0.015040,0.000608,0.001472,0.001088,0.000385,1.218885
0.396844,0.018049,0.135108,0.570160,0.066369,0.775447,0.000768,0.015520,0.000896,0.001504,0.001088,0.000416,1.218276
0.395020,0.017857,0.137028,0.588433,0.075106,0.805463,0.000801,0.014656,0.000672,0.001536,0.001312,0.000416,1.245477
0.396780,0.018209,0.141540,0.569617,0.067458,0.782455,0.000832,0.015040,0.000672,0.001568,0.001120,0.000384,1.223556
0.395724,0.017825,0.137124,0.572881,0.066018,0.780023,0.000800,0.014688,0.000544,0.001536,0.001152,0.000416,1.219973
0.412269,0.018112,0.136132,0.581297,0.071426,0.792824,0.001056,0.015072,0.000640,0.001600,0.001056,0.000416,1.250469
0.395532,0.017761,0.140996,0.572625,0.067842,0.785751,0.000800,0.014977,0.000640,0.001600,0.001280,0.000480,1.227045
0.396203,0.017792,0.135908,0.569809,0.072322,0.781655,0.000800,0.014785,0.000640,0.002016,0.001152,0.000640,1.222980
0.395372,0.017824,0.134692,0.572625,0.064962,0.775991,0.000768,0.015233,0.000864,0.001536,0.001056,0.000608,1.217380
0.395660,0.017664,0.135172,0.570929,0.065986,0.775543,0.000704,0.014945,0.000640,0.001536,0.001152,0.000576,1.215844
0.396204,0.017664,0.133220,0.587217,0.080546,0.804920,0.000672,0.014624,0.000608,0.001505,0.001216,0.000384,1.245061
0.396012,0.017857,0.132964,0.570737,0.067330,0.774807,0.000800,0.014848,0.000672,0.001504,0.001088,0.000608,1.216004
0.396332,0.017761,0.140644,0.582193,0.068450,0.795127,0.000768,0.014689,0.000640,0.001600,0.001248,0.000416,1.236197
0.415820,0.017505,0.142820,0.572113,0.065314,0.783959,0.000736,0.014721,0.000672,0.001440,0.001216,0.000352,1.244069
0.396780,0.017600,0.140036,0.570097,0.066722,0.781143,0.000800,0.015009,0.000640,0.001504,0.001216,0.000672,1.223588
0.396108,0.017728,0.124868,0.580401,0.074786,0.783575,0.001088,0.014785,0.000800,0.001600,0.001056,0.000576,1.224228
0.395755,0.017761,0.136196,0.569425,0.066050,0.775479,0.000800,0.014816,0.000640,0.001472,0.001248,0.000385,1.215492
0.395788,0.017760,0.135108,0.581522,0.066178,0.786328,0.001088,0.014944,0.000640,0.001568,0.001152,0.000608,1.226500
0.395276,0.017504,0.135716,0.600050,0.081411,0.820857,0.000672,0.014720,0.000672,0.001440,0.001088,0.000384,1.259557
0.396844,0.017825,0.130788,0.581777,0.074306,0.790487,0.000768,0.014785,0.000640,0.001728,0.001056,0.000576,1.232613
0.395595,0.018305,0.136708,0.572241,0.068610,0.781207,0.000736,0.014945,0.000672,0.001408,0.001152,0.000384,1.221508
0.395660,0.017889,0.161380,0.595793,0.068450,0.831320,0.001120,0.014817,0.000640,0.001472,0.001120,0.000384,1.271302
0.395371,0.017793,0.129284,0.578801,0.066882,0.778519,0.000800,0.014593,0.000672,0.001472,0.001216,0.000384,1.217604
0.396043,0.017825,0.143716,0.566833,0.066562,0.780823,0.000992,0.014689,0.000640,0.001536,0.001152,0.000384,1.220772
0.430445,0.017953,0.140836,0.583473,0.067170,0.795511,0.001024,0.014721,0.000640,0.001536,0.001152,0.000384,1.271398
0.395275,0.017760,0.138564,0.570353,0.068738,0.781207,0.000800,0.014817,0.000640,0.001504,0.001056,0.000352,1.220804
0.395499,0.018049,0.136676,0.597298,0.080610,0.818520,0.000704,0.014881,0.000640,0.001600,0.001024,0.000352,1.258597
0.395531,0.017857,0.143908,0.571089,0.066850,0.785559,0.000704,0.014785,0.000640,0.001472,0.001216,0.000640,1.225476
0.395948,0.017696,0.140613,0.579953,0.068034,0.792440,0.000800,0.015104,0.000640,0.001569,0.001088,0.000448,1.233541
0.395436,0.017505,0.154436,0.589746,0.066850,0.814744,0.001120,0.015200,0.000864,0.001440,0.001024,0.000384,1.254309
0.395148,0.017793,0.130883,0.568368,0.066050,0.769142,0.000800,0.014593,0.000384,0.001536,0.001088,0.000608,1.208292
0.396619,0.018017,0.137220,0.571153,0.067810,0.780407,0.000800,0.014785,0.000640,0.001824,0.001152,0.000384,1.222564
0.412044,0.017792,0.140356,0.579377,0.066882,0.790263,0.000704,0.014912,0.000864,0.001504,0.001088,0.000384,1.247013
0.395212,0.017856,0.140676,0.569201,0.069410,0.782711,0.000704,0.014465,0.000672,0.001472,0.001088,0.000384,1.220900
0.396267,0.017601,0.130084,0.568145,0.105827,0.808184,0.001088,0.015072,0.000864,0.001536,0.001056,0.000545,1.249445
0.394508,0.017568,0.135428,0.569329,0.067554,0.775767,0.000736,0.014593,0.000352,0.001536,0.001120,0.000352,1.213348
0.395436,0.017985,0.122115,0.582258,0.064162,0.772279,0.000768,0.015104,0.000416,0.001568,0.001024,0.000576,1.212260
0.395372,0.017984,0.156069,0.616658,0.078082,0.855674,0.000736,0.014784,0.000864,0.001472,0.000960,0.000576,1.295942
0.396299,0.017601,0.138660,0.569105,0.065346,0.776631,0.000736,0.014688,0.000416,0.001408,0.001057,0.000608,1.215908
0.395660,0.017601,0.148484,0.567601,0.066786,0.786679,0.000736,0.014720,0.000448,0.001440,0.001088,0.000608,1.226500
0.412525,0.017888,0.135908,0.578321,0.067714,0.787191,0.000801,0.014976,0.000416,0.001568,0.001056,0.000352,1.243717
0.396364,0.017536,0.134340,0.570641,0.067394,0.776311,0.000800,0.014977,0.000640,0.001504,0.001152,0.000384,1.217028
0.396588,0.017633,0.134276,0.568560,0.065794,0.772918,0.000800,0.014752,0.000640,0.001504,0.001152,0.000416,1.213476
0.396140,0.017728,0.132804,0.568145,0.072226,0.777911,0.000704,0.014689,0.000672,0.001504,0.000992,0.000576,1.217636
0.396267,0.017633,0.140548,0.585169,0.067426,0.796855,0.000768,0.014816,0.000576,0.001536,0.001024,0.000608,1.238564
0.396172,0.017856,0.134628,0.588466,0.081186,0.809048,0.000768,0.015233,0.000896,0.001536,0.001024,0.000608,1.250629
0.395468,0.017537,0.139588,0.569969,0.074082,0.787223,0.000832,0.014432,0.000672,0.001568,0.001088,0.000448,1.226853
0.395308,0.017601,0.143364,0.581457,0.067426,0.795799,0.000768,0.014753,0.000416,0.001504,0.001184,0.000320,1.235397
0.395660,0.017824,0.157477,0.577649,0.067330,0.806136,0.000768,0.014784,0.000641,0.001536,0.001120,0.000352,1.246021
0.396011,0.018017,0.139108,0.580145,0.071522,0.794391,0.001120,0.015105,0.000608,0.001536,0.001056,0.000384,1.235556
0.395980,0.018016,0.137604,0.571761,0.065730,0.778743,0.001056,0.015073,0.000640,0.001536,0.001056,0.000384,1.219620
0.395947,0.017857,0.147076,0.570545,0.068610,0.790199,0.001120,0.014785,0.000608,0.001504,0.001056,0.000448,1.231652
0.396492,0.018144,0.137540,0.583314,0.068866,0.793816,0.001056,0.014688,0.000416,0.001504,0.001184,0.000384,1.234532
0.395564,0.017761,0.124515,0.610578,0.090659,0.830360,0.000704,0.015361,0.000704,0.001440,0.000992,0.000352,1.270662
0.396492,0.017569,0.139972,0.571121,0.074626,0.789591,0.000832,0.015200,0.000864,0.001537,0.001024,0.000416,1.230885
0.395916,0.017568,0.136612,0.581137,0.069187,0.790904,0.001152,0.015296,0.000800,0.001984,0.001120,0.000672,1.232900
0.395980,0.017824,0.150277,0.569361,0.065314,0.789112,0.001024,0.015264,0.000640,0.001536,0.001056,0.000608,1.230341
0.395564,0.017984,0.140324,0.570161,0.066402,0.780727,0.000800,0.015201,0.000864,0.001568,0.000960,0.000384,1.221380
