Layer[0],Layer[1],IN[2],INFER[2-7],OUT[7],TEE[2-7],Layer[8],Layer[9],Layer[10],classifier
0.510319,0.018337,0.134020,8.011280,0.081250,8.230902,0.004192,0.003393,0.000608,8.775687
0.399372,0.018048,0.143396,0.593042,0.074626,0.815416,0.004416,0.002176,0.000608,1.247814
0.397355,0.018177,0.114019,0.596018,0.064930,0.778455,0.003072,0.001633,0.000608,1.203460
0.397388,0.018145,0.128324,0.586193,0.066690,0.784919,0.003264,0.001728,0.000608,1.212420
0.396748,0.017920,0.125412,0.588178,0.069218,0.786680,0.003328,0.001440,0.000800,1.213252
0.396460,0.017985,0.120707,0.604691,0.091042,0.820408,0.003488,0.001376,0.000896,1.245926
0.396108,0.018272,0.137508,0.591666,0.064482,0.797368,0.002976,0.001152,0.000800,1.221540
0.396396,0.018017,0.151013,0.588689,0.068066,0.812504,0.002816,0.001344,0.000640,1.240710
0.396236,0.018048,0.115012,0.597618,0.084418,0.800696,0.005536,0.000928,0.000577,1.227269
0.396299,0.018112,0.147141,0.592657,0.069538,0.813560,0.002913,0.001088,0.000320,1.239301
0.404172,0.017953,0.154117,0.600882,0.071842,0.831577,0.003840,0.001600,0.000352,1.268582
0.410956,0.017793,0.119396,0.587057,0.064546,0.774871,0.003136,0.001120,0.000384,1.213444
0.397196,0.017824,0.140516,0.597265,0.066690,0.809560,0.002720,0.001024,0.000352,1.233669
0.396683,0.017824,0.141636,0.610643,0.089794,0.846585,0.003649,0.002208,0.000384,1.274694
0.400108,0.017857,0.140580,0.596754,0.064866,0.805720,0.002336,0.001248,0.000608,1.233253
0.395724,0.018017,0.168965,0.585905,0.064610,0.822936,0.002304,0.001056,0.000352,1.245189
0.400972,0.017280,0.124388,0.599570,0.078786,0.806136,0.002368,0.001152,0.000352,1.233701
0.395468,0.017697,0.132836,0.597042,0.064322,0.797496,0.002688,0.001088,0.000320,1.221797
0.399436,0.017857,0.122819,0.582930,0.062978,0.772407,0.002464,0.000992,0.000352,1.199172
0.410668,0.017632,0.134853,0.581329,0.061154,0.781400,0.002304,0.000960,0.000416,1.218212
0.394956,0.017409,0.139396,0.593234,0.061410,0.797784,0.002336,0.000896,0.000288,1.217893
0.395340,0.017345,0.136164,0.593554,0.062466,0.795800,0.002176,0.001024,0.000256,1.217029
0.400940,0.017856,0.140452,0.586065,0.068386,0.798871,0.002849,0.001696,0.000608,1.229669
0.395467,0.017601,0.136164,0.601074,0.066498,0.807160,0.002624,0.001248,0.000896,1.231396
0.401324,0.017696,0.145253,0.605042,0.104035,0.858330,0.003008,0.001152,0.000704,1.288934
0.400140,0.017728,0.126116,0.585170,0.067298,0.782104,0.002496,0.001184,0.000672,1.210148
0.400300,0.017697,0.130020,0.595442,0.066178,0.795288,0.002656,0.001280,0.000672,1.224549
0.425101,0.017761,0.132356,0.596242,0.066754,0.799352,0.003008,0.001184,0.000608,1.253766
0.399916,0.017633,0.130308,0.586993,0.064546,0.785239,0.003009,0.001088,0.000672,1.213381
0.401164,0.017633,0.122276,0.599026,0.069026,0.793560,0.002496,0.001120,0.000672,1.222117
0.401324,0.017792,0.146661,0.594098,0.070370,0.814649,0.003232,0.001152,0.000448,1.244549
