Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],IN[9],INFER[9-9],OUT[9],TEE[9-9],Layer[10],classifier
0.505135,0.017729,0.195814,0.004864,0.048449,0.000576,0.013505,0.000352,0.001504,0.112515,0.041633,0.077507,0.235399,0.000768,1.031519
0.398060,0.017376,0.193446,0.005312,0.048418,0.000768,0.013920,0.000384,0.001504,0.108675,0.036034,0.062465,0.210534,0.000897,0.898235
0.397772,0.018049,0.192485,0.004896,0.048290,0.000640,0.014464,0.000352,0.001504,0.107236,0.036929,0.063426,0.211111,0.000704,0.897595
0.413036,0.017856,0.192646,0.004864,0.049345,0.000640,0.015201,0.000352,0.001568,0.109571,0.036961,0.059266,0.209382,0.000768,0.912859
0.396652,0.017473,0.192229,0.004897,0.049633,0.000736,0.015137,0.000352,0.001536,0.106115,0.035105,0.059074,0.203782,0.000768,0.890811
0.399756,0.017920,0.191942,0.004896,0.049378,0.000768,0.014592,0.000352,0.001504,0.109091,0.042434,0.061601,0.216518,0.000833,0.906203
0.397132,0.017793,0.210406,0.004928,0.048513,0.000608,0.014113,0.000384,0.001504,0.110275,0.035553,0.066594,0.215622,0.000544,0.919739
0.396364,0.017441,0.192357,0.004960,0.048354,0.000576,0.013632,0.000384,0.001472,0.107844,0.037025,0.061634,0.209511,0.000544,0.892475
0.396364,0.017792,0.192038,0.005312,0.049794,0.000608,0.014304,0.000384,0.001600,0.116356,0.037953,0.061538,0.219655,0.000608,0.906587
0.397004,0.017632,0.191942,0.004864,0.049250,0.000576,0.014112,0.000384,0.001536,0.107587,0.036129,0.060834,0.207942,0.000608,0.893114
0.396716,0.017568,0.192262,0.004960,0.048450,0.000608,0.013952,0.000416,0.001536,0.109091,0.032737,0.057634,0.202726,0.000608,0.887194
0.396012,0.017601,0.192389,0.004864,0.047682,0.000608,0.014112,0.000320,0.001472,0.105700,0.042529,0.061954,0.213447,0.000608,0.896187
0.396396,0.017504,0.191846,0.005088,0.047490,0.000608,0.013856,0.000384,0.001536,0.104867,0.037825,0.060386,0.206150,0.000608,0.888826
0.397804,0.017409,0.209094,0.005088,0.047393,0.000608,0.013664,0.000416,0.001472,0.104323,0.040737,0.060546,0.209126,0.000512,0.910587
0.396715,0.017536,0.191622,0.005056,0.047489,0.000736,0.013633,0.000384,0.001472,0.106019,0.037441,0.059234,0.206054,0.000672,0.888794
0.396684,0.017600,0.192166,0.004800,0.047842,0.000576,0.014272,0.000352,0.001440,0.107491,0.037633,0.059297,0.207686,0.000608,0.891610
0.397355,0.017473,0.191686,0.004864,0.048353,0.000768,0.014017,0.000384,0.001472,0.113507,0.036065,0.060098,0.213190,0.000736,0.897690
0.396108,0.017537,0.191685,0.004865,0.048225,0.000576,0.013728,0.000384,0.001440,0.106756,0.035937,0.065794,0.211655,0.000704,0.894075
0.397804,0.017345,0.191877,0.004961,0.048737,0.000608,0.013824,0.000384,0.001889,0.108227,0.034689,0.058594,0.205254,0.000576,0.891419
0.396940,0.017345,0.191685,0.004896,0.047970,0.000640,0.014112,0.000352,0.001600,0.109668,0.040833,0.071202,0.224807,0.001024,0.909083
0.396588,0.017569,0.209958,0.005184,0.049890,0.000608,0.013664,0.000384,0.001408,0.105603,0.035297,0.057410,0.201446,0.000992,0.905499
0.396364,0.017441,0.191781,0.004801,0.048897,0.000576,0.013792,0.000352,0.001441,0.107619,0.036481,0.060098,0.207206,0.000736,0.890235
0.397132,0.017473,0.191621,0.004897,0.047585,0.000608,0.013568,0.000384,0.001440,0.094723,0.039201,0.066050,0.203366,0.000416,0.884955
0.396268,0.017569,0.192197,0.005025,0.047521,0.000608,0.013856,0.000384,0.001472,0.102819,0.036737,0.063874,0.206438,0.000544,0.888859
0.395980,0.017600,0.191878,0.005088,0.048097,0.000513,0.013664,0.000384,0.001504,0.101315,0.038721,0.063330,0.206534,0.000544,0.888378
0.396332,0.017665,0.191813,0.005056,0.048162,0.000576,0.013632,0.000352,0.001472,0.105732,0.040321,0.062082,0.211399,0.000704,0.894171
0.401132,0.018304,0.192294,0.005024,0.049378,0.000992,0.014368,0.000320,0.001504,0.134020,0.040641,0.063234,0.241191,0.000928,0.934491
0.415340,0.017665,0.192357,0.004896,0.047682,0.000576,0.014272,0.000384,0.001472,0.109540,0.033601,0.057953,0.205670,0.000704,0.908635
0.397100,0.017537,0.191621,0.004896,0.049058,0.000480,0.013568,0.000384,0.001440,0.097219,0.034721,0.055298,0.190470,0.000512,0.873530
0.396684,0.017408,0.192198,0.004864,0.047714,0.000576,0.013888,0.000352,0.001472,0.110499,0.035969,0.058850,0.208582,0.000576,0.891898
0.396300,0.017664,0.191750,0.004864,0.048130,0.000576,0.013504,0.000416,0.001376,0.094435,0.033953,0.054818,0.186310,0.000544,0.868250
0.396140,0.017729,0.191813,0.004832,0.047202,0.000608,0.013856,0.000384,0.001504,0.107876,0.036257,0.059361,0.206438,0.000449,0.888091
0.398700,0.017760,0.191878,0.004832,0.047777,0.000608,0.013505,0.000352,0.001408,0.105347,0.034753,0.060034,0.202982,0.000544,0.886554
0.397804,0.017440,0.192294,0.004992,0.047457,0.000576,0.013569,0.000352,0.001408,0.103779,0.036961,0.058818,0.202406,0.000480,0.885754
0.395884,0.017440,0.209862,0.004896,0.047297,0.000608,0.013537,0.000416,0.001440,0.102787,0.037505,0.057538,0.200582,0.000512,0.899483
0.396555,0.017377,0.191718,0.004864,0.047201,0.000576,0.013697,0.000384,0.001376,0.105347,0.042049,0.065602,0.215686,0.000544,0.896986
0.395116,0.017537,0.191557,0.004896,0.047394,0.000576,0.013504,0.000352,0.001440,0.100355,0.038689,0.062433,0.204134,0.000512,0.883802
0.396972,0.017761,0.191813,0.004865,0.047009,0.000576,0.013728,0.000352,0.001408,0.107940,0.039489,0.064162,0.214663,0.000512,0.896987
0.396108,0.017600,0.191686,0.004864,0.047393,0.000544,0.013505,0.000352,0.001440,0.097219,0.034881,0.054882,0.190214,0.000448,0.870490
0.397163,0.017377,0.191910,0.004864,0.047681,0.000576,0.013825,0.000352,0.001408,0.110019,0.034337,0.061282,0.209030,0.000544,0.892090
0.398988,0.017856,0.191910,0.005056,0.047458,0.000544,0.013728,0.000352,0.001440,0.105635,0.033953,0.066146,0.208902,0.000448,0.894106
0.396396,0.017601,0.210470,0.004992,0.047586,0.000640,0.013856,0.000384,0.001408,0.107299,0.042146,0.061857,0.214758,0.000417,0.916220
0.396940,0.017728,0.191782,0.004800,0.047426,0.000608,0.013600,0.000384,0.001440,0.093923,0.031585,0.057442,0.185926,0.000448,0.867386
0.396075,0.017537,0.191590,0.004896,0.047073,0.000576,0.013505,0.000352,0.001408,0.103619,0.035457,0.060098,0.201926,0.000544,0.882266
0.396747,0.017313,0.191814,0.004800,0.047777,0.000576,0.013569,0.000384,0.001472,0.100035,0.041537,0.065986,0.210214,0.000512,0.892058
0.414444,0.017536,0.191910,0.004832,0.047170,0.000608,0.013984,0.000384,0.001472,0.094403,0.035201,0.056642,0.189286,0.000448,0.888858
0.395788,0.017505,0.191909,0.004864,0.047649,0.000608,0.013504,0.000384,0.001472,0.121444,0.040097,0.058466,0.223079,0.000480,0.904219
0.395980,0.017408,0.192006,0.004832,0.046977,0.000576,0.013569,0.000384,0.001440,0.107779,0.035201,0.058050,0.204614,0.000576,0.885914
0.396460,0.018016,0.192422,0.004832,0.066594,0.000672,0.013729,0.000352,0.001504,0.110755,0.034337,0.059362,0.207494,0.000576,0.911419
0.397548,0.017729,0.192389,0.004865,0.047777,0.000992,0.014080,0.000385,0.001472,0.108931,0.040705,0.061410,0.214406,0.000576,0.899611
0.395723,0.017345,0.191717,0.005056,0.047745,0.000608,0.013697,0.000352,0.001536,0.111267,0.035361,0.061506,0.211686,0.000672,0.894106
0.397003,0.017537,0.192038,0.004832,0.047137,0.000608,0.013793,0.000352,0.001440,0.109507,0.038881,0.068450,0.220358,0.000576,0.903418
0.397164,0.017632,0.192134,0.005056,0.048546,0.000736,0.013728,0.000320,0.001440,0.102435,0.035457,0.057058,0.198502,0.000576,0.883962
0.396908,0.017377,0.192005,0.005089,0.047585,0.000576,0.013728,0.000320,0.001440,0.117763,0.035969,0.059714,0.216838,0.000640,0.900059
0.397259,0.017633,0.192198,0.004832,0.047553,0.000608,0.013825,0.000352,0.001504,0.101091,0.039201,0.065282,0.208966,0.000672,0.893338
0.396588,0.017377,0.207942,0.005248,0.047329,0.000576,0.013601,0.000384,0.001472,0.108291,0.037953,0.062946,0.212262,0.000512,0.911515
0.398220,0.017601,0.191654,0.004992,0.047425,0.000736,0.013761,0.000384,0.001472,0.106883,0.041185,0.060866,0.212166,0.000608,0.896411
0.396588,0.017600,0.192006,0.005088,0.047202,0.000640,0.013760,0.000416,0.001504,0.107619,0.037153,0.062658,0.210950,0.000608,0.893978
0.396331,0.017761,0.191846,0.005024,0.047201,0.000768,0.013761,0.000352,0.001472,0.108323,0.036129,0.061602,0.209510,0.000608,0.892154
0.397100,0.017345,0.191845,0.004832,0.048482,0.000832,0.014368,0.000320,0.001440,0.114148,0.036417,0.062530,0.216647,0.000672,0.901403
0.397132,0.017600,0.191558,0.005056,0.048610,0.000768,0.014080,0.000384,0.001504,0.112643,0.036194,0.059777,0.212070,0.000640,0.897018
0.396619,0.017793,0.191910,0.005056,0.049057,0.000576,0.014145,0.000352,0.001536,0.109411,0.040417,0.065698,0.218950,0.000608,0.904186
0.397451,0.017857,0.209542,0.005088,0.047618,0.000608,0.013920,0.000352,0.001536,0.113156,0.042305,0.066914,0.225735,0.000576,0.929275
0.397100,0.017633,0.192165,0.005088,0.047970,0.000608,0.013760,0.000384,0.001504,0.111076,0.036673,0.061474,0.212519,0.000608,0.897051
0.397355,0.017857,0.191878,0.005056,0.047969,0.000768,0.013633,0.000384,0.001696,0.106691,0.033761,0.060258,0.204806,0.000640,0.889658
0.396620,0.017441,0.191941,0.005089,0.047809,0.001024,0.013760,0.000384,0.001441,0.114403,0.035777,0.059394,0.213254,0.000608,0.897307
0.396940,0.017409,0.191525,0.005056,0.049250,0.000768,0.013952,0.000416,0.001472,0.106468,0.036641,0.059522,0.206279,0.000544,0.891003
0.397259,0.017697,0.192294,0.005312,0.048353,0.000768,0.013729,0.000320,0.001472,0.112803,0.037601,0.067170,0.221318,0.000768,0.907770
0.396876,0.017793,0.191973,0.005088,0.049410,0.000768,0.014400,0.000384,0.001760,0.108323,0.036097,0.065346,0.213319,0.000960,0.900539
0.426957,0.017536,0.192486,0.005248,0.047874,0.000736,0.014016,0.000416,0.001472,0.112452,0.036929,0.062114,0.214823,0.000736,0.930300
0.396459,0.017377,0.191526,0.004928,0.047489,0.000736,0.013793,0.000384,0.001472,0.105891,0.036897,0.059970,0.206278,0.000512,0.888922
0.396108,0.017536,0.192134,0.004896,0.049058,0.000640,0.014080,0.000384,0.001504,0.109123,0.042690,0.065602,0.221031,0.000704,0.905947
0.396043,0.017601,0.191654,0.005056,0.047841,0.000960,0.013569,0.000384,0.001472,0.106467,0.042465,0.082819,0.235431,0.000608,0.918555
0.396011,0.017473,0.191622,0.004896,0.047809,0.000576,0.014017,0.000352,0.001472,0.107907,0.040769,0.065346,0.217734,0.000608,0.900410
0.396524,0.017344,0.191590,0.005024,0.047426,0.000576,0.013728,0.000384,0.001440,0.106659,0.035938,0.058497,0.204358,0.000544,0.886810
0.397035,0.017473,0.192006,0.004896,0.047233,0.000576,0.013665,0.000384,0.001472,0.100611,0.035489,0.058497,0.197829,0.000512,0.880218
0.421740,0.017377,0.192166,0.004896,0.047521,0.000544,0.013633,0.000416,0.001504,0.107267,0.036161,0.062530,0.209062,0.000544,0.917083
0.396332,0.017536,0.191910,0.004896,0.047138,0.000640,0.013760,0.000384,0.001504,0.110627,0.033921,0.057698,0.205958,0.000608,0.888250
0.396460,0.017473,0.191813,0.004897,0.047681,0.000608,0.013568,0.000320,0.001536,0.108676,0.040225,0.061666,0.214183,0.000608,0.897211
0.397132,0.017665,0.191973,0.004833,0.047393,0.000576,0.013792,0.000384,0.001504,0.108964,0.034977,0.086050,0.233511,0.000640,0.916955
0.395788,0.017313,0.192165,0.005088,0.047586,0.000608,0.024129,0.000448,0.001536,0.109923,0.042785,0.068962,0.224550,0.000512,0.917723
0.396268,0.017569,0.191589,0.004832,0.048034,0.000608,0.013728,0.000384,0.001440,0.105027,0.042177,0.060610,0.210887,0.000640,0.893339
0.396172,0.017504,0.191526,0.004864,0.047745,0.000576,0.013537,0.000352,0.001472,0.106243,0.036769,0.059938,0.205958,0.000576,0.887514
0.412332,0.017889,0.192389,0.005249,0.047873,0.000608,0.013568,0.000384,0.001504,0.106756,0.035265,0.059297,0.204807,0.000544,0.904635
0.396459,0.017569,0.191430,0.005088,0.048449,0.000640,0.013569,0.000352,0.001504,0.102755,0.035073,0.062178,0.203302,0.000576,0.886074
0.396428,0.017568,0.192262,0.004960,0.047265,0.000576,0.013856,0.000352,0.001472,0.106179,0.032225,0.056706,0.198630,0.000576,0.881722
0.396012,0.017824,0.192198,0.004992,0.047425,0.000608,0.013537,0.000384,0.001504,0.104803,0.036129,0.085155,0.229415,0.000480,0.911579
0.396139,0.017569,0.191654,0.004928,0.047521,0.000608,0.013601,0.000352,0.001440,0.103939,0.038305,0.060994,0.206886,0.000576,0.889050
0.396075,0.017761,0.191494,0.005120,0.047681,0.000576,0.013857,0.000352,0.001440,0.106691,0.034913,0.057474,0.202406,0.000608,0.884666
0.398956,0.017632,0.192038,0.004960,0.048322,0.000640,0.013920,0.000384,0.001504,0.115716,0.036641,0.059841,0.215719,0.000896,0.903131
0.412076,0.017568,0.191877,0.004896,0.049250,0.000576,0.013920,0.000384,0.001504,0.105891,0.036258,0.064065,0.208967,0.000736,0.909051
0.396204,0.018337,0.191877,0.005056,0.048834,0.000576,0.013728,0.000384,0.001408,0.107076,0.036481,0.059170,0.206343,0.000576,0.890939
0.396556,0.017569,0.191365,0.004865,0.048385,0.000608,0.013600,0.000384,0.001536,0.102275,0.037313,0.058145,0.200677,0.000576,0.883290
0.396620,0.017537,0.191493,0.004864,0.048098,0.000608,0.013760,0.000384,0.001536,0.096643,0.033825,0.081539,0.215399,0.000640,0.898299
0.396044,0.017729,0.191333,0.004832,0.047298,0.000576,0.013568,0.000352,0.001408,0.104611,0.036833,0.059009,0.203398,0.000544,0.884186
0.396300,0.017601,0.192069,0.004992,0.048098,0.000576,0.013600,0.000352,0.001440,0.106083,0.035713,0.060801,0.206246,0.000544,0.889402
0.396812,0.017601,0.191429,0.005057,0.047777,0.000576,0.013568,0.000352,0.001472,0.104228,0.038593,0.062946,0.208679,0.000512,0.890939
0.427820,0.017633,0.192486,0.005056,0.048097,0.000832,0.013793,0.000384,0.001600,0.113859,0.035105,0.065538,0.217830,0.000608,0.933787
0.396428,0.017569,0.191653,0.005152,0.048226,0.000800,0.014400,0.000384,0.001664,0.101795,0.034209,0.057858,0.197126,0.000544,0.881434
0.397420,0.017377,0.191973,0.005121,0.048385,0.000576,0.014016,0.000416,0.001504,0.108099,0.035265,0.058946,0.205638,0.000576,0.890427
0.396332,0.017473,0.191717,0.005089,0.048929,0.000736,0.013856,0.000384,0.001472,0.106883,0.043105,0.060770,0.213990,0.000576,0.897435
0.396748,0.017505,0.191877,0.005057,0.048001,0.000736,0.013824,0.000384,0.001473,0.101315,0.036833,0.058753,0.200229,0.000672,0.883931
0.396748,0.017537,0.191461,0.005089,0.050017,0.000608,0.014433,0.000416,0.001504,0.105635,0.035361,0.063330,0.207206,0.000640,0.892539
0.396043,0.017376,0.191622,0.005056,0.049953,0.000768,0.014241,0.000352,0.001504,0.105731,0.035649,0.058978,0.203590,0.000672,0.888794
0.418700,0.017537,0.191397,0.004961,0.049985,0.000544,0.014209,0.000384,0.001536,0.105027,0.035649,0.060994,0.204774,0.000544,0.912123
0.395788,0.017345,0.191717,0.004897,0.047745,0.000640,0.013952,0.000384,0.001409,0.103427,0.035297,0.059873,0.201445,0.000673,0.883035
0.396524,0.017473,0.191749,0.004897,0.047713,0.000608,0.013792,0.000384,0.001440,0.103011,0.036577,0.060801,0.203367,0.000608,0.885787
0.396363,0.017601,0.191942,0.004992,0.048097,0.000640,0.013825,0.000384,0.001504,0.111011,0.041601,0.071554,0.227622,0.000640,0.911835
0.396140,0.017792,0.191974,0.004864,0.047618,0.000640,0.013760,0.000384,0.001472,0.106403,0.036641,0.060002,0.206118,0.000608,0.888538
0.396459,0.017473,0.191526,0.005088,0.047425,0.000608,0.013569,0.000384,0.001536,0.107811,0.042561,0.060898,0.214342,0.000544,0.896282
0.395756,0.017569,0.192037,0.005088,0.047266,0.000608,0.013728,0.000384,0.001472,0.098467,0.035649,0.055938,0.193062,0.000544,0.874458
0.414316,0.017633,0.191782,0.005248,0.048865,0.000576,0.013697,0.000384,0.001504,0.105315,0.035841,0.061474,0.205766,0.000448,0.908155
0.396715,0.017729,0.191462,0.005312,0.047969,0.000608,0.013569,0.000352,0.001472,0.103811,0.041633,0.065026,0.213478,0.000576,0.896122
0.396556,0.017760,0.191942,0.004896,0.048034,0.000576,0.013792,0.000352,0.001472,0.106947,0.037441,0.058082,0.205766,0.000544,0.889370
0.396140,0.017472,0.191686,0.004864,0.047714,0.000608,0.013760,0.000384,0.001504,0.100259,0.034849,0.057762,0.195718,0.000576,0.877754
