TEE[0-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.797885,0.000961,0.002464,0.001152,0.000384,1.810014
1.745017,0.000800,0.002400,0.001312,0.000352,1.756667
1.755643,0.000896,0.002240,0.001024,0.000384,1.767099
1.779067,0.000929,0.002528,0.001280,0.000384,1.790876
1.763099,0.000832,0.002337,0.001216,0.000448,1.774908
1.750170,0.000736,0.002400,0.001312,0.000384,1.761306
1.757082,0.000704,0.002528,0.001088,0.000352,1.768251
1.735258,0.000864,0.002560,0.001088,0.000384,1.747866
1.759611,0.000800,0.002625,0.001120,0.000352,1.771644
1.744410,0.000736,0.002304,0.001377,0.000384,1.755643
1.805693,0.001152,0.002720,0.001345,0.000352,1.819070
1.752506,0.000768,0.002400,0.001281,0.000416,1.764123
1.756731,0.000992,0.002624,0.001408,0.000321,1.768668
1.773627,0.000896,0.002720,0.001600,0.000352,1.785948
1.739450,0.000704,0.002432,0.001184,0.000352,1.751002
1.783164,0.001088,0.003585,0.001440,0.000384,1.797949
1.770812,0.001024,0.003616,0.001472,0.000416,1.785916
1.744346,0.000736,0.002337,0.001440,0.000416,1.755899
1.735322,0.000736,0.002368,0.001376,0.000384,1.746586
1.804157,0.000673,0.002592,0.001120,0.000384,1.816030
1.741210,0.000800,0.002529,0.001216,0.000384,1.752923
1.760795,0.000704,0.002464,0.001216,0.000448,1.772923
1.770971,0.000800,0.002528,0.001184,0.000384,1.782619
1.789884,0.000768,0.002432,0.001184,0.000416,1.801309
1.756730,0.000736,0.002656,0.001408,0.000448,1.768699
1.759899,0.000736,0.002497,0.001120,0.000384,1.772028
1.767131,0.000704,0.002400,0.001312,0.000384,1.778427
1.765659,0.000672,0.002496,0.001216,0.000320,1.777116
1.735770,0.000672,0.003136,0.001376,0.000352,1.749370
1.797532,0.000768,0.002528,0.001120,0.000384,1.808733
1.760890,0.000800,0.002560,0.001152,0.000352,1.772219
1.796956,0.000864,0.002497,0.001088,0.000352,1.807901
1.749978,0.000800,0.002464,0.001216,0.000416,1.761498
1.789116,0.001120,0.002816,0.001120,0.000416,1.802396
1.763099,0.000928,0.003136,0.001248,0.000352,1.776251
1.804893,0.001088,0.003584,0.001312,0.000352,1.818877
1.746362,0.000864,0.002720,0.001024,0.000384,1.758203
1.761083,0.000736,0.002432,0.001184,0.000352,1.772572
1.781852,0.000992,0.002432,0.001344,0.000384,1.794140
1.787453,0.000928,0.002656,0.001088,0.000352,1.799837
1.769435,0.000736,0.002593,0.001216,0.000416,1.781212
1.806557,0.000736,0.002528,0.001152,0.000320,1.817981
1.766843,0.000672,0.002336,0.001184,0.000448,1.777819
1.768923,0.000768,0.002560,0.001088,0.000416,1.781084
1.773660,0.000704,0.002240,0.001152,0.000352,1.785020
1.787100,0.000672,0.002432,0.001120,0.000352,1.798205
1.797436,0.000992,0.002656,0.001152,0.000352,1.809981
1.775964,0.000768,0.002368,0.001408,0.000352,1.787452
1.775259,0.000704,0.002465,0.001376,0.000384,1.786428
1.792412,0.000640,0.002496,0.001184,0.000416,1.803868
1.766683,0.000672,0.002465,0.001216,0.000384,1.778460
1.753882,0.000992,0.003073,0.001248,0.000352,1.767643
1.791868,0.001056,0.002304,0.001312,0.000352,1.804060
1.802492,0.000992,0.002496,0.001216,0.000384,1.815197
1.771387,0.000736,0.002624,0.001056,0.000384,1.782780
1.810589,0.001025,0.002560,0.001024,0.000384,1.822846
1.758555,0.001184,0.003616,0.001376,0.000384,1.773212
1.736730,0.001152,0.002336,0.001088,0.000384,1.748666
1.765179,0.001024,0.002080,0.000864,0.000384,1.775163
1.719993,0.001120,0.003616,0.001024,0.000416,1.732409
1.741754,0.000736,0.002656,0.001120,0.000352,1.752986
1.735705,0.000736,0.002464,0.001120,0.000352,1.747770
1.775675,0.000672,0.002465,0.001056,0.000384,1.786908
1.774524,0.001088,0.002720,0.001184,0.000352,1.787964
1.755098,0.000608,0.002432,0.001088,0.000384,1.765851
1.769019,0.000736,0.002368,0.001216,0.000384,1.780412
1.769019,0.000736,0.002816,0.001024,0.000352,1.780187
1.778364,0.000640,0.002656,0.001152,0.000448,1.789884
1.781564,0.001088,0.003424,0.001153,0.000320,1.794781
1.803005,0.001056,0.002656,0.001280,0.000416,1.816125
1.804125,0.000640,0.002817,0.001312,0.000384,1.815742
1.765083,0.000928,0.002881,0.001440,0.000384,1.779164
1.780540,0.000736,0.002464,0.001312,0.000352,1.792796
1.725145,0.000640,0.002368,0.001153,0.000384,1.736602
1.789244,0.000768,0.002336,0.001024,0.000352,1.800028
1.766715,0.001056,0.002432,0.001088,0.000352,1.779356
1.785948,0.000736,0.002336,0.001024,0.000352,1.796732
1.732345,0.000864,0.002976,0.001088,0.000352,1.745946
1.781532,0.001056,0.003521,0.001152,0.000416,1.795549
1.733369,0.000640,0.002400,0.001024,0.000384,1.744058
1.742170,0.000768,0.002560,0.000992,0.000384,1.752954
1.727288,0.000736,0.002304,0.000928,0.000384,1.737497
1.798300,0.000832,0.002432,0.001056,0.000416,1.811965
1.737241,0.000672,0.002272,0.001056,0.000384,1.748153
1.779867,0.000929,0.002688,0.000992,0.000352,1.791548
1.730489,0.000736,0.002400,0.001088,0.000384,1.742073
1.792220,0.000704,0.002464,0.001088,0.000448,1.802845
1.740089,0.000736,0.002305,0.001152,0.000416,1.751514
1.809692,0.000896,0.002656,0.000960,0.000384,1.821245
1.729497,0.000672,0.002432,0.001056,0.000352,1.740537
1.807005,0.000801,0.002368,0.000992,0.000384,1.817502
1.725177,0.000704,0.002368,0.000992,0.000384,1.736281
1.801532,0.000992,0.002496,0.001024,0.000416,1.814653
1.735577,0.000800,0.002496,0.001344,0.000384,1.747098
1.797500,0.000864,0.002944,0.001120,0.000384,1.809693
1.768795,0.000768,0.002496,0.001152,0.000352,1.780187
1.788700,0.000736,0.002368,0.000992,0.000352,1.799900
1.767515,0.000704,0.002496,0.001056,0.000384,1.778299
1.780316,0.000608,0.002240,0.001184,0.000352,1.790908
1.775419,0.000768,0.002432,0.001120,0.000416,1.786652
1.745241,0.000832,0.002432,0.001056,0.000384,1.757306
1.749530,0.000736,0.002592,0.000992,0.000352,1.760634
1.815005,0.000800,0.002272,0.001024,0.000416,1.826525
1.753370,0.000704,0.002336,0.001024,0.000352,1.764506
1.778427,0.000800,0.002208,0.001152,0.000416,1.789595
1.757498,0.000768,0.002720,0.001056,0.000352,1.769498
1.791740,0.000704,0.002560,0.000960,0.000352,1.802876
1.755226,0.000704,0.002368,0.000896,0.000384,1.765403
1.761115,0.000704,0.002368,0.001024,0.000352,1.771579
1.772026,0.000800,0.002400,0.001024,0.000352,1.782651
1.747706,0.000704,0.002272,0.001024,0.000320,1.757754
1.728984,0.000672,0.002368,0.001056,0.000384,1.739225
1.801341,0.000672,0.002528,0.000960,0.000352,1.812989
1.752858,0.000672,0.002465,0.001024,0.000448,1.763099
1.744762,0.000704,0.002368,0.001056,0.000352,1.755898
1.720984,0.000800,0.003104,0.001057,0.000320,1.732825
1.797117,0.000736,0.002208,0.000960,0.000352,1.807133
1.750297,0.000672,0.002400,0.000960,0.000416,1.760667
1.772315,0.000704,0.002240,0.001088,0.000416,1.782875
1.752218,0.000640,0.002240,0.000960,0.000384,1.762746
1.735609,0.000704,0.002400,0.001024,0.000352,1.746009
1.746457,0.000672,0.002433,0.000928,0.000384,1.756410
1.789532,0.000896,0.002272,0.000992,0.000448,1.801884
1.757530,0.000672,0.002368,0.000992,0.000384,1.767866
1.806780,0.000832,0.002305,0.000992,0.000352,1.818046
1.754266,0.000576,0.002368,0.000960,0.000352,1.763802
1.785020,0.000672,0.002336,0.001120,0.000384,1.794396
1.720601,0.000672,0.002336,0.001024,0.000384,1.730969
1.786555,0.000832,0.002400,0.001056,0.000352,1.796348
1.731545,0.000736,0.002368,0.001280,0.000384,1.743129
1.737817,0.000832,0.003040,0.000960,0.000352,1.749722
1.752410,0.000736,0.002432,0.001024,0.000320,1.763451
1.751034,0.000736,0.002305,0.001152,0.000384,1.762971
1.756442,0.000736,0.002304,0.001088,0.000384,1.766491
1.746041,0.000800,0.002401,0.001088,0.000352,1.757722
1.756442,0.000928,0.002400,0.001152,0.000416,1.768794
1.777435,0.000864,0.002976,0.001248,0.000352,1.790203
1.722617,0.000704,0.002528,0.000992,0.000384,1.733849
1.777019,0.000832,0.002432,0.001024,0.000352,1.788155
1.771322,0.000704,0.002112,0.001056,0.000320,1.781179
1.750458,0.000704,0.002240,0.001024,0.000320,1.760955
1.751962,0.000672,0.003424,0.001120,0.000384,1.765562
1.795036,0.000768,0.002240,0.000992,0.000416,1.806396
1.747097,0.000768,0.002496,0.001088,0.000384,1.759034
1.782971,0.000768,0.002401,0.001056,0.000384,1.793820
1.738393,0.000576,0.002144,0.001024,0.000320,1.748602
1.770043,0.000704,0.002464,0.000992,0.000385,1.781532
1.770875,0.000736,0.003040,0.001024,0.000416,1.781467
1.754106,0.000800,0.002528,0.001088,0.000352,1.766075
1.733753,0.000768,0.003232,0.001088,0.000448,1.746649
1.813949,0.000896,0.002336,0.001088,0.000384,1.825213
1.735769,0.000704,0.002304,0.001121,0.000384,1.746554
1.794364,0.000672,0.002464,0.001088,0.000384,1.804796
1.731737,0.000672,0.002400,0.001057,0.000352,1.742362
1.770171,0.000864,0.002496,0.001088,0.000352,1.781339
1.752186,0.000704,0.002400,0.001088,0.000352,1.763194
1.802269,0.000704,0.002368,0.001344,0.000384,1.814077
1.757498,0.000672,0.002432,0.001120,0.000416,1.769786
1.786940,0.000800,0.002336,0.001088,0.000352,1.798044
1.747609,0.000640,0.002401,0.001120,0.000352,1.758202
1.804508,0.000768,0.003168,0.001344,0.000448,1.817981
1.722713,0.000704,0.002336,0.000992,0.000416,1.734457
1.784892,0.000832,0.002400,0.001056,0.000384,1.795484
1.737240,0.000704,0.002240,0.001024,0.000352,1.747801
1.767066,0.000704,0.002336,0.001152,0.000352,1.777562
1.763195,0.000832,0.002208,0.001024,0.000352,1.774331
1.737081,0.000768,0.002272,0.000960,0.000352,1.748153
1.755034,0.000832,0.002528,0.000992,0.000320,1.766203
1.758586,0.000704,0.002400,0.000992,0.000352,1.769018
1.744633,0.000640,0.002336,0.000992,0.000416,1.755610
1.759930,0.000800,0.002305,0.000960,0.000352,1.771131
1.757850,0.000768,0.002272,0.001088,0.000384,1.770043
1.764282,0.000672,0.002496,0.001152,0.000320,1.775483
1.763994,0.000736,0.002464,0.001024,0.000384,1.774554
1.769947,0.000736,0.003072,0.001184,0.000384,1.782971
1.723576,0.000640,0.002240,0.001088,0.000384,1.733944
1.748186,0.000736,0.002432,0.001024,0.000352,1.759898
1.756890,0.000704,0.002240,0.001152,0.000384,1.767514
1.744729,0.000705,0.002432,0.001152,0.000384,1.755002
1.733177,0.000768,0.003040,0.001120,0.000352,1.744537
1.781659,0.000704,0.002528,0.001024,0.000352,1.792124
1.749242,0.000832,0.002400,0.001152,0.000352,1.762459
1.753498,0.000672,0.002592,0.001088,0.000384,1.764827
1.766490,0.000704,0.002528,0.001184,0.000352,1.778299
1.758970,0.000992,0.002592,0.001184,0.000416,1.771451
1.758298,0.001024,0.003232,0.001152,0.000384,1.771355
1.757306,0.000960,0.003232,0.001120,0.000512,1.771739
1.770202,0.000800,0.002784,0.001152,0.000416,1.781915
1.750266,0.000704,0.002464,0.001120,0.000416,1.761338
1.766522,0.000640,0.002656,0.000992,0.000352,1.795740
1.741465,0.000640,0.002496,0.001120,0.000352,1.753625
1.803069,0.000992,0.004000,0.002464,0.000576,1.821917
1.726713,0.000640,0.003040,0.001120,0.000384,1.738585
1.763834,0.000832,0.002432,0.001152,0.000352,1.774970
1.774395,0.000800,0.002528,0.001152,0.000385,1.784700
1.806076,0.000736,0.002368,0.001056,0.000352,1.817244
1.742617,0.000704,0.002240,0.001152,0.000352,1.753402
1.777850,0.000800,0.002528,0.001056,0.000384,1.789243
1.767387,0.000672,0.002400,0.001088,0.000288,1.777755
1.743417,0.000768,0.002656,0.001056,0.000352,1.754810
1.769083,0.000992,0.002432,0.000992,0.000352,1.780795
1.785403,0.000832,0.002688,0.001024,0.000352,1.796764
1.754842,0.000704,0.002496,0.001184,0.000320,1.766554
1.809692,0.000736,0.002592,0.001248,0.000352,1.821021
1.725208,0.000672,0.002528,0.001216,0.000352,1.737625
1.769691,0.000704,0.002560,0.001056,0.000384,1.780731
1.749530,0.000704,0.002400,0.001152,0.000352,1.761114
1.764570,0.001056,0.002368,0.001280,0.000384,1.776923
1.764378,0.000672,0.002432,0.001184,0.000352,1.775707
1.812317,0.000736,0.002720,0.001248,0.000352,1.824382
1.769722,0.000640,0.002848,0.001248,0.000352,1.782363
1.753241,0.000640,0.002688,0.001216,0.000416,1.764730
1.764442,0.000960,0.002656,0.001184,0.000416,1.777371
1.761273,0.000736,0.002656,0.001120,0.000416,1.773211
1.810428,0.000704,0.002689,0.001216,0.000384,1.823293
1.793564,0.000960,0.002624,0.001088,0.000384,1.805820
1.713111,0.000640,0.002561,0.001216,0.000384,1.724216
1.798236,0.000672,0.002561,0.001280,0.000384,1.809821
1.748825,0.001024,0.002400,0.001152,0.000384,1.761370
1.787772,0.000992,0.002528,0.001248,0.000384,1.800540
1.784411,0.000736,0.002432,0.001216,0.000384,1.796123
1.795419,0.000768,0.002433,0.001024,0.000352,1.806652
1.770107,0.000704,0.002528,0.001184,0.000448,1.780987
1.770650,0.000768,0.002432,0.001088,0.000352,1.781531
1.761082,0.000960,0.002400,0.001056,0.000352,1.773307
1.768346,0.000768,0.002496,0.001056,0.000416,1.779451
1.765914,0.000800,0.002336,0.001248,0.000352,1.778075
1.774523,0.000672,0.002624,0.001152,0.000352,1.785243
1.760057,0.000896,0.002560,0.001088,0.000384,1.772378
1.802908,0.000768,0.002464,0.001216,0.000384,1.815356
1.733113,0.000736,0.002432,0.001088,0.000352,1.744665
1.790843,0.000704,0.002560,0.001344,0.000352,1.801660
1.717656,0.000800,0.002624,0.001185,0.000352,1.729433
1.799932,0.000832,0.002432,0.001120,0.000352,1.810396
1.729240,0.000608,0.002400,0.001024,0.000352,1.740056
1.764154,0.000704,0.002496,0.000896,0.000352,1.774939
1.717368,0.000928,0.003104,0.001056,0.000416,1.729401
1.783323,0.000768,0.002721,0.001120,0.000352,1.794748
1.728024,0.000960,0.003328,0.001216,0.000416,1.741272
1.794683,0.000800,0.002368,0.001152,0.000416,1.806300
1.740185,0.001024,0.002368,0.001344,0.000320,1.752346
1.802907,0.000768,0.002400,0.001056,0.000352,1.813789
1.753274,0.000704,0.002304,0.001024,0.000352,1.764666
1.747065,0.000736,0.002432,0.001248,0.000320,1.758202
1.738776,0.000704,0.002368,0.001152,0.000320,1.750041
1.793372,0.000672,0.002400,0.001152,0.000352,1.804796
1.745913,0.000736,0.002464,0.001121,0.000352,1.757306
1.780443,0.000960,0.002273,0.001152,0.000352,1.792284
1.740985,0.000960,0.002561,0.001152,0.000384,1.753498
1.808732,0.000800,0.002528,0.001248,0.000384,1.821277
1.772891,0.000704,0.002400,0.001152,0.000352,1.783995
1.755674,0.000736,0.002528,0.001216,0.000416,1.767898
1.747673,0.000640,0.002337,0.001152,0.000416,1.758650
1.724472,0.000736,0.002432,0.001312,0.000352,1.735801
1.772570,0.001024,0.002592,0.001088,0.000384,1.785115
1.735640,0.000832,0.002464,0.001056,0.000352,1.746969
1.765210,0.000768,0.002464,0.001152,0.000352,1.776858
1.720376,0.000704,0.002593,0.001088,0.000352,1.731705
1.746393,0.000736,0.002432,0.001184,0.000416,1.757657
1.736536,0.000704,0.002560,0.001152,0.000384,1.748633
1.771674,0.000672,0.002464,0.001025,0.000416,1.782779
1.769626,0.000704,0.002336,0.001344,0.000352,1.780762
1.743257,0.000640,0.002336,0.001056,0.000384,1.754426
1.781627,0.000704,0.002529,0.001152,0.000416,1.793596
1.770970,0.000672,0.002369,0.001088,0.000384,1.782235
1.767770,0.000800,0.002336,0.001056,0.000384,1.779130
1.796155,0.001088,0.002688,0.001152,0.000352,1.808668
1.780858,0.000832,0.002464,0.001056,0.000352,1.792411
1.807388,0.000672,0.002496,0.001184,0.000384,1.818684
1.765978,0.001056,0.003360,0.001152,0.000512,1.780859
1.794427,0.000769,0.002528,0.001120,0.000384,1.805532
1.774426,0.001216,0.002560,0.001120,0.000353,1.787131
1.779322,0.000640,0.002625,0.001120,0.000352,1.790331
1.757594,0.000736,0.002432,0.001024,0.000352,1.768666
1.754809,0.000672,0.002400,0.001152,0.000384,1.765850
1.764698,0.000768,0.002752,0.001121,0.000352,1.776571
1.757593,0.001152,0.002432,0.001377,0.000320,1.769722
1.765210,0.001056,0.003265,0.001440,0.000384,1.779195
1.793979,0.000704,0.002432,0.001312,0.000384,1.806044
1.774650,0.000672,0.002432,0.001088,0.000353,1.786107
1.816797,0.001152,0.002624,0.001248,0.000384,1.828957
1.740088,0.000768,0.002528,0.001056,0.000352,1.751545
1.738776,0.000928,0.002496,0.001152,0.000384,1.751097
1.768442,0.000992,0.002432,0.000928,0.000320,1.780090
1.778715,0.000864,0.002368,0.001344,0.000384,1.789915
1.745593,0.000896,0.002528,0.001088,0.000352,1.756442
1.810140,0.000800,0.002400,0.001120,0.000352,1.821212
1.730968,0.000768,0.002560,0.001152,0.000352,1.742200
1.798427,0.000800,0.002497,0.001088,0.000352,1.810012
1.739577,0.000736,0.002432,0.001184,0.000352,1.750809
1.811708,0.000800,0.002368,0.001152,0.000385,1.823229
1.769626,0.000768,0.002304,0.001088,0.000352,1.780411
1.761370,0.000768,0.002336,0.001344,0.000384,1.773114
1.777562,0.000768,0.002272,0.001248,0.000352,1.788507
1.760314,0.000704,0.002528,0.001184,0.000416,1.771706
1.786171,0.000704,0.002528,0.001152,0.000352,1.797851
1.803963,0.000672,0.002368,0.001088,0.000384,1.814940
1.740984,0.000672,0.002464,0.001120,0.000352,1.752953
1.792443,0.000704,0.002528,0.001184,0.000384,1.805468
1.744345,0.000704,0.002305,0.001184,0.000352,1.755098
1.769914,0.000672,0.002368,0.001248,0.000352,1.781211
1.749913,0.000736,0.002496,0.001120,0.000416,1.761050
1.760442,0.000736,0.002624,0.001120,0.000384,1.772314
1.739096,0.000768,0.002336,0.001376,0.000320,1.750329
1.767450,0.001216,0.002720,0.001088,0.000416,1.780091
1.763161,0.001120,0.005312,0.002688,0.000544,1.782874
1.752089,0.000736,0.002944,0.001665,0.000576,1.766650
1.780730,0.000992,0.002529,0.001344,0.000416,1.793531
1.747961,0.001024,0.002336,0.001152,0.000352,1.761049
1.731448,0.000768,0.002432,0.001184,0.000448,1.742809
1.745081,0.001088,0.002496,0.001121,0.000352,1.757466
1.768634,0.000832,0.002528,0.001056,0.000352,1.779962
1.811708,0.000768,0.002465,0.001216,0.000384,1.823293
1.742457,0.000832,0.002976,0.001248,0.000416,1.755385
1.759066,0.000704,0.002624,0.001088,0.000384,1.770938
1.749881,0.000897,0.003168,0.001216,0.000448,1.763738
1.772474,0.000704,0.002304,0.001120,0.000384,1.783482
1.772986,0.000736,0.002528,0.001216,0.000416,1.785530
1.715831,0.000768,0.002528,0.001120,0.000352,1.727128
1.777786,0.000768,0.002432,0.001088,0.000448,1.789466
1.724759,0.000736,0.002528,0.001024,0.000384,1.735800
1.745560,0.000737,0.002976,0.001408,0.000384,1.757945
1.748377,0.000768,0.002656,0.001088,0.000384,1.760089
1.743897,0.000640,0.002432,0.001088,0.000352,1.755033
1.769722,0.000704,0.002464,0.001056,0.000352,1.780827
1.745913,0.000672,0.002401,0.001152,0.000352,1.757146
1.743032,0.000672,0.002528,0.001088,0.000416,1.754553
1.719000,0.000672,0.002496,0.001088,0.000384,1.730104
1.742456,0.000768,0.002624,0.001280,0.000384,1.757049
1.740120,0.000832,0.002496,0.001121,0.000384,1.771610
1.783546,0.000832,0.002432,0.001120,0.000352,1.795419
1.790939,0.000832,0.002592,0.000992,0.000384,1.802204
1.717847,0.000736,0.002560,0.001024,0.000384,1.729079
1.770906,0.000800,0.002560,0.001312,0.000352,1.782330
1.730392,0.000704,0.002465,0.001088,0.000416,1.741625
1.777274,0.000768,0.002624,0.001120,0.000448,1.789147
1.733336,0.000672,0.002592,0.001120,0.000384,1.744792
1.774746,0.000864,0.002528,0.000960,0.000352,1.787066
1.758617,0.000768,0.002304,0.001120,0.000384,1.770362
1.780251,0.000832,0.002592,0.001056,0.000416,1.792411
1.765882,0.000704,0.002496,0.001248,0.000352,1.777498
1.790875,0.000736,0.002592,0.001024,0.000352,1.802076
1.739801,0.000704,0.002592,0.001120,0.000384,1.751129
1.753145,0.000640,0.002560,0.001376,0.000384,1.764857
1.748089,0.000672,0.002560,0.001153,0.000448,1.759642
1.794171,0.000801,0.002432,0.001152,0.000352,1.805212
1.774747,0.000768,0.002496,0.001056,0.000384,1.786491
1.795996,0.000800,0.002656,0.001024,0.000352,1.808060
1.768794,0.000928,0.002432,0.001088,0.000416,1.781051
1.791483,0.000832,0.002432,0.001088,0.000384,1.803292
1.775578,0.000768,0.002336,0.001344,0.000384,1.786875
1.761497,0.000768,0.002560,0.001056,0.000320,1.772762
1.736537,0.000736,0.002464,0.001152,0.000352,1.747833
1.795291,0.000864,0.002432,0.001121,0.000384,1.806396
1.708119,0.000736,0.002624,0.001184,0.000352,1.719735
1.752793,0.000641,0.002496,0.001152,0.000320,1.763994
1.778842,0.000704,0.002465,0.001120,0.000352,1.790011
1.786587,0.000768,0.002464,0.001120,0.000352,1.799099
1.746553,0.000672,0.002432,0.001088,0.000384,1.757818
1.775130,0.000768,0.002369,0.001120,0.000352,1.786363
1.743705,0.000736,0.002400,0.001216,0.000480,1.755001
1.743385,0.000768,0.002752,0.001536,0.000416,1.756730
1.788122,0.000736,0.002432,0.001152,0.000352,1.799419
1.823773,0.000704,0.002560,0.001120,0.000416,1.835101
1.739096,0.000673,0.002656,0.001120,0.000352,1.750489
1.793627,0.000768,0.002560,0.001120,0.000384,1.804860
1.757529,0.000864,0.002528,0.001088,0.000352,1.769466
1.767578,0.000864,0.002432,0.001152,0.000352,1.779194
1.740024,0.000768,0.002368,0.001152,0.000320,1.751704
1.777370,0.001088,0.002400,0.001184,0.000384,1.789210
1.734391,0.000672,0.002464,0.001344,0.000320,1.745944
1.792859,0.000832,0.002497,0.001088,0.000352,1.803836
1.716631,0.000705,0.002496,0.001120,0.000384,1.727576
1.775738,0.001056,0.002656,0.001184,0.000384,1.789179
1.766362,0.000832,0.002496,0.001312,0.000352,1.777562
1.777306,0.000928,0.002624,0.001088,0.000352,1.788987
1.748121,0.000896,0.002656,0.001120,0.000320,1.760825
1.758233,0.000832,0.002560,0.001504,0.000384,1.771482
1.776698,0.000768,0.002432,0.001184,0.000384,1.788282
1.819708,0.000736,0.002336,0.001120,0.000384,1.830877
1.745272,0.000768,0.002560,0.001440,0.000384,1.756601
1.797627,0.000896,0.002465,0.001152,0.000352,1.809660
1.765401,0.000768,0.002752,0.001408,0.000416,1.777786
1.774457,0.000768,0.002368,0.001120,0.000384,1.785786
1.758745,0.000768,0.002432,0.001248,0.000352,1.770233
1.767385,0.000704,0.002464,0.001152,0.000352,1.778618
1.746040,0.000832,0.003137,0.001280,0.000384,1.760409
1.720952,0.000672,0.002752,0.001408,0.000384,1.732760
1.769753,0.000704,0.002496,0.001088,0.000384,1.780698
1.770234,0.000832,0.002464,0.001152,0.000352,1.781402
1.784379,0.000768,0.002400,0.001088,0.000384,1.795931
1.747800,0.000800,0.002401,0.001056,0.000352,1.758745
1.763770,0.000768,0.002432,0.001152,0.000448,1.774170
1.739960,0.001088,0.002592,0.001696,0.000384,1.752952
1.765562,0.000992,0.002624,0.001152,0.000352,1.778234
1.778458,0.000864,0.002464,0.001088,0.000416,1.791067
1.749689,0.000864,0.002464,0.001217,0.000416,1.762906
1.758553,0.000800,0.003264,0.001184,0.000384,1.772665
1.740664,0.000704,0.002464,0.001056,0.000416,1.751577
1.734616,0.000800,0.002657,0.001152,0.000384,1.745753
1.777178,0.000928,0.002336,0.001120,0.000384,1.788923
1.730423,0.000641,0.002496,0.001408,0.000320,1.741528
1.774458,0.000768,0.002496,0.001216,0.000416,1.785594
1.774234,0.000864,0.002305,0.001152,0.000352,1.785883
1.787930,0.000769,0.002368,0.001120,0.000352,1.798779
1.737432,0.000800,0.003201,0.001280,0.000416,1.751449
1.749784,0.000800,0.002656,0.001440,0.000416,1.763193
1.753112,0.000769,0.002528,0.000992,0.000416,1.764025
1.781658,0.000736,0.002240,0.001088,0.000384,1.792538
1.776666,0.000832,0.002336,0.001344,0.000416,1.787834
1.788923,0.000896,0.002400,0.001056,0.000353,1.800316
1.732664,0.000768,0.002528,0.001440,0.000352,1.744184
1.774490,0.000736,0.002496,0.001152,0.000352,1.785627
1.777114,0.000736,0.002593,0.001152,0.000416,1.788699
1.735128,0.000864,0.002624,0.001280,0.000448,1.747961
1.739960,0.000832,0.002400,0.001217,0.000352,1.751481
1.768762,0.000896,0.002304,0.001056,0.000320,1.780666
1.752312,0.000736,0.002400,0.001120,0.000416,1.763289
1.805564,0.000864,0.002400,0.001056,0.000352,1.817180
1.760345,0.000800,0.003457,0.001248,0.000416,1.774234
1.795387,0.000800,0.002144,0.001088,0.000384,1.806267
1.726712,0.000992,0.002304,0.001344,0.000384,1.738200
1.725431,0.000672,0.002336,0.001216,0.000384,1.736376
1.716567,0.000736,0.002368,0.001248,0.000384,1.727735
1.770297,0.000736,0.002432,0.001088,0.000320,1.781562
1.799131,0.000736,0.002561,0.001216,0.000384,1.810652
1.758968,0.000768,0.002400,0.001152,0.000384,1.771610
1.736248,0.000768,0.002656,0.001184,0.000448,1.748632
1.750744,0.000704,0.002785,0.001120,0.000352,1.763193
1.768442,0.000768,0.002432,0.001120,0.000384,1.779834
1.764793,0.000640,0.002560,0.001088,0.000352,1.775930
1.753497,0.000672,0.002464,0.001120,0.000352,1.764601
1.778394,0.000864,0.003264,0.001056,0.000384,1.790938
1.755609,0.000800,0.002657,0.001440,0.000352,1.768474
1.805691,0.000960,0.002624,0.001024,0.000384,1.818268
1.762713,0.001056,0.002529,0.001216,0.000320,1.775706
1.779098,0.000672,0.002465,0.001600,0.000352,1.790843
1.792314,0.000992,0.002464,0.001056,0.000384,1.804283
1.819644,0.001056,0.002528,0.001216,0.000384,1.832284
1.788474,0.000896,0.003744,0.001248,0.000384,1.803227
1.760921,0.000800,0.002496,0.001184,0.000384,1.772506
1.782618,0.000704,0.002496,0.001184,0.000352,1.793691
1.754713,0.000960,0.002688,0.001312,0.000416,1.768601
1.719607,0.000704,0.002464,0.001152,0.000416,1.730807
1.790587,0.000768,0.002656,0.001152,0.000352,1.802331
1.719671,0.000736,0.002368,0.001152,0.000352,1.731160
1.803355,0.000800,0.002496,0.001024,0.000352,1.814395
1.723991,0.000768,0.002336,0.001120,0.000352,1.735063
1.796027,0.000800,0.002528,0.001120,0.000416,1.807708
1.731831,0.000704,0.002433,0.000992,0.000384,1.742648
1.758361,0.000704,0.002497,0.001216,0.000352,1.770170
1.711095,0.000704,0.002496,0.001152,0.000384,1.722167
1.759768,0.000864,0.002624,0.001216,0.000416,1.773369
1.768409,0.000768,0.003232,0.001280,0.000384,1.782426
1.808155,0.000768,0.002656,0.001121,0.000384,1.819196
1.725143,0.000704,0.002496,0.001312,0.000416,1.737304
1.776985,0.000768,0.002496,0.001120,0.000352,1.789114
1.757433,0.000736,0.002368,0.001120,0.000480,1.769657
1.789978,0.000864,0.002401,0.001152,0.000384,1.802107
1.753913,0.000672,0.002496,0.001088,0.000384,1.764889
1.771066,0.000736,0.002560,0.001056,0.000384,1.781978
1.749112,0.000832,0.002880,0.001120,0.000352,1.761368
1.766618,0.000832,0.002272,0.001152,0.000416,1.778362
1.763353,0.000800,0.002560,0.001056,0.000384,1.775225
1.771289,0.000704,0.002432,0.001120,0.000353,1.782458
