TEE[0-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.753724,0.000704,0.002496,0.001088,0.000352,1.765149
1.748027,0.000736,0.002400,0.001248,0.000384,1.759452
1.808766,0.000896,0.002464,0.001216,0.000352,1.820191
1.759260,0.000832,0.002272,0.001120,0.000384,1.770269
1.793758,0.000960,0.003136,0.001184,0.000352,1.807135
1.744796,0.000832,0.002400,0.001216,0.000384,1.756572
1.739131,0.000704,0.002464,0.001248,0.000384,1.751644
1.723802,0.000768,0.002240,0.001216,0.000385,1.734875
1.738331,0.000768,0.002368,0.001184,0.000384,1.749660
1.712825,0.000800,0.002656,0.001152,0.000352,1.723898
1.775101,0.000832,0.002401,0.001152,0.000448,1.787518
1.728891,0.000832,0.002464,0.001120,0.000352,1.740731
1.789982,0.000768,0.002400,0.001184,0.000352,1.801375
1.754172,0.000736,0.002656,0.001312,0.000384,1.767452
1.788350,0.000800,0.002464,0.001216,0.000384,1.799839
1.791198,0.000672,0.002400,0.001248,0.000416,1.802910
1.790814,0.000928,0.002400,0.001024,0.000384,1.803390
1.782846,0.000896,0.002432,0.001184,0.000352,1.794750
1.758364,0.000864,0.002464,0.001184,0.000384,1.770429
1.777469,0.000768,0.002400,0.001152,0.000384,1.789054
1.776797,0.000864,0.002305,0.001056,0.000352,1.788862
1.764093,0.000704,0.002336,0.001152,0.000352,1.775485
1.771773,0.000832,0.002560,0.001216,0.000480,1.783741
1.756668,0.000736,0.002369,0.001152,0.000384,1.768029
1.820223,0.000896,0.002176,0.001089,0.000352,1.831616
1.729498,0.000672,0.002336,0.001152,0.000352,1.741275
1.755292,0.000960,0.002337,0.001120,0.000384,1.767389
1.758940,0.000736,0.002432,0.001056,0.000384,1.769916
1.794430,0.000864,0.002369,0.001088,0.000352,1.805471
1.762909,0.000832,0.002272,0.001216,0.000384,1.774237
1.785406,0.000768,0.002368,0.001088,0.000384,1.796735
1.749404,0.000736,0.002400,0.001088,0.000384,1.760668
1.743419,0.000864,0.002336,0.001120,0.000448,1.755292
1.733722,0.000800,0.002304,0.000992,0.000384,1.745019
1.765821,0.000800,0.002976,0.001216,0.000384,1.779613
1.745628,0.000800,0.002176,0.001120,0.000384,1.757148
1.785502,0.000928,0.003040,0.001248,0.000384,1.799359
1.754972,0.000800,0.002368,0.001216,0.000480,1.766173
1.758973,0.000736,0.002304,0.001216,0.000384,1.771357
1.736187,0.000768,0.002464,0.001184,0.000352,1.747292
1.766141,0.000896,0.002432,0.001089,0.000384,1.777886
1.737755,0.000864,0.002656,0.001152,0.000416,1.749180
1.764477,0.000768,0.003040,0.001248,0.000353,1.777886
1.757852,0.000800,0.002592,0.001248,0.000352,1.769309
1.720794,0.000832,0.002528,0.001184,0.000384,1.732058
1.716570,0.000928,0.002272,0.001184,0.000384,1.728090
1.719707,0.000928,0.002496,0.001216,0.000384,1.731931
1.755612,0.000736,0.002432,0.001152,0.000352,1.766877
1.738587,0.000928,0.003264,0.001120,0.000352,1.751420
1.751708,0.000800,0.002400,0.001216,0.000416,1.763868
1.749307,0.000864,0.002529,0.001184,0.000448,1.762204
1.782813,0.000864,0.002752,0.001184,0.000384,1.795583
1.727098,0.000768,0.002400,0.001280,0.000352,1.738491
1.779229,0.000737,0.002464,0.001184,0.000416,1.791006
1.737306,0.000864,0.002272,0.001248,0.000384,1.748155
1.752956,0.000768,0.002785,0.001216,0.000352,1.765469
1.735259,0.000800,0.002464,0.001248,0.000352,1.746907
1.761917,0.000736,0.002880,0.001152,0.000384,1.773757
1.765373,0.000800,0.002400,0.001120,0.000416,1.777021
1.759324,0.000800,0.002753,0.001120,0.000352,1.771037
1.760604,0.000768,0.002913,0.001280,0.000352,1.772477
1.766909,0.000896,0.002688,0.001152,0.000448,1.778493
1.764828,0.000832,0.002464,0.001216,0.000384,1.776509
1.761340,0.000800,0.002528,0.001120,0.000416,1.773148
1.741339,0.000800,0.002401,0.001152,0.000352,1.752828
1.767964,0.000832,0.002560,0.001120,0.000384,1.779869
1.783453,0.000832,0.002304,0.001248,0.000417,1.795230
1.816447,0.000864,0.002304,0.001184,0.000385,1.827904
1.744859,0.000800,0.002817,0.001312,0.000384,1.757980
1.757884,0.001088,0.002400,0.001152,0.000384,1.770044
1.770748,0.000800,0.002336,0.001152,0.000320,1.782045
1.763805,0.000960,0.002496,0.001120,0.000416,1.775965
1.766876,0.000960,0.002528,0.001184,0.000384,1.779037
1.811358,0.000896,0.002528,0.001248,0.000416,1.822847
1.760252,0.000832,0.002720,0.001248,0.000384,1.771900
1.804414,0.000992,0.002848,0.001216,0.000352,1.817695
1.796638,0.000800,0.002464,0.001216,0.000384,1.808415
1.821535,0.000896,0.002592,0.001184,0.000448,1.833600
1.776413,0.000800,0.002464,0.001376,0.000448,1.788445
1.796798,0.000896,0.002432,0.001152,0.000384,1.809471
1.779709,0.000768,0.002496,0.001184,0.000385,1.791262
1.771580,0.000832,0.002560,0.001152,0.000416,1.784029
1.757244,0.000864,0.002496,0.001152,0.000352,1.769180
1.798622,0.000768,0.002656,0.001216,0.000416,1.810334
1.779549,0.000769,0.002592,0.001248,0.000320,1.792094
1.756220,0.000929,0.002528,0.001120,0.000384,1.767773
