Layer[0],Layer[1],TEE[2-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.437650,0.017408,0.731677,0.000801,0.013920,0.000576,0.001440,0.000960,0.000384,1.212432
0.415185,0.017344,0.741918,0.001216,0.014240,0.000384,0.001473,0.001088,0.000320,1.200688
0.415953,0.017857,0.722684,0.001280,0.014369,0.000448,0.001376,0.001152,0.000352,1.183855
0.416496,0.017505,0.753054,0.000864,0.014656,0.000384,0.001408,0.000961,0.000320,1.213552
0.419984,0.017409,0.734557,0.000864,0.013857,0.000384,0.001472,0.000928,0.000320,1.197168
0.414993,0.017408,0.737598,0.000832,0.014272,0.000416,0.001440,0.001056,0.000352,1.195760
0.414928,0.017409,0.719581,0.000768,0.013888,0.000416,0.001440,0.001088,0.000352,1.176495
0.415729,0.017281,0.717820,0.000896,0.014113,0.000608,0.001472,0.001024,0.000352,1.176783
0.420048,0.017313,0.754174,0.000800,0.013953,0.000576,0.001440,0.000992,0.000352,1.216880
0.415248,0.017441,0.723581,0.000800,0.013728,0.000576,0.001472,0.000992,0.000352,1.181615
0.415088,0.017281,0.730365,0.000704,0.014017,0.000640,0.001408,0.001024,0.000384,1.187791
0.415025,0.017313,0.748093,0.001120,0.014273,0.000416,0.001408,0.001024,0.000352,1.207024
0.420177,0.017249,0.727741,0.000768,0.013952,0.000576,0.001440,0.000992,0.000352,1.192047
0.414801,0.017601,0.721052,0.001184,0.014049,0.000576,0.001408,0.000992,0.000352,1.179471
0.430737,0.017473,0.726749,0.000992,0.014304,0.000384,0.001473,0.000768,0.000256,1.201168
0.415569,0.017313,0.728925,0.000736,0.015232,0.000416,0.001440,0.000768,0.000256,1.187951
0.415089,0.017472,0.699196,0.000864,0.014113,0.000384,0.001376,0.000800,0.000224,1.157454
0.428913,0.017600,0.734398,0.000768,0.014208,0.000384,0.001440,0.000768,0.000384,1.207567
0.415601,0.017600,0.731069,0.000864,0.013984,0.000384,0.001376,0.000800,0.000352,1.188367
0.415600,0.020960,0.692060,0.000832,0.014048,0.000352,0.001409,0.000800,0.000320,1.153070
0.415024,0.017281,0.702780,0.000864,0.014368,0.000384,0.001440,0.000736,0.000320,1.159534
0.414897,0.017216,0.733661,0.000864,0.013985,0.000384,0.001376,0.000832,0.000352,1.189551
0.415280,0.017377,0.743389,0.001312,0.014272,0.000384,0.001408,0.000992,0.000352,1.204911
0.415377,0.017472,0.698588,0.000832,0.014017,0.000384,0.001408,0.000768,0.000256,1.156078
0.416496,0.020865,0.700604,0.001376,0.014593,0.000384,0.001504,0.000832,0.000320,1.163054
0.415025,0.017152,0.734717,0.000768,0.014144,0.000384,0.001440,0.000800,0.000256,1.191343
0.416688,0.017280,0.698044,0.000864,0.014433,0.000352,0.001440,0.000704,0.000320,1.156942
0.416081,0.017409,0.727165,0.001376,0.014688,0.000352,0.001376,0.000896,0.000320,1.187471
0.415824,0.017472,0.759166,0.001344,0.014209,0.000384,0.001408,0.001120,0.000320,1.218064
0.416272,0.017601,0.748446,0.000832,0.014048,0.000384,0.001409,0.000864,0.000352,1.206416
0.414993,0.017600,0.698364,0.000960,0.014049,0.000384,0.001408,0.000864,0.000352,1.155342
0.438961,0.017568,0.728989,0.001216,0.014401,0.000352,0.001440,0.000896,0.000352,1.211344
0.415056,0.017281,0.732413,0.000800,0.014049,0.000352,0.001440,0.000832,0.000256,1.189775
0.416305,0.017280,0.717789,0.000768,0.014337,0.000384,0.001408,0.000960,0.000352,1.176111
0.428945,0.017249,0.711324,0.000960,0.014369,0.000384,0.001408,0.000896,0.000384,1.183055
0.415728,0.017377,0.700636,0.000800,0.013984,0.000352,0.001408,0.000896,0.000384,1.159182
0.415953,0.017984,0.730237,0.000928,0.014177,0.000416,0.001504,0.001120,0.000352,1.190543
0.415793,0.017472,0.716669,0.000992,0.014241,0.000384,0.001376,0.000928,0.000384,1.176111
0.415088,0.017409,0.716092,0.000896,0.013825,0.000352,0.001408,0.000896,0.000320,1.173198
0.416241,0.017473,0.731709,0.000896,0.014112,0.000608,0.001440,0.000960,0.000384,1.191311
0.416400,0.017632,0.733181,0.000832,0.014081,0.000352,0.001408,0.000960,0.000320,1.192559
