Layer[0],Layer[1],Layer[2],IN[3],INFER[3-9],OUT[9],TEE[3-9],Layer[10],classifier
0.395660,0.017280,0.191686,0.119875,0.112323,0.060130,0.297001,0.000576,0.906043
0.411308,0.017377,0.191494,0.157412,0.119492,0.062690,0.342954,0.000576,0.968285
0.395724,0.017248,0.191526,0.105731,0.117764,0.059745,0.287848,0.000576,0.896922
0.395243,0.017345,0.191589,0.128516,0.104451,0.062082,0.298185,0.000576,0.907130
0.395372,0.017088,0.191526,0.149540,0.123459,0.062786,0.340586,0.000576,0.949020
0.395691,0.017217,0.191333,0.140644,0.105091,0.061506,0.310346,0.000608,0.919771
0.395692,0.017793,0.192261,0.147333,0.105315,0.061634,0.317994,0.000640,0.932156
0.396011,0.017473,0.191813,0.138309,0.103875,0.060097,0.305417,0.000640,0.915772
0.409868,0.017505,0.191717,0.178598,0.107715,0.061122,0.351947,0.000576,0.975677
0.395884,0.017441,0.191813,0.133732,0.105603,0.061282,0.303849,0.000576,0.914203
0.396396,0.017184,0.191654,0.146372,0.101475,0.059394,0.310345,0.000576,0.920091
0.395020,0.017184,0.208839,0.137444,0.113731,0.063266,0.317929,0.000608,0.944220
0.395148,0.017280,0.191750,0.126692,0.104739,0.061698,0.296297,0.000512,0.905115
0.397004,0.017569,0.192229,0.133252,0.104259,0.061666,0.302473,0.000608,0.914171
0.396108,0.017345,0.191685,0.131332,0.102947,0.060770,0.298377,0.000544,0.908187
0.409741,0.017504,0.191750,0.131460,0.104035,0.062658,0.301353,0.000640,0.925180
0.401292,0.017600,0.198534,0.150149,0.106915,0.063714,0.325450,0.000608,0.949628
0.396364,0.017344,0.193254,0.126660,0.107779,0.067874,0.306441,0.000608,0.919355
0.395019,0.017344,0.211046,0.158053,0.104739,0.062850,0.330506,0.000576,0.959452
0.394603,0.017441,0.192230,0.130404,0.102659,0.060417,0.297096,0.000576,0.906587
0.395276,0.017440,0.192165,0.136100,0.103203,0.062498,0.305097,0.000608,0.915195
0.394924,0.017504,0.192262,0.155941,0.119427,0.063010,0.341578,0.000576,0.951228
0.394092,0.017185,0.191973,0.144357,0.113667,0.063266,0.326090,0.000544,0.934332
0.394091,0.017217,0.191622,0.112771,0.102435,0.060802,0.279112,0.000544,0.886906
0.394604,0.017248,0.191846,0.127044,0.102691,0.060930,0.294729,0.000512,0.903323
0.414188,0.017601,0.192166,0.133828,0.115299,0.063330,0.315625,0.000576,0.945020
0.395851,0.017344,0.192422,0.128100,0.105059,0.061570,0.298185,0.000608,0.909563
0.394219,0.017409,0.191974,0.137508,0.103491,0.060130,0.304553,0.000576,0.913211
0.393996,0.017376,0.191750,0.117092,0.104419,0.065154,0.289801,0.000544,0.897915
0.394123,0.017473,0.191813,0.138148,0.105251,0.071842,0.318633,0.000640,0.927355
0.394252,0.017440,0.192070,0.117283,0.102307,0.059265,0.282088,0.000544,0.890586
0.394796,0.017505,0.192005,0.124516,0.103651,0.061186,0.292873,0.000608,0.904283
0.415212,0.017504,0.192742,0.145220,0.117283,0.064226,0.331274,0.000544,0.961916
0.395307,0.017441,0.192294,0.128963,0.105124,0.061985,0.299432,0.000640,0.909370
0.394027,0.017505,0.192102,0.142372,0.103203,0.060738,0.309577,0.000640,0.918395
0.393996,0.017280,0.191974,0.116739,0.119716,0.070242,0.309929,0.000544,0.918171
0.396107,0.017440,0.192998,0.145156,0.105315,0.063010,0.317193,0.000672,0.930683
0.394476,0.017568,0.192134,0.149669,0.102851,0.060929,0.316906,0.000640,0.926268
0.394092,0.017344,0.191974,0.114979,0.104228,0.060065,0.282632,0.000736,0.891354
0.420908,0.017536,0.191974,0.129380,0.112547,0.063906,0.309097,0.000672,0.945180
0.394572,0.017249,0.191877,0.128196,0.104515,0.063746,0.299401,0.000576,0.908347
0.394220,0.017409,0.191685,0.137636,0.104100,0.060161,0.305033,0.000544,0.913147
0.395211,0.017281,0.191974,0.117123,0.121188,0.073794,0.315497,0.000544,0.925467
0.394731,0.017441,0.192101,0.114308,0.104611,0.061666,0.283881,0.000576,0.893370
0.394124,0.017216,0.191654,0.117828,0.103939,0.062625,0.287561,0.000576,0.895419
0.394636,0.017248,0.191974,0.152612,0.119620,0.062626,0.338250,0.000544,0.947196
0.426701,0.017440,0.191718,0.137732,0.113731,0.063490,0.319593,0.000544,0.961596
0.394156,0.017440,0.192038,0.151012,0.102915,0.063778,0.320937,0.000576,0.929371
0.393836,0.017473,0.191877,0.151141,0.104195,0.061154,0.319978,0.000480,0.928028
0.394412,0.017408,0.191974,0.174821,0.117316,0.064514,0.360139,0.000512,0.968925
0.394443,0.017312,0.192102,0.143076,0.102435,0.060994,0.309801,0.000544,0.918683
0.395052,0.017313,0.192069,0.115780,0.104419,0.060066,0.283945,0.000544,0.895163
0.394316,0.017472,0.191686,0.136516,0.101539,0.059906,0.301193,0.000576,0.909563
0.412525,0.017344,0.192326,0.146500,0.112868,0.061121,0.323785,0.000608,0.951100
0.394123,0.017249,0.192102,0.123491,0.103619,0.063970,0.294248,0.000608,0.902746
0.394699,0.017409,0.191910,0.123267,0.102051,0.060130,0.290088,0.000480,0.899546
0.394891,0.017344,0.192134,0.178629,0.138788,0.066946,0.387787,0.000704,0.998653
0.394572,0.017440,0.192486,0.127396,0.103363,0.060354,0.294217,0.000576,0.903707
0.394508,0.017600,0.191910,0.130020,0.104323,0.062498,0.300041,0.000512,0.908795
0.394796,0.017312,0.191621,0.116612,0.101731,0.062498,0.283913,0.000512,0.892635
0.412588,0.017569,0.191814,0.126595,0.113316,0.065794,0.308905,0.000544,0.935740
0.394251,0.017313,0.191430,0.143588,0.102243,0.060194,0.309161,0.000512,0.917659
0.394508,0.017312,0.191526,0.119172,0.104739,0.059937,0.286984,0.000673,0.895579
0.394923,0.017217,0.191622,0.169733,0.103395,0.064354,0.340714,0.000544,0.949244
0.394444,0.017216,0.191494,0.130244,0.105219,0.067778,0.306665,0.000640,0.914747
0.394700,0.017377,0.191269,0.138212,0.104420,0.061089,0.306921,0.000608,0.915643
0.394668,0.017376,0.192646,0.143972,0.103171,0.065954,0.316265,0.000576,0.926459
0.413740,0.017376,0.191750,0.131524,0.115107,0.069474,0.319401,0.000608,0.947324
0.394507,0.017216,0.191974,0.140228,0.102339,0.070402,0.316809,0.000640,0.926331
0.394636,0.017409,0.191749,0.159493,0.105251,0.062914,0.330890,0.000544,0.939420
0.394636,0.017281,0.211110,0.147716,0.104323,0.061825,0.318633,0.000576,0.947068
0.394315,0.017345,0.191462,0.144100,0.102403,0.060578,0.310473,0.000576,0.918459
0.394219,0.017216,0.191334,0.130788,0.102467,0.060961,0.298057,0.000576,0.905691
0.394444,0.017280,0.191526,0.149924,0.102019,0.060258,0.315337,0.000544,0.923323
0.394860,0.017472,0.192102,0.115491,0.102275,0.060770,0.281704,0.000576,0.891162
0.394508,0.017408,0.191718,0.127908,0.104323,0.060290,0.295689,0.000576,0.904699
0.395148,0.017473,0.192197,0.135556,0.102723,0.062369,0.304489,0.000544,0.914427
0.393963,0.017281,0.210054,0.153061,0.118851,0.062850,0.338154,0.000512,0.964796
0.394635,0.017409,0.192102,0.128099,0.101988,0.062497,0.296232,0.000544,0.905178
0.394507,0.017345,0.192070,0.158372,0.104995,0.062178,0.328745,0.000576,0.937275
0.395147,0.017472,0.192262,0.122147,0.104291,0.064161,0.293736,0.000608,0.903706
0.394187,0.017345,0.192230,0.136676,0.101827,0.063138,0.304809,0.000512,0.913371
0.394604,0.017345,0.191685,0.130084,0.101987,0.062402,0.297673,0.000640,0.906171
0.394636,0.017312,0.191494,0.133892,0.101827,0.062626,0.301353,0.000576,0.909755
0.394732,0.017312,0.212455,0.131172,0.114755,0.065122,0.314249,0.000544,0.943900
0.396907,0.017281,0.191846,0.128675,0.102883,0.063330,0.298152,0.000608,0.911834
0.394476,0.017280,0.191750,0.149380,0.104772,0.064129,0.321546,0.000640,0.929948
0.394571,0.017313,0.191365,0.127492,0.103971,0.063618,0.299593,0.000480,0.907610
0.394347,0.017377,0.191590,0.125347,0.103715,0.062914,0.295176,0.000544,0.903290
0.395147,0.017249,0.191622,0.151108,0.104995,0.062274,0.321737,0.000544,0.930587
0.394379,0.017377,0.191814,0.128003,0.104867,0.065506,0.301544,0.000544,0.909690
0.394443,0.017472,0.211494,0.135204,0.114404,0.068002,0.321098,0.000480,0.950140
0.394476,0.017249,0.191493,0.125956,0.104323,0.064450,0.297961,0.000544,0.905979
0.395308,0.017344,0.191686,0.127460,0.103875,0.064066,0.298665,0.000576,0.908251
0.394220,0.017216,0.191398,0.127364,0.101923,0.062626,0.295145,0.000544,0.902971
0.394668,0.017344,0.191622,0.140324,0.102755,0.062690,0.308937,0.000576,0.920091
0.394859,0.017473,0.192006,0.132836,0.104931,0.065602,0.306665,0.000576,0.915899
0.394284,0.017344,0.191334,0.155173,0.120419,0.064002,0.342666,0.000512,0.950524
0.394411,0.017473,0.206310,0.129028,0.113603,0.067074,0.312937,0.000448,0.936443
0.394667,0.017153,0.191429,0.127940,0.105251,0.076707,0.312970,0.000544,0.921051
0.394380,0.017408,0.191846,0.136740,0.105059,0.063778,0.308681,0.000544,0.917115
0.393708,0.017441,0.191397,0.137828,0.105411,0.064833,0.311209,0.000577,0.918556
0.394668,0.017441,0.191813,0.137508,0.102692,0.063201,0.306409,0.000608,0.915131
0.394091,0.017409,0.191622,0.133764,0.102627,0.068514,0.309065,0.000576,0.917083
0.394124,0.017088,0.191654,0.128388,0.104451,0.066594,0.302313,0.000512,0.909979
0.394987,0.035458,0.192389,0.141380,0.102724,0.062465,0.310473,0.000608,0.942267
0.394188,0.017408,0.191878,0.132964,0.102531,0.063010,0.302121,0.000544,0.910747
0.394156,0.017441,0.191941,0.139492,0.104228,0.062913,0.309897,0.000576,0.918492
