IN[0],INFER[0-2],OUT[2],TEE[0-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.134753,1.495724,0.070144,1.705709,0.005472,0.053313,0.001088,0.013472,0.000352,0.001472,0.001088,0.000384,1.786542
0.171937,1.512332,0.072704,1.762317,0.005440,0.052609,0.000832,0.013728,0.000416,0.001536,0.001056,0.000384,1.842510
0.167841,1.493515,0.073857,1.739821,0.005312,0.047936,0.000864,0.013984,0.000352,0.001504,0.001088,0.000448,1.815565
0.172834,1.512139,0.079041,1.769454,0.005376,0.052128,0.001056,0.013632,0.000416,0.001376,0.001120,0.000352,1.849166
0.133473,1.493772,0.073024,1.705389,0.006368,0.049057,0.000832,0.013664,0.000384,0.001408,0.001120,0.000384,1.782798
0.159361,1.522892,0.073024,1.761581,0.012288,0.048513,0.000800,0.013728,0.000384,0.001440,0.001248,0.000384,1.844750
0.175649,1.495691,0.084001,1.760845,0.016192,0.053025,0.000832,0.013568,0.000384,0.001408,0.001120,0.000384,1.852078
0.147841,1.525324,0.088096,1.767053,0.016512,0.048961,0.000768,0.013696,0.000416,0.001440,0.001152,0.000384,1.854894
0.173441,1.493100,0.076608,1.748205,0.013440,0.048769,0.000832,0.013728,0.000352,0.001536,0.001088,0.000416,1.832590
0.147681,1.514027,0.079329,1.746189,0.011072,0.048128,0.000832,0.013664,0.000384,0.001440,0.000992,0.000416,1.827341
0.174817,1.495180,0.069600,1.745037,0.005472,0.047809,0.000832,0.013600,0.000416,0.001536,0.001280,0.000416,1.821134
0.187713,1.499275,0.070241,1.763149,0.005600,0.048416,0.000832,0.014176,0.000352,0.001568,0.000992,0.000352,1.840013
0.160993,1.506028,0.069792,1.741741,0.005440,0.048257,0.000832,0.013440,0.000416,0.001472,0.000992,0.000352,1.817262
0.155650,1.493483,0.068736,1.724269,0.005536,0.048641,0.000832,0.013600,0.000384,0.001504,0.001056,0.000352,1.800430
0.146881,1.494475,0.067841,1.715341,0.005440,0.049728,0.000832,0.013472,0.000416,0.001472,0.000960,0.000352,1.792141
0.148737,1.497035,0.079201,1.731565,0.005568,0.052929,0.001024,0.013792,0.000384,0.001504,0.001088,0.000384,1.812718
0.148673,1.498796,0.070336,1.723981,0.005408,0.048641,0.000896,0.013536,0.000416,0.001504,0.001152,0.000384,1.800142
0.158721,1.495179,0.069185,1.728461,0.005440,0.048096,0.001024,0.013472,0.000416,0.001504,0.001088,0.000416,1.803949
0.169601,1.496588,0.068544,1.740237,0.017248,0.069345,0.000864,0.013536,0.000384,0.001504,0.001024,0.000384,1.848974
0.163233,1.493772,0.067136,1.728909,0.005536,0.047553,0.000832,0.013472,0.000352,0.001440,0.000864,0.000352,1.803502
0.149569,1.510508,0.081056,1.748653,0.013184,0.048193,0.000832,0.013824,0.000416,0.001440,0.001120,0.000352,1.832910
0.185442,1.496395,0.079361,1.768942,0.011520,0.048448,0.000800,0.013984,0.000384,0.001568,0.001152,0.000352,1.851534
0.150497,1.515819,0.075809,1.749069,0.005632,0.047872,0.000864,0.013985,0.000352,0.001472,0.001120,0.000352,1.825102
0.148801,1.494604,0.072288,1.722093,0.005408,0.048097,0.000864,0.013920,0.000352,0.001472,0.001056,0.000384,1.797934
0.148161,1.513068,0.075936,1.743245,0.005504,0.049377,0.000864,0.013536,0.000384,0.001536,0.001024,0.000352,1.820206
0.158561,1.499148,0.080320,1.746317,0.005760,0.048577,0.000800,0.013760,0.000384,0.001504,0.001280,0.000512,1.823662
0.153601,1.514892,0.077472,1.752653,0.005600,0.052545,0.000608,0.013600,0.000352,0.001568,0.001088,0.000480,1.832910
0.146689,1.502828,0.076896,1.734285,0.005888,0.048449,0.000832,0.013696,0.000384,0.001728,0.001344,0.000384,1.812206
0.175970,1.518219,0.086273,1.787918,0.005632,0.048128,0.000608,0.014400,0.000384,0.001664,0.001216,0.000384,1.865198
0.143905,1.499403,0.072608,1.723757,0.005633,0.047936,0.000832,0.014720,0.000352,0.001856,0.001184,0.000416,1.801486
0.167809,1.514891,0.087105,1.777070,0.005696,0.048160,0.000832,0.014112,0.000416,0.001664,0.001216,0.000384,1.854222
0.152002,1.501387,0.074112,1.734734,0.005632,0.048288,0.000832,0.014496,0.000384,0.001856,0.001216,0.000416,1.812142
0.160353,1.518732,0.086977,1.772878,0.005728,0.048160,0.000832,0.014464,0.000384,0.001664,0.001248,0.000384,1.850446
0.215553,1.508620,0.076864,1.810093,0.008000,0.049761,0.000832,0.014208,0.000640,0.001824,0.002112,0.000352,1.893710
0.152930,1.517803,0.074753,1.752334,0.005760,0.048320,0.000864,0.014176,0.000416,0.001792,0.001408,0.000384,1.829998
0.157282,1.502091,0.075649,1.742958,0.005536,0.048640,0.000800,0.014080,0.000672,0.001792,0.001216,0.000608,1.820942
0.177570,1.524427,0.074305,1.783054,0.005696,0.048480,0.000800,0.014912,0.000544,0.001984,0.001568,0.000416,1.862062
0.149858,1.498283,0.072513,1.727438,0.015744,0.048704,0.000832,0.014304,0.000608,0.001824,0.001344,0.000416,1.815854
0.137857,1.497803,0.072193,1.714285,0.005504,0.048832,0.000800,0.014945,0.000384,0.001920,0.001248,0.000608,1.793518
0.155521,1.499371,0.074209,1.736237,0.005440,0.048256,0.000832,0.014464,0.000384,0.001536,0.001248,0.000576,1.813549
0.152226,1.505163,0.073057,1.737358,0.005664,0.048896,0.000864,0.015264,0.000576,0.001760,0.001184,0.000480,1.816846
0.161569,1.515276,0.076256,1.760013,0.005600,0.048705,0.000832,0.013952,0.000608,0.001824,0.001216,0.000608,1.838158
0.154017,1.497867,0.071969,1.730381,0.005728,0.048448,0.000800,0.014016,0.000608,0.001761,0.001248,0.000640,1.808270
0.151618,1.528459,0.075361,1.761838,0.005440,0.048672,0.000800,0.014272,0.000416,0.001728,0.001184,0.000384,1.839310
0.158465,1.497228,0.070848,1.732653,0.005600,0.048641,0.000832,0.013824,0.000416,0.001504,0.001088,0.000608,1.809614
0.190529,1.517132,0.073984,1.788557,0.009920,0.048641,0.000800,0.014048,0.000352,0.001696,0.001216,0.000640,1.870382
0.151873,1.497579,0.073249,1.728973,0.005504,0.048352,0.000864,0.014784,0.000416,0.001504,0.001248,0.000384,1.806445
0.153090,1.516619,0.076097,1.753294,0.005536,0.048896,0.000832,0.014464,0.000384,0.001792,0.001152,0.000608,1.831502
0.157825,1.497771,0.072065,1.733741,0.010048,0.048544,0.001056,0.014272,0.000352,0.001920,0.001216,0.000384,1.815885
0.189729,1.514700,0.075040,1.785901,0.005536,0.048641,0.000832,0.013792,0.000352,0.001696,0.001056,0.000704,1.862958
0.153441,1.505835,0.074721,1.740973,0.009920,0.048896,0.001024,0.014624,0.000416,0.001824,0.001248,0.000384,1.823949
0.179265,1.517387,0.077409,1.781166,0.005600,0.048192,0.000832,0.014400,0.000384,0.001792,0.001216,0.000576,1.858670
