Layer[0],Layer[1],Layer[2],IN[3],INFER[3-3],OUT[3],TEE[3-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.509252,0.017760,0.206498,0.155937,0.043808,0.062656,0.266081,0.048385,0.000832,0.013696,0.000384,0.001472,0.013696,0.000608,1.086728
0.418563,0.017504,0.204001,0.141665,0.037441,0.061216,0.243362,0.048993,0.000640,0.013504,0.000448,0.001472,0.001568,0.000576,0.958407
0.421827,0.017440,0.205153,0.162369,0.038081,0.062560,0.266466,0.048384,0.000832,0.013697,0.000352,0.001536,0.001280,0.000352,0.984743
0.415971,0.017409,0.204065,0.127745,0.043584,0.067169,0.241698,0.048544,0.000832,0.013664,0.000416,0.001376,0.001120,0.000384,0.952007
0.416963,0.017472,0.204225,0.130145,0.043681,0.061088,0.238210,0.049312,0.000832,0.013825,0.000384,0.001600,0.000864,0.000320,0.950567
0.420003,0.017344,0.202946,0.139041,0.036512,0.060641,0.239842,0.049280,0.000608,0.013760,0.000384,0.001472,0.001024,0.000288,0.953351
0.415619,0.017344,0.202529,0.118241,0.041665,0.060064,0.223650,0.049280,0.000832,0.013888,0.000384,0.001408,0.000992,0.000288,0.932422
0.416131,0.017313,0.203265,0.152897,0.035872,0.060193,0.252706,0.049280,0.000832,0.014048,0.000384,0.001664,0.001408,0.000320,0.965575
0.415491,0.017376,0.202786,0.144257,0.034784,0.058177,0.241154,0.049216,0.000832,0.013984,0.000384,0.001664,0.001120,0.000320,0.951847
0.452355,0.017504,0.209730,0.140481,0.036224,0.059584,0.239873,0.048705,0.000832,0.014112,0.000416,0.001760,0.000992,0.000352,0.994855
0.417763,0.017952,0.203842,0.153281,0.042496,0.060992,0.260897,0.048545,0.001056,0.014144,0.000352,0.001568,0.001184,0.000608,0.975591
0.415331,0.017568,0.202625,0.147745,0.037441,0.065856,0.254946,0.048417,0.000640,0.014016,0.000416,0.001536,0.001216,0.000352,0.964679
0.415491,0.018016,0.203329,0.166145,0.036129,0.061088,0.267394,0.048160,0.000768,0.014177,0.000384,0.001600,0.001056,0.000352,0.978055
0.415459,0.017281,0.202945,0.139233,0.035296,0.059009,0.237250,0.049376,0.000800,0.014048,0.000352,0.001664,0.001888,0.000352,0.949127
0.415459,0.017312,0.202978,0.142657,0.040736,0.059136,0.246305,0.048001,0.000800,0.013568,0.000352,0.001472,0.001216,0.000384,0.955399
0.415683,0.017632,0.202561,0.145217,0.036033,0.059968,0.244610,0.048960,0.000897,0.013536,0.000416,0.001536,0.001248,0.000384,0.954983
0.415459,0.017504,0.202017,0.138977,0.036736,0.060865,0.239778,0.048800,0.000864,0.013504,0.000352,0.001504,0.001152,0.000352,0.948742
0.420771,0.017920,0.202786,0.147745,0.035424,0.057441,0.244066,0.049344,0.000800,0.013568,0.000416,0.001504,0.001152,0.000352,0.960199
0.416771,0.017504,0.202210,0.141409,0.040256,0.058400,0.243713,0.048385,0.000800,0.013504,0.000384,0.001536,0.001120,0.000416,0.953607
0.431811,0.017568,0.203297,0.133697,0.036097,0.059936,0.233602,0.049216,0.000832,0.013536,0.000416,0.001440,0.001184,0.000352,0.961286
0.420867,0.017537,0.203329,0.142305,0.035232,0.059521,0.240450,0.050080,0.000800,0.013792,0.000416,0.001536,0.001184,0.000864,0.958695
0.415491,0.017504,0.203138,0.147233,0.036192,0.060224,0.247297,0.048161,0.000576,0.013504,0.000384,0.001472,0.001248,0.000320,0.956743
0.417187,0.017344,0.217250,0.150753,0.042080,0.062048,0.258369,0.048737,0.000832,0.013504,0.000320,0.001504,0.001152,0.000352,0.984295
0.415971,0.017280,0.203393,0.134817,0.035200,0.059809,0.233282,0.048480,0.000800,0.013568,0.000416,0.001536,0.001376,0.000384,0.944134
