Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-5],OUT[5],TEE[4-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.492815,0.018049,0.195173,0.004864,0.107907,0.085666,0.062242,0.259144,0.015361,0.000704,0.001600,0.018112,0.000864,1.015806
0.398124,0.017696,0.193030,0.004864,0.117220,0.098883,0.075938,0.296393,0.016128,0.000705,0.001536,0.001664,0.000352,0.938588
0.397164,0.017377,0.192325,0.004800,0.102019,0.088515,0.061698,0.255912,0.016224,0.000481,0.001568,0.001344,0.000384,0.894971
0.396940,0.017281,0.191749,0.004865,0.114499,0.083107,0.063553,0.264199,0.014433,0.000480,0.001472,0.001440,0.000384,0.899931
0.395884,0.017569,0.192581,0.004801,0.102723,0.080994,0.061922,0.248839,0.015520,0.000448,0.001568,0.001185,0.000352,0.887451
0.407564,0.017504,0.191782,0.004800,0.128100,0.081219,0.060257,0.272744,0.016129,0.000512,0.001472,0.000928,0.000352,0.920859
0.394987,0.017536,0.191302,0.004800,0.102595,0.079778,0.060994,0.246471,0.016033,0.000544,0.001536,0.000960,0.000640,0.880858
0.394955,0.017409,0.191429,0.004865,0.098531,0.084482,0.062658,0.248647,0.015168,0.000448,0.001505,0.000992,0.000352,0.881850
0.394667,0.017409,0.191045,0.004993,0.093186,0.083843,0.079874,0.259943,0.014401,0.000480,0.001504,0.000960,0.000352,0.891898
0.394956,0.017569,0.191013,0.004896,0.097603,0.086115,0.062434,0.249384,0.014464,0.000448,0.001408,0.000864,0.000320,0.881114
0.394828,0.017473,0.191333,0.004896,0.105508,0.078946,0.059010,0.246376,0.014144,0.000512,0.001504,0.000832,0.000320,0.878138
0.395372,0.017409,0.191397,0.004768,0.125796,0.087619,0.063362,0.279593,0.014208,0.000512,0.001504,0.000896,0.000320,0.912795
0.395084,0.017600,0.222023,0.005216,0.103491,0.080419,0.061377,0.248295,0.014304,0.000512,0.001440,0.000896,0.000320,0.912923
0.395308,0.017344,0.191270,0.004800,0.104579,0.081603,0.063233,0.252552,0.015648,0.000512,0.001472,0.000864,0.000320,0.885818
0.397772,0.017409,0.191557,0.004832,0.109988,0.084226,0.064546,0.261768,0.014529,0.000480,0.001536,0.001248,0.000352,0.899163
0.396588,0.017312,0.191462,0.004800,0.110243,0.081379,0.061602,0.256232,0.014112,0.000480,0.001504,0.000896,0.000384,0.889498
0.395755,0.017345,0.191174,0.004800,0.100835,0.079650,0.060610,0.244455,0.015265,0.000512,0.001440,0.000960,0.000320,0.878778
0.395755,0.017601,0.191046,0.004832,0.098979,0.087202,0.059234,0.248583,0.015489,0.000544,0.001440,0.000832,0.000352,0.882362
0.396428,0.017249,0.191173,0.004800,0.122724,0.084195,0.064417,0.274409,0.015456,0.000512,0.001472,0.000832,0.000320,0.908251
0.395435,0.017377,0.191302,0.004800,0.129092,0.085314,0.059266,0.277256,0.015456,0.000480,0.001377,0.000800,0.000320,0.910619
0.395596,0.017537,0.191141,0.004832,0.100387,0.083395,0.059490,0.246440,0.014688,0.000480,0.001440,0.000896,0.000352,0.879290
0.395500,0.017569,0.191749,0.004832,0.102051,0.088419,0.062018,0.255272,0.014112,0.000448,0.001376,0.000864,0.000384,0.888251
0.396363,0.017344,0.192070,0.004832,0.108995,0.082275,0.061697,0.256743,0.014529,0.000480,0.001440,0.000960,0.000320,0.893338
0.413293,0.017760,0.191910,0.004768,0.110435,0.089667,0.071714,0.275176,0.014785,0.000480,0.001440,0.001056,0.000384,0.927932
0.394924,0.017696,0.191494,0.004800,0.107299,0.088611,0.062242,0.261160,0.014592,0.000544,0.001440,0.001024,0.000384,0.894682
0.395276,0.017345,0.191205,0.004768,0.098499,0.080803,0.059233,0.241576,0.014208,0.000544,0.001408,0.000864,0.000416,0.873370
0.395276,0.017280,0.191302,0.004832,0.092451,0.081378,0.093027,0.270312,0.015584,0.000512,0.001536,0.000864,0.000320,0.903835
0.395052,0.017537,0.191781,0.004832,0.089379,0.080674,0.057569,0.230567,0.014177,0.000544,0.001536,0.000928,0.000352,0.863130
0.394987,0.017217,0.191397,0.004833,0.098915,0.082658,0.060258,0.244647,0.014112,0.000512,0.001408,0.000896,0.000320,0.877145
0.395916,0.017345,0.191237,0.004896,0.090275,0.091939,0.060450,0.245768,0.014784,0.000480,0.001472,0.000896,0.000320,0.879066
0.395052,0.017376,0.206758,0.004897,0.113507,0.085443,0.061249,0.263079,0.014593,0.000576,0.001408,0.000864,0.000448,0.911547
0.395468,0.017376,0.192198,0.004832,0.108099,0.091523,0.060322,0.263176,0.014752,0.000480,0.001408,0.001056,0.000480,0.897211
0.395788,0.017280,0.191910,0.004864,0.090403,0.086114,0.060514,0.239751,0.014529,0.000480,0.001408,0.000896,0.000384,0.872922
0.396012,0.017504,0.191334,0.004832,0.106627,0.080355,0.063554,0.253640,0.014400,0.000480,0.001472,0.001280,0.000480,0.888506
0.395084,0.017345,0.191781,0.004864,0.120580,0.087171,0.072482,0.283561,0.015136,0.000480,0.001440,0.000832,0.000384,0.917339
0.397356,0.017473,0.191653,0.004896,0.101379,0.081187,0.059554,0.245256,0.015392,0.000480,0.001472,0.000864,0.000320,0.880922
0.395372,0.017248,0.191302,0.004800,0.118436,0.086594,0.062434,0.270216,0.014049,0.000448,0.001408,0.000832,0.000320,0.902011
0.394796,0.017569,0.191301,0.019553,0.082946,0.085091,0.059682,0.231047,0.015488,0.000448,0.001376,0.000864,0.000352,0.878842
0.394764,0.017472,0.191494,0.004800,0.102659,0.079843,0.059169,0.244583,0.015489,0.000416,0.001440,0.000928,0.000320,0.877338
0.394892,0.017344,0.191398,0.004800,0.107907,0.081667,0.059298,0.251976,0.014144,0.000480,0.001440,0.000768,0.000416,0.883066
0.394828,0.017313,0.191461,0.004769,0.117027,0.080706,0.062690,0.263751,0.015297,0.000512,0.001440,0.001280,0.000320,0.898171
0.422060,0.017473,0.192517,0.004865,0.115363,0.090115,0.068610,0.277448,0.015072,0.000512,0.001376,0.000928,0.000384,0.940315
0.394732,0.017313,0.191621,0.004864,0.103492,0.090690,0.062082,0.259272,0.015073,0.000576,0.001376,0.000896,0.000320,0.892027
0.399596,0.017472,0.196517,0.004864,0.112868,0.084834,0.063618,0.264712,0.014945,0.000512,0.001536,0.001216,0.000320,0.908667
0.397644,0.017345,0.192741,0.004864,0.100323,0.101443,0.087779,0.293289,0.014785,0.000480,0.001504,0.000928,0.000416,0.930076
0.396843,0.017409,0.192294,0.004832,0.102147,0.082818,0.062434,0.250439,0.014273,0.000480,0.001504,0.000928,0.000352,0.885114
0.395243,0.017536,0.191526,0.004832,0.093955,0.079618,0.057954,0.234439,0.014208,0.000448,0.001536,0.001056,0.000352,0.866841
0.394732,0.017376,0.191685,0.004864,0.093603,0.087811,0.061058,0.245192,0.014432,0.000448,0.001472,0.000864,0.000352,0.876954
0.409164,0.017441,0.191525,0.004800,0.133540,0.077987,0.058978,0.273289,0.014176,0.000480,0.001504,0.000864,0.000352,0.918939
0.395275,0.017633,0.191206,0.004768,0.106883,0.078978,0.061922,0.250823,0.017345,0.000448,0.001632,0.000960,0.000320,0.886522
0.395947,0.017633,0.191558,0.004864,0.105379,0.080930,0.062626,0.252103,0.016385,0.000576,0.001568,0.001088,0.000384,0.889850
0.395180,0.017409,0.191621,0.004896,0.113924,0.089378,0.062145,0.268456,0.014721,0.000448,0.001536,0.001056,0.000384,0.903067
0.397164,0.017505,0.191333,0.004865,0.118531,0.082979,0.063041,0.267463,0.015713,0.000480,0.001472,0.001024,0.000960,0.904827
0.395820,0.017440,0.191686,0.004800,0.116452,0.083810,0.064802,0.268520,0.014816,0.000513,0.001600,0.001696,0.000896,0.906043
