Layer[0],IN[1],INFER[1-6],OUT[6],TEE[1-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.431843,0.157506,0.600484,0.064192,0.826758,0.000928,0.002304,0.001184,0.000416,1.269321
0.416771,0.172065,0.603108,0.064705,0.843782,0.000832,0.002304,0.001216,0.000384,1.270409
0.415427,0.171905,0.618917,0.068096,0.863174,0.000800,0.002304,0.001248,0.000384,1.288809
0.415715,0.204258,0.610340,0.066721,0.885543,0.000800,0.002592,0.001216,0.000608,1.311978
0.415907,0.180194,0.603108,0.065696,0.853190,0.000928,0.002369,0.001216,0.000416,1.280298
0.434691,0.178497,0.613285,0.066496,0.862406,0.000864,0.002560,0.001120,0.000448,1.308073
0.416099,0.186338,0.615332,0.064161,0.869927,0.000896,0.002688,0.001280,0.000416,1.297738
0.416099,0.193569,0.601765,0.086272,0.885798,0.001024,0.002624,0.001280,0.000448,1.312713
0.426147,0.175073,0.600676,0.063777,0.843462,0.000832,0.002528,0.001152,0.000640,1.280873
0.415843,0.209793,0.603013,0.064640,0.881254,0.000864,0.002272,0.001120,0.000448,1.307049
0.416098,0.220257,0.602948,0.064097,0.891590,0.000800,0.002784,0.001120,0.000864,1.319081
0.415939,0.211010,0.602372,0.063648,0.881318,0.000672,0.002368,0.001344,0.000384,1.307561
0.417443,0.170881,0.602788,0.064321,0.842406,0.000672,0.002240,0.001056,0.000384,1.269257
0.415971,0.168897,0.618085,0.063232,0.854310,0.000736,0.002112,0.001120,0.000416,1.280201
0.415459,0.174306,0.600388,0.067873,0.846023,0.000800,0.002944,0.001120,0.000352,1.272106
0.416259,0.194401,0.620709,0.068000,0.887366,0.000960,0.002528,0.001120,0.000416,1.314345
0.415459,0.177890,0.602532,0.068320,0.852550,0.000672,0.002400,0.001216,0.000416,1.278217
0.415715,0.178561,0.612452,0.065569,0.860838,0.000800,0.002432,0.001216,0.000384,1.286825
0.433347,0.176258,0.610980,0.065153,0.856519,0.000768,0.002496,0.001152,0.000352,1.300714
0.416579,0.162529,0.614692,0.063041,0.844582,0.000736,0.002368,0.001184,0.000576,1.271689
0.416163,0.165345,0.614885,0.066240,0.850790,0.001152,0.002496,0.001504,0.000416,1.278345
0.415906,0.168162,0.602596,0.063904,0.838502,0.000704,0.002240,0.000928,0.000416,1.263177
0.415747,0.167105,0.617156,0.064993,0.853190,0.000768,0.002176,0.000992,0.000352,1.278409
0.415523,0.185249,0.612389,0.063552,0.865318,0.000768,0.001952,0.001152,0.000416,1.289705
0.415203,0.165858,0.601860,0.064032,0.835302,0.000704,0.002048,0.000896,0.000384,1.258953
0.414851,0.170370,0.601668,0.064768,0.840326,0.000768,0.002209,0.000960,0.000416,1.264010
0.432611,0.193601,0.600580,0.064129,0.863334,0.000768,0.002240,0.000992,0.000416,1.305289
0.415587,0.166529,0.599492,0.063680,0.833446,0.000704,0.001856,0.000928,0.000448,1.257641
0.415907,0.153281,0.615845,0.065728,0.838726,0.000800,0.002816,0.001024,0.000384,1.263561
0.415299,0.153793,0.600229,0.063104,0.820486,0.000768,0.002048,0.001056,0.000384,1.244393
0.415523,0.170242,0.598628,0.062432,0.834822,0.000704,0.002272,0.001024,0.000608,1.259625
0.415747,0.186145,0.602756,0.063297,0.855974,0.000672,0.001952,0.001184,0.000608,1.280873
0.416163,0.207234,0.601796,0.070816,0.884038,0.000736,0.002272,0.001152,0.000416,1.310953
0.417443,0.184065,0.606629,0.067360,0.862278,0.000736,0.002496,0.001280,0.000416,1.290121
0.415843,0.167841,0.611812,0.064385,0.848646,0.000672,0.002368,0.001248,0.000384,1.274793
0.415939,0.206722,0.617540,0.066912,0.895270,0.000833,0.002304,0.001440,0.000608,1.322122
0.415619,0.176353,0.638853,0.066432,0.886054,0.000928,0.002336,0.001152,0.000416,1.312201
0.416291,0.206338,0.609540,0.065985,0.885895,0.000928,0.002432,0.001280,0.000416,1.313066
