TEE[0-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.730341,0.001024,0.015393,0.000384,0.001760,0.001312,0.000384,1.757798
1.780775,0.001185,0.015937,0.000384,0.001792,0.001280,0.000384,1.809673
1.758246,0.000960,0.014785,0.000576,0.001728,0.001120,0.000352,1.784903
1.748070,0.001088,0.015969,0.000416,0.001760,0.001280,0.000384,1.777287
1.763910,0.000992,0.014625,0.000416,0.001504,0.001152,0.000352,1.790632
1.741926,0.000992,0.014945,0.000352,0.001568,0.001184,0.000352,1.769447
1.705475,0.001089,0.015776,0.000417,0.001696,0.001056,0.000352,1.733349
1.781511,0.001184,0.014848,0.000832,0.001504,0.001152,0.000352,1.808585
1.719716,0.001120,0.014785,0.000352,0.001504,0.001280,0.000352,1.746725
1.793000,0.000897,0.014784,0.000384,0.001537,0.001152,0.000352,1.819658
1.746630,0.001120,0.015329,0.000608,0.001760,0.001184,0.000352,1.774248
1.742405,0.000896,0.016416,0.000352,0.001568,0.001472,0.000352,1.771527
1.749061,0.001024,0.014945,0.000672,0.001504,0.001120,0.000384,1.777095
1.761062,0.000832,0.015233,0.000352,0.001408,0.001152,0.000352,1.788264
1.737893,0.000960,0.015969,0.000352,0.001440,0.001376,0.000384,1.767015
1.758726,0.000992,0.015361,0.000608,0.001536,0.001120,0.000353,1.786312
1.763750,0.001120,0.014849,0.000352,0.001473,0.001248,0.000320,1.790312
1.797832,0.000960,0.014465,0.000384,0.001792,0.001184,0.000352,1.824362
1.740037,0.001344,0.014849,0.000352,0.001440,0.001152,0.000384,1.767174
1.735653,0.001152,0.014625,0.000352,0.001472,0.001184,0.000352,1.762631
1.737317,0.000928,0.016289,0.000352,0.001536,0.001120,0.000448,1.765606
1.738309,0.000992,0.015169,0.000608,0.001408,0.001248,0.000384,1.765319
1.775047,0.000992,0.014752,0.000576,0.001473,0.001120,0.000320,1.802601
1.755718,0.000960,0.016321,0.000352,0.001505,0.001088,0.000416,1.783848
1.738565,0.001120,0.016032,0.000353,0.001696,0.020129,0.000480,1.786152
1.739461,0.001120,0.015617,0.000352,0.001536,0.001152,0.000416,1.767494
1.754438,0.001408,0.016833,0.000576,0.001600,0.001120,0.000288,1.784040
1.716644,0.000928,0.015393,0.000384,0.001568,0.000928,0.000352,1.743013
1.776935,0.001248,0.016257,0.000416,0.001760,0.001184,0.000416,1.805320
1.716644,0.000864,0.015393,0.000672,0.001920,0.000832,0.000384,1.743493
1.758950,0.000768,0.015457,0.000576,0.001568,0.000832,0.000640,1.785095
1.718084,0.001056,0.016289,0.000576,0.001472,0.000864,0.000352,1.745029
1.701667,0.001024,0.015489,0.000672,0.001824,0.000896,0.000384,1.743365
1.733797,0.000960,0.014657,0.000352,0.001600,0.000800,0.000416,1.759238
1.760935,0.000928,0.015841,0.000384,0.023329,0.001280,0.000384,1.810634
1.732228,0.000832,0.014561,0.000320,0.001440,0.000897,0.000352,1.757510
1.745573,0.000864,0.014849,0.000384,0.001600,0.019681,0.000448,1.790632
1.712931,0.000800,0.015329,0.000416,0.001472,0.001024,0.000416,1.738789
1.722372,0.001185,0.014880,0.000416,0.001504,0.000992,0.000352,1.748742
1.728868,0.000864,0.014433,0.000384,0.001440,0.001217,0.000384,1.754790
1.728516,0.000832,0.014784,0.000352,0.001440,0.001088,0.000384,1.754118
1.725829,0.000800,0.014465,0.000384,0.001536,0.000960,0.000416,1.750790
1.722915,0.000832,0.015425,0.000416,0.001504,0.000992,0.000384,1.750181
1.731748,0.001184,0.014657,0.000384,0.001504,0.001024,0.000416,1.758534
1.731396,0.000864,0.015393,0.000416,0.001472,0.000993,0.000416,1.758534
1.729605,0.000896,0.014657,0.000352,0.001536,0.001120,0.000416,1.755686
1.747205,0.001152,0.016289,0.000384,0.001568,0.001056,0.000416,1.792392
1.730564,0.001184,0.014848,0.000384,0.001569,0.001152,0.000384,1.757734
1.747142,0.000864,0.014689,0.000352,0.001536,0.001088,0.000384,1.773287
1.748038,0.000800,0.014913,0.000416,0.001408,0.001056,0.000384,1.773671
1.764134,0.000929,0.014816,0.000608,0.001504,0.001344,0.000384,1.790984
1.748326,0.000928,0.015457,0.000320,0.001472,0.001088,0.000384,1.774951
1.763590,0.000961,0.014304,0.000384,0.001537,0.000960,0.000320,1.789864
1.709219,0.000960,0.015073,0.000352,0.001536,0.001120,0.000384,1.735780
1.790087,0.000928,0.015841,0.000576,0.001536,0.001088,0.000384,1.817642
1.769895,0.001216,0.015169,0.000416,0.001568,0.001120,0.000416,1.797256
1.771047,0.001152,0.016001,0.000352,0.001472,0.000960,0.000384,1.797608
1.754406,0.000864,0.014849,0.000352,0.001440,0.001153,0.000384,1.780424
1.757221,0.001024,0.014721,0.000384,0.001504,0.001056,0.000384,1.782823
1.727460,0.000864,0.014849,0.000416,0.001504,0.001024,0.000352,1.753638
1.797800,0.000864,0.014913,0.000608,0.001536,0.001024,0.000384,1.823497
1.751717,0.001120,0.014625,0.000384,0.001600,0.000928,0.000352,1.777767
1.864364,0.001440,0.016129,0.000576,0.001729,0.001984,0.000768,1.895438
1.721796,0.001024,0.016353,0.000352,0.001408,0.002368,0.000320,1.751302
1.814473,0.001152,0.017185,0.000352,0.001856,0.001824,0.000352,1.844810
1.716611,0.000896,0.016033,0.000352,0.001856,0.001536,0.000384,1.744677
1.745702,0.001216,0.016001,0.000352,0.001920,0.001248,0.000384,1.774407
1.765190,0.001057,0.014752,0.000384,0.001568,0.001088,0.000352,1.790696
1.760390,0.001216,0.016449,0.000672,0.001504,0.001089,0.000416,1.789256
1.718339,0.000864,0.014689,0.000384,0.001472,0.001056,0.000384,1.744261
1.768071,0.001216,0.015489,0.000384,0.001440,0.001024,0.000384,1.794792
1.763174,0.001248,0.014561,0.000384,0.001504,0.000992,0.000352,1.790440
1.753094,0.001248,0.015041,0.000384,0.001472,0.001024,0.000352,1.779591
1.739397,0.000928,0.016673,0.000352,0.001664,0.001216,0.000352,1.768807
1.793351,0.000960,0.014913,0.000352,0.001504,0.001056,0.000384,1.819561
1.749349,0.000992,0.014880,0.000320,0.001440,0.001120,0.000416,1.775911
1.783559,0.001280,0.014625,0.000352,0.001504,0.001152,0.000384,1.810920
1.721860,0.000864,0.014465,0.000416,0.001440,0.001216,0.000352,1.747909
1.774503,0.001248,0.014593,0.000320,0.001472,0.001024,0.000384,1.801288
1.767014,0.000928,0.015361,0.000608,0.001472,0.001184,0.000352,1.795048
1.764391,0.001120,0.015873,0.000352,0.001504,0.001248,0.000544,1.794696
1.719171,0.001024,0.015265,0.000608,0.001632,0.000992,0.000608,1.747525
1.758566,0.001280,0.015169,0.000608,0.001472,0.000992,0.000576,1.785671
1.719812,0.001120,0.015361,0.000672,0.001440,0.001216,0.000384,1.748070
1.747461,0.000960,0.014817,0.000320,0.001440,0.001120,0.000384,1.773927
1.761702,0.000864,0.015329,0.000352,0.001312,0.001216,0.000384,1.788648
1.780455,0.000832,0.014721,0.000352,0.001440,0.001152,0.000288,1.806153
1.740069,0.000768,0.014689,0.000352,0.001568,0.001024,0.000352,1.765702
1.750373,0.001152,0.014592,0.000384,0.001441,0.000992,0.000352,1.776775
1.743301,0.000832,0.014625,0.000416,0.001440,0.001024,0.000416,1.769158
1.772230,0.001120,0.016000,0.000384,0.001472,0.001056,0.000352,1.799592
1.755621,0.001280,0.014785,0.000608,0.001440,0.001024,0.000384,1.783335
1.811753,0.000800,0.014561,0.000800,0.001472,0.000992,0.000352,1.837354
1.702051,0.000896,0.015969,0.000352,0.001504,0.001152,0.000384,1.730212
1.716291,0.000928,0.014497,0.000608,0.001408,0.000928,0.000352,1.741701
1.734052,0.000992,0.015041,0.000320,0.001440,0.001152,0.000416,1.760934
1.770982,0.001248,0.015073,0.000384,0.001472,0.001152,0.000384,1.798216
1.753829,0.001056,0.015104,0.000608,0.001441,0.001184,0.000608,1.781959
1.747653,0.001024,0.015233,0.000576,0.001568,0.001088,0.000384,1.774182
1.755110,0.000896,0.014785,0.000640,0.001504,0.001120,0.000384,1.782087
1.757189,0.001120,0.015009,0.000352,0.001504,0.001088,0.000416,1.784103
1.750661,0.000960,0.014689,0.000384,0.001408,0.001120,0.000384,1.779239
1.801897,0.001344,0.015393,0.000608,0.001472,0.001120,0.000352,1.829802
1.729124,0.001120,0.015105,0.000576,0.001472,0.001248,0.000384,1.756262
1.753349,0.001024,0.014817,0.000832,0.001504,0.001152,0.000416,1.780007
1.762726,0.001280,0.016672,0.000416,0.001568,0.001120,0.000384,1.792104
1.721412,0.000992,0.014721,0.000352,0.001536,0.001088,0.000384,1.748005
1.752486,0.001184,0.016321,0.000352,0.001568,0.001088,0.000384,1.781639
1.768647,0.000992,0.015041,0.000576,0.001440,0.001088,0.000352,1.795016
1.763270,0.001185,0.016065,0.000320,0.001824,0.001152,0.000352,1.792520
1.757030,0.000928,0.016097,0.000352,0.001920,0.001184,0.000352,1.785383
1.749093,0.000992,0.015937,0.000416,0.001728,0.001056,0.000384,1.777031
1.754277,0.000992,0.016737,0.000832,0.001537,0.001056,0.000416,1.784039
1.789703,0.001312,0.015617,0.000640,0.001536,0.001184,0.000385,1.818249
1.726244,0.000992,0.014977,0.000800,0.001472,0.001088,0.000384,1.753861
1.773190,0.001056,0.015201,0.000384,0.001472,0.001088,0.000352,1.800776
1.719619,0.001089,0.014912,0.000352,0.001569,0.001088,0.000384,1.746213
1.765702,0.001472,0.014817,0.000352,0.001568,0.001088,0.000416,1.793927
1.739172,0.001057,0.014816,0.000608,0.001473,0.001088,0.000384,1.766118
1.754917,0.001120,0.014945,0.000416,0.001504,0.001056,0.000352,1.782183
1.756965,0.000896,0.015009,0.000352,0.001568,0.000992,0.000384,1.784231
1.771654,0.000960,0.014689,0.000608,0.001536,0.000993,0.000384,1.798216
1.706371,0.001024,0.016641,0.000640,0.001472,0.001185,0.000384,1.736549
1.789031,0.000960,0.015009,0.000832,0.001472,0.001088,0.000384,1.815945
1.704770,0.000864,0.015457,0.000384,0.001600,0.000992,0.000384,1.731716
1.761766,0.000928,0.014721,0.000384,0.001504,0.000992,0.000352,1.786919
1.744357,0.000928,0.014817,0.000608,0.001536,0.000992,0.000352,1.770662
1.752677,0.000960,0.014433,0.000416,0.001568,0.001088,0.000384,1.778503
1.723652,0.000928,0.015265,0.000384,0.001408,0.001024,0.000384,1.750245
1.747717,0.000992,0.014689,0.000320,0.001504,0.001089,0.000352,1.773383
1.755685,0.000801,0.015168,0.000416,0.001441,0.000960,0.000416,1.782759
1.745285,0.000832,0.016321,0.000352,0.001440,0.001024,0.000384,1.772166
1.751173,0.001024,0.015777,0.000384,0.001888,0.001152,0.000384,1.780039
1.763333,0.000800,0.014624,0.000385,0.001536,0.001088,0.000352,1.789479
1.713379,0.000800,0.014689,0.000352,0.001504,0.001024,0.000384,1.739109
1.746565,0.001344,0.014433,0.000320,0.001536,0.000960,0.000384,1.773031
1.755654,0.000736,0.014625,0.000416,0.001472,0.001088,0.000352,1.781383
1.764486,0.000928,0.014977,0.000352,0.001536,0.000960,0.000352,1.790760
1.745028,0.000992,0.015969,0.000384,0.001472,0.001088,0.000384,1.772678
1.726819,0.001440,0.016129,0.000352,0.001504,0.001280,0.000448,1.755813
1.758982,0.000928,0.014817,0.000416,0.001408,0.001024,0.000384,1.785735
1.780295,0.001312,0.014785,0.000576,0.001504,0.000961,0.000384,1.807305
1.754405,0.000960,0.014785,0.000352,0.001504,0.001120,0.000385,1.781223
1.781607,0.001344,0.015201,0.000352,0.001472,0.001056,0.000384,1.808936
1.722499,0.000897,0.015104,0.000352,0.001505,0.001088,0.000352,1.748837
1.790951,0.000897,0.014592,0.000384,0.001473,0.000992,0.000384,1.816617
1.764966,0.000928,0.014785,0.000384,0.001440,0.001056,0.000352,1.790727
1.766181,0.001344,0.014561,0.000416,0.001536,0.001024,0.000352,1.792263
1.746852,0.000928,0.014561,0.000352,0.001536,0.000960,0.000288,1.772646
1.763718,0.000960,0.014561,0.000352,0.001440,0.001024,0.000352,1.789479
1.743716,0.000897,0.014656,0.000320,0.001537,0.001120,0.000352,1.770790
1.799495,0.001504,0.015233,0.000352,0.001440,0.001120,0.000384,1.827977
1.714243,0.000928,0.015009,0.000384,0.001504,0.001312,0.000384,1.741284
1.735524,0.001280,0.014753,0.000384,0.001536,0.001184,0.000384,1.762757
1.749253,0.001056,0.014753,0.000608,0.001472,0.001120,0.000353,1.775399
1.782183,0.001312,0.014881,0.000352,0.001536,0.001120,0.000352,1.809257
1.726788,0.000896,0.014561,0.000576,0.001408,0.001120,0.000384,1.752933
1.796040,0.001440,0.015489,0.000352,0.001504,0.001056,0.000384,1.823017
1.718563,0.000960,0.014849,0.000352,0.001472,0.000960,0.000384,1.743940
1.739044,0.001248,0.014657,0.000416,0.001408,0.001024,0.000352,1.765477
1.737412,0.001024,0.014817,0.000352,0.001504,0.001184,0.000384,1.763557
1.801928,0.001248,0.014785,0.000352,0.001440,0.001088,0.000384,1.829321
1.730724,0.001056,0.015105,0.000384,0.001472,0.001152,0.000384,1.757638
1.760134,0.001024,0.014625,0.000384,0.001504,0.001120,0.000384,1.786375
1.711298,0.000800,0.014849,0.000384,0.001440,0.001120,0.000384,1.737829
1.733732,0.000993,0.014656,0.000384,0.001505,0.001088,0.000352,1.760326
1.756069,0.000992,0.015905,0.000384,0.001472,0.001088,0.000352,1.783847
1.764966,0.001024,0.014817,0.000640,0.001408,0.001280,0.000384,1.792263
1.735940,0.001056,0.015361,0.000352,0.001504,0.001344,0.000384,1.762789
1.778854,0.001376,0.015265,0.000608,0.001824,0.001120,0.000320,1.806696
1.738532,0.001120,0.015937,0.000608,0.001792,0.001088,0.000320,1.766854
1.731076,0.000992,0.015713,0.000384,0.001536,0.001377,0.000352,1.758470
1.737668,0.001152,0.015617,0.000576,0.001888,0.001248,0.000352,1.765765
1.745317,0.001088,0.015265,0.000352,0.001728,0.001184,0.000320,1.772294
1.744069,0.001056,0.015553,0.000320,0.001472,0.001088,0.000384,1.771014
1.738052,0.001056,0.015937,0.000352,0.001696,0.001344,0.000384,1.766341
1.733124,0.001056,0.015521,0.000608,0.001824,0.001152,0.000608,1.761701
1.760197,0.001472,0.015969,0.000576,0.001792,0.001152,0.000352,1.789383
1.718755,0.001313,0.015072,0.000417,0.001472,0.001152,0.000384,1.745797
1.705026,0.000896,0.015456,0.000352,0.001537,0.001152,0.000384,1.732836
1.754661,0.000897,0.015744,0.000320,0.001536,0.001120,0.000384,1.781831
1.749349,0.001184,0.016641,0.000576,0.001696,0.001056,0.000320,1.778182
1.721123,0.000960,0.015969,0.000352,0.001568,0.001120,0.000352,1.749060
1.726787,0.001024,0.016033,0.000608,0.001696,0.001056,0.000352,1.754500
1.722211,0.001024,0.015297,0.000640,0.001632,0.001376,0.000385,1.768998
1.719971,0.000928,0.015105,0.000320,0.001536,0.001376,0.000352,1.746724
1.782118,0.001024,0.014849,0.000608,0.001536,0.001345,0.000384,1.809320
1.698465,0.000864,0.014752,0.000640,0.001536,0.001120,0.000352,1.724803
1.736452,0.001440,0.015584,0.000544,0.001664,0.001056,0.000352,1.764934
1.730948,0.000896,0.015041,0.000832,0.001504,0.001408,0.000384,1.758437
1.753605,0.001056,0.014689,0.000352,0.001472,0.001376,0.000384,1.780006
1.730947,0.000928,0.015425,0.000576,0.001408,0.001440,0.000416,1.758758
1.735428,0.000960,0.014689,0.000352,0.001376,0.001153,0.000384,1.761638
1.760901,0.001088,0.016385,0.000384,0.001568,0.001376,0.000352,1.790311
1.796039,0.001408,0.014976,0.000640,0.001473,0.001440,0.000384,1.824457
1.801896,0.001632,0.016257,0.000576,0.001472,0.001056,0.000352,1.831114
1.757861,0.001472,0.015425,0.000608,0.001440,0.001120,0.000576,1.786758
1.738436,0.001344,0.016001,0.000608,0.001728,0.001344,0.000352,1.766885
1.789543,0.001120,0.017057,0.000576,0.001536,0.001312,0.000384,1.818184
1.729284,0.000992,0.015361,0.000608,0.001504,0.001376,0.000384,1.757253
1.755781,0.001184,0.015393,0.000352,0.001536,0.001120,0.000352,1.783718
1.734083,0.001184,0.015521,0.000352,0.001568,0.001152,0.000320,1.761925
1.762086,0.001184,0.016001,0.000352,0.001664,0.001344,0.000352,1.790311
1.756549,0.001056,0.015521,0.000608,0.001504,0.001280,0.000352,1.784774
1.755364,0.001120,0.015009,0.000608,0.001536,0.001408,0.000384,1.783526
1.773030,0.001057,0.015872,0.000352,0.001408,0.001120,0.000320,1.801000
1.810952,0.001216,0.015553,0.000320,0.002176,0.001056,0.000352,1.839306
1.759013,0.001120,0.016161,0.000576,0.001504,0.001120,0.000352,1.787558
1.819016,0.001248,0.016065,0.000608,0.001408,0.001344,0.000384,1.845962
1.773734,0.001152,0.016129,0.000608,0.001792,0.001120,0.000609,1.803688
1.784934,0.001600,0.016545,0.000672,0.001728,0.001088,0.000320,1.814760
1.765317,0.001121,0.016289,0.000640,0.001472,0.001152,0.000384,1.793831
1.768806,0.001408,0.015809,0.000640,0.001792,0.001152,0.000352,1.797799
1.703618,0.000928,0.015585,0.000576,0.001760,0.001120,0.000384,1.730947
1.779622,0.000992,0.016065,0.000608,0.001632,0.001217,0.000352,1.806952
1.717826,0.001024,0.015681,0.000608,0.001824,0.001024,0.000320,1.746372
1.785799,0.001120,0.016225,0.000384,0.001760,0.001248,0.000384,1.814056
1.719523,0.000960,0.017089,0.000576,0.001600,0.001056,0.000320,1.747429
1.776005,0.001312,0.015425,0.000352,0.001536,0.001056,0.000352,1.803751
1.743844,0.000864,0.015169,0.000608,0.001601,0.001408,0.000384,1.771014
1.760325,0.001248,0.015457,0.000800,0.001600,0.001088,0.000384,1.789510
1.715714,0.000800,0.015424,0.000384,0.001473,0.001088,0.000352,1.742404
1.761829,0.000800,0.014913,0.000416,0.001536,0.001056,0.000352,1.787910
1.739364,0.000832,0.014529,0.000384,0.001472,0.001024,0.000384,1.764293
1.736292,0.001344,0.014401,0.000352,0.001504,0.000992,0.000416,1.762181
1.747108,0.000864,0.014817,0.000384,0.001376,0.000960,0.000416,1.773222
1.744420,0.001344,0.014913,0.000384,0.001536,0.001248,0.000384,1.772582
1.733284,0.000864,0.014625,0.000352,0.001632,0.001280,0.000416,1.759301
1.731715,0.000768,0.014529,0.000352,0.001376,0.000960,0.000384,1.757605
1.737859,0.000832,0.014625,0.000384,0.001440,0.000992,0.000352,1.763397
1.752196,0.001344,0.014689,0.000352,0.001440,0.000992,0.000416,1.780070
1.732388,0.000896,0.014945,0.000352,0.001472,0.000992,0.000352,1.757541
1.718178,0.000864,0.014753,0.000384,0.001472,0.000993,0.000384,1.744484
1.742500,0.000928,0.014689,0.000384,0.001376,0.000960,0.000384,1.767590
1.717507,0.000832,0.014561,0.000384,0.001504,0.000960,0.000384,1.742916
1.721603,0.000800,0.014785,0.000352,0.001440,0.000960,0.000384,1.747012
1.755045,0.000832,0.014625,0.000352,0.001504,0.000960,0.000352,1.780966
1.747972,0.000896,0.014721,0.000384,0.001440,0.000992,0.000352,1.772741
1.696481,0.000832,0.014784,0.000608,0.001505,0.001024,0.000448,1.722947
1.758309,0.000832,0.014689,0.000352,0.001472,0.001024,0.000352,1.784358
1.765605,0.000960,0.014689,0.000352,0.002528,0.001088,0.000384,1.793447
1.717346,0.000928,0.014817,0.000384,0.001472,0.001024,0.000384,1.743364
1.754117,0.000928,0.014945,0.000352,0.001440,0.001184,0.000384,1.781222
1.720643,0.000928,0.014849,0.000320,0.001504,0.001120,0.000352,1.746436
1.762597,0.000928,0.014400,0.000385,0.001504,0.001056,0.000384,1.787911
1.752804,0.000928,0.014945,0.000416,0.001472,0.001024,0.000352,1.779270
1.721890,0.000960,0.014912,0.000416,0.001409,0.001024,0.000384,1.747812
1.748964,0.000896,0.014977,0.000384,0.001536,0.001024,0.000384,1.775398
1.751396,0.001409,0.014976,0.000640,0.001409,0.001024,0.000384,1.779078
1.767781,0.001408,0.015009,0.000448,0.001440,0.001089,0.000384,1.795367
1.715778,0.000960,0.014689,0.000384,0.001376,0.001152,0.000352,1.742083
1.736548,0.000832,0.014849,0.000384,0.001440,0.001056,0.000384,1.762117
1.742819,0.000864,0.014529,0.000352,0.001472,0.001056,0.000384,1.768261
1.710658,0.000928,0.015233,0.000448,0.001472,0.000864,0.000256,1.736484
1.747012,0.001280,0.015553,0.000576,0.001440,0.001024,0.000384,1.774309
1.752580,0.001312,0.030689,0.000448,0.001505,0.000960,0.000352,1.795559
1.728355,0.000897,0.014656,0.000352,0.001409,0.000960,0.000384,1.754021
1.729890,0.001376,0.031298,0.000704,0.001504,0.000896,0.000384,1.773382
1.744996,0.000768,0.014720,0.000353,0.001408,0.000896,0.000384,1.770854
1.743075,0.000864,0.015745,0.013856,0.001665,0.001056,0.000384,1.784006
1.752837,0.001248,0.014689,0.000352,0.001376,0.000896,0.000320,1.779206
1.742564,0.000800,0.014273,0.000320,0.022273,0.001152,0.000384,1.788710
1.710337,0.000736,0.014785,0.000352,0.001440,0.001024,0.000416,1.735875
1.749220,0.001312,0.015009,0.000352,0.001408,0.000896,0.000352,1.775717
1.750308,0.000864,0.014497,0.000608,0.001472,0.000864,0.000352,1.775269
1.701634,0.000768,0.014529,0.000352,0.001472,0.000768,0.000320,1.725731
1.746500,0.000928,0.014369,0.000416,0.001408,0.000896,0.000384,1.771493
1.727875,0.000928,0.014529,0.000384,0.001376,0.001024,0.000352,1.752805
1.806600,0.001376,0.017889,0.000352,0.001568,0.001408,0.000384,1.839209
1.821672,0.001888,0.016673,0.000640,0.001504,0.001376,0.000768,1.854122
1.776358,0.001248,0.017537,0.000352,0.001792,0.002368,0.000576,1.809639
1.750884,0.001088,0.016065,0.000384,0.001728,0.000960,0.000352,1.779590
1.722403,0.001024,0.016065,0.000384,0.001536,0.001472,0.000352,1.750916
1.767045,0.001536,0.015457,0.000640,0.001792,0.001312,0.000320,1.796007
1.732963,0.001024,0.015649,0.000576,0.001536,0.001472,0.000384,1.762149
1.766245,0.001056,0.016001,0.000384,0.001504,0.001312,0.000384,1.794823
1.723842,0.001216,0.016129,0.000352,0.001728,0.001312,0.000352,1.752484
1.755108,0.001120,0.015617,0.000608,0.001760,0.001056,0.000385,1.783174
1.760645,0.000992,0.016321,0.000640,0.001633,0.001408,0.000384,1.789831
1.775909,0.001248,0.015712,0.000352,0.001697,0.001152,0.000352,1.805255
1.734915,0.001024,0.016033,0.000608,0.001504,0.001120,0.000352,1.762789
1.742052,0.001024,0.015841,0.000640,0.001728,0.000992,0.000320,1.770406
1.765829,0.001056,0.015937,0.000544,0.001600,0.001088,0.000352,1.793703
1.735491,0.000960,0.015937,0.000832,0.001504,0.001056,0.000384,1.763620
1.727779,0.001184,0.015809,0.000384,0.001504,0.001088,0.000384,1.756324
1.750501,0.001216,0.015489,0.000864,0.001536,0.001184,0.000384,1.779302
1.722018,0.000896,0.015233,0.000384,0.001536,0.001120,0.000384,1.749220
1.792006,0.001281,0.015072,0.000384,0.001473,0.001024,0.000352,1.820584
1.744227,0.000960,0.015393,0.000384,0.001504,0.001056,0.000352,1.771397
1.782758,0.001024,0.014721,0.000416,0.001536,0.001088,0.000384,1.808679
1.768645,0.001024,0.015425,0.000608,0.001440,0.001120,0.000352,1.795591
1.759685,0.000960,0.014849,0.000384,0.001440,0.001184,0.000384,1.785830
1.718146,0.000960,0.014880,0.000385,0.001504,0.001184,0.000352,1.744708
1.740099,0.001056,0.014753,0.000352,0.001536,0.001184,0.000384,1.766916
1.761157,0.000928,0.015201,0.000352,0.001504,0.001248,0.000352,1.788358
1.771045,0.000928,0.014785,0.000352,0.001888,0.001152,0.000384,1.798854
1.744387,0.000928,0.014752,0.000417,0.001504,0.001216,0.000384,1.770885
1.754436,0.001280,0.015073,0.000352,0.001408,0.001120,0.000352,1.782694
1.713762,0.000960,0.015105,0.000736,0.001504,0.001056,0.000416,1.741283
1.779366,0.000896,0.014849,0.000320,0.001472,0.001120,0.000384,1.805959
1.724771,0.000992,0.015201,0.000416,0.001760,0.001184,0.000384,1.751972
1.746083,0.001312,0.014849,0.000352,0.001568,0.001088,0.000384,1.773541
1.744003,0.001184,0.015617,0.000384,0.001696,0.001088,0.000352,1.771877
1.783974,0.001088,0.015361,0.000480,0.001824,0.001600,0.000448,1.826664
1.725282,0.000832,0.015457,0.000384,0.001568,0.001376,0.000384,1.752452
1.742884,0.001056,0.014657,0.000320,0.001504,0.001152,0.000384,1.770021
1.747779,0.000896,0.014848,0.000448,0.001408,0.001184,0.000416,1.774341
1.738307,0.001280,0.015073,0.000352,0.001504,0.001024,0.000384,1.766724
1.755460,0.000928,0.014721,0.000384,0.001664,0.000992,0.000288,1.781125
1.783526,0.000896,0.014465,0.000608,0.001440,0.001088,0.000384,1.809319
1.755652,0.000929,0.014464,0.000320,0.001409,0.000960,0.000416,1.780966
1.745124,0.001376,0.014401,0.000352,0.001472,0.001056,0.000416,1.772133
1.699041,0.000928,0.014209,0.000352,0.001440,0.000768,0.000352,1.724034
1.735939,0.001280,0.014753,0.000832,0.001472,0.000832,0.000352,1.762533
1.725922,0.000928,0.014400,0.000384,0.001344,0.000897,0.000384,1.751172
1.737219,0.001056,0.014849,0.000384,0.001504,0.001089,0.000384,1.763749
1.748196,0.001184,0.015105,0.000352,0.001408,0.000800,0.000384,1.774629
1.735011,0.001280,0.014465,0.000640,0.001504,0.000897,0.000352,1.761541
1.718946,0.001344,0.015105,0.000576,0.001408,0.000896,0.000352,1.747075
1.748355,0.001344,0.014817,0.000352,0.001536,0.001056,0.000384,1.776613
1.735299,0.000896,0.015105,0.000384,0.001504,0.001024,0.000320,1.761988
1.742851,0.001152,0.015041,0.000384,0.001472,0.001120,0.000352,1.769956
1.761444,0.001184,0.015201,0.000352,0.001408,0.001120,0.000320,1.788741
1.751396,0.001344,0.015009,0.000608,0.001472,0.001056,0.000352,1.779333
1.713089,0.000928,0.014785,0.000832,0.001440,0.001056,0.000384,1.739651
1.762500,0.000992,0.015553,0.000608,0.001696,0.001120,0.000352,1.790054
1.742115,0.000896,0.015649,0.000352,0.001697,0.001088,0.000384,1.770309
1.723618,0.000896,0.015233,0.000320,0.001536,0.001056,0.000352,1.750500
1.755524,0.001120,0.015425,0.000320,0.001440,0.001056,0.000352,1.783718
1.748548,0.000896,0.015169,0.000416,0.001408,0.001120,0.000384,1.775589
1.706625,0.000928,0.014529,0.000352,0.001504,0.001088,0.000352,1.733059
1.753444,0.000800,0.014977,0.000384,0.001920,0.001216,0.000384,1.780293
1.749508,0.000800,0.014593,0.000352,0.001504,0.001024,0.000416,1.776005
1.722050,0.000960,0.014881,0.000416,0.001440,0.001024,0.000384,1.748515
1.711554,0.001088,0.015745,0.000352,0.001728,0.001088,0.000320,1.739651
1.722114,0.001024,0.015393,0.000384,0.001536,0.001088,0.000352,1.749091
1.731458,0.000928,0.014912,0.000608,0.001440,0.001120,0.000384,1.758692
1.744771,0.000832,0.015009,0.000352,0.001440,0.001056,0.000416,1.771237
1.784358,0.000960,0.014753,0.000608,0.001568,0.001152,0.000384,1.811431
1.755684,0.000896,0.015105,0.000416,0.001760,0.001025,0.000384,1.782246
1.730626,0.000800,0.014561,0.000608,0.001536,0.000992,0.000384,1.757445
1.725699,0.000928,0.014817,0.000384,0.001600,0.001216,0.000416,1.752132
1.777798,0.000896,0.014913,0.000384,0.001376,0.001088,0.000384,1.803911
1.737411,0.000896,0.014624,0.000609,0.001472,0.001216,0.000416,1.764453
1.790309,0.001184,0.014721,0.000352,0.001504,0.001152,0.000352,1.817735
1.743491,0.000832,0.014881,0.000448,0.001472,0.001600,0.000416,1.770149
1.740899,0.000897,0.014880,0.000608,0.001537,0.000992,0.000384,1.768453
1.739523,0.000992,0.014721,0.000608,0.001536,0.001120,0.000352,1.765924
