Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-10],OUT[10],TEE[6-10],classifier
0.399948,0.017601,0.192517,0.004864,0.047042,0.000608,0.107811,0.051906,0.068130,0.231783,0.899323
0.414956,0.017696,0.191589,0.004832,0.046978,0.000608,0.103267,0.051457,0.061442,0.220422,0.902874
0.394892,0.017344,0.191718,0.004864,0.047297,0.000576,0.106404,0.052577,0.061762,0.224423,0.887994
0.399628,0.017440,0.191910,0.004960,0.047426,0.000608,0.103875,0.052161,0.062178,0.221670,0.889562
0.399148,0.017408,0.191814,0.004928,0.047521,0.000608,0.117828,0.059042,0.060034,0.240040,0.906715
0.394636,0.017377,0.192037,0.004832,0.047010,0.000608,0.105571,0.049665,0.060738,0.218854,0.880954
0.394540,0.017344,0.191398,0.004832,0.047073,0.000608,0.102531,0.052354,0.061378,0.219527,0.880538
0.399628,0.017216,0.191622,0.004928,0.047105,0.000576,0.107972,0.051585,0.062370,0.225511,0.892474
0.416108,0.017537,0.191461,0.004897,0.047457,0.000576,0.103171,0.052418,0.063074,0.222119,0.906139
0.399244,0.017505,0.191621,0.004896,0.047138,0.000608,0.116963,0.050178,0.065602,0.235879,0.902587
0.400108,0.017505,0.192102,0.004864,0.047201,0.000576,0.108163,0.051266,0.062210,0.224455,0.892763
0.399468,0.017440,0.192006,0.004896,0.047265,0.000608,0.108804,0.053025,0.086531,0.252584,0.921339
0.399948,0.017536,0.192166,0.004800,0.047425,0.000608,0.105572,0.052833,0.063202,0.224903,0.893594
0.399724,0.017376,0.191622,0.005088,0.047074,0.000576,0.105091,0.052033,0.061794,0.222150,0.889466
0.396268,0.017536,0.191846,0.004896,0.047105,0.000608,0.105860,0.050881,0.062722,0.222631,0.886202
0.416396,0.017473,0.191526,0.004928,0.046977,0.000608,0.107715,0.065346,0.070915,0.247144,0.931228
0.401324,0.017536,0.192198,0.004864,0.047234,0.000576,0.114979,0.050690,0.063170,0.231783,0.900763
0.399820,0.017345,0.191269,0.004864,0.047362,0.000576,0.141060,0.064354,0.069314,0.279496,0.947644
0.399275,0.017632,0.192038,0.004896,0.047297,0.000576,0.112068,0.050241,0.103971,0.270312,0.937755
0.395340,0.017376,0.192870,0.004896,0.047266,0.000608,0.108963,0.049921,0.061538,0.223430,0.888154
0.400076,0.017441,0.191877,0.005024,0.047170,0.000576,0.104995,0.052034,0.063009,0.222886,0.890426
0.399084,0.017601,0.191877,0.004896,0.047234,0.000608,0.104227,0.051906,0.064545,0.223751,0.890491
0.416268,0.017344,0.191654,0.004928,0.047138,0.000576,0.105059,0.059874,0.062593,0.230438,0.915164
0.398892,0.017505,0.191813,0.004864,0.047394,0.000608,0.101187,0.051265,0.063074,0.218566,0.885370
0.400427,0.017504,0.191878,0.004864,0.047361,0.000608,0.101763,0.051970,0.068994,0.226215,0.894970
0.398732,0.017344,0.191910,0.004864,0.047041,0.000608,0.106660,0.051425,0.064098,0.225735,0.891866
0.394891,0.017313,0.191398,0.004864,0.047009,0.000576,0.104419,0.051362,0.062978,0.222375,0.883194
0.399500,0.017280,0.191462,0.004800,0.047361,0.000576,0.103332,0.052001,0.061698,0.220103,0.886938
0.399084,0.017313,0.191525,0.004897,0.047361,0.000608,0.103107,0.051362,0.064002,0.221895,0.887963
0.407916,0.017697,0.191717,0.004864,0.047394,0.000576,0.105475,0.063106,0.067330,0.239495,0.915835
0.394604,0.017249,0.191845,0.004896,0.047554,0.000608,0.101283,0.052161,0.061282,0.217766,0.880186
0.394348,0.017312,0.191814,0.004864,0.047073,0.000608,0.102148,0.046849,0.064706,0.216679,0.878170
0.395051,0.017505,0.191590,0.004864,0.047361,0.000608,0.109603,0.051809,0.063362,0.228359,0.891706
0.399276,0.017345,0.191397,0.004928,0.047042,0.000608,0.105827,0.051298,0.062209,0.222502,0.888602
0.399404,0.017536,0.191686,0.004896,0.047073,0.000640,0.106212,0.051361,0.063810,0.224391,0.891130
0.404236,0.017377,0.192102,0.004896,0.047265,0.000672,0.127364,0.054274,0.060449,0.244999,0.916220
0.399436,0.017440,0.205415,0.005120,0.047233,0.000864,0.112580,0.064033,0.064674,0.245255,0.927867
0.399276,0.017345,0.192133,0.004896,0.047106,0.000608,0.106755,0.049954,0.059777,0.219270,0.885850
0.400684,0.017312,0.191654,0.004896,0.047170,0.000576,0.103363,0.052897,0.061602,0.220806,0.888218
0.394860,0.017376,0.191910,0.004864,0.047137,0.000608,0.105860,0.051297,0.064866,0.225287,0.887610
0.399628,0.017345,0.192038,0.004832,0.047265,0.000640,0.097539,0.048097,0.061697,0.211014,0.877530
0.394860,0.017248,0.192038,0.004864,0.047201,0.000608,0.105892,0.051041,0.061506,0.221543,0.883642
0.394443,0.017537,0.191782,0.004864,0.047105,0.001024,0.110212,0.060865,0.061954,0.236167,0.899418
0.394540,0.017312,0.191974,0.019712,0.047362,0.000608,0.107171,0.067938,0.060994,0.239015,0.915931
0.399340,0.017408,0.191686,0.004832,0.047521,0.000608,0.103459,0.051745,0.061666,0.220807,0.887706
0.395243,0.017505,0.191397,0.004865,0.047137,0.000576,0.110115,0.052034,0.060450,0.225703,0.887578
0.399148,0.017440,0.191558,0.004896,0.047170,0.000576,0.100611,0.049249,0.063842,0.216902,0.882970
0.416268,0.017537,0.191685,0.004865,0.047073,0.000576,0.102147,0.064898,0.067906,0.238983,0.922619
0.399563,0.017537,0.191334,0.004928,0.047009,0.000608,0.099171,0.064866,0.066146,0.233543,0.899546
0.395275,0.017569,0.191525,0.004833,0.047393,0.000576,0.105219,0.052226,0.064962,0.226119,0.888666
0.399755,0.017504,0.191206,0.004864,0.047137,0.000576,0.117412,0.066242,0.068546,0.257704,0.924475
0.399884,0.017376,0.191654,0.004864,0.047105,0.000576,0.101603,0.051618,0.064770,0.220775,0.887418
0.394668,0.017569,0.191621,0.005056,0.047682,0.000608,0.102819,0.050529,0.069347,0.226183,0.888667
0.394283,0.017281,0.191462,0.005088,0.047073,0.000576,0.097059,0.067650,0.061602,0.229127,0.889306
0.408236,0.017249,0.191365,0.004864,0.047265,0.000480,0.095395,0.049249,0.061794,0.209222,0.883482
0.393900,0.017504,0.191590,0.004864,0.047074,0.000544,0.092610,0.049634,0.059426,0.204710,0.865082
0.399916,0.017568,0.191718,0.004896,0.047682,0.000608,0.104163,0.052033,0.062306,0.221990,0.889786
0.395403,0.017409,0.191430,0.004832,0.047329,0.000608,0.106435,0.051426,0.062722,0.224327,0.886586
0.395467,0.017313,0.191462,0.004864,0.047041,0.000608,0.101347,0.048034,0.061505,0.214086,0.876090
0.397227,0.017537,0.191654,0.005056,0.047265,0.000480,0.092963,0.065762,0.057954,0.220071,0.884026
0.394700,0.017536,0.191654,0.004864,0.047425,0.000576,0.086498,0.065218,0.057922,0.212422,0.874202
