Layer[0],Layer[1],TEE[2-9],Layer[10],classifier
0.416112,0.017633,0.781375,0.000896,1.222512
0.415664,0.017601,0.746045,0.000736,1.185422
0.416433,0.017729,0.773854,0.000704,1.214224
0.435985,0.017696,0.745214,0.000768,1.205520
0.416112,0.017249,0.746749,0.000608,1.185614
0.416240,0.017345,0.749277,0.000608,1.189006
0.417201,0.017376,0.744510,0.000672,1.184623
0.415216,0.018017,0.753470,0.000704,1.194159
0.416849,0.017857,0.798143,0.000928,1.239985
0.415664,0.017536,0.754302,0.000672,1.193487
0.416784,0.017441,0.746013,0.000736,1.186862
0.416240,0.017537,0.766142,0.000768,1.205903
0.416528,0.017537,0.739517,0.000672,1.179630
0.416657,0.017601,0.749565,0.000608,1.189583
0.434321,0.021825,0.755614,0.000736,1.218352
0.415633,0.017729,0.736381,0.000640,1.175983
0.414608,0.017505,0.737629,0.000672,1.175150
0.433809,0.017537,0.777247,0.000704,1.235537
0.415280,0.017761,0.750653,0.000609,1.189327
0.415088,0.017793,0.749053,0.000896,1.188271
0.416049,0.017729,0.740957,0.000672,1.181647
0.416144,0.017921,0.740253,0.000672,1.180782
0.414832,0.017792,0.790047,0.000672,1.229328
0.415920,0.017313,0.739549,0.000576,1.179118
0.415665,0.017536,0.749950,0.000768,1.189999
0.415825,0.017825,0.766142,0.000768,1.206384
0.416624,0.017857,0.739901,0.000640,1.180526
0.415760,0.018017,0.758910,0.000704,1.200847
0.433233,0.017633,0.747581,0.000672,1.205232
0.416816,0.017857,0.751134,0.000704,1.193007
0.416432,0.017633,0.729981,0.000704,1.170574
0.432721,0.017537,0.740029,0.000704,1.195951
0.415792,0.017665,0.743069,0.000704,1.182798
0.415728,0.017473,0.746589,0.000576,1.185422
0.416785,0.017504,0.735133,0.000736,1.174894
0.416145,0.018176,0.742686,0.000704,1.182479
0.416337,0.017760,0.755422,0.000704,1.194863
0.416624,0.017537,0.737245,0.000800,1.177870
0.416240,0.017537,0.744349,0.000768,1.184078
0.415984,0.017441,0.756734,0.000832,1.197167
0.415952,0.017697,0.770878,0.000704,1.209903
0.415856,0.017537,0.734685,0.000704,1.174286
0.415696,0.017505,0.757854,0.000704,1.196879
0.415984,0.017729,0.724252,0.000704,1.163565
0.415921,0.017760,0.746558,0.000704,1.185775
0.429265,0.017536,0.743422,0.000896,1.196111
0.417232,0.018017,0.770878,0.000672,1.212079
0.416464,0.017761,0.757374,0.000704,1.199375
0.431729,0.017665,0.731965,0.000704,1.187215
0.415952,0.017472,0.716700,0.000704,1.156334
0.415440,0.021089,0.727261,0.000576,1.168782
0.416528,0.017729,0.713756,0.000640,1.153325
0.416304,0.017793,0.717308,0.000704,1.156557
0.417585,0.017697,0.755901,0.000768,1.196495
0.416593,0.017504,0.729021,0.000672,1.168302
0.415920,0.017889,0.724764,0.000608,1.163181
0.416432,0.017569,0.753598,0.000736,1.193583
0.415633,0.017473,0.744157,0.000704,1.185167
0.416304,0.017857,0.734333,0.000704,1.174478
0.415889,0.017472,0.759454,0.001056,1.199983
0.417776,0.017792,0.762334,0.000768,1.203791
0.415728,0.017665,0.778783,0.000640,1.218032
0.435121,0.017537,0.749853,0.000608,1.208304
0.415536,0.017409,0.729629,0.000672,1.168014
0.416145,0.017280,0.732797,0.000608,1.171918
0.429296,0.017440,0.727709,0.000704,1.180462
0.415056,0.017441,0.722364,0.000641,1.160910
0.415152,0.017504,0.734717,0.000480,1.173198
0.416848,0.017568,0.750462,0.000768,1.191887
0.416465,0.017601,0.756957,0.000640,1.197391
0.416657,0.017504,0.759358,0.000832,1.199663
0.415601,0.017697,0.746717,0.000704,1.186671
0.416240,0.017633,0.753597,0.000672,1.193071
0.415280,0.017440,0.765342,0.000704,1.203951
0.415440,0.017505,0.723868,0.000672,1.162765
0.415312,0.017441,0.762846,0.000768,1.201135
0.415600,0.017569,0.749597,0.000736,1.189550
0.415792,0.017313,0.733181,0.000768,1.173038
0.416081,0.017985,0.737405,0.000800,1.178767
0.416561,0.017633,0.752893,0.000640,1.193839
0.415409,0.017568,0.749342,0.000736,1.187983
0.415664,0.017537,0.740925,0.000768,1.179662
0.430673,0.017569,0.752222,0.000768,1.206160
0.415312,0.017376,0.729501,0.000608,1.168558
0.415057,0.017408,0.729053,0.000768,1.167790
0.415632,0.017665,0.735325,0.000736,1.175502
0.416016,0.017473,0.740253,0.000704,1.180142
0.416016,0.017697,0.775262,0.000672,1.214991
0.416880,0.017472,0.732221,0.000800,1.173070
0.417233,0.017536,0.757534,0.000640,1.198287
0.416688,0.017568,0.772319,0.000896,1.213072
0.415888,0.017537,0.747165,0.000672,1.185615
0.416240,0.017824,0.739709,0.000832,1.179406
0.416241,0.017408,0.767935,0.000768,1.206896
0.416528,0.017569,0.754654,0.000576,1.195311
0.415633,0.017952,0.745214,0.000736,1.184527
0.431057,0.017537,0.749085,0.000736,1.204688
0.417168,0.017537,0.758718,0.000864,1.201455
0.416337,0.017408,0.729277,0.000704,1.168718
0.432049,0.017633,0.757694,0.000704,1.214736
0.416560,0.017569,0.754174,0.000736,1.194223
0.416400,0.017441,0.729821,0.000704,1.169774
0.416497,0.017568,0.750782,0.000736,1.191119
0.415857,0.017633,0.743005,0.000640,1.181583
0.416080,0.017409,0.780318,0.000672,1.219567
0.415760,0.017633,0.739421,0.000768,1.179566
0.417233,0.017792,0.741213,0.000704,1.183983
0.416144,0.017633,0.767966,0.000736,1.208431
0.416849,0.017728,0.751934,0.000704,1.193391
0.417265,0.017760,0.752606,0.000704,1.194351
0.435666,0.017632,0.752478,0.000672,1.212368
0.418545,0.017792,0.755422,0.000832,1.198991
0.416528,0.017505,0.747421,0.000672,1.188462
0.417489,0.017312,0.743198,0.000608,1.184527
0.416816,0.017505,0.750366,0.000672,1.191311
0.416112,0.017633,0.758878,0.000800,1.199375
0.416753,0.017537,0.753789,0.000832,1.195791
0.464242,0.017665,0.755613,0.000672,1.244625
0.416784,0.017825,0.789631,0.000768,1.231441
0.417393,0.017568,0.749246,0.000672,1.190351
0.417712,0.017601,0.766398,0.000800,1.208271
0.416880,0.041506,0.757469,0.000736,1.222801
0.416881,0.017537,0.755933,0.000672,1.197455
0.417264,0.017825,0.738557,0.000640,1.180302
0.432465,0.017665,0.745181,0.000608,1.201839
0.418032,0.017697,0.747869,0.000672,1.190255
0.417009,0.017761,0.748669,0.000704,1.191343
0.417136,0.017632,0.755582,0.000672,1.196911
0.417041,0.017344,0.754462,0.000672,1.195823
0.418033,0.017377,0.774270,0.000832,1.216528
0.416081,0.017697,0.750461,0.000704,1.190671
0.416560,0.017600,0.752766,0.000640,1.193359
0.417328,0.017568,0.764414,0.000800,1.205615
0.416624,0.017601,0.753053,0.000608,1.194031
0.417008,0.017825,0.741309,0.000672,1.183054
0.435409,0.017825,0.746429,0.000800,1.206671
0.416113,0.017889,0.745981,0.000672,1.187695
0.417456,0.017633,0.743357,0.000672,1.185454
0.416720,0.017793,0.752030,0.000640,1.193615
0.420048,0.017345,0.745917,0.000768,1.190191
0.416624,0.017313,0.778238,0.000736,1.218767
0.419025,0.017633,0.751677,0.000704,1.194799
0.417649,0.017664,0.750238,0.000704,1.191919
0.417585,0.017793,0.771998,0.000704,1.213296
0.418032,0.017536,0.752798,0.000704,1.194447
0.417264,0.017569,0.745373,0.000705,1.187311
0.463794,0.018049,0.804384,0.001408,1.296947
0.418608,0.017953,0.823488,0.001056,1.269809
0.418608,0.018048,0.822529,0.001344,1.269522
0.416241,0.017696,0.752606,0.000736,1.193199
0.416112,0.017473,0.751709,0.000704,1.191694
0.416880,0.018145,0.769246,0.000608,1.210031
0.416081,0.017856,0.738717,0.000672,1.178831
0.415856,0.017505,0.753534,0.000736,1.193007
0.416368,0.017537,0.778911,0.000736,1.219472
0.418032,0.017537,0.745629,0.000864,1.187854
0.417105,0.017569,0.753373,0.000736,1.194735
0.436337,0.017633,0.743005,0.000736,1.203887
0.415216,0.017729,0.770334,0.000896,1.210544
0.416880,0.017537,0.748093,0.000640,1.189166
0.415665,0.017760,0.752030,0.000736,1.192239
0.415632,0.017633,0.739453,0.000704,1.179150
0.416976,0.017472,0.767486,0.000768,1.209232
0.416369,0.017504,0.740157,0.000864,1.181103
0.428560,0.017792,0.736317,0.000800,1.189806
0.416945,0.017729,0.780734,0.000928,1.222032
0.416689,0.017505,0.748445,0.000832,1.189711
0.417200,0.017505,0.747390,0.000704,1.187855
0.435633,0.017857,0.755613,0.000640,1.215919
0.415729,0.017792,0.749566,0.000672,1.189775
0.416048,0.017568,0.733469,0.000544,1.173710
0.432529,0.017601,0.745309,0.000576,1.201743
0.415953,0.017696,0.747486,0.000672,1.188015
0.415984,0.017793,0.795775,0.001088,1.237008
0.416208,0.017536,0.744701,0.000576,1.183567
0.416176,0.017793,0.744157,0.000608,1.185166
0.416113,0.017921,0.768542,0.000736,1.209328
0.416049,0.017857,0.751005,0.000608,1.190991
0.417552,0.017696,0.749118,0.000704,1.190415
0.416208,0.017889,0.760574,0.000800,1.200975
0.416432,0.017537,0.752797,0.000704,1.192590
0.416688,0.018464,0.742653,0.000704,1.183919
0.433713,0.018017,0.734589,0.000608,1.192271
0.416113,0.017536,0.747134,0.000640,1.186831
0.415728,0.017665,0.750013,0.000768,1.189455
0.418321,0.017729,0.751421,0.000736,1.194895
0.416433,0.017504,0.743806,0.000672,1.184527
0.416465,0.017792,0.768415,0.000736,1.208880
0.417169,0.017505,0.748413,0.000736,1.189999
0.416368,0.017793,0.764830,0.000640,1.204911
0.416048,0.017664,0.764830,0.000736,1.204527
0.415953,0.017472,0.733181,0.000704,1.172718
0.416016,0.017761,0.754206,0.000672,1.194191
0.418384,0.017569,0.763262,0.000800,1.205359
0.415409,0.017825,0.750173,0.000736,1.189231
0.416049,0.017472,0.757566,0.000704,1.198063
0.434545,0.017793,0.759390,0.000832,1.218992
0.416368,0.017729,0.733277,0.000704,1.174222
0.416592,0.017761,0.729212,0.000672,1.169389
0.416208,0.017440,0.746014,0.000736,1.185583
0.416337,0.017505,0.744765,0.000704,1.184271
0.417841,0.017633,0.760733,0.000705,1.202160
0.416496,0.017504,0.739165,0.000576,1.178542
0.415792,0.017760,0.748958,0.000672,1.188623
0.415793,0.017889,0.765822,0.000864,1.205488
0.416432,0.017633,0.773438,0.000704,1.214543
0.418128,0.017505,0.729532,0.000704,1.170958
0.415985,0.017505,0.737885,0.000672,1.177647
0.417008,0.017441,0.748029,0.000640,1.188239
0.417968,0.021249,0.771614,0.000640,1.215760
0.432241,0.017505,0.760894,0.000768,1.215984
0.415856,0.017537,0.770558,0.000608,1.209327
0.416720,0.017601,0.728700,0.000672,1.168301
0.429809,0.017665,0.720988,0.000608,1.174414
0.416464,0.017505,0.724381,0.000672,1.164334
0.417616,0.017729,0.742813,0.000672,1.185166
0.416081,0.017440,0.747902,0.000704,1.187183
0.417552,0.017473,0.736189,0.000736,1.177070
0.417584,0.017665,0.748637,0.000800,1.189134
0.416912,0.017217,0.727997,0.000832,1.166990
0.416912,0.017665,0.728220,0.000608,1.168238
0.416497,0.017441,0.753181,0.000800,1.192527
0.416656,0.017633,0.712988,0.000608,1.152685
0.417040,0.017376,0.723389,0.000704,1.163822
0.415888,0.017537,0.772574,0.000736,1.211151
0.416240,0.017600,0.731741,0.000832,1.172654
0.415504,0.017537,0.753021,0.000800,1.192046
0.416560,0.017857,0.760702,0.000768,1.201199
0.416080,0.017665,0.765630,0.000640,1.204751
0.416368,0.017601,0.738141,0.000864,1.177518
0.430609,0.017441,0.737597,0.000704,1.191087
0.416368,0.017633,0.742301,0.000672,1.181134
0.415440,0.017505,0.740157,0.000704,1.178222
0.429201,0.017761,0.723708,0.000512,1.176174
0.415984,0.017441,0.756894,0.000640,1.195855
0.415408,0.017345,0.737917,0.000608,1.176846
0.416017,0.017632,0.771071,0.000672,1.209872
0.416080,0.017568,0.760510,0.000544,1.199791
0.416304,0.017505,0.752222,0.000704,1.192591
0.416400,0.017185,0.764670,0.000640,1.204367
0.415856,0.017281,0.732541,0.000608,1.171246
0.415632,0.017281,0.743133,0.000704,1.181934
0.416208,0.021184,0.732861,0.000576,1.175182
0.417392,0.017504,0.739165,0.000576,1.180142
0.415184,0.017824,0.777311,0.000672,1.216784
0.416144,0.017505,0.751229,0.000736,1.190254
0.415920,0.017505,0.725436,0.000608,1.164109
0.429809,0.017601,0.750205,0.000768,1.204240
0.415409,0.017632,0.724253,0.000768,1.162926
0.416048,0.017440,0.716540,0.000640,1.155565
0.430289,0.017793,0.727613,0.000672,1.180687
0.415217,0.017728,0.721084,0.000704,1.158894
0.415632,0.017569,0.731197,0.000704,1.170126
0.427152,0.017344,0.743037,0.000672,1.193807
0.416401,0.017761,0.727164,0.000736,1.168750
0.415824,0.017632,0.753150,0.000736,1.193711
0.415857,0.017633,0.758397,0.000832,1.197903
0.416592,0.021089,0.741949,0.000800,1.186286
0.416048,0.017537,0.774431,0.000864,1.214832
0.416177,0.017696,0.754526,0.000704,1.194319
0.415280,0.017633,0.734461,0.000640,1.172718
0.416080,0.017377,0.789791,0.000768,1.229584
0.415728,0.017409,0.728316,0.000800,1.167053
0.417360,0.017760,0.729789,0.000736,1.169870
0.416176,0.021121,0.773950,0.000736,1.218191
0.417776,0.017441,0.760318,0.000672,1.202383
0.416945,0.017792,0.751102,0.000960,1.192911
0.432145,0.017857,0.758430,0.000640,1.214416
0.416337,0.017952,0.733853,0.000576,1.173902
0.416337,0.017345,0.727132,0.000608,1.166862
0.430193,0.017857,0.733244,0.000640,1.186479
0.416048,0.017728,0.737053,0.000704,1.176686
0.415793,0.017792,0.770527,0.000672,1.210128
0.415409,0.017920,0.765087,0.000704,1.205424
0.417968,0.017857,0.758014,0.000832,1.201519
0.415792,0.017601,0.778079,0.000832,1.217776
0.416113,0.017632,0.774558,0.000640,1.214416
0.415728,0.017569,0.751454,0.000704,1.190127
0.416112,0.017537,0.786783,0.000800,1.225872
0.415728,0.017537,0.748701,0.000705,1.186959
0.415697,0.017665,0.748221,0.000736,1.186479
0.428369,0.017601,0.744765,0.000672,1.196047
0.415568,0.017601,0.727100,0.000704,1.166030
0.415601,0.017601,0.732156,0.000864,1.170702
0.451313,0.017600,0.769567,0.000832,1.247409
0.416496,0.017600,0.767902,0.001216,1.210000
0.418001,0.017537,0.761373,0.001120,1.205232
0.416144,0.017632,0.748094,0.000736,1.188719
0.415984,0.017697,0.753118,0.000736,1.194255
0.416432,0.017601,0.761758,0.000736,1.202543
0.414800,0.017569,0.749725,0.000864,1.189102
0.416593,0.017793,0.752701,0.000768,1.193903
0.416017,0.017665,0.771166,0.000768,1.212048
0.416752,0.017537,0.754430,0.000704,1.195823
0.415857,0.017536,0.745630,0.000736,1.186831
0.432529,0.017729,0.759326,0.000800,1.215664
0.416497,0.017536,0.760765,0.000704,1.202256
0.415792,0.017665,0.778591,0.000896,1.219216
0.416529,0.017600,0.753886,0.000640,1.195087
0.415985,0.017664,0.754334,0.000768,1.194575
0.416657,0.017472,0.771743,0.000736,1.213040
0.416432,0.017537,0.748125,0.000864,1.188814
0.415505,0.017760,0.753982,0.000768,1.194127
0.416080,0.017697,0.782174,0.000768,1.238257
0.416912,0.017601,0.762718,0.000704,1.205615
0.415632,0.017537,0.753918,0.000672,1.193743
0.432465,0.017569,0.750781,0.000608,1.208336
0.417073,0.017632,0.753246,0.000832,1.194799
0.416753,0.017984,0.770751,0.000800,1.211952
0.416464,0.017473,0.739997,0.000640,1.180238
0.415985,0.017760,0.710555,0.000544,1.150158
0.415921,0.017504,0.785791,0.000768,1.224560
0.415440,0.017472,0.748606,0.000640,1.186479
0.415985,0.017376,0.730397,0.000832,1.170862
0.415888,0.017729,0.755550,0.000736,1.194735
0.414576,0.017473,0.718876,0.000577,1.155918
0.415921,0.017665,0.715260,0.000704,1.154574
0.415921,0.017632,0.764510,0.000896,1.204335
0.416112,0.017696,0.743646,0.000640,1.183375
0.417072,0.017505,0.738109,0.000800,1.178990
0.433617,0.017568,0.746718,0.000864,1.204176
0.416977,0.017825,0.729148,0.000832,1.169710
0.415920,0.017472,0.751966,0.000672,1.191503
0.417905,0.017728,0.752125,0.000672,1.194799
0.416304,0.017569,0.749213,0.000672,1.189646
0.416048,0.017537,0.756926,0.000832,1.196495
0.416369,0.017345,0.736317,0.000864,1.176687
0.415889,0.017473,0.747613,0.000672,1.186991
0.416240,0.017985,0.772542,0.000672,1.212591
0.416400,0.017953,0.746973,0.000704,1.186862
0.416368,0.017633,0.748925,0.000672,1.189294
0.437970,0.017984,0.745790,0.000672,1.207376
0.416881,0.017728,0.752382,0.000704,1.192463
0.416880,0.017473,0.751390,0.000800,1.192367
0.436145,0.017601,0.751518,0.000608,1.213168
0.416721,0.017665,0.742941,0.000672,1.183727
0.417009,0.017600,0.794048,0.000768,1.236049
0.416593,0.017536,0.742302,0.000704,1.182127
0.417169,0.017728,0.750046,0.000640,1.190447
0.416625,0.017729,0.768030,0.000704,1.208208
0.418673,0.017664,0.736541,0.000704,1.178830
0.417072,0.017761,0.747101,0.000800,1.187726
0.416656,0.017537,0.783647,0.000672,1.223088
0.416720,0.017345,0.751293,0.000832,1.192398
0.417361,0.017664,0.744894,0.000896,1.187407
0.430641,0.017633,0.743037,0.000736,1.198095
0.415665,0.017632,0.743806,0.000672,1.182447
0.415472,0.017344,0.743357,0.000672,1.181679
0.418129,0.017377,0.744381,0.000928,1.187407
0.417232,0.017601,0.743101,0.000768,1.184398
0.415984,0.017793,0.771326,0.000800,1.211503
0.415760,0.017921,0.750109,0.000832,1.190542
0.416816,0.017505,0.754205,0.000640,1.195183
0.416656,0.017569,0.795551,0.000800,1.237456
0.417488,0.017696,0.763038,0.000736,1.205039
0.415824,0.017792,0.755518,0.000704,1.195951
0.432273,0.017377,0.741757,0.000800,1.198511
0.416112,0.017697,0.745693,0.000800,1.187182
0.416881,0.017729,0.752029,0.000672,1.193711
0.415953,0.017472,0.743006,0.000640,1.182287
0.416304,0.017440,0.729213,0.000704,1.167662
0.415952,0.017377,0.817888,0.000800,1.257073
0.416241,0.017536,0.752926,0.000640,1.191919
0.416113,0.017313,0.747837,0.000768,1.187471
0.415953,0.017440,0.762974,0.000737,1.202640
0.415377,0.017633,0.744925,0.000640,1.185071
0.415281,0.017664,0.732189,0.000640,1.171246
0.415953,0.017569,0.765758,0.000608,1.205200
0.415888,0.017793,0.751870,0.000736,1.192879
0.416081,0.017729,0.739357,0.000768,1.179951
0.431217,0.017697,0.739005,0.000672,1.194703
0.416400,0.017633,0.759902,0.000640,1.200431
0.415856,0.017665,0.737501,0.000672,1.177518
0.415312,0.017729,0.763134,0.000768,1.203407
0.416081,0.017568,0.751230,0.000736,1.191183
0.416881,0.017633,0.793631,0.000832,1.235857
0.415537,0.017600,0.740029,0.000704,1.179631
0.416656,0.017537,0.738045,0.000672,1.179086
0.416144,0.017409,0.759422,0.000768,1.199727
0.416369,0.017600,0.750142,0.000672,1.189775
0.416817,0.017664,0.755358,0.000608,1.196815
0.433073,0.017792,0.752766,0.000608,1.209871
0.415729,0.017504,0.746782,0.000864,1.186735
0.416465,0.017632,0.762206,0.000608,1.202575
0.433937,0.017761,0.750461,0.000640,1.207663
0.419633,0.017729,0.781758,0.000800,1.226000
0.416016,0.017601,0.795967,0.000704,1.235696
0.416176,0.017824,0.766046,0.000768,1.205999
0.416816,0.017793,0.737213,0.000800,1.179790
0.415824,0.017409,0.766046,0.000992,1.206192
0.415856,0.017569,0.738557,0.000672,1.178254
0.415921,0.017792,0.736605,0.000672,1.176462
0.415729,0.017633,0.757693,0.000736,1.198704
0.416112,0.017537,0.743357,0.000640,1.183438
0.415600,0.017761,0.740189,0.000704,1.180174
0.432753,0.017920,0.745757,0.000672,1.203823
0.416049,0.017921,0.750301,0.000832,1.191279
0.416240,0.017569,0.750525,0.000768,1.191790
0.417136,0.017632,0.742205,0.000768,1.183727
0.416976,0.017697,0.751742,0.000896,1.193871
0.416785,0.017536,0.766335,0.000736,1.207408
0.415312,0.018081,0.743613,0.000672,1.183918
0.418096,0.017633,0.752158,0.000800,1.195247
0.418833,0.017569,0.772862,0.000928,1.217072
0.417489,0.017697,0.751325,0.000704,1.193327
0.418256,0.017504,0.757566,0.000704,1.200335
0.417521,0.017696,0.790239,0.000672,1.232497
0.416336,0.018017,0.739325,0.000736,1.179630
0.416272,0.017697,0.760382,0.000736,1.200847
0.431697,0.017665,0.757469,0.000673,1.213552
0.416977,0.017729,0.738301,0.000672,1.179151
0.416208,0.017761,0.760062,0.000576,1.200623
0.416240,0.017312,0.748862,0.000832,1.189775
0.416336,0.017569,0.751294,0.000704,1.192271
0.415600,0.018017,0.767070,0.000864,1.208207
0.415568,0.017601,0.732989,0.000736,1.173550
0.416401,0.017697,0.749405,0.000608,1.190319
0.415376,0.017536,0.771455,0.000672,1.210512
0.415728,0.017345,0.745437,0.000640,1.184622
0.416017,0.017472,0.745566,0.000832,1.185487
0.435185,0.017953,0.770334,0.000768,1.229680
0.416272,0.017729,0.739901,0.000800,1.181102
0.416848,0.017537,0.752637,0.000832,1.194862
0.434129,0.017761,0.754653,0.000608,1.213551
0.416016,0.017793,0.738237,0.000736,1.179758
0.416785,0.017760,0.748510,0.000736,1.189583
0.416113,0.017537,0.748253,0.000576,1.187503
0.416400,0.017249,0.768510,0.000704,1.207567
0.416816,0.017537,0.768158,0.000608,1.209839
0.416976,0.017665,0.742781,0.000736,1.183983
0.417297,0.017728,0.746366,0.000704,1.187759
0.416976,0.017505,0.770590,0.000865,1.212560
0.416176,0.017953,0.760286,0.000736,1.204815
0.415792,0.017857,0.747741,0.000800,1.188143
0.433297,0.017601,0.746845,0.000608,1.204303
0.415792,0.017728,0.750718,0.000640,1.190479
0.416368,0.017696,0.751774,0.000640,1.192655
0.418448,0.017761,0.755326,0.000672,1.197711
0.416176,0.018017,0.746013,0.000736,1.186830
0.416817,0.017632,0.753534,0.000800,1.194127
0.415248,0.017441,0.747837,0.000576,1.186574
0.415856,0.017665,0.748861,0.000801,1.188591
0.416465,0.017793,0.790175,0.000832,1.232497
0.415504,0.018241,0.751422,0.000672,1.191631
0.416528,0.017313,0.754173,0.000704,1.196079
0.417104,0.017505,0.767006,0.000640,1.208015
0.416496,0.017825,0.735453,0.000928,1.175758
