Layer[0],Layer[1],Layer[2],IN[3],INFER[3-10],OUT[10],TEE[3-10],classifier
0.395628,0.017568,0.192230,0.156133,0.137252,0.067714,0.366859,0.977117
0.394635,0.017632,0.192038,0.134180,0.105987,0.063266,0.306953,0.915419
0.395820,0.017601,0.191685,0.135972,0.106756,0.070050,0.316138,0.925660
0.395019,0.017729,0.191845,0.135108,0.105764,0.063650,0.307722,0.916539
0.410221,0.017696,0.191590,0.137124,0.105763,0.067138,0.313897,0.937948
0.394603,0.017633,0.191590,0.132356,0.106403,0.064738,0.306825,0.915835
0.394380,0.017792,0.191910,0.131972,0.106627,0.065026,0.307209,0.916859
0.395276,0.017728,0.206438,0.128004,0.114116,0.064193,0.309801,0.934364
0.394156,0.017408,0.192422,0.135108,0.113988,0.072162,0.324362,0.933404
0.394731,0.017633,0.191941,0.141861,0.114467,0.066306,0.326378,0.935611
0.394956,0.017600,0.191942,0.121283,0.106116,0.065890,0.296937,0.907099
0.396492,0.017601,0.191365,0.135396,0.115588,0.068066,0.322346,0.932348
0.395275,0.017409,0.191398,0.126019,0.107044,0.065794,0.302665,0.911835
0.394571,0.017697,0.191558,0.135076,0.106275,0.063042,0.307977,0.916603
0.411180,0.017632,0.191621,0.143588,0.122372,0.069058,0.338442,0.964924
0.395276,0.017600,0.191718,0.145220,0.109540,0.068962,0.327594,0.938524
0.395404,0.017664,0.191686,0.139876,0.111427,0.071043,0.326090,0.936892
0.394604,0.017633,0.192453,0.117508,0.123012,0.075106,0.319562,0.929660
0.394539,0.017889,0.192262,0.138052,0.108579,0.072098,0.322345,0.932923
0.395596,0.017600,0.191846,0.124356,0.106755,0.069090,0.304041,0.913883
0.395276,0.017600,0.192358,0.139076,0.108995,0.064674,0.316297,0.927451
0.413229,0.017600,0.191398,0.162405,0.123011,0.066050,0.356522,0.984189
0.395180,0.017665,0.191653,0.134372,0.111556,0.065250,0.314698,0.924732
0.395692,0.017793,0.191685,0.130852,0.107556,0.063809,0.305609,0.916347
0.394572,0.017376,0.210182,0.128228,0.115811,0.068354,0.316105,0.944412
0.394092,0.017664,0.191718,0.142340,0.109411,0.067330,0.322665,0.932188
0.395244,0.017793,0.191301,0.141221,0.110787,0.069538,0.325322,0.935676
0.396876,0.017792,0.192070,0.124100,0.116995,0.065858,0.310601,0.923099
0.395243,0.017664,0.191814,0.138500,0.109219,0.071906,0.323497,0.933883
0.394763,0.017441,0.192838,0.120643,0.109091,0.067458,0.300456,0.910234
0.395084,0.017376,0.191078,0.115683,0.112836,0.064002,0.295721,0.903835
0.417836,0.017473,0.191269,0.136356,0.116228,0.068866,0.325162,0.956540
0.395756,0.017792,0.191750,0.121795,0.105380,0.068962,0.299625,0.909915
0.394859,0.017601,0.191942,0.133572,0.107427,0.073474,0.318185,0.927259
0.396140,0.017857,0.192709,0.146277,0.129571,0.106915,0.387116,1.000414
0.395340,0.017697,0.191653,0.140004,0.109636,0.069474,0.322730,0.933404
0.395116,0.017825,0.192389,0.137445,0.109155,0.064130,0.314666,0.926044
0.396108,0.017824,0.191622,0.140804,0.109700,0.070210,0.324074,0.935292
0.394956,0.017825,0.192229,0.136548,0.134020,0.067938,0.342122,0.952988
0.395819,0.017888,0.191878,0.139844,0.108227,0.066562,0.318569,0.929851
0.396651,0.017697,0.192294,0.138116,0.110019,0.067170,0.318953,0.930747
0.419629,0.017760,0.191558,0.138020,0.117955,0.065506,0.325289,0.959708
0.394892,0.017825,0.191621,0.142725,0.123875,0.067298,0.337930,0.947900
0.394604,0.017569,0.192773,0.137253,0.109379,0.064642,0.315082,0.925628
0.394668,0.017568,0.192230,0.141732,0.125828,0.075778,0.347306,0.958076
0.395148,0.017665,0.192165,0.140516,0.109539,0.067138,0.321002,0.931548
0.394956,0.017824,0.192710,0.129028,0.108611,0.065666,0.306985,0.918075
0.395115,0.017601,0.191845,0.142020,0.109763,0.070274,0.326089,0.936667
0.411628,0.017697,0.191302,0.141892,0.126147,0.068290,0.340042,0.966717
0.394891,0.017793,0.192070,0.139460,0.109699,0.073122,0.326153,0.936123
0.396076,0.017600,0.191590,0.138564,0.111171,0.068322,0.321353,0.931771
0.395660,0.017664,0.209991,0.139844,0.108835,0.066146,0.318313,0.947132
0.397036,0.017569,0.191301,0.132548,0.113924,0.065442,0.315786,0.927004
0.395052,0.017729,0.191845,0.138660,0.108420,0.065570,0.316234,0.926556
0.395019,0.017665,0.191910,0.132035,0.123235,0.088643,0.347914,0.958844
0.396332,0.017792,0.191974,0.139012,0.109347,0.077603,0.329962,0.942172
0.397772,0.017761,0.191909,0.144228,0.110051,0.067714,0.325226,0.938428
0.395148,0.017696,0.192006,0.167365,0.109859,0.065634,0.346954,0.957116
0.412589,0.017664,0.191174,0.128516,0.124963,0.067714,0.325578,0.952861
0.395275,0.017664,0.191078,0.127684,0.111075,0.072994,0.315689,0.925723
0.396076,0.017825,0.191333,0.141893,0.111875,0.065954,0.323306,0.934076
0.395276,0.017664,0.211015,0.138340,0.108931,0.066690,0.317865,0.948092
0.395980,0.017568,0.191590,0.133668,0.114755,0.065570,0.317545,0.928187
0.395916,0.017600,0.191686,0.116932,0.122595,0.069154,0.311977,0.922491
0.395084,0.017793,0.191589,0.143332,0.109796,0.071778,0.328778,0.939100
0.395468,0.017761,0.192229,0.129636,0.108708,0.066850,0.308746,0.919516
0.394508,0.017536,0.192741,0.142148,0.105860,0.064226,0.315946,0.925276
0.394572,0.017728,0.191302,0.130724,0.108099,0.066690,0.308937,0.917371
0.416940,0.017857,0.191333,0.126820,0.122020,0.066850,0.319306,0.950780
0.394860,0.017760,0.191334,0.125700,0.105987,0.062146,0.297289,0.905723
0.394828,0.017633,0.191429,0.134596,0.107972,0.067554,0.313546,0.921916
0.394348,0.017824,0.191398,0.131332,0.125924,0.105571,0.366699,0.975165
0.394540,0.017632,0.191461,0.132196,0.107587,0.063074,0.306441,0.915035
0.393899,0.017633,0.191622,0.104643,0.105763,0.062370,0.276008,0.883674
0.394316,0.017697,0.191973,0.134756,0.104548,0.064961,0.308074,0.917436
0.428237,0.017760,0.191494,0.129380,0.123683,0.066146,0.322793,0.965948
0.394891,0.017440,0.191686,0.118115,0.105027,0.061634,0.288136,0.896730
0.394891,0.017601,0.191174,0.120739,0.105827,0.063458,0.293608,0.901466
0.393995,0.017633,0.191685,0.134851,0.121667,0.070978,0.331594,0.939931
0.394539,0.017664,0.191718,0.130372,0.106403,0.069314,0.309417,0.917531
0.394732,0.017569,0.191973,0.128548,0.104099,0.062530,0.298953,0.908347
0.395499,0.017728,0.191782,0.126628,0.108099,0.064770,0.303049,0.913083
0.413324,0.017440,0.191718,0.130884,0.115779,0.066370,0.316745,0.944795
0.394732,0.017536,0.191654,0.140420,0.107683,0.061922,0.313161,0.921627
0.395051,0.017793,0.192006,0.135908,0.107811,0.068834,0.316105,0.926139
0.396043,0.018081,0.193638,0.151460,0.142661,0.070242,0.368747,0.982173
0.396204,0.017440,0.192166,0.122532,0.109315,0.064418,0.299689,0.910651
0.394796,0.017632,0.192102,0.135364,0.108803,0.067906,0.315401,0.925275
0.395596,0.017665,0.191397,0.129604,0.107715,0.065922,0.307081,0.917755
0.394795,0.017665,0.191494,0.133444,0.107555,0.068258,0.312745,0.921851
0.395755,0.017697,0.192038,0.128067,0.108452,0.065570,0.306121,0.917019
0.396780,0.017569,0.191557,0.121540,0.107107,0.065026,0.297225,0.908379
0.394507,0.017633,0.211174,0.134372,0.116964,0.065506,0.320586,0.948924
0.394604,0.017633,0.192005,0.133732,0.107363,0.064194,0.308585,0.917691
0.395116,0.017697,0.192069,0.125476,0.104867,0.063330,0.296969,0.907195
0.396364,0.017760,0.191398,0.143716,0.108963,0.064833,0.321033,0.932251
0.396107,0.017793,0.191557,0.132228,0.108740,0.066306,0.310410,0.920764
0.396716,0.017537,0.192069,0.134500,0.107364,0.071970,0.317610,0.929436
0.394731,0.017857,0.191718,0.136452,0.108803,0.069474,0.318121,0.927995
0.416524,0.017728,0.191366,0.136644,0.123620,0.079106,0.343082,0.974237
0.397419,0.017665,0.191334,0.134468,0.108963,0.064738,0.311849,0.923675
0.396396,0.017729,0.191621,0.133475,0.108100,0.064994,0.310026,0.920380
0.396428,0.017793,0.191685,0.147141,0.115651,0.065250,0.331850,0.943100
0.395851,0.017792,0.191590,0.135204,0.106787,0.064706,0.310281,0.920603
0.395403,0.017728,0.191558,0.135204,0.107331,0.064418,0.310473,0.920891
0.395115,0.017505,0.191814,0.135300,0.106819,0.064802,0.310569,0.920315
0.409548,0.017952,0.191558,0.139588,0.122564,0.067554,0.333098,0.957373
0.397452,0.017632,0.191622,0.134148,0.108227,0.063906,0.309801,0.921147
0.394923,0.017601,0.192454,0.142532,0.107715,0.070594,0.324745,0.935835
0.394700,0.017600,0.208934,0.126851,0.122692,0.065666,0.318826,0.946012
0.395755,0.017760,0.192262,0.124291,0.110372,0.063842,0.302345,0.912987
0.394475,0.017569,0.192006,0.135748,0.121891,0.075235,0.336650,0.945756
0.396875,0.017633,0.192102,0.136516,0.104739,0.062946,0.307977,0.919611
0.395820,0.017792,0.191525,0.126628,0.107267,0.064834,0.302089,0.912507
0.395116,0.018016,0.192486,0.140132,0.109251,0.066241,0.319241,0.929724
0.397292,0.017569,0.191237,0.134468,0.110308,0.073122,0.321546,0.932860
0.422445,0.017569,0.191621,0.123428,0.123588,0.066178,0.316522,0.953469
0.395756,0.017632,0.192166,0.136420,0.109571,0.064482,0.314089,0.924891
0.396748,0.017793,0.192037,0.124708,0.105763,0.066530,0.300553,0.912315
0.395371,0.017665,0.191749,0.119620,0.124068,0.097635,0.345035,0.954492
0.395019,0.017633,0.192262,0.119203,0.124420,0.067746,0.314569,0.923867
0.395628,0.017600,0.191174,0.132644,0.121443,0.067394,0.325002,0.933308
0.395115,0.017729,0.192134,0.120035,0.106211,0.074211,0.303497,0.912411
0.413004,0.017665,0.191845,0.136388,0.120579,0.085635,0.345931,0.972541
0.397676,0.017632,0.191334,0.139812,0.121156,0.065794,0.330858,0.942396
0.395244,0.017568,0.191558,0.138404,0.124580,0.071266,0.337834,0.947004
0.394572,0.017857,0.191909,0.164069,0.164357,0.065826,0.397772,1.006910
0.395852,0.017504,0.191238,0.116420,0.107171,0.068066,0.295433,0.904507
0.395532,0.017344,0.191398,0.120739,0.115172,0.069922,0.309161,0.917659
0.396044,0.017696,0.191622,0.121412,0.106275,0.061666,0.292713,0.902683
0.410732,0.017761,0.191845,0.148389,0.123843,0.064386,0.340298,0.964828
0.394955,0.017761,0.191878,0.118019,0.108547,0.063970,0.294024,0.902842
0.395052,0.017793,0.192613,0.107651,0.116196,0.062338,0.289641,0.899835
0.397484,0.017665,0.191813,0.160133,0.107875,0.065858,0.337962,0.950140
0.398316,0.017632,0.192070,0.137092,0.108643,0.065602,0.314697,0.927355
0.395596,0.017824,0.191590,0.122500,0.108003,0.066402,0.300969,0.911099
0.395852,0.017825,0.191333,0.132612,0.107683,0.064769,0.308681,0.918555
0.408684,0.018048,0.191430,0.131044,0.113859,0.064002,0.312393,0.935291
0.396107,0.017281,0.191846,0.113507,0.109635,0.063234,0.289896,0.899706
0.394764,0.017792,0.191430,0.110787,0.107299,0.063105,0.284520,0.892442
0.394764,0.017856,0.191686,0.141028,0.117988,0.065410,0.328266,0.937756
0.394667,0.017600,0.192134,0.108355,0.103747,0.063170,0.278376,0.887098
0.396396,0.017537,0.191845,0.129412,0.105795,0.066178,0.304585,0.915291
0.396011,0.017792,0.191462,0.140036,0.107235,0.075650,0.326441,0.936923
0.429196,0.017696,0.191462,0.128484,0.120515,0.065474,0.317865,0.961372
0.395948,0.017600,0.191366,0.138820,0.122596,0.066562,0.331594,0.941820
0.395019,0.017569,0.191302,0.121699,0.124004,0.063202,0.312265,0.920091
0.394700,0.017536,0.206118,0.124900,0.105859,0.064546,0.299145,0.923035
0.395596,0.017568,0.191494,0.128420,0.108771,0.064322,0.304745,0.913243
0.396460,0.017793,0.191845,0.136261,0.109219,0.066850,0.316106,0.927260
0.395499,0.017569,0.191910,0.134948,0.108291,0.064514,0.311753,0.921947
0.395916,0.017760,0.191462,0.136996,0.107331,0.063778,0.311497,0.921819
