Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],IN[9],INFER[9-9],OUT[9],TEE[9-9],Layer[10],classifier
0.435075,0.017504,0.203105,0.004896,0.046689,0.000608,0.013376,0.000384,0.001408,0.097409,0.035360,0.056992,0.192609,0.000544,0.923718
0.415939,0.017184,0.203298,0.004832,0.046912,0.000640,0.013408,0.000352,0.001376,0.100193,0.037920,0.058625,0.199554,0.000640,0.911047
0.416451,0.017216,0.202785,0.004864,0.048225,0.000800,0.013408,0.000416,0.001440,0.118401,0.042208,0.060448,0.224737,0.000544,0.938726
0.415523,0.017280,0.203842,0.004896,0.066240,0.000640,0.013760,0.000384,0.001536,0.110017,0.037568,0.059137,0.209666,0.000480,0.941927
0.416579,0.017344,0.203841,0.004864,0.049633,0.000608,0.013568,0.000384,0.001440,0.104224,0.036129,0.060704,0.204129,0.000544,0.920902
0.418531,0.017152,0.203298,0.004864,0.049056,0.000576,0.013376,0.000416,0.001440,0.101537,0.035808,0.058849,0.199138,0.000480,0.915143
0.416035,0.017440,0.202946,0.004832,0.050752,0.000544,0.013312,0.000384,0.001440,0.086369,0.035104,0.055521,0.179650,0.000512,0.893735
0.435299,0.017185,0.202881,0.004864,0.048576,0.000544,0.013344,0.000352,0.001409,0.110816,0.042753,0.059488,0.216033,0.000416,0.948487
0.415491,0.017216,0.203649,0.004896,0.047521,0.000544,0.013312,0.000384,0.001440,0.096673,0.039744,0.058880,0.198401,0.000448,0.909478
0.416579,0.017440,0.202786,0.004896,0.047104,0.000576,0.013376,0.000416,0.001440,0.097953,0.036704,0.057760,0.195521,0.000480,0.907302
0.416355,0.017280,0.215938,0.004960,0.047008,0.000576,0.013248,0.000384,0.001440,0.098817,0.031328,0.054977,0.188162,0.000544,0.912359
0.415811,0.017472,0.203778,0.004832,0.046848,0.000544,0.013376,0.000352,0.001376,0.098465,0.037440,0.057377,0.196066,0.000416,0.908007
0.415171,0.017440,0.202817,0.004864,0.046784,0.000672,0.013376,0.000416,0.001376,0.097985,0.034464,0.057537,0.192738,0.000480,0.902727
0.415555,0.017313,0.202849,0.004928,0.046816,0.000576,0.013377,0.000352,0.001440,0.093088,0.038944,0.056417,0.191649,0.000512,0.901383
0.431875,0.017344,0.203489,0.004864,0.046913,0.000576,0.013536,0.000384,0.001376,0.107169,0.036544,0.056672,0.203105,0.000416,0.930630
0.415683,0.017760,0.203297,0.004961,0.046816,0.000608,0.013344,0.000384,0.001344,0.096513,0.040448,0.059680,0.199553,0.000448,0.910822
0.415395,0.017504,0.203842,0.004928,0.046944,0.000576,0.013376,0.000384,0.001344,0.098369,0.031200,0.056129,0.188514,0.000448,0.899975
0.415523,0.017440,0.202946,0.004928,0.063104,0.000640,0.013504,0.000416,0.001376,0.090849,0.038080,0.056065,0.188034,0.000512,0.914823
0.415619,0.017312,0.202402,0.004896,0.046880,0.000576,0.013344,0.000352,0.001376,0.090529,0.031488,0.054368,0.179490,0.000544,0.888775
0.415075,0.017376,0.203138,0.004928,0.046720,0.000576,0.013344,0.000352,0.001408,0.100417,0.038112,0.061025,0.202338,0.000448,0.912647
0.415299,0.017441,0.203233,0.004896,0.046880,0.000576,0.013312,0.000352,0.001440,0.091329,0.037664,0.056033,0.188098,0.000512,0.898471
0.430499,0.017536,0.203361,0.004864,0.047201,0.000576,0.013312,0.000384,0.001376,0.102112,0.037345,0.057440,0.199713,0.000416,0.925894
