Layer[0],Layer[1],Layer[2],IN[3],INFER[3-3],OUT[3],TEE[3-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.396556,0.017824,0.191654,0.118211,0.034978,0.058593,0.215014,0.049890,0.000864,0.013568,0.000352,0.001472,0.001536,0.000320,0.897306
0.395692,0.030817,0.192070,0.139364,0.044257,0.062754,0.249639,0.049218,0.000864,0.013568,0.000384,0.001504,0.001536,0.000384,0.944188
0.395532,0.017728,0.191686,0.158469,0.034433,0.059874,0.256136,0.049473,0.001088,0.013633,0.000384,0.001472,0.001472,0.000352,0.937180
0.395691,0.017537,0.191366,0.138596,0.044673,0.066274,0.252583,0.049762,0.000800,0.013568,0.000384,0.001472,0.001664,0.000352,0.932603
0.396268,0.017888,0.192198,0.138404,0.038785,0.061954,0.242631,0.047969,0.000640,0.013633,0.000384,0.001472,0.001184,0.000384,0.938460
0.397131,0.017729,0.192198,0.126211,0.036226,0.059009,0.224454,0.048482,0.000832,0.013568,0.000448,0.001440,0.001664,0.000384,0.906042
0.395020,0.018336,0.191974,0.135556,0.035361,0.060546,0.234663,0.049250,0.001088,0.013600,0.000384,0.001472,0.001440,0.000384,0.915803
0.395692,0.018496,0.191846,0.138084,0.035457,0.066978,0.243399,0.049250,0.001056,0.013568,0.000384,0.001504,0.001440,0.000352,0.924283
0.413741,0.017728,0.191750,0.139492,0.045953,0.069538,0.257960,0.047873,0.000832,0.013536,0.000416,0.001472,0.001377,0.000352,0.955005
0.396364,0.017729,0.191397,0.135556,0.035553,0.060386,0.234439,0.047714,0.001088,0.013504,0.000352,0.001472,0.001280,0.000352,0.912923
0.395756,0.018080,0.191366,0.132708,0.033921,0.086243,0.255848,0.047937,0.000800,0.013473,0.000352,0.001472,0.001376,0.000352,0.934588
0.395628,0.017921,0.191461,0.146565,0.042721,0.061666,0.254056,0.048993,0.000608,0.013537,0.000352,0.001440,0.001056,0.000384,0.933084
0.395819,0.017600,0.191302,0.130404,0.036641,0.058465,0.228614,0.047874,0.001056,0.013472,0.000416,0.001504,0.001248,0.000352,0.906875
0.395372,0.017857,0.191525,0.123556,0.035233,0.057538,0.219175,0.049025,0.001152,0.013505,0.000416,0.001472,0.001056,0.000352,0.898747
0.396396,0.017760,0.191878,0.127844,0.036865,0.057954,0.226087,0.047841,0.000864,0.013568,0.000353,0.001504,0.001152,0.000384,0.905723
0.411340,0.017889,0.191301,0.136324,0.046018,0.060417,0.246183,0.050689,0.000960,0.013536,0.000416,0.001505,0.001120,0.000416,0.943324
0.395468,0.017760,0.191718,0.133668,0.043873,0.058018,0.238567,0.047745,0.000832,0.013537,0.000384,0.001376,0.001120,0.000352,0.916539
0.395499,0.017825,0.191430,0.121027,0.035713,0.057506,0.217094,0.047778,0.000864,0.013536,0.000384,0.001440,0.001088,0.000320,0.894874
0.395820,0.017600,0.207462,0.130404,0.046018,0.061185,0.241064,0.051809,0.000832,0.013537,0.000416,0.001408,0.001088,0.000352,0.939740
0.395724,0.017568,0.191430,0.138052,0.036897,0.059330,0.237287,0.047585,0.000832,0.013568,0.000416,0.001408,0.001088,0.000320,0.914587
0.396044,0.017345,0.191397,0.132932,0.037026,0.059073,0.232199,0.047874,0.000640,0.013600,0.000416,0.001408,0.001088,0.000352,0.909627
0.395500,0.017472,0.191782,0.135140,0.037121,0.059074,0.234439,0.047841,0.001089,0.013600,0.000416,0.001408,0.001056,0.000384,0.911899
0.395052,0.017409,0.191589,0.133988,0.036993,0.058978,0.232967,0.047650,0.000864,0.013536,0.000352,0.001440,0.000928,0.000352,0.909723
0.395403,0.017249,0.191750,0.134564,0.035937,0.058401,0.232102,0.047842,0.000896,0.013536,0.000416,0.001408,0.000960,0.000320,0.909306
0.397932,0.017441,0.191557,0.128100,0.034017,0.068578,0.234375,0.047586,0.001056,0.013568,0.000384,0.001440,0.001184,0.000352,0.914587
0.410220,0.017505,0.192166,0.134372,0.045697,0.063778,0.246631,0.047713,0.000864,0.013601,0.000384,0.001472,0.001088,0.000384,0.939228
0.395723,0.017697,0.192006,0.139140,0.036129,0.064322,0.242535,0.048321,0.000896,0.013793,0.000352,0.001376,0.001152,0.000320,0.921915
0.395564,0.017696,0.191590,0.135588,0.034145,0.058082,0.231175,0.048193,0.000832,0.013569,0.000352,0.001376,0.001088,0.000384,0.909243
0.396044,0.017985,0.192549,0.137828,0.035937,0.059905,0.236774,0.085506,0.001056,0.014145,0.000384,0.001440,0.001024,0.000352,0.954717
0.396396,0.017569,0.192677,0.139140,0.045378,0.063362,0.251240,0.048833,0.000800,0.013633,0.000352,0.001440,0.000992,0.000320,0.931772
