Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-6],OUT[6],TEE[6-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.411916,0.017953,0.192102,0.004864,0.047937,0.000800,0.108323,0.056802,0.069122,0.237191,0.000736,0.002016,0.001184,0.000416,0.923931
0.395820,0.017825,0.192517,0.005313,0.048449,0.000800,0.103011,0.047202,0.060001,0.213414,0.000800,0.002593,0.001120,0.000416,0.886555
0.395980,0.017697,0.191813,0.005249,0.047425,0.000800,0.110115,0.049282,0.060834,0.223495,0.000736,0.002240,0.001152,0.000416,0.894459
0.395980,0.017888,0.191750,0.005024,0.049250,0.000576,0.110051,0.067522,0.083491,0.264488,0.000608,0.002048,0.001184,0.000352,0.936508
0.396428,0.017792,0.191910,0.004800,0.047906,0.000576,0.106179,0.052929,0.065410,0.228038,0.000800,0.002272,0.001729,0.000480,0.901243
0.395884,0.017568,0.191718,0.005120,0.047682,0.000576,0.107203,0.052577,0.060386,0.223174,0.000992,0.002272,0.001152,0.000480,0.894202
0.397579,0.017537,0.193190,0.004800,0.047681,0.000608,0.108900,0.057793,0.062690,0.232583,0.000672,0.002272,0.001248,0.000512,0.906554
0.409932,0.017664,0.192614,0.005312,0.047841,0.000832,0.106596,0.048513,0.060834,0.219015,0.000544,0.002208,0.001088,0.000576,0.904731
0.396875,0.017825,0.191878,0.005088,0.049249,0.000992,0.111076,0.056545,0.075779,0.247048,0.000832,0.004864,0.001024,0.000448,0.923675
0.395980,0.017633,0.191557,0.005281,0.047649,0.000576,0.106723,0.049538,0.060385,0.219750,0.000897,0.002432,0.001056,0.000320,0.890299
0.396940,0.017600,0.191782,0.005056,0.047553,0.000800,0.128548,0.051138,0.063554,0.246664,0.000992,0.002688,0.001120,0.000384,0.919675
0.395915,0.017345,0.192454,0.005280,0.047553,0.000736,0.104803,0.055042,0.062786,0.225799,0.000608,0.002304,0.001280,0.000448,0.898170
0.396203,0.017601,0.191910,0.005312,0.047777,0.000768,0.109795,0.056002,0.068802,0.237927,0.001024,0.002848,0.001216,0.000416,0.911034
0.396492,0.017440,0.192102,0.005248,0.047714,0.000608,0.108067,0.050113,0.061090,0.222406,0.000768,0.002464,0.001408,0.000416,0.894778
0.427213,0.018241,0.194949,0.005281,0.049185,0.001024,0.172133,0.053730,0.071426,0.300969,0.001408,0.002944,0.002720,0.000640,1.018270
0.398636,0.017888,0.192326,0.004992,0.049057,0.000832,0.120644,0.058114,0.067330,0.249672,0.000928,0.002656,0.001664,0.000448,0.927227
0.396780,0.017760,0.192230,0.004832,0.048898,0.000800,0.119203,0.056962,0.063874,0.243495,0.001056,0.002336,0.001344,0.000448,0.917499
0.423949,0.017953,0.192453,0.004800,0.048482,0.000864,0.111459,0.058978,0.065506,0.238983,0.001216,0.002720,0.001376,0.000448,0.941500
0.396299,0.017793,0.192102,0.004832,0.048865,0.000832,0.114148,0.057217,0.063874,0.238631,0.001056,0.002528,0.001153,0.000416,0.913467
0.396300,0.017697,0.192005,0.004769,0.048161,0.000832,0.118980,0.050625,0.062754,0.235815,0.000992,0.002432,0.001184,0.000416,0.908539
0.395660,0.017953,0.192133,0.005249,0.048225,0.000832,0.108739,0.064194,0.086211,0.263592,0.001120,0.002432,0.001248,0.000416,0.937308
0.395948,0.017761,0.192165,0.004896,0.047746,0.000832,0.106403,0.049090,0.067650,0.226119,0.000992,0.002368,0.001344,0.000480,0.898043
0.397132,0.017825,0.191973,0.004865,0.049377,0.000832,0.118852,0.050369,0.062690,0.235239,0.000864,0.002464,0.001312,0.000512,0.910427
0.397611,0.017921,0.191814,0.005024,0.048513,0.000800,0.110180,0.050401,0.060834,0.224967,0.000960,0.002336,0.001280,0.000704,0.900762
0.416044,0.017857,0.191877,0.005057,0.049889,0.000832,0.111971,0.050433,0.063298,0.228871,0.000960,0.002688,0.001248,0.000896,0.923739
0.396332,0.017665,0.191941,0.005057,0.047905,0.000800,0.109219,0.057218,0.065730,0.235271,0.001248,0.002272,0.001280,0.000448,0.907739
0.395788,0.017697,0.191493,0.004832,0.048514,0.000800,0.112323,0.057602,0.064034,0.237063,0.000800,0.002272,0.001280,0.000480,0.908411
0.397036,0.017761,0.191621,0.005313,0.065858,0.000832,0.114883,0.057186,0.070306,0.245543,0.001056,0.002592,0.001312,0.000416,0.937980
0.396748,0.017857,0.192293,0.004769,0.048577,0.000768,0.112611,0.055682,0.062978,0.234727,0.000896,0.002368,0.001344,0.000352,0.908795
0.397132,0.017856,0.191622,0.005088,0.049825,0.000832,0.114692,0.055874,0.063265,0.237575,0.000672,0.002336,0.001216,0.000480,0.912539
0.395756,0.017664,0.191462,0.004800,0.047905,0.001056,0.116356,0.048641,0.061698,0.229895,0.001024,0.002208,0.001216,0.000704,0.901242
0.396972,0.017857,0.191653,0.005152,0.047426,0.000992,0.108483,0.057762,0.068450,0.237703,0.000960,0.002464,0.001280,0.000384,0.910619
0.396204,0.017665,0.192453,0.005088,0.048930,0.000800,0.107363,0.054114,0.065570,0.230215,0.000608,0.002304,0.001184,0.000384,0.903355
0.398796,0.017665,0.192165,0.004864,0.047970,0.000800,0.113411,0.055042,0.070914,0.243111,0.000832,0.002048,0.001248,0.000448,0.918843
0.396908,0.017664,0.212455,0.005440,0.048513,0.000832,0.120708,0.058370,0.064834,0.246856,0.000928,0.002240,0.001312,0.000416,0.941980
0.397772,0.017632,0.192229,0.005088,0.048482,0.000800,0.108419,0.049154,0.061953,0.222598,0.001024,0.002305,0.001248,0.000416,0.897435
0.396876,0.017568,0.191462,0.005248,0.048065,0.000833,0.114851,0.049217,0.060578,0.228006,0.000928,0.002464,0.001216,0.000928,0.901371
0.397035,0.017760,0.191910,0.004864,0.048609,0.000800,0.107524,0.048641,0.067010,0.226247,0.000896,0.001984,0.001248,0.000672,0.899738
0.396651,0.017729,0.191974,0.005056,0.047841,0.000864,0.114180,0.047873,0.061794,0.227527,0.000960,0.002368,0.001280,0.000864,0.901594
0.396876,0.017825,0.191845,0.004897,0.048001,0.000800,0.107075,0.052194,0.060674,0.223239,0.000896,0.002240,0.001312,0.000960,0.896795
0.396012,0.017857,0.191653,0.005440,0.048098,0.000832,0.112707,0.048418,0.061154,0.225479,0.001024,0.002272,0.001248,0.000416,0.897915
0.396716,0.036961,0.192678,0.005120,0.048033,0.000832,0.111492,0.048577,0.061570,0.224871,0.001088,0.004224,0.001248,0.000800,0.921179
