IN[0],INFER[0-4],OUT[4],TEE[0-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.157924,1.571374,0.078179,1.814582,0.001152,0.016704,0.000640,0.001600,0.001281,0.000416,1.840695
0.156996,1.556719,0.070114,1.791798,0.000832,0.015552,0.000416,0.001600,0.001120,0.000480,1.815607
0.153892,1.571183,0.085155,1.817750,0.000960,0.015392,0.000416,0.001600,0.001184,0.000384,1.841302
0.157221,1.558894,0.070498,1.794485,0.000800,0.014849,0.000416,0.001472,0.001216,0.000480,1.817686
0.155621,1.573359,0.080707,1.817431,0.000864,0.015200,0.000416,0.001696,0.001216,0.000384,1.840919
0.187878,1.556366,0.071523,1.823223,0.000832,0.015680,0.000416,0.001600,0.001120,0.000416,1.847447
0.177285,1.569615,0.070466,1.825654,0.000864,0.015105,0.000416,0.001632,0.001216,0.000384,1.849335
0.163813,1.557550,0.071266,1.799702,0.000832,0.015840,0.000640,0.001664,0.001280,0.000416,1.824502
0.155429,1.557966,0.068290,1.788758,0.000896,0.014816,0.000608,0.001568,0.001120,0.000416,1.812406
0.157093,1.556974,0.103139,1.825494,0.000960,0.014912,0.000416,0.001536,0.001120,0.000416,1.849783
0.152740,1.554095,0.068194,1.781557,0.000928,0.014816,0.000416,0.001536,0.001152,0.000416,1.804597
0.156837,1.573903,0.089538,1.828311,0.000832,0.014656,0.000416,0.001440,0.001120,0.000384,1.852023
0.156101,1.555630,0.068674,1.786965,0.000864,0.014593,0.000448,0.001472,0.001184,0.000384,1.809398
0.154372,1.575695,0.097763,1.834806,0.001088,0.014817,0.000416,0.001504,0.001184,0.000480,1.858231
0.152453,1.555630,0.070339,1.785334,0.000896,0.016032,0.000416,0.001504,0.001056,0.000384,1.809654
0.137412,1.576207,0.109092,1.829463,0.001120,0.014912,0.000672,0.001472,0.001280,0.000352,1.853239
0.156229,1.557998,0.072034,1.792789,0.000960,0.016129,0.000608,0.001568,0.001280,0.000416,1.817814
0.156613,1.578543,0.080994,1.823446,0.000864,0.015105,0.000640,0.001536,0.001056,0.000384,1.846679
0.152356,1.556495,0.071106,1.787381,0.000864,0.014688,0.000384,0.001569,0.001024,0.000416,1.810230
0.154693,1.579535,0.084515,1.825335,0.001120,0.014880,0.000416,0.001568,0.001088,0.000384,1.848631
0.148356,1.556303,0.069858,1.781205,0.000864,0.014912,0.000384,0.001600,0.001056,0.000416,1.804118
0.151012,1.577711,0.098083,1.835735,0.001312,0.015040,0.000416,0.001536,0.001088,0.000384,1.860343
0.135332,1.553198,0.067042,1.762708,0.000768,0.014785,0.000416,0.001536,0.000992,0.000352,1.785141
0.153637,1.571215,0.104611,1.838295,0.001248,0.015168,0.000416,0.001472,0.001153,0.000352,1.862904
0.151429,1.559438,0.069858,1.788085,0.000800,0.015297,0.000608,0.001536,0.001120,0.000416,1.811382
0.144229,1.571823,0.106659,1.830647,0.000960,0.015456,0.000641,0.001600,0.001024,0.000480,1.854776
0.144900,1.557038,0.069283,1.778005,0.000832,0.014720,0.000416,0.001600,0.001248,0.000352,1.801045
0.150661,1.574959,0.072674,1.804982,0.001056,0.015233,0.000640,0.001600,0.001184,0.000416,1.829495
0.154789,1.560014,0.072131,1.794518,0.001280,0.015200,0.000640,0.001568,0.001184,0.000384,1.818678
0.181029,1.555470,0.067042,1.810102,0.000800,0.014944,0.000417,0.001472,0.001152,0.000416,1.833335
0.152997,1.558382,0.069410,1.786933,0.000768,0.015009,0.000384,0.001472,0.001152,0.000480,1.810070
0.177926,1.554926,0.067458,1.806454,0.001024,0.014721,0.000640,0.001408,0.001120,0.000416,1.829655
0.152293,1.554574,0.068834,1.783317,0.001025,0.014880,0.000640,0.001440,0.001088,0.000384,1.806550
0.152453,1.556686,0.067810,1.783541,0.000832,0.014977,0.000608,0.001504,0.001248,0.000352,1.806806
0.151908,1.577839,0.074882,1.811381,0.001121,0.015072,0.000416,0.001600,0.001216,0.000352,1.836310
0.152677,1.556494,0.068578,1.784981,0.000864,0.014913,0.000576,0.001536,0.001312,0.000384,1.808310
0.156453,1.578799,0.090979,1.834359,0.001088,0.014848,0.000416,0.001568,0.001217,0.000416,1.858456
0.149284,1.555727,0.067682,1.778965,0.000832,0.015040,0.000672,0.001536,0.001216,0.000384,1.802294
0.141092,1.569743,0.071938,1.790069,0.000992,0.015840,0.000672,0.001504,0.001216,0.000416,1.814806
0.150404,1.553135,0.067426,1.777237,0.000800,0.014848,0.000832,0.001504,0.001248,0.000384,1.800469
0.138501,1.571822,0.083555,1.800694,0.001184,0.015329,0.000416,0.001504,0.001056,0.000416,1.824759
0.151364,1.554735,0.068770,1.781973,0.000768,0.015104,0.000416,0.001824,0.001089,0.000384,1.805110
0.154980,1.569903,0.073954,1.806325,0.001249,0.015392,0.000576,0.001536,0.001184,0.000544,1.830550
0.140612,1.551534,0.068482,1.768213,0.001216,0.015457,0.000608,0.001536,0.001120,0.000384,1.792150
0.153349,1.567759,0.081602,1.809398,0.001184,0.015233,0.000416,0.001536,0.000960,0.000384,1.832855
0.140452,1.568718,0.071042,1.788053,0.000961,0.015328,0.000416,0.001568,0.001312,0.000384,1.812726
0.159461,1.572495,0.075970,1.815319,0.001088,0.015520,0.000448,0.001600,0.001184,0.000384,1.840279
0.159973,1.555855,0.070434,1.792054,0.001184,0.015552,0.000672,0.001536,0.001248,0.000704,1.817047
0.155109,1.569870,0.084323,1.816982,0.001120,0.014945,0.000608,0.001504,0.001216,0.000480,1.841719
0.141348,1.554063,0.069282,1.771445,0.000928,0.015904,0.000384,0.001696,0.000960,0.000352,1.795317
0.187014,1.587439,0.082371,1.866232,0.002080,0.018080,0.000608,0.001888,0.002368,0.000544,1.896568
0.137444,1.558254,0.072738,1.775413,0.001696,0.016032,0.000640,0.001824,0.002048,0.000353,1.801910
0.156709,1.574863,0.086467,1.825239,0.000864,0.015968,0.000608,0.001600,0.001120,0.000384,1.849815
0.147588,1.556015,0.068770,1.779637,0.000832,0.015584,0.000448,0.001536,0.001792,0.000480,1.804150
0.177189,1.588912,0.069634,1.842263,0.000800,0.015392,0.000608,0.001504,0.001152,0.000384,1.865975
0.153733,1.555758,0.069474,1.786229,0.000768,0.015489,0.000608,0.001504,0.001056,0.000416,1.810102
0.154533,1.556174,0.072611,1.790262,0.000928,0.015616,0.000640,0.001760,0.000928,0.000384,1.814326
0.132867,1.555950,0.068930,1.763956,0.001184,0.015649,0.000384,0.001504,0.001024,0.000416,1.787829
0.151973,1.557102,0.069603,1.785398,0.000832,0.014880,0.000448,0.001504,0.001056,0.000384,1.808342
0.152740,1.555695,0.096738,1.812566,0.000832,0.014880,0.000416,0.001504,0.001056,0.000384,1.835414
0.151173,1.559918,0.068098,1.785461,0.000768,0.014881,0.000448,0.001504,0.001088,0.000384,1.808598
0.152197,1.573167,0.084770,1.817878,0.001088,0.014913,0.000416,0.001536,0.001088,0.000416,1.841975
0.154756,1.555791,0.067618,1.784309,0.000768,0.014816,0.000384,0.001568,0.001056,0.000384,1.806902
0.209126,1.584719,0.081603,1.884536,0.001792,0.017408,0.000640,0.001760,0.002464,0.000544,1.913753
0.154020,1.557839,0.068386,1.786677,0.001152,0.016096,0.000384,0.001824,0.001344,0.000577,1.812310
0.151396,1.576367,0.071554,1.806741,0.001120,0.016224,0.000640,0.001600,0.001088,0.000608,1.831926
0.156645,1.558574,0.071266,1.794357,0.000992,0.015713,0.000608,0.001536,0.001536,0.000384,1.818838
