IN[0],INFER[0-4],OUT[4],TEE[0-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.170181,1.563118,0.072546,1.815030,0.001056,0.016513,0.000608,0.001824,0.001600,0.000544,1.841175
0.147589,1.579055,0.087842,1.823255,0.001312,0.016448,0.000608,0.001824,0.001632,0.000832,1.850359
0.150020,1.560367,0.070018,1.786293,0.000992,0.015936,0.000576,0.001792,0.001312,0.000384,1.811765
0.192294,1.553006,0.065026,1.815990,0.000800,0.015745,0.000640,0.001792,0.000992,0.000608,1.840439
0.169125,1.566319,0.073218,1.817494,0.001088,0.016961,0.000640,0.001600,0.001408,0.000608,1.844695
0.152581,1.555598,0.066146,1.780405,0.000960,0.015169,0.000384,0.001600,0.000960,0.000640,1.804470
0.144069,1.553006,0.063490,1.765717,0.000928,0.015200,0.000384,0.001568,0.001120,0.000384,1.789205
0.173221,1.571215,0.073282,1.827670,0.001248,0.017153,0.000384,0.002112,0.002048,0.000608,1.856023
0.157317,1.579791,0.085731,1.830711,0.001632,0.016032,0.000608,0.001728,0.001600,0.000576,1.857752
0.165765,1.556207,0.066530,1.794422,0.000992,0.016320,0.000320,0.001504,0.001088,0.000384,1.818550
0.148932,1.572463,0.087267,1.813622,0.000736,0.018048,0.000416,0.001505,0.001056,0.000352,1.839447
0.159621,1.558830,0.069378,1.795573,0.000769,0.016352,0.000384,0.001600,0.001152,0.000384,1.820246
0.151460,1.572590,0.113892,1.845623,0.000960,0.015296,0.000384,0.001569,0.001056,0.000352,1.870040
0.210567,1.577359,0.087139,1.886265,0.001504,0.018592,0.000640,0.002112,0.002912,0.000672,1.918009
0.166213,1.571950,0.073827,1.817719,0.000992,0.016768,0.000640,0.001664,0.001888,0.000576,1.844951
0.172357,1.554927,0.065185,1.797686,0.000736,0.016064,0.000672,0.001536,0.001536,0.000608,1.823030
0.143364,1.567887,0.075170,1.791701,0.000768,0.016320,0.000609,0.001504,0.001664,0.000384,1.816790
0.129347,1.552879,0.062082,1.749460,0.000704,0.015808,0.000416,0.001568,0.001696,0.000384,1.773780
0.177446,1.576687,0.076290,1.837655,0.001024,0.015681,0.000384,0.001472,0.001280,0.000352,1.862904
0.144676,1.552782,0.064354,1.767957,0.001120,0.015936,0.000416,0.001472,0.001280,0.000608,1.792662
0.147716,1.567119,0.072610,1.794101,0.001120,0.016321,0.000416,0.001632,0.001312,0.000608,1.819254
0.148293,1.550574,0.064642,1.769429,0.000736,0.015393,0.000352,0.001632,0.001280,0.000352,1.793046
0.144356,1.566255,0.065378,1.781301,0.001088,0.016033,0.000384,0.001632,0.001312,0.000352,1.805846
0.149060,1.552463,0.064417,1.772053,0.000736,0.016000,0.000384,0.001472,0.001536,0.000352,1.796373
0.167237,1.565518,0.076194,1.813910,0.000705,0.015136,0.000416,0.001472,0.001184,0.000384,1.836567
0.143684,1.549806,0.064994,1.765140,0.000864,0.015649,0.000416,0.001472,0.001344,0.000512,1.789365
0.167269,1.554383,0.066690,1.794390,0.000864,0.015104,0.000384,0.001536,0.001440,0.000416,1.817654
0.145092,1.558031,0.066242,1.777269,0.000768,0.014784,0.000640,0.001536,0.001216,0.000416,1.800437
0.146821,1.563886,0.066145,1.782709,0.000768,0.014656,0.000640,0.001440,0.001184,0.000352,1.805174
0.142692,1.551086,0.063298,1.762741,0.000736,0.014464,0.000384,0.001472,0.001184,0.000416,1.784725
0.139013,1.553966,0.066306,1.766069,0.000768,0.014657,0.000416,0.001504,0.001056,0.000352,1.788374
0.169637,1.551310,0.063522,1.790133,0.000832,0.014433,0.000416,0.001472,0.001120,0.000352,1.812470
0.148996,1.550799,0.065986,1.772245,0.000800,0.014944,0.000384,0.001568,0.000992,0.000352,1.794965
0.145124,1.549518,0.099523,1.800182,0.001056,0.015169,0.000416,0.001472,0.000960,0.000352,1.823319
0.144805,1.550990,0.064578,1.766037,0.000800,0.014433,0.000448,0.001376,0.001056,0.000320,1.787798
0.143300,1.570159,0.091043,1.810806,0.001152,0.015104,0.000384,0.001472,0.001216,0.000320,1.835286
0.129092,1.547438,0.062817,1.745876,0.001152,0.015073,0.000384,0.001472,0.001024,0.000320,1.768693
0.150437,1.568847,0.079714,1.807062,0.000736,0.014881,0.000416,0.001504,0.000992,0.000320,1.830551
0.145924,1.550798,0.064258,1.766964,0.000800,0.014785,0.000384,0.001408,0.000960,0.000352,1.788981
0.146533,1.565582,0.119364,1.836535,0.001024,0.015072,0.000384,0.001472,0.000929,0.000320,1.859512
0.143844,1.550350,0.065666,1.765812,0.000672,0.014593,0.000384,0.001472,0.000960,0.000320,1.787925
0.130148,1.569135,0.119555,1.825718,0.001024,0.015361,0.000416,0.001472,0.001088,0.000384,1.850135
0.146916,1.545326,0.063458,1.760500,0.000768,0.014977,0.000384,0.001472,0.000928,0.000320,1.782613
0.159525,1.573902,0.079330,1.819798,0.000800,0.014944,0.000385,0.001504,0.000928,0.000288,1.842999
0.141477,1.554446,0.064386,1.765877,0.000736,0.014560,0.000416,0.001504,0.000929,0.000320,1.787734
0.139492,1.569647,0.110276,1.824695,0.001056,0.015040,0.000416,0.001472,0.001024,0.000320,1.847543
0.165349,1.549422,0.062786,1.782517,0.000768,0.014464,0.000384,0.001472,0.000992,0.000256,1.804533
0.132932,1.568302,0.100771,1.809430,0.001088,0.015777,0.000640,0.001536,0.000992,0.000352,1.834551
0.143044,1.547534,0.064674,1.761205,0.000768,0.014496,0.000416,0.001536,0.000928,0.000384,1.783189
0.138181,1.582799,0.084002,1.812150,0.001120,0.014849,0.000416,0.001568,0.001056,0.000384,1.836023
0.148420,1.568847,0.066210,1.790229,0.000704,0.014913,0.000384,0.001536,0.000960,0.000384,1.812630
0.147365,1.571439,0.126531,1.851863,0.000768,0.015041,0.000416,0.001472,0.000960,0.000416,1.875608
0.146853,1.553038,0.062914,1.767925,0.000800,0.014432,0.000416,0.001472,0.000896,0.000384,1.789781
0.142500,1.566703,0.074690,1.790485,0.000832,0.014592,0.000416,0.001504,0.001024,0.000384,1.813846
0.137412,1.550510,0.064129,1.757396,0.000704,0.014432,0.000352,0.001472,0.000992,0.000384,1.779573
0.143620,1.567503,0.078370,1.794773,0.000640,0.015136,0.000640,0.001568,0.000960,0.000352,1.817782
0.136324,1.549806,0.064738,1.756852,0.000704,0.014561,0.000384,0.001568,0.000960,0.000384,1.778837
0.167173,1.570063,0.073666,1.816694,0.000672,0.015328,0.000416,0.001568,0.000960,0.000384,1.839543
0.141956,1.551278,0.064130,1.763252,0.000800,0.014400,0.000384,0.001504,0.000960,0.000384,1.785045
0.142564,1.569327,0.122980,1.842295,0.000992,0.015072,0.000448,0.001376,0.001184,0.000384,1.866263
0.146597,1.550478,0.065602,1.769109,0.000960,0.014817,0.000416,0.001408,0.000992,0.000384,1.791510
0.145892,1.567503,0.085891,1.804310,0.000832,0.014688,0.000384,0.001376,0.001184,0.000448,1.826710
0.144260,1.549998,0.063426,1.763029,0.000640,0.014528,0.000384,0.001408,0.001056,0.000352,1.784821
0.142308,1.567951,0.121732,1.836727,0.000864,0.015104,0.000416,0.001440,0.000992,0.000352,1.859575
0.142660,1.545966,0.064194,1.757652,0.000960,0.015233,0.000736,0.001472,0.000992,0.000384,1.780789
0.158853,1.579215,0.069090,1.813558,0.000992,0.014304,0.000384,0.001408,0.001056,0.000512,1.836119
0.146469,1.550798,0.064674,1.768373,0.000768,0.014369,0.000416,0.001408,0.000960,0.000416,1.790262
0.140900,1.548238,0.062786,1.757236,0.000832,0.014337,0.000352,0.001440,0.000960,0.000352,1.778901
0.135876,1.547598,0.062626,1.750900,0.000704,0.014912,0.000416,0.001440,0.001024,0.000384,1.773140
0.148005,1.551374,0.068418,1.774997,0.000832,0.014529,0.000384,0.001568,0.000960,0.000352,1.796950
0.181477,1.549455,0.064738,1.802646,0.000704,0.014912,0.000384,0.001472,0.000960,0.000384,1.824918
0.144517,1.552078,0.066338,1.769589,0.000832,0.014592,0.000384,0.001408,0.001056,0.000384,1.791606
0.171653,1.547119,0.091522,1.816470,0.000864,0.014977,0.000416,0.001600,0.001088,0.000384,1.839255
0.140421,1.551758,0.063938,1.761845,0.000736,0.014336,0.000384,0.001408,0.000928,0.000385,1.783478
0.131364,1.550670,0.083267,1.771061,0.000992,0.014976,0.000416,0.001440,0.001024,0.000320,1.793813
0.141732,1.545966,0.064258,1.756244,0.000736,0.014528,0.000384,0.001376,0.001056,0.000385,1.778037
0.141732,1.565646,0.082243,1.798070,0.001056,0.015424,0.000704,0.001440,0.001024,0.000352,1.822038
0.141284,1.551438,0.067874,1.766549,0.000704,0.014304,0.000416,0.001440,0.000992,0.000384,1.788245
0.147749,1.568591,0.077506,1.801078,0.000960,0.015073,0.000416,0.001440,0.000960,0.000384,1.824919
0.150500,1.551022,0.066754,1.775188,0.000864,0.014977,0.000384,0.001536,0.001056,0.000448,1.797974
0.148228,1.567919,0.075362,1.797365,0.001152,0.015361,0.000416,0.001472,0.001184,0.000384,1.820662
0.130116,1.550638,0.067458,1.755604,0.000832,0.014401,0.000384,0.001472,0.000960,0.000384,1.777461
0.176133,1.569455,0.074018,1.825398,0.001088,0.014305,0.000416,0.001408,0.000960,0.000576,1.847799
0.132420,1.562223,0.071746,1.772469,0.000896,0.014369,0.000384,0.001472,0.001024,0.000416,1.794358
0.140804,1.569039,0.073698,1.789205,0.001120,0.015073,0.000384,0.001472,0.000960,0.000384,1.812022
0.144613,1.551278,0.065474,1.766421,0.000800,0.014432,0.000672,0.001568,0.001088,0.000352,1.788917
0.133700,1.569807,0.079074,1.790326,0.001184,0.015168,0.000416,0.001440,0.001024,0.000384,1.814678
0.139876,1.554798,0.067779,1.768949,0.000768,0.014592,0.000416,0.001440,0.000960,0.000384,1.791157
0.173093,1.568207,0.078402,1.826518,0.000704,0.015137,0.000448,0.001472,0.001344,0.000384,1.849847
0.149637,1.557614,0.070242,1.784213,0.000832,0.014945,0.000384,0.001600,0.001152,0.000736,1.807638
0.152709,1.570286,0.093122,1.821462,0.001280,0.014913,0.000640,0.001728,0.001248,0.000384,1.845495
0.132676,1.551886,0.070818,1.760692,0.001185,0.014880,0.000608,0.001536,0.001120,0.000384,1.784309
0.149221,1.569230,0.074914,1.800246,0.001152,0.015008,0.000416,0.001536,0.001312,0.000577,1.824823
0.148197,1.554414,0.069826,1.778933,0.000864,0.014817,0.000384,0.001472,0.001024,0.000416,1.801430
0.148932,1.573071,0.081251,1.809622,0.001120,0.015008,0.000384,0.001472,0.001408,0.000384,1.833686
0.149733,1.556142,0.067650,1.780405,0.000832,0.014529,0.000352,0.001504,0.000992,0.000384,1.802390
0.152260,1.575215,0.073538,1.808309,0.001089,0.015232,0.000416,0.001504,0.001088,0.000384,1.831510
0.148580,1.552303,0.065250,1.771925,0.000736,0.014656,0.000416,0.001472,0.000960,0.000416,1.793813
0.134564,1.563791,0.079682,1.785333,0.000960,0.015232,0.000384,0.001536,0.001312,0.000352,1.809558
0.134308,1.566159,0.067682,1.775445,0.000864,0.014592,0.000416,0.001536,0.001185,0.000416,1.798294
0.150532,1.572495,0.083875,1.812534,0.001152,0.014880,0.000608,0.001536,0.001184,0.000384,1.836023
0.149476,1.557231,0.068130,1.781173,0.001024,0.014816,0.000416,0.001472,0.000928,0.000416,1.803765
0.128356,1.572079,0.075138,1.783189,0.000896,0.015073,0.000384,0.001536,0.001024,0.000384,1.807062
0.178341,1.555438,0.065378,1.805749,0.000928,0.014497,0.000576,0.001440,0.000992,0.000384,1.828086
0.165893,1.583279,0.070306,1.826358,0.000800,0.014497,0.000640,0.001664,0.000928,0.000384,1.848887
0.149636,1.553326,0.065314,1.775253,0.000704,0.014400,0.000608,0.001440,0.000992,0.000416,1.797301
0.153605,1.554158,0.064898,1.779701,0.000672,0.014496,0.000417,0.001504,0.001088,0.000384,1.801622
0.147332,1.552206,0.066114,1.772564,0.000864,0.015361,0.000416,0.001600,0.001024,0.000384,1.795989
0.169189,1.550415,0.063938,1.788566,0.000896,0.014432,0.000352,0.001504,0.001024,0.000384,1.810582
0.156261,1.559951,0.068450,1.792374,0.000928,0.038017,0.000352,0.001536,0.001280,0.000384,1.839031
0.147140,1.553838,0.073571,1.780917,0.000896,0.015168,0.000352,0.001536,0.000928,0.000384,1.803989
0.138212,1.570287,0.079267,1.795350,0.000896,0.014432,0.000384,0.001472,0.001408,0.000416,1.818678
0.149828,1.551566,0.066114,1.773781,0.000832,0.014560,0.000320,0.001504,0.001056,0.000416,1.795893
0.140868,1.567118,0.075842,1.791126,0.001152,0.014944,0.000416,0.001472,0.001120,0.000384,1.815062
0.172101,1.550830,0.066210,1.794901,0.001025,0.015072,0.000384,0.001536,0.000928,0.000640,1.818486
0.130308,1.578959,0.083458,1.800245,0.001120,0.014912,0.000384,0.001600,0.000992,0.000384,1.824310
0.151460,1.552398,0.066658,1.776661,0.000768,0.014432,0.000416,0.001440,0.000960,0.000480,1.798709
0.146277,1.572463,0.080130,1.805654,0.001184,0.014689,0.000384,0.001472,0.000960,0.000352,1.829367
0.149956,1.554958,0.066882,1.778005,0.000800,0.014721,0.000608,0.001504,0.001376,0.000352,1.801014
0.140772,1.569743,0.075522,1.792725,0.000896,0.014881,0.000864,0.001472,0.001056,0.000384,1.815958
0.145860,1.550958,0.064770,1.767156,0.000800,0.014817,0.000416,0.001440,0.001152,0.000384,1.789845
0.148996,1.567087,0.072770,1.795157,0.000992,0.015265,0.000672,0.001600,0.001088,0.000384,1.819702
0.132004,1.552174,0.066882,1.757396,0.000832,0.014624,0.000384,0.001472,0.001121,0.000352,1.779861
0.145765,1.567950,0.079139,1.798390,0.001120,0.014848,0.000384,0.001536,0.000960,0.000384,1.821302
0.136964,1.551182,0.066978,1.760788,0.000992,0.014881,0.000416,0.001504,0.001088,0.000352,1.783413
0.149252,1.572078,0.081219,1.811030,0.001152,0.015712,0.000416,0.001536,0.001088,0.000384,1.836023
0.141092,1.566447,0.066018,1.779509,0.000800,0.014785,0.000352,0.001536,0.001024,0.000352,1.801846
0.119876,1.581487,0.071842,1.778453,0.001120,0.014753,0.000416,0.001440,0.000928,0.000384,1.800854
0.125348,1.553326,0.065826,1.751668,0.000800,0.014881,0.000384,0.001536,0.000960,0.000384,1.774133
0.141412,1.565551,0.074850,1.789237,0.001088,0.014881,0.000384,0.001536,0.001024,0.000384,1.813238
0.150756,1.553934,0.066242,1.776820,0.000832,0.014369,0.000384,0.001472,0.001024,0.000384,1.798741
0.142405,1.565358,0.065730,1.778645,0.001088,0.014849,0.000416,0.001472,0.001024,0.000384,1.801590
0.118211,1.562127,0.062786,1.748340,0.000800,0.014208,0.000416,0.001408,0.000961,0.000384,1.769813
0.124547,1.577231,0.071714,1.777941,0.001120,0.014528,0.000672,0.001504,0.001024,0.000384,1.800949
0.113091,1.552111,0.063778,1.734196,0.000832,0.014496,0.000384,0.001472,0.000864,0.000384,1.756148
0.172613,1.570127,0.078882,1.828726,0.001152,0.014433,0.000384,0.001440,0.001088,0.000384,1.851383
0.129700,1.550446,0.065506,1.750324,0.000768,0.014721,0.000384,0.001440,0.000960,0.000320,1.772309
0.153092,1.567535,0.073538,1.799061,0.001120,0.014785,0.000416,0.001536,0.001216,0.000352,1.822294
0.138532,1.553518,0.067010,1.764628,0.000800,0.014433,0.000384,0.001440,0.000960,0.000384,1.786453
0.173957,1.566383,0.104515,1.852151,0.000832,0.014752,0.000448,0.001472,0.001056,0.000352,1.875543
0.170725,1.565710,0.066722,1.808342,0.001120,0.014945,0.000416,0.001504,0.000896,0.000384,1.831127
0.122051,1.578159,0.067874,1.773365,0.000864,0.014304,0.000384,0.001472,0.001088,0.000480,1.795477
0.117860,1.554222,0.064482,1.743092,0.000768,0.014720,0.000416,0.001441,0.000896,0.000320,1.764949
0.144613,1.576879,0.076834,1.803286,0.001088,0.014849,0.000672,0.001504,0.001024,0.000384,1.826199
0.120803,1.551918,0.065025,1.742675,0.000736,0.014560,0.000352,0.001408,0.001088,0.000384,1.764660
0.161445,1.570959,0.083170,1.820246,0.000768,0.014465,0.000416,0.001440,0.001152,0.000288,1.842391
0.176581,1.565038,0.077186,1.827639,0.001408,0.016736,0.000384,0.001632,0.001696,0.000640,1.855320
0.135876,1.571855,0.074562,1.804406,0.001024,0.016032,0.000672,0.001632,0.001312,0.000384,1.829815
0.141572,1.564623,0.066210,1.778581,0.000800,0.014752,0.000384,0.002209,0.000992,0.000352,1.802038
0.197030,1.565839,0.067106,1.836023,0.000800,0.014881,0.000384,0.001536,0.001568,0.000384,1.859800
0.149540,1.559247,0.067906,1.783349,0.000768,0.014912,0.000640,0.001664,0.001152,0.000384,1.806549
0.142276,1.565391,0.064674,1.777877,0.000768,0.015968,0.000704,0.001568,0.001056,0.000352,1.801717
0.130532,1.568942,0.063938,1.768724,0.000768,0.014433,0.000576,0.001440,0.000928,0.000384,1.790933
0.138021,1.552174,0.063810,1.758933,0.000800,0.014592,0.000384,0.001472,0.000928,0.000512,1.781173
0.152068,1.555950,0.068450,1.784149,0.000768,0.033505,0.001024,0.002016,0.001216,0.000448,1.829750
0.153188,1.557679,0.068898,1.787125,0.000768,0.014528,0.000352,0.001472,0.000992,0.000384,1.809558
0.154565,1.571695,0.083714,1.816823,0.001152,0.015200,0.000640,0.001472,0.001248,0.000480,1.840663
0.153221,1.556398,0.068386,1.784181,0.000832,0.014657,0.000416,0.001408,0.001440,0.000320,1.806838
0.139076,1.583247,0.075618,1.805013,0.001248,0.015489,0.000384,0.001568,0.001056,0.000352,1.829014
0.137796,1.553966,0.068482,1.766452,0.000896,0.014624,0.000832,0.001504,0.001248,0.000384,1.789493
0.145700,1.572334,0.074595,1.800278,0.001088,0.015200,0.000672,0.001536,0.001376,0.000352,1.824950
0.139716,1.554415,0.067138,1.768309,0.000800,0.014816,0.000416,0.001696,0.001216,0.000384,1.791093
0.125795,1.567727,0.069986,1.769908,0.000768,0.015137,0.000608,0.001536,0.001088,0.000384,1.792917
0.136772,1.553934,0.065410,1.762804,0.000832,0.014497,0.000640,0.001568,0.001184,0.000416,1.785941
0.137668,1.568943,0.074722,1.789173,0.000736,0.014561,0.000384,0.001472,0.001216,0.000416,1.812982
0.153925,1.555150,0.066946,1.782741,0.000832,0.014369,0.000640,0.001568,0.001184,0.000352,1.805302
0.146437,1.569935,0.072930,1.795414,0.000768,0.015424,0.000608,0.001472,0.001312,0.000384,1.819254
0.144580,1.550511,0.066018,1.767349,0.000704,0.014432,0.000864,0.001472,0.001024,0.000384,1.789909
0.136836,1.575599,0.113924,1.833527,0.001088,0.015008,0.000672,0.001504,0.000992,0.000352,1.857079
0.145093,1.556750,0.065794,1.773749,0.000768,0.014433,0.000672,0.001504,0.001024,0.000416,1.796118
0.134532,1.572751,0.070626,1.784597,0.000832,0.014752,0.000416,0.001568,0.001281,0.000480,1.807414
0.180101,1.554511,0.066498,1.806390,0.000704,0.015232,0.000416,0.001504,0.001408,0.000384,1.829750
0.134052,1.568143,0.073986,1.783093,0.000960,0.014977,0.000640,0.001536,0.001120,0.000384,1.807286
0.146468,1.550990,0.064034,1.767156,0.000768,0.014497,0.000608,0.001440,0.001024,0.000384,1.789334
0.147812,1.571631,0.075875,1.801686,0.001152,0.015232,0.000384,0.001600,0.001408,0.000352,1.825654
0.147844,1.552174,0.066562,1.771412,0.000992,0.014912,0.000416,0.001408,0.001024,0.000384,1.794421
0.142596,1.566223,0.068034,1.782421,0.001056,0.014528,0.000384,0.001472,0.001120,0.000608,1.805045
0.134980,1.551982,0.066562,1.760052,0.001024,0.015393,0.000416,0.001376,0.001024,0.000480,1.783349
0.150372,1.569199,0.078915,1.805462,0.000960,0.015040,0.000384,0.001472,0.001024,0.000416,1.828246
0.149348,1.553550,0.066434,1.776021,0.000736,0.015424,0.000608,0.001568,0.000993,0.000384,1.799222
0.134340,1.570991,0.076162,1.789237,0.000960,0.014464,0.000384,0.001376,0.001056,0.000448,1.812182
0.172261,1.554414,0.064514,1.797589,0.000800,0.014593,0.000416,0.001696,0.001088,0.000384,1.820022
0.160645,1.578159,0.066626,1.811702,0.000768,0.014401,0.000416,0.001600,0.000960,0.000416,1.833751
0.146405,1.552270,0.069634,1.775093,0.000832,0.014497,0.000448,0.001536,0.001216,0.000384,1.797558
0.137124,1.551374,0.067362,1.764148,0.001088,0.015201,0.000640,0.001472,0.001024,0.000384,1.787893
0.146277,1.555438,0.066114,1.774485,0.000768,0.015329,0.000416,0.001440,0.001120,0.000384,1.797462
0.147076,1.554095,0.068066,1.775477,0.000768,0.014368,0.000448,0.001408,0.000960,0.000384,1.797205
0.137092,1.552142,0.066146,1.762772,0.000768,0.014465,0.000384,0.001536,0.001248,0.000352,1.785141
0.152869,1.552878,0.066914,1.779637,0.000832,0.014336,0.000416,0.001409,0.001184,0.000384,1.801782
0.147589,1.554062,0.065858,1.774165,0.000736,0.016193,0.000544,0.001536,0.001184,0.000384,1.816566
0.148229,1.554158,0.065474,1.773845,0.000768,0.014593,0.000384,0.001504,0.001216,0.000384,1.796438
0.147556,1.572175,0.073282,1.800725,0.001088,0.015297,0.000640,0.001472,0.001440,0.000416,1.825878
0.146437,1.553390,0.066370,1.772661,0.000768,0.014689,0.000352,0.001440,0.001120,0.000384,1.794774
0.148676,1.566767,0.073570,1.795093,0.001024,0.015297,0.000640,0.001472,0.001248,0.000384,1.818966
0.146309,1.552590,0.067874,1.774197,0.001056,0.015553,0.000416,0.001472,0.001056,0.000384,1.798102
0.174821,1.588687,0.082306,1.854167,0.001408,0.016097,0.000608,0.001568,0.002144,0.000832,1.881048
0.142597,1.559982,0.070178,1.780277,0.000768,0.015457,0.000384,0.001664,0.001472,0.000384,1.804214
0.153252,1.573839,0.074722,1.808501,0.001184,0.015201,0.000448,0.001600,0.001152,0.000416,1.832694
0.155877,1.556622,0.068290,1.786357,0.000992,0.015617,0.000416,0.001760,0.000992,0.000320,1.810262
0.154724,1.573679,0.087491,1.823478,0.001184,0.016416,0.000672,0.001920,0.001120,0.000384,1.849847
0.173509,1.550254,0.068738,1.799318,0.000832,0.015680,0.000608,0.001664,0.000960,0.000384,1.822998
0.152677,1.573551,0.077250,1.810998,0.001152,0.015649,0.000672,0.001664,0.001152,0.000416,1.836311
0.151172,1.554191,0.067906,1.779989,0.000832,0.015072,0.000608,0.001728,0.001312,0.000384,1.803861
0.138628,1.570799,0.081251,1.796950,0.001056,0.014880,0.000640,0.001600,0.001024,0.000384,1.820470
0.152837,1.557294,0.068322,1.786037,0.000800,0.014785,0.000384,0.001568,0.000960,0.000352,1.808566
0.153412,1.571471,0.069762,1.801269,0.001312,0.015425,0.000608,0.001824,0.001216,0.000352,1.826102
0.137476,1.555342,0.071971,1.771861,0.000960,0.015648,0.000608,0.001824,0.001248,0.000384,1.796373
0.159781,1.572367,0.076130,1.814934,0.001056,0.015904,0.000608,0.001665,0.001056,0.000384,1.839543
0.154149,1.557454,0.065602,1.783573,0.000800,0.015201,0.000640,0.001664,0.001024,0.000384,1.807158
0.145220,1.571119,0.086499,1.810102,0.001056,0.015296,0.000608,0.001568,0.001088,0.000352,1.833751
0.146468,1.553007,0.065409,1.771093,0.000832,0.015040,0.000416,0.001536,0.001056,0.000384,1.793685
0.152772,1.571055,0.078531,1.810774,0.001120,0.014432,0.000640,0.001472,0.001216,0.000384,1.834262
0.148517,1.556142,0.068034,1.780149,0.000832,0.014497,0.000608,0.001568,0.000960,0.000416,1.802582
0.151493,1.565103,0.068994,1.793686,0.000800,0.014720,0.000384,0.001568,0.001120,0.000384,1.816566
0.129828,1.554798,0.066146,1.757300,0.000800,0.014369,0.000448,0.001504,0.001344,0.000384,1.779989
0.151364,1.557487,0.067106,1.783125,0.000736,0.014944,0.000384,0.001440,0.001120,0.000352,1.805557
0.142852,1.554318,0.067490,1.771829,0.000864,0.014496,0.000384,0.001504,0.001120,0.000384,1.794134
0.180293,1.558830,0.068130,1.814678,0.000864,0.015008,0.000640,0.001600,0.001056,0.000416,1.837686
0.153988,1.569998,0.083171,1.813430,0.000768,0.014816,0.000640,0.001600,0.001633,0.000352,1.837239
0.137668,1.554158,0.067074,1.765877,0.000800,0.014432,0.000576,0.001600,0.001120,0.000416,1.788150
0.150052,1.568527,0.085603,1.810774,0.001120,0.014912,0.000640,0.001536,0.000992,0.000384,1.834358
0.150501,1.553806,0.067394,1.778197,0.000768,0.014465,0.000608,0.001504,0.000992,0.000384,1.800502
0.151876,1.570831,0.081826,1.811126,0.001088,0.014976,0.000672,0.001376,0.000960,0.000384,1.834518
0.149765,1.553646,0.068642,1.779381,0.000768,0.014817,0.000384,0.001472,0.001056,0.000384,1.801750
0.150244,1.571183,0.075746,1.803477,0.001024,0.014945,0.000640,0.001568,0.000992,0.000384,1.826710
0.132964,1.550766,0.064322,1.753460,0.000736,0.014401,0.000416,0.001504,0.000960,0.000384,1.775509
0.151429,1.573071,0.074402,1.804470,0.001152,0.014401,0.000352,0.001440,0.001152,0.000352,1.827383
0.168261,1.552590,0.065026,1.791637,0.000768,0.014497,0.000416,0.001536,0.001056,0.000384,1.813846
0.157861,1.576751,0.089730,1.832086,0.001280,0.015969,0.000608,0.002080,0.001696,0.000416,1.858327
0.149924,1.556302,0.066594,1.778485,0.000832,0.014624,0.000416,0.001633,0.000992,0.000416,1.801078
0.149988,1.571150,0.079107,1.805878,0.000768,0.015232,0.000416,0.001504,0.001120,0.000288,1.828822
0.149860,1.557103,0.065538,1.778901,0.000832,0.014784,0.000384,0.001536,0.001120,0.000320,1.801493
0.147108,1.571215,0.101475,1.826678,0.000832,0.014881,0.000672,0.001568,0.001024,0.000320,1.850711
0.137732,1.556719,0.065730,1.767413,0.000736,0.014688,0.000416,0.001536,0.001088,0.000320,1.789781
0.150884,1.578030,0.078690,1.815382,0.001248,0.015040,0.000640,0.001472,0.001056,0.000384,1.839607
0.148580,1.554958,0.068226,1.778933,0.000768,0.015104,0.000384,0.001601,0.001120,0.000416,1.801686
0.138020,1.578895,0.083906,1.807862,0.000832,0.015073,0.000640,0.001600,0.001024,0.000384,1.832151
0.151716,1.556815,0.067426,1.782933,0.000832,0.014592,0.000576,0.001504,0.000960,0.000384,1.805237
0.147972,1.571023,0.080770,1.806965,0.001217,0.014912,0.000384,0.001504,0.001088,0.000384,1.830966
0.147941,1.551886,0.064610,1.770389,0.000800,0.014912,0.000352,0.001441,0.000992,0.000384,1.792758
0.135748,1.570607,0.072738,1.786613,0.001248,0.014945,0.000640,0.001472,0.000992,0.000384,1.810774
0.147748,1.552750,0.066306,1.773237,0.000768,0.014432,0.000352,0.001600,0.001120,0.000416,1.795381
0.168901,1.565486,0.068546,1.809301,0.000833,0.014976,0.000416,0.001504,0.001056,0.000384,1.831830
0.147685,1.554158,0.066946,1.775061,0.000832,0.014432,0.000640,0.001537,0.001152,0.000384,1.797590
0.150533,1.552398,0.065218,1.773909,0.000800,0.014400,0.000608,0.001441,0.001056,0.000416,1.796150
0.148292,1.553166,0.066434,1.774645,0.001184,0.014976,0.000416,0.001504,0.001056,0.000384,1.797846
0.153189,1.557006,0.068354,1.786197,0.000832,0.014465,0.000384,0.001504,0.000992,0.000352,1.808246
0.171173,1.555950,0.068674,1.801142,0.001184,0.014912,0.000416,0.001536,0.001184,0.000416,1.824599
0.150949,1.553166,0.066114,1.776693,0.000800,0.014432,0.000416,0.001537,0.000960,0.000384,1.798614
0.134820,1.567663,0.081794,1.791381,0.001216,0.014849,0.000352,0.001568,0.000960,0.000352,1.815286
0.145221,1.552014,0.064450,1.767381,0.000800,0.014944,0.000384,0.001568,0.001248,0.000416,1.790037
0.129188,1.567854,0.071330,1.775701,0.001088,0.014848,0.000672,0.001504,0.001120,0.000416,1.799861
