Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.420433,0.017473,0.201736,0.005344,0.255882,0.000960,0.014464,0.000448,0.001569,0.000928,0.000352,0.928037
0.420816,0.017505,0.202888,0.005280,0.236041,0.000928,0.014913,0.000512,0.001504,0.001056,0.000800,0.909956
0.416176,0.017569,0.202280,0.005248,0.231369,0.000928,0.014529,0.000640,0.001440,0.000992,0.000768,0.900131
0.417008,0.017761,0.202088,0.005280,0.229705,0.000864,0.014145,0.000448,0.001440,0.000992,0.000480,0.898211
0.432529,0.017664,0.202504,0.005280,0.233994,0.000832,0.014944,0.000416,0.001472,0.000960,0.000576,0.920068
0.420401,0.017696,0.202568,0.005153,0.231625,0.000832,0.014144,0.000416,0.001440,0.001088,0.000384,0.904996
0.416560,0.017696,0.202696,0.005248,0.233258,0.000896,0.014304,0.000672,0.001536,0.001024,0.000352,0.903299
0.415729,0.017504,0.220937,0.005344,0.232233,0.000896,0.014240,0.000416,0.001504,0.001120,0.000352,0.920036
0.421872,0.017697,0.202856,0.005280,0.230217,0.000800,0.014177,0.000384,0.001440,0.001056,0.000320,0.903779
0.420144,0.017793,0.202440,0.005472,0.220265,0.000896,0.014176,0.000352,0.001536,0.000960,0.000384,0.892771
0.422512,0.017697,0.204520,0.005280,0.228425,0.000864,0.014497,0.000384,0.001504,0.001184,0.000384,0.907491
0.433745,0.017665,0.203272,0.004928,0.235817,0.000864,0.014305,0.000416,0.001536,0.000960,0.000416,0.922852
0.416305,0.017633,0.202663,0.005248,0.227689,0.000896,0.014528,0.000352,0.001440,0.001056,0.000321,0.896676
0.420273,0.017729,0.202728,0.004864,0.218440,0.000832,0.014337,0.000384,0.001472,0.000992,0.000320,0.891235
0.416433,0.017601,0.220552,0.005505,0.240329,0.000896,0.014273,0.000352,0.001504,0.001088,0.000608,0.929637
0.420241,0.017569,0.202503,0.005345,0.231049,0.000864,0.014432,0.000544,0.001505,0.001056,0.000384,0.904772
0.420785,0.017536,0.203112,0.005313,0.228777,0.000864,0.014304,0.000384,0.001536,0.001056,0.000384,0.902755
0.416080,0.017760,0.203240,0.005248,0.229033,0.000865,0.014080,0.000416,0.001536,0.001056,0.000352,0.898403
0.420176,0.017601,0.202920,0.005248,0.224233,0.000928,0.014689,0.000416,0.001440,0.001056,0.000416,0.897763
0.420433,0.017504,0.202568,0.005281,0.235977,0.000832,0.014369,0.000416,0.001536,0.001056,0.000384,0.909252
0.419728,0.017537,0.202536,0.005312,0.223337,0.000864,0.014272,0.000416,0.001536,0.001025,0.000384,0.894595
0.416368,0.017697,0.218985,0.005440,0.226505,0.000832,0.014689,0.000416,0.001472,0.001024,0.000352,0.912004
0.415472,0.017536,0.202376,0.004864,0.225289,0.000960,0.014465,0.000608,0.001472,0.001024,0.000384,0.892515
0.419153,0.017568,0.203176,0.005217,0.238985,0.000928,0.013985,0.000672,0.001408,0.000928,0.000352,0.910372
0.416272,0.017696,0.202888,0.005280,0.232490,0.000800,0.014304,0.000384,0.001408,0.001056,0.000384,0.902179
0.415888,0.017889,0.202664,0.005312,0.227497,0.000800,0.014785,0.000608,0.001376,0.001120,0.000384,0.896899
0.419921,0.017792,0.202184,0.005473,0.218152,0.001152,0.014561,0.000384,0.001408,0.001056,0.000608,0.890787
0.415760,0.017601,0.202216,0.005312,0.229993,0.000960,0.014049,0.000448,0.001504,0.001024,0.000352,0.897603
0.421776,0.017601,0.218409,0.005536,0.217960,0.000928,0.014016,0.000352,0.001440,0.000928,0.000608,0.908067
0.415152,0.017472,0.202120,0.004864,0.225417,0.000928,0.014529,0.000480,0.001504,0.000928,0.000384,0.893059
0.416816,0.017601,0.202216,0.005248,0.221417,0.000928,0.014049,0.000384,0.001376,0.001216,0.000384,0.889955
0.420657,0.017761,0.202375,0.005281,0.232041,0.000864,0.013952,0.000384,0.001345,0.000960,0.000384,0.904836
0.432561,0.017857,0.202312,0.005280,0.219592,0.000928,0.014113,0.000416,0.001408,0.000960,0.000608,0.904483
0.415888,0.017793,0.202248,0.005440,0.230345,0.000832,0.014305,0.000416,0.001376,0.000960,0.000384,0.898371
0.416304,0.017761,0.203176,0.005280,0.237961,0.000896,0.014049,0.000448,0.001504,0.001024,0.000384,0.907683
0.415984,0.017409,0.220552,0.005473,0.226984,0.000928,0.014208,0.000832,0.001440,0.000928,0.000384,0.913987
0.415280,0.017473,0.202344,0.005024,0.229897,0.001120,0.014560,0.000833,0.001536,0.000896,0.000608,0.897187
0.419792,0.017761,0.202120,0.005440,0.232361,0.000896,0.014049,0.000640,0.001504,0.000960,0.000832,0.903907
0.419953,0.017601,0.202248,0.004864,0.227241,0.000928,0.014080,0.000384,0.001537,0.000960,0.000608,0.898916
0.437233,0.017504,0.201800,0.004832,0.242410,0.000864,0.014721,0.000384,0.001408,0.000928,0.000608,0.931653
0.420273,0.017697,0.202504,0.004928,0.234377,0.000864,0.013985,0.000384,0.001440,0.001024,0.000672,0.905572
0.419601,0.017857,0.202824,0.005280,0.230889,0.000864,0.013985,0.000416,0.001504,0.000992,0.000576,0.903268
0.419920,0.017793,0.222313,0.005504,0.234281,0.000896,0.014497,0.000416,0.001376,0.000928,0.000352,0.927108
0.419536,0.018209,0.202408,0.005280,0.238218,0.000832,0.013984,0.000416,0.001472,0.000961,0.000384,0.910148
0.416336,0.017633,0.202344,0.005312,0.238121,0.000896,0.014273,0.000800,0.001472,0.000960,0.000640,0.908483
0.420497,0.017921,0.202920,0.005376,0.226057,0.000928,0.014112,0.000640,0.001537,0.000928,0.000480,0.900100
0.421552,0.017953,0.202152,0.005344,0.229545,0.000832,0.014337,0.000416,0.001440,0.000832,0.000640,0.903203
0.420112,0.017761,0.202632,0.004832,0.230185,0.000992,0.014049,0.000384,0.001408,0.000928,0.000608,0.901987
0.420368,0.017953,0.202312,0.005216,0.229417,0.000928,0.015265,0.000384,0.001472,0.000896,0.000640,0.903491
0.416145,0.017792,0.218505,0.005664,0.232329,0.000992,0.014305,0.000416,0.001344,0.001056,0.000576,0.918532
0.420016,0.017601,0.201992,0.005280,0.229417,0.000864,0.013921,0.000448,0.001504,0.001120,0.000576,0.900675
0.420241,0.017377,0.202760,0.005344,0.224713,0.001088,0.014048,0.000384,0.001440,0.001120,0.000352,0.897283
0.417296,0.017537,0.202152,0.005216,0.220297,0.000832,0.013856,0.000384,0.001536,0.000993,0.000416,0.888387
0.416944,0.017761,0.203432,0.005280,0.234185,0.000897,0.014080,0.000864,0.001408,0.001088,0.000352,0.905379
0.416624,0.017537,0.202920,0.005408,0.225673,0.001152,0.014560,0.000417,0.001440,0.001056,0.000608,0.896707
0.416560,0.017665,0.201864,0.005280,0.220328,0.000896,0.014464,0.000416,0.001376,0.001088,0.000576,0.889346
0.416240,0.017953,0.219593,0.005280,0.242345,0.000897,0.014016,0.000416,0.001472,0.001152,0.000384,0.929476
0.416560,0.017985,0.202632,0.005280,0.233993,0.001088,0.014369,0.000608,0.001440,0.001152,0.000608,0.904515
0.421009,0.017505,0.202728,0.004896,0.228937,0.000896,0.014625,0.000416,0.001504,0.001024,0.000416,0.902372
0.416528,0.017537,0.202184,0.005248,0.234601,0.000896,0.014177,0.000608,0.001472,0.000864,0.000608,0.904259
0.416049,0.017953,0.202760,0.005280,0.223849,0.000960,0.014112,0.000384,0.001472,0.001024,0.000384,0.893027
0.420112,0.017697,0.202824,0.005184,0.225577,0.000992,0.014017,0.000384,0.001536,0.001088,0.000384,0.898083
0.420656,0.017953,0.202216,0.005280,0.230345,0.000896,0.014017,0.000800,0.001504,0.001056,0.000384,0.903971
0.419888,0.017569,0.220009,0.005600,0.234057,0.000896,0.013985,0.000352,0.001504,0.001024,0.000544,0.924964
0.416240,0.017697,0.202088,0.005280,0.233673,0.000864,0.014336,0.000384,0.001408,0.001152,0.000384,0.903011
0.420017,0.017696,0.202440,0.005249,0.225096,0.001152,0.013984,0.000608,0.001408,0.001088,0.000352,0.898115
0.415376,0.017537,0.202568,0.005344,0.225545,0.000896,0.014016,0.000384,0.001472,0.001120,0.000384,0.892867
0.417232,0.017697,0.202824,0.004896,0.226281,0.000928,0.014016,0.000384,0.001473,0.001120,0.000352,0.895395
0.416464,0.017697,0.203528,0.005440,0.229993,0.001185,0.014112,0.000448,0.001504,0.001088,0.000416,0.901475
0.419825,0.017920,0.202856,0.005281,0.235049,0.000864,0.014529,0.000416,0.001600,0.001184,0.000448,0.909188
0.416112,0.017984,0.223113,0.005568,0.238026,0.000864,0.014848,0.000416,0.001472,0.001088,0.000352,0.929092
0.416560,0.017473,0.202280,0.004864,0.228457,0.001088,0.014433,0.000416,0.001440,0.001120,0.000416,0.896963
0.415760,0.017536,0.202536,0.005280,0.222569,0.000832,0.013985,0.000448,0.001472,0.001120,0.000352,0.889795
0.415665,0.017537,0.202279,0.005281,0.232233,0.000864,0.014400,0.000609,0.001408,0.001024,0.000384,0.900612
0.415952,0.017537,0.202312,0.005216,0.227209,0.000960,0.014273,0.000352,0.001472,0.001088,0.000352,0.895875
0.420624,0.017537,0.202120,0.005312,0.229737,0.000928,0.014145,0.000416,0.001472,0.001056,0.000352,0.902083
0.415600,0.017537,0.202024,0.005408,0.239529,0.001024,0.014081,0.000416,0.001536,0.000992,0.000704,0.907139
0.420081,0.017729,0.222248,0.005473,0.234441,0.000960,0.014145,0.000416,0.001376,0.000992,0.000608,0.927525
0.415248,0.017569,0.202248,0.005312,0.227561,0.000864,0.014241,0.000608,0.001472,0.001088,0.000384,0.895459
0.415952,0.017665,0.202888,0.005280,0.228009,0.000928,0.014625,0.000416,0.001536,0.000992,0.000352,0.897539
0.419824,0.017665,0.202344,0.005312,0.233673,0.000832,0.014433,0.000608,0.001472,0.000960,0.000256,0.906179
0.420432,0.017537,0.202088,0.005056,0.225257,0.001056,0.014017,0.000352,0.001376,0.001056,0.000416,0.897763
0.420624,0.018017,0.202184,0.004832,0.233033,0.000800,0.014401,0.000416,0.001440,0.001056,0.000608,0.906467
0.416528,0.017889,0.201992,0.005376,0.232873,0.000928,0.014209,0.000640,0.001504,0.001024,0.000384,0.902371
0.436145,0.017825,0.202664,0.005216,0.243626,0.000832,0.014400,0.000384,0.001408,0.001024,0.000352,0.932389
0.415633,0.017984,0.202760,0.005249,0.229321,0.001088,0.014048,0.000384,0.001440,0.001056,0.000384,0.897763
0.420208,0.017921,0.203112,0.005248,0.223625,0.000992,0.014177,0.000384,0.001440,0.001024,0.000544,0.897347
0.415600,0.017633,0.202312,0.005280,0.224137,0.000800,0.014529,0.000416,0.001568,0.001088,0.000896,0.892547
0.415920,0.017889,0.202056,0.005280,0.229545,0.000864,0.013889,0.000384,0.001440,0.001088,0.000608,0.897795
0.416208,0.018016,0.202504,0.005280,0.231434,0.000896,0.015008,0.000416,0.001472,0.001056,0.000320,0.901411
0.420272,0.017473,0.202248,0.005312,0.228073,0.000832,0.014081,0.000384,0.001408,0.001024,0.000384,0.900227
0.416145,0.036769,0.202888,0.005312,0.231337,0.001120,0.013888,0.000416,0.001504,0.000992,0.000576,0.921316
0.419888,0.017601,0.202216,0.005184,0.230729,0.001024,0.014177,0.000384,0.001440,0.001056,0.000352,0.903715
0.420336,0.017729,0.202408,0.005280,0.239465,0.000928,0.014304,0.000640,0.001376,0.001120,0.000576,0.915779
0.420177,0.017824,0.202024,0.005249,0.231145,0.000864,0.014304,0.000384,0.001504,0.001184,0.000385,0.904420
0.416112,0.017953,0.202664,0.005312,0.228681,0.000864,0.014465,0.000448,0.001408,0.001152,0.000384,0.898083
0.415408,0.017633,0.202472,0.005280,0.230633,0.001088,0.014369,0.000384,0.001440,0.001024,0.000576,0.899395
0.420209,0.017568,0.202792,0.004865,0.226600,0.000864,0.014305,0.000640,0.001440,0.001056,0.000384,0.899331
0.445298,0.018400,0.202568,0.005185,0.239433,0.000992,0.014241,0.000416,0.001472,0.001088,0.000832,0.939781
0.420273,0.017824,0.202888,0.005377,0.243049,0.001184,0.014433,0.000448,0.001600,0.001152,0.000384,0.918276
0.420337,0.017600,0.201928,0.005312,0.232778,0.000832,0.014464,0.000640,0.001760,0.001152,0.000609,0.906212
0.420273,0.017857,0.202600,0.005312,0.257386,0.001344,0.014817,0.000416,0.001472,0.000992,0.000384,0.934149
0.420337,0.017729,0.202728,0.005312,0.232201,0.000896,0.014209,0.000800,0.001568,0.001184,0.000544,0.906660
0.415920,0.017569,0.202344,0.005248,0.234729,0.000832,0.014209,0.000480,0.001824,0.000960,0.000576,0.904355
0.420337,0.017697,0.202279,0.005312,0.237321,0.000800,0.014145,0.000352,0.001536,0.001024,0.000576,0.910596
0.437297,0.017601,0.202184,0.005312,0.231497,0.000864,0.014209,0.000416,0.001440,0.000992,0.000800,0.921956
0.421041,0.017665,0.203656,0.005408,0.227945,0.000896,0.014081,0.000384,0.001408,0.001024,0.000384,0.902756
0.420816,0.017729,0.202152,0.005280,0.229513,0.000832,0.014721,0.000416,0.001440,0.000992,0.000576,0.903715
0.417040,0.017792,0.202056,0.004896,0.259947,0.001216,0.015968,0.000480,0.001504,0.001089,0.000800,0.932133
0.416529,0.017537,0.202216,0.005344,0.226633,0.000800,0.014080,0.000416,0.001632,0.001024,0.000576,0.895876
0.419857,0.017536,0.202088,0.005312,0.229929,0.000800,0.014496,0.000640,0.001504,0.001184,0.000800,0.903587
0.422160,0.017633,0.203464,0.005280,0.238922,0.000960,0.014720,0.000640,0.001665,0.001280,0.000576,0.916228
0.456530,0.017569,0.202536,0.005280,0.243562,0.000960,0.014400,0.000384,0.001504,0.001088,0.000576,0.953797
0.420209,0.017793,0.203240,0.005312,0.230697,0.000832,0.014305,0.000416,0.001504,0.001184,0.000544,0.905508
0.420400,0.017729,0.202696,0.005216,0.232809,0.000864,0.014464,0.000384,0.001504,0.001120,0.000352,0.906787
0.416849,0.017536,0.221352,0.005504,0.233610,0.000928,0.014912,0.000640,0.001504,0.001056,0.000768,0.923461
0.421105,0.017600,0.202504,0.004865,0.223592,0.000864,0.014944,0.000384,0.001440,0.001088,0.000544,0.897827
0.420144,0.017697,0.203656,0.005280,0.228649,0.000832,0.014209,0.000416,0.001440,0.000992,0.000608,0.902691
0.420241,0.017953,0.202856,0.005056,0.235785,0.000896,0.014625,0.000608,0.001472,0.001184,0.000608,0.910468
0.421265,0.017569,0.203048,0.004864,0.234921,0.000992,0.014593,0.000608,0.001504,0.001088,0.000416,0.909988
0.420305,0.017985,0.202344,0.005248,0.228873,0.000896,0.014880,0.000416,0.001473,0.001056,0.000416,0.902756
0.420209,0.017728,0.203048,0.005345,0.230249,0.000896,0.014080,0.000640,0.001504,0.001057,0.000352,0.903876
0.432529,0.017601,0.202920,0.005312,0.230825,0.000864,0.014337,0.000384,0.001536,0.000992,0.000608,0.917156
0.417105,0.017600,0.202695,0.004865,0.228425,0.001088,0.014656,0.000384,0.001536,0.001056,0.000577,0.899940
0.421200,0.017633,0.202952,0.005088,0.229929,0.000960,0.014433,0.000416,0.001632,0.001088,0.000544,0.904771
0.420272,0.018017,0.202568,0.004992,0.232393,0.000896,0.014369,0.000416,0.001600,0.001088,0.000576,0.906147
0.421008,0.017568,0.202120,0.005056,0.226473,0.000960,0.014305,0.000640,0.001536,0.001056,0.000576,0.900515
0.415760,0.017696,0.202280,0.005312,0.235114,0.000864,0.014208,0.000832,0.001472,0.001248,0.000544,0.903844
0.420529,0.017632,0.202312,0.004897,0.235785,0.000832,0.014304,0.000608,0.001472,0.001440,0.000416,0.908836
0.436945,0.017729,0.202984,0.005280,0.241258,0.000896,0.014624,0.000384,0.001505,0.001280,0.000832,0.933381
0.416144,0.017825,0.202216,0.005312,0.237641,0.000864,0.014049,0.000384,0.001600,0.001056,0.000352,0.907043
0.419760,0.017601,0.202280,0.004896,0.232585,0.000864,0.014433,0.000416,0.001568,0.001152,0.000448,0.904899
0.420465,0.017760,0.201864,0.005313,0.250633,0.000896,0.014209,0.000384,0.001568,0.001248,0.000352,0.923620
0.416688,0.017537,0.202472,0.005504,0.238186,0.000992,0.014368,0.000416,0.001504,0.001184,0.000384,0.908932
0.420881,0.017760,0.202280,0.004865,0.222088,0.001024,0.014785,0.000608,0.001504,0.000992,0.000352,0.895747
0.420624,0.017856,0.202184,0.005312,0.241962,0.000960,0.014561,0.000384,0.001504,0.001120,0.000416,0.915588
0.431985,0.017728,0.202888,0.005281,0.229321,0.000896,0.014048,0.000352,0.001568,0.001088,0.000384,0.914308
0.414192,0.017729,0.202408,0.005280,0.221609,0.000896,0.014016,0.000352,0.001473,0.001088,0.000416,0.887907
0.420657,0.017569,0.202280,0.005312,0.231241,0.000928,0.014113,0.000608,0.001536,0.001024,0.000416,0.904644
0.420465,0.017536,0.202248,0.005376,0.254921,0.001216,0.013920,0.000384,0.001632,0.001088,0.000384,0.928132
0.420305,0.017696,0.203815,0.005248,0.231465,0.000896,0.014112,0.000416,0.001568,0.001088,0.000352,0.906180
0.415984,0.017568,0.202600,0.005344,0.235946,0.000832,0.014240,0.000352,0.001504,0.000993,0.000384,0.904836
0.415632,0.017729,0.203272,0.005024,0.220616,0.000896,0.014369,0.000384,0.001504,0.000928,0.000352,0.888355
0.429105,0.017985,0.202055,0.005281,0.238217,0.000992,0.014273,0.000384,0.001408,0.000928,0.000352,0.920036
0.416048,0.017761,0.202376,0.005024,0.236362,0.001280,0.015552,0.000448,0.001504,0.000896,0.000352,0.905539
0.415857,0.017376,0.202728,0.004865,0.223912,0.001152,0.015457,0.000384,0.001440,0.000960,0.000384,0.892995
0.415088,0.017537,0.202184,0.004800,0.247594,0.000960,0.014720,0.000416,0.001376,0.000928,0.000384,0.913220
0.414737,0.017728,0.202824,0.005312,0.218217,0.000960,0.013857,0.000384,0.001472,0.000864,0.000352,0.884483
0.415152,0.017504,0.202344,0.005248,0.195720,0.000864,0.014017,0.000384,0.001504,0.000896,0.000384,0.862914
0.416337,0.017857,0.202664,0.005248,0.227305,0.000864,0.013888,0.000384,0.001472,0.001024,0.000416,0.894755
0.431441,0.017601,0.202280,0.005248,0.246826,0.001088,0.014112,0.000352,0.001409,0.000896,0.000352,0.929829
0.416113,0.017504,0.205096,0.005217,0.215400,0.000864,0.014017,0.000416,0.001440,0.001024,0.000384,0.885059
0.415312,0.017537,0.202152,0.005248,0.235657,0.000896,0.013793,0.000416,0.001504,0.000896,0.000416,0.902019
0.415184,0.017441,0.202184,0.004832,0.218921,0.000704,0.014304,0.000384,0.001504,0.000960,0.000384,0.885858
0.415056,0.017569,0.202247,0.005281,0.232009,0.000864,0.014080,0.000416,0.001537,0.000960,0.000384,0.898148
0.418256,0.017697,0.204104,0.004896,0.224809,0.000864,0.014337,0.000416,0.001568,0.001248,0.000416,0.898019
0.416497,0.017792,0.202535,0.005313,0.250986,0.001088,0.013984,0.000416,0.001600,0.001056,0.000576,0.920164
0.429840,0.017921,0.201992,0.004896,0.227081,0.000832,0.013985,0.000416,0.001536,0.000864,0.000672,0.907299
0.416177,0.017440,0.202056,0.005249,0.230537,0.000864,0.014016,0.000416,0.001504,0.001280,0.000384,0.899939
0.416400,0.017569,0.202280,0.005376,0.225801,0.000896,0.014273,0.000416,0.001440,0.001152,0.000608,0.894211
0.419952,0.017633,0.203144,0.005344,0.224297,0.000896,0.014209,0.000864,0.001568,0.001152,0.000320,0.898275
0.416497,0.017632,0.203143,0.005281,0.219176,0.000896,0.013953,0.000416,0.001536,0.001088,0.000608,0.888579
0.416209,0.017696,0.203112,0.005249,0.231945,0.000864,0.014144,0.000384,0.001504,0.001120,0.000416,0.900836
0.421489,0.017633,0.202312,0.005280,0.239081,0.000864,0.014337,0.000352,0.001440,0.001184,0.000800,0.914564
0.439377,0.017921,0.202728,0.005248,0.234377,0.000832,0.014368,0.000416,0.001472,0.001152,0.000352,0.927204
0.415472,0.018145,0.202888,0.005280,0.224553,0.000832,0.014272,0.000417,0.001472,0.001056,0.000544,0.893123
0.416177,0.017376,0.202760,0.004833,0.227464,0.000896,0.014112,0.000416,0.001504,0.001024,0.000352,0.895235
0.420560,0.017857,0.202792,0.004896,0.248906,0.000832,0.014241,0.000416,0.001472,0.001088,0.000352,0.922116
0.420241,0.017760,0.202184,0.004833,0.232073,0.000928,0.014208,0.000384,0.001472,0.001024,0.000352,0.903971
0.419920,0.017601,0.202696,0.004832,0.224777,0.000928,0.014401,0.000416,0.001440,0.001056,0.000352,0.896771
0.416464,0.017729,0.202216,0.005280,0.228457,0.000896,0.014401,0.000384,0.001536,0.001056,0.000384,0.897571
0.432593,0.018113,0.202824,0.004896,0.227721,0.000864,0.014113,0.000640,0.001408,0.000992,0.000352,0.913572
0.420048,0.017537,0.202856,0.004800,0.230121,0.000960,0.014241,0.000416,0.001504,0.001088,0.000384,0.902627
0.420721,0.017600,0.202792,0.004865,0.237033,0.000800,0.014241,0.000416,0.001504,0.001088,0.000608,0.911364
0.415952,0.017633,0.202664,0.004896,0.250634,0.000896,0.014305,0.000448,0.001504,0.001088,0.000800,0.919108
0.420593,0.017505,0.202504,0.005248,0.217704,0.000865,0.014144,0.000416,0.001472,0.000960,0.000384,0.889987
0.415568,0.017441,0.202216,0.005184,0.227305,0.001152,0.014305,0.000480,0.001440,0.001056,0.000864,0.895235
0.419856,0.017472,0.202248,0.005280,0.227273,0.000832,0.014145,0.000864,0.001376,0.001184,0.000384,0.899043
0.434161,0.017665,0.202600,0.005408,0.234217,0.000832,0.014145,0.000384,0.001568,0.000992,0.000352,0.921892
0.416848,0.017760,0.203624,0.005249,0.233481,0.000832,0.014208,0.000480,0.001568,0.000992,0.000384,0.904420
0.420560,0.017761,0.202600,0.004928,0.229129,0.001056,0.014465,0.000416,0.001440,0.001376,0.000800,0.902883
0.421424,0.017633,0.202280,0.004832,0.255210,0.000960,0.014497,0.000416,0.001472,0.001408,0.000352,0.929092
0.416336,0.017857,0.202760,0.004896,0.229801,0.000896,0.014369,0.000416,0.001568,0.001088,0.000416,0.900995
0.422096,0.017569,0.202632,0.004864,0.234089,0.001057,0.015008,0.000352,0.001632,0.001408,0.000640,0.910691
0.421520,0.017697,0.202248,0.005536,0.231881,0.001056,0.014241,0.000608,0.001600,0.001376,0.000384,0.906915
0.437457,0.017760,0.202760,0.005280,0.233098,0.000832,0.014368,0.000864,0.001504,0.001376,0.000384,0.924996
0.421649,0.017888,0.202504,0.005089,0.229353,0.000800,0.014560,0.000608,0.001824,0.001504,0.000417,0.904772
0.420432,0.017633,0.202632,0.004896,0.233577,0.000832,0.014369,0.000384,0.001504,0.001376,0.000384,0.907427
0.420208,0.017505,0.222409,0.005440,0.238057,0.000832,0.014272,0.000416,0.001536,0.001056,0.000352,0.932388
0.420240,0.017696,0.202600,0.005248,0.231529,0.000832,0.014432,0.000384,0.001440,0.001024,0.000384,0.905187
0.416113,0.017953,0.202855,0.004833,0.229257,0.000864,0.014240,0.000384,0.001440,0.001088,0.000385,0.898148
0.420497,0.017697,0.202791,0.004896,0.235753,0.000992,0.014273,0.000864,0.001504,0.000992,0.000384,0.909796
0.417136,0.017633,0.204040,0.005248,0.234890,0.001024,0.014400,0.000608,0.001568,0.001152,0.000385,0.907204
0.421425,0.017568,0.203655,0.005376,0.237929,0.000864,0.014497,0.000416,0.001664,0.001120,0.000384,0.913732
0.420144,0.017665,0.202472,0.005376,0.231081,0.000960,0.014337,0.000640,0.001504,0.001344,0.000352,0.905283
0.437649,0.017792,0.202984,0.005280,0.224617,0.000928,0.014113,0.000576,0.001824,0.001248,0.000352,0.916548
0.416145,0.017825,0.203656,0.005440,0.237737,0.001056,0.014305,0.000640,0.001568,0.001440,0.000576,0.909348
0.417392,0.017473,0.202568,0.005344,0.237865,0.000992,0.014241,0.000448,0.001792,0.001408,0.000608,0.908899
0.416112,0.017728,0.202984,0.005312,0.238794,0.000928,0.032929,0.000672,0.001568,0.001312,0.000320,0.928772
0.415728,0.017697,0.202920,0.005312,0.232009,0.000832,0.014048,0.000384,0.001504,0.001088,0.000352,0.901091
0.415793,0.018304,0.202504,0.005281,0.225992,0.001312,0.014112,0.000576,0.001504,0.001152,0.000384,0.896035
0.416400,0.017729,0.202344,0.004864,0.236649,0.000864,0.014272,0.000416,0.001536,0.001120,0.000416,0.905283
0.436593,0.017697,0.202504,0.004896,0.233769,0.000896,0.014753,0.000416,0.001504,0.001216,0.000384,0.924516
0.416369,0.017697,0.202568,0.005248,0.234889,0.000896,0.014273,0.000384,0.001536,0.001472,0.000832,0.905252
0.420848,0.017729,0.202920,0.005312,0.229673,0.000864,0.014529,0.000416,0.001472,0.001376,0.000576,0.905251
0.419793,0.017504,0.202504,0.005249,0.263402,0.000832,0.014241,0.000416,0.001440,0.001408,0.000384,0.936325
0.416081,0.017537,0.202888,0.005376,0.223081,0.000896,0.014432,0.000384,0.001504,0.001088,0.000384,0.892419
0.416080,0.017825,0.202440,0.005248,0.230281,0.000832,0.014113,0.000416,0.001504,0.001536,0.000448,0.899139
0.420400,0.017857,0.202600,0.005216,0.233609,0.000832,0.014241,0.000448,0.001600,0.001408,0.000832,0.908899
0.436785,0.017537,0.202600,0.005248,0.229641,0.000864,0.014176,0.000672,0.001793,0.001376,0.000352,0.919876
0.416592,0.017761,0.202952,0.005312,0.225129,0.001056,0.014496,0.000384,0.001697,0.001312,0.000384,0.896355
0.420912,0.017793,0.202312,0.004960,0.233865,0.000896,0.014145,0.000384,0.001536,0.001344,0.000352,0.907523
0.421073,0.017568,0.223817,0.005568,0.234218,0.001024,0.014400,0.000416,0.001536,0.001280,0.000384,0.931492
0.416880,0.017537,0.204072,0.005312,0.242793,0.000832,0.014465,0.000448,0.001536,0.001024,0.000384,0.913828
0.420945,0.017984,0.202376,0.005313,0.227913,0.000800,0.014464,0.000384,0.001632,0.001184,0.000352,0.902243
0.415953,0.017728,0.202696,0.005281,0.229929,0.000896,0.014112,0.000640,0.001536,0.000992,0.000608,0.899236
0.417232,0.017601,0.202152,0.005376,0.232265,0.000800,0.014977,0.000576,0.001504,0.000896,0.000608,0.902467
0.421169,0.017761,0.202312,0.004800,0.223625,0.000928,0.014240,0.000576,0.001632,0.001088,0.000416,0.898116
0.420913,0.017825,0.202535,0.005281,0.224809,0.000960,0.014400,0.000384,0.001440,0.001088,0.000352,0.898787
0.420464,0.017504,0.220905,0.005504,0.226537,0.000960,0.014145,0.000448,0.001568,0.001024,0.000352,0.919300
0.420881,0.017504,0.202568,0.005249,0.230601,0.000864,0.014624,0.000384,0.001600,0.000993,0.000448,0.903588
0.420624,0.017632,0.202376,0.005312,0.231241,0.000960,0.014336,0.000384,0.001536,0.000992,0.000384,0.904675
0.417264,0.017697,0.203432,0.005248,0.228361,0.000960,0.014113,0.000448,0.001472,0.001344,0.000384,0.900323
0.420337,0.017536,0.202824,0.005281,0.228105,0.000992,0.014432,0.000640,0.001504,0.000960,0.000384,0.901507
0.420624,0.017792,0.202696,0.005280,0.232906,0.000992,0.014496,0.000640,0.001440,0.000960,0.000384,0.906819
0.415440,0.018113,0.202280,0.005248,0.223113,0.001152,0.014080,0.000865,0.001536,0.001024,0.000384,0.891107
0.415920,0.017761,0.217576,0.005472,0.235145,0.001312,0.014401,0.000384,0.001440,0.000960,0.000352,0.920964
0.416464,0.018049,0.202888,0.004960,0.231977,0.000961,0.014208,0.000448,0.001536,0.001280,0.000384,0.902755
0.416304,0.017505,0.203432,0.005344,0.228777,0.000896,0.014112,0.000385,0.001440,0.001248,0.000352,0.898915
0.420880,0.017985,0.202344,0.005248,0.223753,0.000928,0.013984,0.000384,0.001536,0.001056,0.000352,0.898243
0.416240,0.017601,0.202728,0.005280,0.231081,0.000993,0.014592,0.000384,0.001440,0.001056,0.000384,0.900323
0.416752,0.017505,0.203144,0.005312,0.223273,0.000864,0.014625,0.000384,0.001536,0.001088,0.000384,0.893667
