Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-8],OUT[8],TEE[4-8],Layer[9],Layer[10],classifier
0.396491,0.017376,0.191558,0.005248,0.109187,0.107267,0.063042,0.282792,0.001280,0.000416,0.900410
0.396428,0.018017,0.191941,0.005216,0.104643,0.098754,0.061570,0.268808,0.001312,0.000416,0.889082
0.396620,0.017889,0.191717,0.005281,0.113539,0.106147,0.062562,0.285800,0.001216,0.000416,0.905307
0.396076,0.017601,0.191269,0.005249,0.099427,0.098370,0.061090,0.262247,0.001344,0.000480,0.879642
0.396812,0.017665,0.191461,0.005216,0.109220,0.098275,0.060033,0.270920,0.001281,0.000512,0.889467
0.396171,0.017473,0.207686,0.005216,0.107139,0.099363,0.063170,0.272968,0.001344,0.000448,0.907610
0.397419,0.017601,0.191910,0.005312,0.112739,0.098819,0.063618,0.278472,0.001216,0.000416,0.898362
0.395340,0.017536,0.192038,0.005248,0.111779,0.098179,0.061570,0.274536,0.001280,0.000448,0.891802
0.395084,0.017377,0.191589,0.005057,0.112323,0.097411,0.062082,0.275112,0.001216,0.000416,0.892251
0.414252,0.017665,0.191846,0.005280,0.115171,0.107139,0.065090,0.293032,0.001280,0.000384,0.931643
0.397547,0.017345,0.191814,0.005312,0.114115,0.099427,0.063490,0.280520,0.001440,0.000416,0.899834
0.396012,0.017985,0.191909,0.005313,0.117667,0.101187,0.064258,0.286856,0.001792,0.000448,0.907355
0.397548,0.017857,0.207462,0.005248,0.113923,0.107075,0.061954,0.286408,0.001184,0.000448,0.921851
0.398796,0.017505,0.191941,0.005152,0.114883,0.099683,0.062082,0.280104,0.001568,0.000448,0.901307
0.396204,0.017440,0.191782,0.004896,0.110404,0.104259,0.062786,0.280713,0.001536,0.000416,0.898331
0.398156,0.017600,0.192134,0.005312,0.119812,0.106883,0.064610,0.295209,0.001344,0.000416,0.916795
0.417069,0.017600,0.191462,0.005344,0.117508,0.107843,0.065410,0.294505,0.001312,0.000384,0.933564
0.397132,0.017313,0.191749,0.005217,0.114627,0.098819,0.062594,0.279656,0.001376,0.000416,0.899035
0.397484,0.017345,0.191685,0.005313,0.113795,0.097507,0.061634,0.276776,0.001248,0.000416,0.895867
0.397260,0.017376,0.214631,0.005504,0.118851,0.106500,0.064961,0.293769,0.001216,0.000416,0.937564
0.397452,0.017504,0.191910,0.005280,0.109027,0.097315,0.065570,0.275912,0.001344,0.000448,0.895738
0.396715,0.017536,0.191526,0.005184,0.120675,0.108484,0.069762,0.302889,0.001312,0.000384,0.922171
0.398924,0.017761,0.191781,0.005280,0.117956,0.107619,0.068674,0.297897,0.001280,0.000384,0.918843
0.397836,0.017472,0.191910,0.005344,0.114916,0.100259,0.063522,0.282281,0.001376,0.000384,0.902299
0.396875,0.017377,0.191462,0.005248,0.114819,0.101987,0.063810,0.284104,0.001280,0.000384,0.901818
0.397579,0.017632,0.191462,0.005312,0.113699,0.099715,0.062562,0.279784,0.001280,0.000384,0.900154
0.396460,0.017569,0.208614,0.005440,0.114659,0.111812,0.064898,0.294953,0.001216,0.000384,0.930204
0.396812,0.017536,0.191558,0.005248,0.114500,0.099139,0.062369,0.279560,0.001216,0.000384,0.899035
0.396172,0.017728,0.192070,0.005216,0.116035,0.102531,0.064513,0.286633,0.001376,0.000480,0.905467
0.397579,0.017473,0.191910,0.005312,0.120995,0.101860,0.065441,0.292489,0.001280,0.000448,0.913147
0.396812,0.017856,0.192422,0.005248,0.116260,0.106947,0.064194,0.291113,0.001280,0.000416,0.910843
0.396172,0.017601,0.191749,0.005248,0.118820,0.102787,0.065250,0.290889,0.001312,0.000416,0.909499
0.398028,0.017505,0.191717,0.005249,0.112739,0.101283,0.062338,0.280040,0.001152,0.000384,0.899547
0.396044,0.017377,0.211462,0.005376,0.115523,0.110276,0.064066,0.293481,0.001344,0.000480,0.932124
0.396460,0.017664,0.191494,0.005248,0.111652,0.101539,0.064642,0.281609,0.001248,0.000416,0.899835
0.396140,0.017952,0.191622,0.005184,0.115843,0.108963,0.063682,0.292169,0.001248,0.000416,0.910427
0.396331,0.017377,0.191686,0.005120,0.113699,0.099203,0.061282,0.277768,0.001280,0.000416,0.895450
0.396652,0.017985,0.192005,0.005249,0.108579,0.098467,0.061250,0.271848,0.001152,0.000416,0.891291
0.395916,0.017792,0.191910,0.005248,0.115620,0.109603,0.064578,0.293385,0.001344,0.000448,0.911675
0.397004,0.017985,0.191909,0.005312,0.115043,0.103523,0.063970,0.286121,0.001184,0.000384,0.906363
0.395916,0.017600,0.213223,0.005408,0.115491,0.113540,0.065634,0.298089,0.001216,0.000384,0.937660
0.396780,0.017760,0.191878,0.005344,0.118020,0.099779,0.066146,0.287753,0.001344,0.000416,0.907483
0.397548,0.017472,0.191814,0.005216,0.118436,0.103107,0.066242,0.291337,0.001280,0.000384,0.910715
0.396108,0.017440,0.191558,0.005184,0.110723,0.103140,0.064257,0.281513,0.001280,0.000416,0.899163
0.398220,0.017345,0.192069,0.005313,0.117123,0.101507,0.064866,0.286920,0.001248,0.000416,0.906715
0.397004,0.017377,0.192165,0.005056,0.118372,0.111747,0.063714,0.297193,0.001632,0.000384,0.916539
0.395820,0.017536,0.192006,0.005056,0.111364,0.100355,0.061345,0.276200,0.001600,0.000416,0.893979
0.397356,0.017600,0.212039,0.005216,0.119331,0.108708,0.067170,0.299209,0.001600,0.000416,0.940348
0.397612,0.017536,0.192294,0.005248,0.114532,0.098051,0.061601,0.277672,0.001792,0.000544,0.898491
0.397771,0.017440,0.191782,0.005344,0.117699,0.101763,0.064098,0.287336,0.001952,0.000544,0.908283
0.396203,0.017409,0.191814,0.005184,0.112803,0.099107,0.062466,0.278216,0.001472,0.000416,0.896282
0.396780,0.017409,0.191845,0.005249,0.115939,0.103363,0.065506,0.288456,0.001312,0.000384,0.907835
0.395788,0.017441,0.191621,0.005248,0.111076,0.100355,0.062082,0.277033,0.001280,0.000448,0.894043
