IN[0],INFER[0-6],OUT[6],TEE[0-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.120964,9.086350,0.090531,9.306197,0.001152,0.003872,0.002624,0.000640,9.320117
0.146469,1.571374,0.066754,1.792534,0.000992,0.003648,0.001664,0.000320,1.802454
0.174213,1.576879,0.068258,1.827510,0.000704,0.003680,0.001376,0.000352,1.837206
0.143460,1.568847,0.066434,1.785109,0.000736,0.002976,0.001120,0.000320,1.793525
0.143332,1.568815,0.065346,1.783989,0.000768,0.003136,0.001056,0.000352,1.792085
0.170213,1.585136,0.073026,1.836215,0.000736,0.002464,0.001024,0.000416,1.843959
0.139845,1.566286,0.071906,1.784821,0.000736,0.002657,0.001024,0.000384,1.792854
0.127780,1.581711,0.072194,1.788181,0.001088,0.002720,0.001056,0.000416,1.796053
0.142116,1.567022,0.068002,1.784533,0.001024,0.003072,0.001121,0.000448,1.793334
0.139332,1.582447,0.075458,1.804757,0.001088,0.003296,0.001025,0.000448,1.814966
0.178374,1.575567,0.069250,1.830455,0.000960,0.002944,0.001440,0.000416,1.839607
0.162629,1.585039,0.088674,1.844663,0.001152,0.003040,0.001600,0.000384,1.855159
0.149189,1.571375,0.071234,1.799574,0.000896,0.003104,0.001216,0.000416,1.808310
0.143428,1.585679,0.076802,1.813494,0.000896,0.002976,0.001088,0.000448,1.823542
0.145733,1.576047,0.069538,1.798262,0.000736,0.002368,0.001152,0.000416,1.805878
0.140676,1.588111,0.080002,1.815830,0.001120,0.002944,0.001120,0.000480,1.824470
0.163557,1.570383,0.069634,1.809846,0.001120,0.003040,0.001152,0.000384,1.818583
0.129124,1.584367,0.120963,1.841751,0.000832,0.002400,0.001024,0.000384,1.850263
0.141860,1.568462,0.070690,1.788149,0.000800,0.005344,0.001088,0.000384,1.798646
0.176357,1.584111,0.073570,1.840598,0.000865,0.005376,0.001152,0.000416,1.851287
0.142116,1.575247,0.068514,1.792501,0.000832,0.002656,0.000992,0.000384,1.800533
0.141828,1.584271,0.097667,1.830678,0.000832,0.003041,0.001152,0.000384,1.839159
0.148773,1.568335,0.067554,1.790806,0.000832,0.005344,0.001120,0.000352,1.801718
0.132035,1.587983,0.081986,1.810645,0.001120,0.005505,0.001120,0.000352,1.822710
0.150308,1.569967,0.067682,1.794869,0.000768,0.002464,0.001056,0.000352,1.802677
0.182502,1.588751,0.092163,1.871384,0.000864,0.004128,0.001216,0.000352,1.881720
0.143109,1.571534,0.070723,1.792022,0.001024,0.003136,0.001152,0.000448,1.800502
0.157476,1.595439,0.069122,1.830070,0.000864,0.003072,0.001120,0.000448,1.838390
0.149701,1.568431,0.066882,1.793366,0.000832,0.005504,0.001024,0.000416,1.804150
0.153316,1.571535,0.067874,1.799733,0.000768,0.002560,0.001056,0.000416,1.807381
0.141445,1.568942,0.068610,1.786037,0.000832,0.003073,0.001088,0.000416,1.794230
0.114723,1.566702,0.067522,1.755988,0.000832,0.002688,0.001088,0.000416,1.763764
0.152005,1.568270,0.070755,1.796022,0.001056,0.002880,0.001120,0.000384,1.804278
0.136868,1.578735,0.073762,1.795317,0.000992,0.002496,0.001056,0.000352,1.802965
0.138244,1.566159,0.064290,1.774709,0.000736,0.003008,0.001152,0.000352,1.782709
0.137700,1.563119,0.063714,1.770645,0.000992,0.005344,0.001184,0.000288,1.781205
0.136900,1.562798,0.090947,1.797269,0.001056,0.003104,0.001184,0.000448,1.807797
0.140037,1.563630,0.065186,1.776341,0.000736,0.002528,0.001024,0.000384,1.783797
0.127427,1.579823,0.108036,1.822647,0.000896,0.005376,0.001152,0.000512,1.835287
0.135492,1.560046,0.061986,1.762740,0.000704,0.005280,0.001056,0.000320,1.772884
0.165541,1.577583,0.114787,1.864247,0.001121,0.003232,0.001024,0.000352,1.873016
0.142469,1.561646,0.063106,1.772597,0.000768,0.002560,0.001024,0.000352,1.779989
0.137060,1.579663,0.087203,1.811254,0.000800,0.004160,0.001088,0.000416,1.821430
0.138468,1.560526,0.066498,1.771092,0.001024,0.005409,0.001088,0.000480,1.782037
0.137540,1.578031,0.077442,1.799861,0.001088,0.002976,0.000960,0.000352,1.809045
0.122852,1.561550,0.061794,1.751892,0.000704,0.002240,0.001024,0.000384,1.758996
0.164101,1.575087,0.074786,1.820502,0.001088,0.002944,0.001056,0.000448,1.828790
0.146084,1.561039,0.062658,1.776469,0.001088,0.003232,0.001056,0.000384,1.785013
0.138340,1.576751,0.103811,1.826230,0.001024,0.004224,0.000992,0.000352,1.835830
0.138788,1.561134,0.062978,1.769204,0.000736,0.002304,0.001056,0.000480,1.776468
0.144420,1.577903,0.068098,1.796277,0.000864,0.005344,0.001216,0.000384,1.807093
0.129092,1.565870,0.064481,1.766740,0.000800,0.002880,0.001152,0.000416,1.774805
0.137124,1.580079,0.073730,1.796374,0.000768,0.003296,0.001216,0.000448,1.805462
0.123203,1.563631,0.063458,1.756020,0.001088,0.003232,0.001120,0.000384,1.764916
0.160005,1.580175,0.072067,1.820055,0.001088,0.005344,0.001152,0.000448,1.832311
0.159589,1.566031,0.063682,1.795606,0.000768,0.003104,0.001088,0.000352,1.803766
0.137156,1.578831,0.076803,1.798102,0.001024,0.005312,0.001152,0.000352,1.808822
0.140164,1.562350,0.062338,1.771572,0.000704,0.005312,0.001184,0.000416,1.781909
0.144420,1.577838,0.072162,1.800886,0.001088,0.003040,0.001152,0.000416,1.810390
0.137764,1.564910,0.069282,1.778036,0.000736,0.002977,0.001088,0.000320,1.785973
0.136932,1.581039,0.078115,1.802262,0.000800,0.005408,0.001216,0.000352,1.814166
