Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-6],OUT[6],TEE[4-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.397868,0.017632,0.194949,0.004800,0.113924,0.101443,0.066530,0.285353,0.000768,0.002528,0.001216,0.000384,0.913243
0.395660,0.017536,0.192102,0.005536,0.115523,0.097539,0.066626,0.282792,0.000736,0.002304,0.001249,0.000352,0.904443
0.395404,0.017824,0.191910,0.005376,0.117380,0.097667,0.063042,0.281737,0.000768,0.002496,0.001184,0.000384,0.903515
0.395820,0.017569,0.208518,0.005408,0.121668,0.103459,0.077570,0.305897,0.000736,0.002432,0.001248,0.000352,0.945372
0.396651,0.017569,0.192102,0.004896,0.116771,0.104643,0.064866,0.289576,0.000768,0.002721,0.001312,0.000416,0.913051
0.395180,0.017377,0.192421,0.004864,0.121796,0.103331,0.067138,0.296169,0.000832,0.002688,0.001408,0.000352,0.918971
0.394700,0.017505,0.191973,0.004865,0.145092,0.096739,0.065666,0.311017,0.000704,0.002304,0.001184,0.000416,0.931132
0.395468,0.017408,0.192038,0.004832,0.115844,0.099555,0.064449,0.283048,0.000737,0.002400,0.001216,0.000384,0.903739
0.395532,0.017344,0.191398,0.004896,0.113316,0.094818,0.064386,0.275688,0.000768,0.002369,0.001152,0.000416,0.895835
0.395116,0.017537,0.191589,0.004832,0.107300,0.100579,0.066338,0.277417,0.000768,0.002560,0.001120,0.000448,0.897883
0.416268,0.017505,0.191590,0.005024,0.104867,0.098787,0.066306,0.273512,0.000704,0.002528,0.001376,0.000416,0.916443
0.395755,0.017408,0.191334,0.005024,0.114371,0.097763,0.064866,0.280488,0.000992,0.002656,0.001312,0.000416,0.901082
0.395308,0.017504,0.191366,0.004896,0.111555,0.097411,0.065506,0.278248,0.000768,0.002752,0.001345,0.000384,0.899899
0.395660,0.017409,0.191493,0.005248,0.105924,0.094338,0.072739,0.276265,0.000768,0.018560,0.001568,0.000544,0.914203
0.395243,0.017440,0.191334,0.005312,0.111587,0.095939,0.063970,0.274696,0.000800,0.002464,0.001312,0.000352,0.895258
0.394891,0.017537,0.191558,0.004896,0.109475,0.098211,0.062242,0.272808,0.000704,0.002400,0.001248,0.000416,0.892570
0.394892,0.017344,0.191302,0.004864,0.108579,0.097187,0.064578,0.273416,0.000736,0.002880,0.001312,0.000416,0.893563
0.415852,0.017569,0.191365,0.005313,0.113731,0.102595,0.068994,0.288808,0.000800,0.002528,0.001088,0.000416,0.930299
0.394956,0.017408,0.192230,0.004864,0.115747,0.095587,0.063426,0.278088,0.000768,0.002496,0.001248,0.000384,0.899514
0.395179,0.017313,0.191622,0.005248,0.112803,0.093859,0.062658,0.272552,0.000704,0.002624,0.001376,0.000384,0.893690
0.395787,0.017505,0.191782,0.005344,0.095779,0.101155,0.062306,0.263240,0.000736,0.002304,0.001280,0.000352,0.886202
0.395948,0.017728,0.191750,0.004832,0.115908,0.095650,0.063234,0.278184,0.000768,0.005153,0.001408,0.000416,0.903931
0.395244,0.017856,0.191782,0.004832,0.115619,0.102339,0.069347,0.290697,0.000768,0.005056,0.001312,0.000384,0.914395
0.395500,0.017633,0.191653,0.005024,0.113028,0.102275,0.064802,0.283561,0.000800,0.002400,0.001376,0.000384,0.906011
0.410892,0.017952,0.191590,0.004832,0.113155,0.101475,0.064481,0.282568,0.001088,0.002816,0.001312,0.000416,0.919547
0.394924,0.017792,0.191366,0.004864,0.117988,0.096035,0.063234,0.280329,0.000704,0.005120,0.001216,0.000384,0.903195
0.395788,0.017473,0.191109,0.004832,0.117284,0.103363,0.063938,0.287913,0.000672,0.002848,0.001248,0.000416,0.908443
0.394123,0.017473,0.191237,0.005281,0.113251,0.102659,0.091587,0.310761,0.000736,0.003104,0.001248,0.000352,0.931323
0.394572,0.017345,0.191429,0.005184,0.114980,0.094723,0.064578,0.277417,0.000704,0.005152,0.001312,0.000352,0.900667
0.394796,0.017921,0.191269,0.005280,0.115652,0.096547,0.062626,0.278409,0.000768,0.002912,0.001376,0.000384,0.900539
0.396555,0.017856,0.191846,0.005280,0.115523,0.098211,0.066562,0.284136,0.000768,0.002752,0.001376,0.000417,0.909339
0.413485,0.017920,0.191302,0.004864,0.116323,0.102947,0.067810,0.290057,0.000736,0.005184,0.001344,0.000352,0.932060
0.397068,0.017761,0.191269,0.005344,0.119300,0.098435,0.066786,0.288009,0.000736,0.002272,0.001344,0.000320,0.910299
0.395724,0.017888,0.191334,0.005024,0.116676,0.097634,0.067362,0.285320,0.000800,0.002592,0.001344,0.000416,0.907483
0.395852,0.017793,0.191397,0.005056,0.118532,0.118851,0.082787,0.323786,0.000768,0.002208,0.001184,0.000384,0.944060
0.395340,0.017920,0.191270,0.004864,0.135268,0.105667,0.063074,0.308009,0.000736,0.002272,0.001024,0.000385,0.927420
0.395148,0.017312,0.191110,0.004864,0.112451,0.102051,0.063265,0.281096,0.000704,0.002145,0.000928,0.000320,0.899707
0.394603,0.017345,0.191141,0.004929,0.111299,0.094659,0.061922,0.270984,0.000672,0.003168,0.001248,0.000416,0.891162
0.408236,0.017569,0.191621,0.004832,0.101027,0.095618,0.060994,0.261000,0.000704,0.002400,0.001248,0.000288,0.894394
0.395436,0.017441,0.191333,0.004896,0.104259,0.092994,0.063266,0.263624,0.000768,0.002272,0.000992,0.000384,0.883866
0.395019,0.017441,0.191334,0.005088,0.111907,0.096707,0.064514,0.276488,0.000736,0.002528,0.001216,0.000384,0.897498
0.395084,0.017312,0.191942,0.004896,0.107843,0.093731,0.098051,0.303273,0.000864,0.002944,0.001280,0.000384,0.924699
0.394508,0.017568,0.191366,0.005024,0.112835,0.102531,0.069955,0.288873,0.000704,0.002528,0.001216,0.000384,0.909467
0.395659,0.017313,0.191270,0.004800,0.113507,0.102275,0.066338,0.285672,0.000768,0.002592,0.001248,0.000416,0.906586
0.396044,0.017409,0.191493,0.004832,0.113924,0.095907,0.064834,0.277801,0.000704,0.002432,0.001216,0.000384,0.898747
0.414700,0.017728,0.193030,0.005312,0.114052,0.096323,0.070850,0.284681,0.001024,0.002784,0.001280,0.000384,0.928475
0.396396,0.017664,0.191942,0.004864,0.116900,0.102243,0.067714,0.289929,0.000672,0.002432,0.001376,0.000384,0.913499
