Layer[0],Layer[1],TEE[2-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.416112,0.017473,0.680603,0.005472,0.048546,0.000864,0.014657,0.000384,0.001536,0.001088,0.000576,1.197040
0.415697,0.017633,0.676443,0.005280,0.048290,0.000832,0.014433,0.000352,0.001536,0.001024,0.000416,1.190480
0.431986,0.017632,0.688284,0.005408,0.048770,0.000768,0.014049,0.000352,0.001408,0.001248,0.000544,1.219153
0.416656,0.017568,0.673947,0.005632,0.052546,0.000833,0.013632,0.000352,0.001472,0.000992,0.000384,1.192975
0.416305,0.017441,0.692123,0.005665,0.048354,0.000864,0.032705,0.000448,0.001600,0.001088,0.000320,1.226993
0.415536,0.017473,0.685563,0.005280,0.048578,0.000832,0.014081,0.000352,0.001408,0.001152,0.000608,1.199344
0.415825,0.017697,0.672955,0.005440,0.050722,0.000800,0.013441,0.000352,0.001440,0.000928,0.000832,1.189296
0.415473,0.017505,0.690363,0.005345,0.047777,0.000833,0.013504,0.000320,0.001408,0.001056,0.000800,1.203216
0.415665,0.017793,0.679803,0.005440,0.048546,0.000800,0.013761,0.000352,0.001504,0.001056,0.000352,1.193552
0.415440,0.017537,0.665915,0.005408,0.048418,0.000800,0.013440,0.000384,0.001441,0.000960,0.000800,1.179727
0.416304,0.017664,0.696476,0.005472,0.048258,0.000800,0.013409,0.000352,0.001504,0.000992,0.000800,1.210800
0.416337,0.017760,0.677947,0.005377,0.048258,0.000800,0.013472,0.000352,0.001504,0.000992,0.000320,1.192463
0.415217,0.017536,0.681724,0.005472,0.050818,0.000864,0.013472,0.000352,0.001409,0.001024,0.000576,1.197424
0.432881,0.017889,0.677563,0.005472,0.048514,0.000832,0.013441,0.000320,0.001472,0.000896,0.000832,1.208240
0.415633,0.017793,0.685595,0.005632,0.050498,0.000800,0.013728,0.000320,0.001408,0.000928,0.000832,1.203376
0.415697,0.017792,0.689628,0.005504,0.047970,0.000832,0.013729,0.000384,0.001536,0.001056,0.000352,1.203888
0.414704,0.017633,0.676763,0.005344,0.048066,0.000800,0.013441,0.000352,0.001504,0.001472,0.000352,1.188911
0.415696,0.017536,0.676507,0.005472,0.048097,0.000832,0.013473,0.000352,0.001440,0.000992,0.000352,1.189327
0.415633,0.017664,0.720541,0.005376,0.048706,0.000832,0.013601,0.000384,0.001408,0.000992,0.000384,1.234289
0.415632,0.017377,0.673595,0.005504,0.048354,0.000896,0.013697,0.000352,0.001440,0.000992,0.000352,1.186927
0.415504,0.017665,0.683355,0.005441,0.048482,0.000768,0.013440,0.000320,0.001504,0.001024,0.000384,1.196847
0.415728,0.017601,0.707068,0.005569,0.049154,0.000800,0.013504,0.000416,0.001408,0.000992,0.000320,1.222064
0.415696,0.017665,0.678523,0.005440,0.052546,0.000800,0.013601,0.000352,0.001408,0.000960,0.000352,1.196175
0.415441,0.017633,0.684091,0.005632,0.048578,0.000864,0.014305,0.000320,0.001440,0.000928,0.000384,1.198160
0.433073,0.017633,0.684091,0.005441,0.048321,0.000865,0.013600,0.000352,0.001472,0.000928,0.000576,1.214800
0.416240,0.017568,0.679675,0.005441,0.048546,0.000832,0.013792,0.000352,0.001472,0.001088,0.000384,1.194095
0.415505,0.017633,0.672762,0.005248,0.049058,0.000832,0.013696,0.000288,0.001440,0.001472,0.000321,1.187152
0.415537,0.018209,0.690011,0.005344,0.048930,0.000832,0.013473,0.000352,0.001504,0.001024,0.000352,1.203856
0.415440,0.017633,0.683835,0.005345,0.047873,0.000864,0.013984,0.000384,0.001536,0.001024,0.000608,1.197263
0.415569,0.017377,0.696251,0.005505,0.047970,0.000832,0.013600,0.000384,0.001504,0.001056,0.000832,1.209712
0.415696,0.017665,0.686907,0.005345,0.048066,0.000832,0.013408,0.000352,0.001472,0.000992,0.000608,1.201071
0.415857,0.017440,0.679804,0.005344,0.048226,0.000800,0.013472,0.000352,0.001440,0.001088,0.000801,1.193488
0.415056,0.017504,0.705852,0.005440,0.048482,0.000864,0.013472,0.000352,0.001408,0.000992,0.000576,1.219056
0.415729,0.017440,0.678011,0.005345,0.048450,0.000800,0.013504,0.000352,0.001408,0.001088,0.000352,1.191567
0.416017,0.017696,0.678331,0.005376,0.048482,0.000832,0.013632,0.000352,0.001472,0.000960,0.000320,1.192943
0.432913,0.017633,0.681275,0.005440,0.047874,0.000800,0.013473,0.000384,0.001536,0.001024,0.000320,1.211472
0.415185,0.017536,0.666011,0.005248,0.050178,0.000832,0.013441,0.000384,0.001504,0.000960,0.000320,1.179727
0.414993,0.017473,0.675451,0.005376,0.048002,0.000800,0.013504,0.000352,0.001505,0.001024,0.000384,1.187152
0.433553,0.017761,0.668763,0.005408,0.048034,0.000864,0.013537,0.000352,0.001440,0.001024,0.000320,1.199216
0.416465,0.017825,0.677915,0.005280,0.047426,0.000832,0.013504,0.000320,0.001408,0.000993,0.000320,1.191184
0.416560,0.017664,0.676923,0.005281,0.047905,0.000833,0.013664,0.000320,0.001472,0.001056,0.000384,1.191055
0.415633,0.017505,0.673178,0.005313,0.048674,0.000832,0.013440,0.000352,0.001504,0.001024,0.000832,1.186447
0.415408,0.017760,0.694364,0.005376,0.048226,0.000832,0.013441,0.000352,0.001440,0.001024,0.000640,1.207696
0.415280,0.017441,0.687803,0.005409,0.048674,0.000896,0.013536,0.000352,0.001408,0.000992,0.000672,1.200207
0.416400,0.017728,0.682747,0.005441,0.049218,0.000832,0.013472,0.000352,0.001504,0.001056,0.000384,1.198191
0.415505,0.017472,0.670523,0.005440,0.052354,0.000865,0.013792,0.000352,0.001408,0.001024,0.000352,1.187663
0.415248,0.017664,0.706876,0.005345,0.048354,0.000768,0.013792,0.000384,0.001472,0.000992,0.000352,1.219760
0.414993,0.017728,0.685436,0.005312,0.048194,0.000832,0.013504,0.000320,0.001504,0.001088,0.000352,1.197584
0.415120,0.017761,0.673467,0.005344,0.052482,0.000800,0.013473,0.000384,0.001504,0.000992,0.000608,1.190799
0.433393,0.017409,0.689595,0.005440,0.048354,0.000832,0.013408,0.000352,0.001568,0.000896,0.000384,1.220496
