Layer[0],Layer[1],Layer[2],TEE[3-8],Layer[9],Layer[10],classifier
0.420433,0.017665,0.202055,0.261643,0.001408,0.000416,0.910884
0.417296,0.017505,0.202472,0.257834,0.001312,0.000672,0.903811
0.416464,0.017537,0.201928,0.262794,0.001344,0.000384,0.907683
0.420240,0.017633,0.203080,0.258954,0.001376,0.000416,0.908515
0.417200,0.017665,0.217833,0.270890,0.001376,0.000640,0.933444
0.420240,0.017601,0.203720,0.279499,0.001216,0.000416,0.929796
0.416496,0.017569,0.202504,0.257226,0.001600,0.000608,0.904611
0.421008,0.017568,0.202248,0.263371,0.001568,0.000416,0.912932
0.415952,0.017792,0.202728,0.266507,0.001536,0.000384,0.912292
0.416432,0.017729,0.202472,0.263242,0.001504,0.000416,0.909251
0.417425,0.017664,0.202312,0.263019,0.001632,0.000384,0.909828
0.434513,0.017569,0.202312,0.251114,0.001280,0.000352,0.914692
0.421904,0.018209,0.203400,0.272331,0.001440,0.000448,0.923940
0.417296,0.017665,0.202472,0.267146,0.001345,0.000608,0.913700
0.416017,0.017632,0.202152,0.283403,0.001664,0.000480,0.929701
0.420561,0.017697,0.201960,0.260426,0.001344,0.000384,0.909316
0.416625,0.017536,0.201959,0.252874,0.001504,0.000449,0.898756
0.420497,0.017472,0.202215,0.261963,0.001344,0.000640,0.911204
0.432433,0.017664,0.202440,0.266571,0.001344,0.000640,0.928132
0.415473,0.017504,0.202439,0.264363,0.001280,0.000384,0.908548
0.416848,0.017473,0.202312,0.265130,0.001537,0.000384,0.910596
0.420753,0.017537,0.220008,0.274219,0.001600,0.000416,0.942789
0.420976,0.017537,0.202120,0.260554,0.001312,0.000416,0.909475
0.420689,0.017537,0.202184,0.249609,0.001280,0.000416,0.898819
0.416560,0.017793,0.202088,0.255434,0.001440,0.000608,0.901155
0.419921,0.017473,0.202504,0.250345,0.001344,0.000416,0.898308
0.420144,0.018176,0.202504,0.252234,0.001536,0.000384,0.902947
0.416401,0.017248,0.202056,0.244266,0.001248,0.000320,0.887491
0.415856,0.017505,0.223561,0.255018,0.001184,0.000416,0.920356
0.419920,0.017472,0.202408,0.255786,0.001248,0.000384,0.904419
0.416880,0.017697,0.202760,0.254378,0.001152,0.000352,0.899651
0.415280,0.017569,0.202088,0.260522,0.001248,0.000384,0.903363
0.420016,0.017665,0.202312,0.256874,0.001216,0.000384,0.904931
0.416144,0.018240,0.202472,0.261547,0.001344,0.000416,0.907332
0.416528,0.017984,0.202152,0.253738,0.001248,0.000416,0.898051
0.417264,0.017441,0.226057,0.263498,0.001440,0.000448,0.933476
0.417009,0.017344,0.202888,0.260011,0.001312,0.000384,0.905668
0.420529,0.017537,0.202120,0.258250,0.001216,0.000352,0.905924
0.420561,0.017696,0.202184,0.257770,0.001313,0.000384,0.906372
0.467123,0.017537,0.202151,0.260779,0.001216,0.000384,0.955334
0.416336,0.017761,0.202600,0.246570,0.001088,0.000480,0.890595
0.417872,0.017665,0.202312,0.246282,0.001376,0.000384,0.892067
0.420080,0.034433,0.203144,0.278411,0.001088,0.000384,0.943876
0.416721,0.017600,0.202184,0.254986,0.001376,0.000416,0.900548
0.420208,0.017537,0.202344,0.248362,0.001120,0.000416,0.895875
0.416880,0.017633,0.202312,0.247882,0.001152,0.000448,0.893539
0.419985,0.017472,0.202376,0.247722,0.001120,0.000320,0.894979
0.419952,0.017441,0.202280,0.254346,0.001184,0.000352,0.901507
0.420464,0.017409,0.201864,0.250890,0.001088,0.000480,0.897731
0.419728,0.017537,0.221864,0.261130,0.001216,0.000384,0.928452
0.467250,0.017345,0.202312,0.243434,0.001184,0.000352,0.937509
0.420464,0.017281,0.202152,0.264938,0.001152,0.000384,0.912003
0.419664,0.017504,0.202472,0.256618,0.001120,0.000352,0.903843
0.417264,0.017536,0.203560,0.256170,0.001440,0.000384,0.904067
0.420112,0.017441,0.203784,0.256234,0.001152,0.000384,0.905315
0.420368,0.017696,0.202024,0.256906,0.001280,0.000416,0.905795
0.440146,0.017568,0.202504,0.278795,0.001312,0.000352,0.946917
0.416241,0.017569,0.202375,0.248298,0.001280,0.000352,0.891971
0.416017,0.017248,0.202472,0.258443,0.001280,0.000416,0.902404
0.416881,0.017216,0.202568,0.244170,0.001280,0.000384,0.889251
0.420432,0.017473,0.202216,0.238697,0.001280,0.000352,0.886402
0.416720,0.017920,0.202664,0.270219,0.001120,0.000352,0.914692
0.417072,0.017281,0.202376,0.250218,0.001056,0.000416,0.894115
0.432945,0.017825,0.202888,0.294315,0.001472,0.000352,0.958021
0.420784,0.017761,0.202312,0.246666,0.001152,0.000352,0.895491
0.422320,0.017633,0.202088,0.255210,0.001408,0.000416,0.906147
0.417872,0.017537,0.203464,0.276939,0.001440,0.000512,0.926148
0.416688,0.017665,0.202056,0.249994,0.001344,0.000480,0.894051
0.416144,0.017537,0.202504,0.250058,0.001248,0.000352,0.893987
0.417136,0.017569,0.202440,0.256810,0.001152,0.000384,0.901859
0.434065,0.017473,0.202312,0.263082,0.001280,0.000416,0.925252
0.416081,0.017472,0.202696,0.259723,0.001280,0.000416,0.903268
0.417072,0.017633,0.202280,0.255754,0.001088,0.000384,0.900515
0.418832,0.017473,0.203112,0.277579,0.001184,0.000608,0.926052
0.416400,0.017409,0.202376,0.261226,0.001312,0.000416,0.905123
0.421489,0.017537,0.202664,0.253834,0.001216,0.000416,0.904036
0.417073,0.017536,0.202280,0.249578,0.001280,0.000608,0.895011
0.434897,0.017537,0.202696,0.268970,0.001185,0.000416,0.932037
0.416177,0.017280,0.202664,0.238794,0.001280,0.000416,0.882563
0.415632,0.017537,0.202312,0.252618,0.001152,0.000384,0.895907
0.420208,0.017505,0.202184,0.253706,0.018081,0.000384,0.918724
0.416400,0.017569,0.202408,0.264874,0.001248,0.000384,0.909603
0.416017,0.017568,0.203144,0.250154,0.001152,0.000384,0.895747
0.417392,0.017665,0.202088,0.252362,0.001344,0.000416,0.898691
0.438929,0.017793,0.202152,0.246634,0.001248,0.000608,0.914628
0.421424,0.017793,0.201960,0.259210,0.001280,0.000352,0.909603
0.420561,0.017601,0.202472,0.252714,0.001280,0.000384,0.902500
0.421616,0.017568,0.202504,0.294316,0.001440,0.000384,0.945125
0.420496,0.017568,0.202024,0.258794,0.001345,0.000384,0.907940
0.420752,0.018049,0.202248,0.257482,0.001216,0.000416,0.906947
0.415665,0.017472,0.202024,0.251722,0.001184,0.000416,0.894371
0.432625,0.017665,0.202376,0.270762,0.001152,0.000352,0.931301
0.420560,0.017473,0.202184,0.253386,0.001280,0.000384,0.901699
0.416624,0.017568,0.202920,0.259722,0.001376,0.000416,0.905988
0.415632,0.017505,0.202472,0.278123,0.001408,0.000416,0.922148
0.417457,0.017664,0.202472,0.257578,0.001313,0.000416,0.904196
0.416112,0.017697,0.202408,0.261866,0.001280,0.000352,0.907171
0.420817,0.017537,0.202024,0.257866,0.001248,0.000384,0.906436
0.442225,0.017856,0.202120,0.270219,0.001248,0.000384,0.940805
0.420208,0.017697,0.201992,0.259754,0.001472,0.000384,0.908163
0.419824,0.017697,0.202408,0.257866,0.001184,0.000416,0.906435
0.420017,0.017537,0.201992,0.277130,0.001216,0.000480,0.925221
0.416240,0.017633,0.202184,0.241065,0.001312,0.000384,0.885250
0.415792,0.017761,0.202536,0.258762,0.001600,0.000416,0.904355
0.419856,0.017633,0.202120,0.261514,0.001248,0.000384,0.909859
0.438929,0.017505,0.202248,0.270890,0.001281,0.000384,0.938789
0.420080,0.017537,0.202216,0.250442,0.001152,0.000448,0.898595
0.416368,0.017664,0.202120,0.273035,0.001280,0.000384,0.918212
0.415473,0.017729,0.202247,0.270570,0.001280,0.000384,0.915140
0.419632,0.017505,0.202344,0.337581,0.001344,0.000384,0.986406
0.419824,0.017729,0.202152,0.252746,0.001216,0.000320,0.900867
0.414352,0.017729,0.203240,0.269482,0.001248,0.000384,0.912803
0.420017,0.017537,0.202152,0.274410,0.001376,0.000672,0.923013
0.416465,0.017729,0.203080,0.251337,0.001473,0.000384,0.898436
0.420176,0.017473,0.202216,0.257770,0.001280,0.000384,0.906179
0.420369,0.017921,0.220808,0.266635,0.001504,0.000416,0.935365
0.416560,0.017697,0.202312,0.270251,0.001312,0.000416,0.914980
0.417617,0.017536,0.202696,0.265227,0.001248,0.000352,0.911140
0.421136,0.017537,0.202120,0.269962,0.001280,0.000352,0.919589
0.420113,0.017601,0.202312,0.265386,0.001376,0.000352,0.914564
0.421040,0.017664,0.202216,0.259242,0.001248,0.000384,0.908259
0.415760,0.017440,0.201992,0.261546,0.001184,0.000352,0.904804
0.465683,0.017985,0.207464,0.334829,0.002912,0.000992,1.042313
0.418320,0.017985,0.203688,0.258538,0.002304,0.000832,0.908868
0.421552,0.017729,0.202888,0.262026,0.001408,0.000352,0.912611
0.421137,0.017985,0.219848,0.263819,0.001376,0.000416,0.933189
0.422097,0.017664,0.202632,0.263851,0.001312,0.000416,0.913860
0.420976,0.017633,0.202312,0.250570,0.001280,0.000384,0.898947
0.420240,0.017697,0.202216,0.256810,0.001184,0.000384,0.905187
0.419793,0.017921,0.202760,0.256938,0.001312,0.000352,0.905604
0.421201,0.017664,0.202440,0.255082,0.001376,0.000321,0.904580
0.420689,0.017537,0.202184,0.257930,0.001152,0.000384,0.906052
0.416400,0.017761,0.218760,0.270603,0.001312,0.000480,0.932868
0.416272,0.017697,0.202152,0.256618,0.001184,0.000416,0.900323
0.416944,0.017600,0.202216,0.252330,0.001120,0.000384,0.897315
0.416464,0.017793,0.202056,0.250922,0.001312,0.000384,0.895971
0.417809,0.017537,0.202728,0.291179,0.001280,0.000384,0.937957
0.417105,0.017504,0.201928,0.262539,0.001216,0.000384,0.907140
0.421713,0.017504,0.202952,0.246410,0.001376,0.000320,0.895971
0.417648,0.017664,0.218441,0.257194,0.001056,0.000352,0.918660
0.418224,0.017729,0.201960,0.255434,0.001184,0.000416,0.900995
0.415664,0.017633,0.202248,0.251594,0.001184,0.000512,0.895651
0.416081,0.017664,0.202248,0.251882,0.001376,0.000448,0.896899
0.420432,0.017473,0.202248,0.263018,0.001344,0.000384,0.911587
0.418320,0.017569,0.202760,0.259626,0.001440,0.000416,0.908131
0.416496,0.017633,0.204456,0.283403,0.001504,0.000256,0.930820
0.416752,0.017664,0.216361,0.258218,0.001088,0.000288,0.917124
0.417808,0.017248,0.201896,0.265387,0.001632,0.000480,0.910436
0.418065,0.017504,0.202376,0.255306,0.001504,0.000353,0.902404
0.416432,0.017697,0.202376,0.264458,0.001185,0.000352,0.909220
0.430961,0.017441,0.202407,0.255883,0.001184,0.000320,0.914468
0.416336,0.017473,0.201992,0.267498,0.001216,0.000385,0.911236
0.417552,0.017697,0.202216,0.256778,0.001472,0.000384,0.903715
0.416944,0.017537,0.215624,0.282667,0.001280,0.000288,0.941541
0.418672,0.017504,0.202376,0.256426,0.001248,0.000448,0.905379
0.418384,0.017601,0.204328,0.252938,0.001440,0.000576,0.902083
0.416625,0.017696,0.202728,0.247658,0.001280,0.000512,0.892803
0.439697,0.017729,0.202696,0.251114,0.001376,0.000320,0.920804
0.422897,0.017504,0.202728,0.268171,0.001344,0.000384,0.919748
0.417073,0.017664,0.202472,0.258250,0.001345,0.000640,0.904260
0.417777,0.017793,0.223208,0.261771,0.001376,0.000384,0.930309
0.465298,0.017537,0.203080,0.246154,0.001280,0.000416,0.941093
0.416688,0.018241,0.203272,0.260874,0.001440,0.000448,0.909155
0.420944,0.017537,0.202792,0.256682,0.001248,0.000416,0.906819
0.420976,0.017664,0.202600,0.274155,0.001184,0.000608,0.926436
0.415984,0.018177,0.202472,0.256490,0.001440,0.000384,0.902051
0.416240,0.017536,0.202344,0.255146,0.001184,0.000576,0.899619
0.421040,0.017665,0.221193,0.272746,0.001184,0.000416,0.941988
0.420368,0.017729,0.202472,0.273899,0.001408,0.000416,0.923620
0.419696,0.017569,0.202376,0.278443,0.001440,0.000352,0.927332
0.420080,0.017537,0.202216,0.281771,0.001568,0.000384,0.930916
0.420720,0.017569,0.202280,0.259370,0.001280,0.000384,0.908323
0.416816,0.017632,0.203560,0.265963,0.001440,0.000416,0.913956
0.421041,0.017984,0.202440,0.254314,0.001248,0.000416,0.903331
0.438929,0.017921,0.202215,0.261835,0.001280,0.000384,0.929252
0.420593,0.017536,0.202312,0.278251,0.001312,0.000384,0.927204
0.419600,0.017441,0.202312,0.255914,0.001248,0.000384,0.902595
0.420177,0.017377,0.202408,0.287403,0.001248,0.000384,0.935717
0.415920,0.017633,0.202856,0.273419,0.001152,0.000352,0.917124
0.420305,0.017504,0.202440,0.260843,0.001376,0.000416,0.909092
0.415536,0.017665,0.202600,0.246985,0.001248,0.000416,0.890243
0.436338,0.017664,0.202696,0.253194,0.001344,0.000384,0.919973
0.415856,0.017601,0.202600,0.248233,0.001441,0.000352,0.892835
0.416304,0.017537,0.202440,0.245578,0.001248,0.000352,0.889955
0.420145,0.017729,0.202504,0.287147,0.001472,0.000384,0.937061
0.420848,0.017505,0.202504,0.270954,0.001056,0.000417,0.919716
0.419921,0.017313,0.202312,0.266890,0.001056,0.000384,0.913796
0.421072,0.017504,0.202248,0.271275,0.001120,0.000416,0.919812
0.435057,0.017697,0.202568,0.269706,0.001216,0.000384,0.933637
0.420848,0.017633,0.202376,0.286155,0.001216,0.000384,0.934660
0.419600,0.017504,0.202600,0.261354,0.001153,0.000416,0.908740
0.421680,0.017472,0.233897,0.270763,0.001120,0.000384,0.951621
0.415824,0.017761,0.203016,0.249962,0.001408,0.000416,0.895523
0.420913,0.017729,0.202536,0.275082,0.001248,0.000416,0.923845
0.421040,0.017601,0.202888,0.273099,0.001408,0.000352,0.924100
0.416049,0.017504,0.202472,0.275467,0.001216,0.000352,0.918724
0.414832,0.017665,0.202376,0.251338,0.001152,0.000320,0.893795
0.420017,0.017217,0.202184,0.253066,0.001216,0.000384,0.900900
0.420304,0.017953,0.215752,0.297772,0.001216,0.000384,0.960197
0.415024,0.017505,0.202728,0.253098,0.001216,0.000384,0.896451
0.419665,0.017440,0.203784,0.268299,0.001344,0.000480,0.916772
0.415536,0.017441,0.202568,0.255402,0.001344,0.000448,0.899715
0.416912,0.017664,0.203368,0.257066,0.001248,0.000416,0.904868
0.416336,0.017792,0.202696,0.255082,0.001280,0.000352,0.900515
0.415953,0.017664,0.202728,0.270539,0.001120,0.000416,0.915396
0.416336,0.017825,0.216360,0.261515,0.001216,0.000384,0.921252
0.416080,0.017665,0.202376,0.263146,0.001632,0.000416,0.908707
0.415505,0.017568,0.202088,0.258186,0.001185,0.000352,0.901444
0.415185,0.017632,0.202120,0.258410,0.001248,0.000448,0.900900
0.415664,0.017665,0.201992,0.261418,0.001184,0.000352,0.905859
0.415248,0.017793,0.202568,0.250410,0.001184,0.000288,0.894659
0.415120,0.017920,0.202472,0.255242,0.001312,0.000416,0.898723
0.417392,0.017600,0.221385,0.271787,0.001568,0.000384,0.938725
0.415857,0.017728,0.202696,0.279275,0.001312,0.000320,0.923908
0.415632,0.017633,0.202600,0.257002,0.001184,0.000352,0.901731
0.415729,0.017696,0.202056,0.264619,0.001376,0.000480,0.908612
0.415696,0.017665,0.202248,0.279243,0.001216,0.000352,0.923620
0.415920,0.017921,0.202152,0.271147,0.001536,0.000352,0.915876
0.420913,0.017601,0.202632,0.265098,0.001472,0.000352,0.915364
0.467346,0.017729,0.220425,0.264618,0.001440,0.000384,0.979558
0.420849,0.017921,0.202440,0.270218,0.001312,0.000448,0.920452
0.420144,0.017664,0.202408,0.255018,0.001216,0.000384,0.904931
0.416304,0.017825,0.203144,0.259466,0.001472,0.000608,0.907235
0.415952,0.017888,0.202248,0.268523,0.001472,0.000448,0.913444
0.420689,0.017536,0.202472,0.271947,0.001312,0.000416,0.922500
0.465906,0.017697,0.202248,0.261674,0.001280,0.000384,0.956549
0.450834,0.017761,0.202504,0.268138,0.001441,0.000416,0.947782
0.422832,0.017441,0.202792,0.261418,0.001504,0.000384,0.913219
0.421744,0.017409,0.202472,0.257002,0.001408,0.000384,0.907203
0.422033,0.017697,0.202023,0.275435,0.001536,0.000448,0.926596
0.420945,0.017697,0.201863,0.255082,0.001376,0.000384,0.904612
0.417296,0.017505,0.202088,0.265898,0.001312,0.000416,0.912195
0.420465,0.017793,0.202056,0.246665,0.001280,0.000416,0.895747
0.436658,0.017984,0.202248,0.264651,0.001440,0.000576,0.932197
0.422801,0.017536,0.202600,0.262123,0.001536,0.000352,0.915012
0.422576,0.020832,0.202472,0.260811,0.001376,0.000384,0.915428
0.420112,0.017697,0.202280,0.265514,0.001344,0.000416,0.914564
0.420496,0.017536,0.202120,0.255050,0.001376,0.000384,0.903715
0.420464,0.020769,0.202248,0.253738,0.001184,0.000384,0.905283
0.415856,0.017697,0.202856,0.250506,0.001280,0.000416,0.895587
0.433745,0.017600,0.202536,0.261419,0.001472,0.000416,0.924772
0.418672,0.018049,0.202088,0.262058,0.001440,0.000480,0.910435
0.420529,0.017600,0.203720,0.262251,0.001536,0.000640,0.913700
0.418704,0.017569,0.218057,0.260138,0.001728,0.000672,0.925572
0.419824,0.017793,0.202664,0.265002,0.001504,0.000640,0.914180
0.421168,0.017953,0.202440,0.263242,0.001440,0.000576,0.913923
0.415633,0.017761,0.202503,0.264042,0.001536,0.000672,0.908996
0.415504,0.017537,0.202152,0.266954,0.001664,0.000320,0.912323
0.420497,0.017377,0.202600,0.258218,0.001536,0.000672,0.907524
0.421296,0.017633,0.202152,0.263530,0.001312,0.000576,0.913891
0.439441,0.017600,0.202952,0.258346,0.001504,0.000352,0.927909
0.416177,0.017953,0.202088,0.257258,0.001632,0.000672,0.903652
0.420784,0.017473,0.202696,0.257162,0.001536,0.000416,0.907075
0.421169,0.017697,0.202632,0.270378,0.001568,0.000416,0.921828
0.421712,0.017473,0.202216,0.260522,0.001472,0.000384,0.911235
0.418769,0.018049,0.202344,0.246121,0.001344,0.000640,0.894179
0.421457,0.017760,0.202248,0.252042,0.001376,0.000416,0.902787
0.433297,0.017697,0.202184,0.261738,0.001472,0.000608,0.924324
0.420464,0.017601,0.202312,0.246761,0.001280,0.000640,0.895715
0.420945,0.017761,0.202504,0.268650,0.001312,0.000416,0.918468
0.415536,0.017473,0.202248,0.274251,0.001408,0.000384,0.918500
0.416176,0.017856,0.203080,0.257226,0.001537,0.000416,0.903908
0.421360,0.017825,0.202376,0.261642,0.001600,0.000416,0.912516
0.417136,0.017761,0.202856,0.259402,0.001504,0.000416,0.906915
0.434033,0.017760,0.203272,0.260266,0.001344,0.000320,0.924037
0.421489,0.017536,0.202408,0.252682,0.001376,0.000480,0.902531
0.427504,0.017537,0.202248,0.258698,0.001216,0.000416,0.914115
0.416433,0.017409,0.216232,0.240746,0.001280,0.000384,0.899044
0.415856,0.017601,0.202632,0.231881,0.001344,0.000320,0.875330
0.415601,0.017537,0.201959,0.243914,0.001280,0.000416,0.886531
0.416369,0.017728,0.202280,0.276139,0.001280,0.000288,0.919876
0.430417,0.017696,0.202856,0.252522,0.001376,0.000384,0.913155
0.416816,0.017761,0.202120,0.262570,0.001376,0.000384,0.908675
0.417681,0.017664,0.202280,0.247306,0.001376,0.000352,0.893987
0.416112,0.017793,0.202248,0.272778,0.001152,0.000576,0.916803
0.416208,0.017696,0.203016,0.277067,0.001376,0.000384,0.923172
0.417264,0.017825,0.202344,0.281131,0.001344,0.000384,0.926500
0.415760,0.017761,0.202056,0.254378,0.001056,0.000320,0.897091
0.431313,0.017697,0.202216,0.253226,0.001280,0.000384,0.913188
0.415792,0.017568,0.202600,0.267307,0.001152,0.000352,0.910532
0.415568,0.017537,0.201800,0.271210,0.001216,0.000416,0.914212
0.418289,0.017633,0.202951,0.283531,0.001472,0.000384,0.933029
0.415953,0.021025,0.202663,0.235882,0.001088,0.000352,0.882979
0.415504,0.017665,0.202440,0.244554,0.001376,0.000384,0.889123
0.462546,0.017601,0.202440,0.237673,0.001152,0.000352,0.927268
0.428849,0.020833,0.202920,0.229065,0.001088,0.000512,0.888899
0.415280,0.017697,0.202184,0.238121,0.001376,0.000384,0.880962
0.414961,0.017728,0.203336,0.229801,0.001248,0.000320,0.872642
0.414832,0.017729,0.201992,0.229225,0.001152,0.000288,0.870850
0.415536,0.017825,0.202312,0.229801,0.001376,0.000352,0.873026
0.416912,0.017697,0.202376,0.246025,0.001088,0.000352,0.890306
0.461842,0.017729,0.202888,0.257226,0.001408,0.000352,0.948485
0.415857,0.017888,0.215529,0.240905,0.001152,0.000288,0.897347
0.416177,0.017664,0.202312,0.254378,0.001249,0.000352,0.899396
0.415568,0.017697,0.202056,0.260330,0.001248,0.000352,0.903331
0.462546,0.017985,0.202056,0.276459,0.001152,0.000384,0.965862
0.415280,0.017409,0.202024,0.263178,0.001024,0.000320,0.904771
0.414608,0.017761,0.201832,0.227433,0.001088,0.000288,0.868642
0.414832,0.017569,0.202248,0.282283,0.001152,0.000352,0.923364
0.415664,0.017601,0.215976,0.246730,0.001056,0.000256,0.903075
0.414960,0.017889,0.202152,0.247113,0.001153,0.000352,0.888451
0.464114,0.017505,0.202888,0.256266,0.001184,0.000384,0.949861
0.462866,0.017377,0.202600,0.246250,0.001088,0.000256,0.936421
0.431953,0.017473,0.202248,0.295403,0.001184,0.000576,0.955750
0.415409,0.017665,0.201991,0.232682,0.001088,0.000416,0.875555
0.415408,0.017761,0.202408,0.254474,0.001120,0.000352,0.896995
0.415504,0.017601,0.202664,0.268235,0.001184,0.000288,0.912132
0.415184,0.017697,0.202056,0.256938,0.001440,0.000512,0.900163
0.417232,0.017697,0.202440,0.232361,0.001120,0.000288,0.876034
0.415440,0.017569,0.202440,0.226537,0.001376,0.000288,0.869282
0.447090,0.017569,0.202280,0.253962,0.001344,0.000352,0.929093
0.415792,0.017729,0.202632,0.258218,0.001248,0.000352,0.902435
0.420016,0.017473,0.202376,0.251082,0.001216,0.000352,0.898787
0.415280,0.017697,0.202888,0.283179,0.001248,0.000384,0.928484
0.415952,0.017505,0.202088,0.255626,0.001280,0.000384,0.899171
0.415408,0.017665,0.202504,0.258282,0.001152,0.000384,0.901443
0.420144,0.017889,0.202024,0.275083,0.001248,0.000352,0.923204
0.432177,0.017601,0.202408,0.246570,0.001344,0.000320,0.906692
0.415601,0.017504,0.202536,0.251274,0.001184,0.000384,0.894435
0.415920,0.017313,0.202248,0.255338,0.001184,0.000352,0.898435
0.415440,0.018081,0.234697,0.269195,0.001344,0.000416,0.948357
0.416209,0.017601,0.202119,0.268971,0.001440,0.000640,0.914692
0.416848,0.017537,0.202152,0.262186,0.001248,0.000416,0.907523
0.420625,0.017536,0.202504,0.260363,0.001376,0.000608,0.910948
0.422417,0.017536,0.202376,0.256010,0.001248,0.000352,0.907332
0.416592,0.017664,0.202504,0.263178,0.001184,0.000384,0.908612
0.420176,0.017632,0.202056,0.264203,0.001216,0.000352,0.912772
0.415792,0.037633,0.202568,0.261802,0.001344,0.000416,0.927204
0.416176,0.018177,0.202472,0.258890,0.001216,0.000384,0.904483
0.416049,0.017728,0.202120,0.292556,0.001408,0.000320,0.937605
0.416656,0.017697,0.202664,0.268843,0.001504,0.000416,0.915204
0.416432,0.017537,0.202440,0.264330,0.001441,0.000640,0.910308
0.420849,0.018209,0.202184,0.257354,0.001184,0.000608,0.907588
0.416784,0.017697,0.202984,0.265482,0.001408,0.000576,0.913700
0.433105,0.017504,0.202792,0.263563,0.001344,0.000352,0.926053
0.421712,0.017633,0.202216,0.273035,0.001344,0.000608,0.924036
0.420176,0.017729,0.202120,0.263914,0.001312,0.000417,0.911684
0.420017,0.017633,0.202184,0.277003,0.001312,0.000416,0.926725
0.420561,0.017504,0.202056,0.253898,0.001248,0.000352,0.902307
0.416592,0.017665,0.202152,0.257194,0.001312,0.000352,0.902275
0.416432,0.017568,0.202472,0.260202,0.001472,0.000352,0.905956
0.437745,0.017697,0.202215,0.261259,0.001440,0.000384,0.927748
0.420689,0.017696,0.202376,0.266667,0.001440,0.000352,0.917540
0.416145,0.017664,0.202856,0.258667,0.001376,0.000384,0.903940
0.415888,0.017697,0.220233,0.261418,0.001312,0.000576,0.924324
0.415472,0.017760,0.202056,0.257802,0.001120,0.000353,0.901956
0.420369,0.017761,0.202248,0.250986,0.001312,0.000384,0.899524
0.421520,0.017793,0.202184,0.255594,0.001216,0.000384,0.905315
0.420145,0.017729,0.201863,0.253642,0.001313,0.000352,0.901156
0.416112,0.017953,0.201960,0.265322,0.001344,0.000384,0.909827
0.417457,0.017601,0.202536,0.255978,0.001440,0.000416,0.902884
0.421233,0.018209,0.221608,0.248682,0.001152,0.000416,0.918276
0.420304,0.017921,0.203208,0.257930,0.001184,0.000640,0.908707
0.415856,0.017793,0.202312,0.253002,0.001376,0.000352,0.896771
0.415473,0.017696,0.202024,0.258442,0.001120,0.000416,0.901988
0.421392,0.017761,0.201896,0.257834,0.001408,0.000352,0.907779
0.415824,0.017633,0.202088,0.245802,0.001248,0.000352,0.889923
0.415760,0.017473,0.202248,0.259882,0.001152,0.000480,0.903139
0.420176,0.035298,0.202376,0.262954,0.001184,0.000384,0.928740
0.415601,0.017600,0.203272,0.254922,0.001153,0.000352,0.899652
0.418288,0.017793,0.203240,0.262442,0.001408,0.000320,0.911395
0.421360,0.017729,0.202440,0.262474,0.001280,0.000352,0.912323
0.419857,0.017537,0.202568,0.250601,0.001408,0.000352,0.900100
0.420272,0.017249,0.202792,0.257674,0.001216,0.000352,0.906243
0.415344,0.017568,0.202632,0.255594,0.001152,0.000352,0.899171
0.435185,0.017696,0.202632,0.249386,0.001344,0.000352,0.913443
0.416336,0.018273,0.202824,0.253130,0.001120,0.000416,0.898915
0.415536,0.017473,0.202248,0.248425,0.001120,0.000352,0.891779
0.421520,0.017569,0.202376,0.264074,0.001216,0.000320,0.913603
0.415441,0.017760,0.202664,0.242186,0.001184,0.000448,0.886563
0.416688,0.017569,0.202568,0.259402,0.001152,0.000384,0.905155
0.420304,0.017729,0.202696,0.254474,0.001216,0.000448,0.903075
0.433009,0.017569,0.202280,0.270186,0.001536,0.000384,0.933028
0.416208,0.017569,0.202344,0.256394,0.001312,0.000384,0.900451
0.416496,0.017696,0.202184,0.260618,0.001216,0.000352,0.905348
0.415152,0.017825,0.202280,0.258346,0.001408,0.000576,0.904227
0.415569,0.017665,0.202407,0.240297,0.001408,0.000480,0.885347
0.415281,0.017760,0.202504,0.243018,0.001344,0.000320,0.886307
0.415408,0.017601,0.203016,0.232617,0.001408,0.000384,0.876610
0.445810,0.017985,0.205608,0.315148,0.003168,0.000832,0.998887
0.417744,0.018049,0.203528,0.269994,0.001440,0.000672,0.919140
0.424561,0.017921,0.203560,0.281963,0.002368,0.000608,0.942085
0.417873,0.017760,0.203496,0.280235,0.001312,0.000672,0.928805
0.421009,0.017984,0.202568,0.248106,0.001312,0.000448,0.897187
0.415536,0.017537,0.202376,0.256458,0.001248,0.000352,0.899491
0.420017,0.017632,0.202600,0.259178,0.001184,0.000384,0.907236
0.434001,0.017889,0.202984,0.261130,0.001248,0.000480,0.923908
0.420528,0.017665,0.202952,0.241065,0.001152,0.000416,0.890242
0.420304,0.017473,0.202248,0.249034,0.001248,0.000672,0.897859
0.420784,0.017761,0.234569,0.274123,0.001248,0.000320,0.956517
0.416241,0.017632,0.202472,0.251786,0.001376,0.000352,0.896931
0.415985,0.017568,0.202216,0.257322,0.001280,0.000288,0.900964
0.419280,0.017697,0.202728,0.272715,0.001312,0.000384,0.921668
0.420560,0.017505,0.202472,0.261418,0.001248,0.000416,0.909859
0.420048,0.017537,0.202376,0.255978,0.001152,0.000512,0.903779
0.420401,0.017504,0.202408,0.245002,0.001216,0.000608,0.893763
0.416016,0.017569,0.220201,0.251914,0.001088,0.000352,0.913732
0.420785,0.017665,0.202472,0.240137,0.001152,0.000384,0.888899
