Layer[0],Layer[1],Layer[2],TEE[3-8],Layer[9],Layer[10],classifier
0.418736,0.017569,0.204200,0.271242,0.001441,0.000416,0.921924
0.433969,0.017313,0.202504,0.255434,0.001344,0.000640,0.918116
0.421649,0.017473,0.202151,0.261130,0.001536,0.000416,0.912900
0.418193,0.017408,0.202119,0.281355,0.001312,0.000416,0.927301
0.417136,0.017537,0.202120,0.278859,0.001440,0.000416,0.924900
0.466963,0.017825,0.202023,0.261547,0.001472,0.000416,0.956806
0.420528,0.017248,0.202312,0.251754,0.001344,0.000352,0.899811
0.420753,0.017537,0.202216,0.239337,0.001216,0.000320,0.888067
0.434129,0.017537,0.202184,0.249162,0.001184,0.000384,0.910980
0.419825,0.017312,0.202376,0.247978,0.001184,0.000352,0.894691
0.417744,0.017536,0.202024,0.270219,0.001152,0.000352,0.914916
0.416880,0.017505,0.202344,0.270890,0.001216,0.000352,0.914980
0.420273,0.017633,0.202600,0.253161,0.001184,0.000384,0.902180
0.420785,0.017728,0.202376,0.246442,0.001280,0.000416,0.895011
0.417393,0.017473,0.201831,0.254634,0.001216,0.000416,0.900964
0.440146,0.017568,0.202280,0.252170,0.001280,0.000448,0.920292
0.420752,0.017825,0.202504,0.237705,0.001120,0.000416,0.886562
0.418097,0.017665,0.202119,0.268810,0.001184,0.000608,0.917572
0.420337,0.017568,0.202247,0.278219,0.001344,0.000416,0.927685
0.421105,0.017664,0.202728,0.257386,0.001152,0.000384,0.907844
0.415601,0.017632,0.202216,0.253738,0.001216,0.000416,0.898435
0.415600,0.017761,0.201960,0.254346,0.001344,0.000416,0.898179
0.448050,0.017761,0.202568,0.264586,0.001280,0.000512,0.942021
0.416752,0.018081,0.202216,0.266986,0.001216,0.000416,0.912835
0.415888,0.017665,0.202600,0.252426,0.001472,0.000640,0.897763
0.419953,0.017697,0.223496,0.266571,0.001312,0.000384,0.936773
0.415408,0.017697,0.202056,0.259210,0.001248,0.000640,0.903107
0.417425,0.017569,0.202311,0.254569,0.001184,0.000416,0.900868
0.416241,0.017441,0.202055,0.252489,0.001344,0.000640,0.897220
0.434577,0.017761,0.202376,0.267082,0.001376,0.000384,0.931492
0.416848,0.017569,0.202248,0.254794,0.001312,0.000384,0.899971
0.417008,0.017601,0.202024,0.249001,0.001344,0.000608,0.894691
0.415376,0.017792,0.235690,0.269546,0.001472,0.000256,0.947909
0.418224,0.017760,0.202088,0.257130,0.001248,0.000352,0.903363
0.417776,0.017568,0.202376,0.263627,0.001408,0.000384,0.910980
0.417584,0.017729,0.202024,0.252330,0.001248,0.000384,0.897859
0.417777,0.017697,0.202279,0.249802,0.001408,0.000416,0.896835
0.417328,0.017441,0.202344,0.249642,0.001408,0.000416,0.895427
0.416848,0.017537,0.202632,0.260778,0.001248,0.000353,0.907012
0.420336,0.017472,0.221481,0.264234,0.001344,0.000384,0.933509
0.421296,0.017505,0.203496,0.251882,0.001408,0.000352,0.902563
0.420944,0.017473,0.202216,0.257162,0.001184,0.000384,0.906211
0.416688,0.017665,0.202344,0.260970,0.001536,0.000384,0.906851
0.421393,0.017665,0.202439,0.259531,0.001344,0.000448,0.910596
0.416657,0.017472,0.201992,0.258507,0.001280,0.000384,0.903076
0.417616,0.017505,0.202120,0.249929,0.001248,0.000384,0.895683
0.417328,0.017281,0.220296,0.282540,0.001344,0.000416,0.947621
0.417104,0.017473,0.201960,0.256458,0.001408,0.000416,0.902275
0.463314,0.017664,0.202216,0.254154,0.001184,0.000352,0.945989
0.420496,0.017664,0.202184,0.252554,0.001312,0.000352,0.901315
0.420336,0.017665,0.202344,0.252522,0.001216,0.000384,0.901092
0.416464,0.017472,0.202728,0.264395,0.001600,0.000416,0.910596
0.420049,0.017697,0.202056,0.256714,0.001248,0.000416,0.905252
0.437905,0.017761,0.203240,0.252682,0.001440,0.000480,0.921540
0.416496,0.017505,0.201960,0.260458,0.001376,0.000384,0.905091
0.420688,0.017601,0.202408,0.254538,0.001344,0.000384,0.904131
0.419793,0.017665,0.202184,0.256042,0.001184,0.000416,0.904260
0.415152,0.017537,0.202120,0.250954,0.001312,0.000384,0.895299
0.416304,0.017473,0.202120,0.265386,0.001152,0.000352,0.909475
0.420112,0.017441,0.202280,0.262634,0.001216,0.000352,0.910691
0.434673,0.017761,0.202600,0.269706,0.001152,0.000384,0.933284
0.415472,0.017537,0.202408,0.263178,0.001312,0.000512,0.908419
0.420625,0.017505,0.202120,0.254666,0.001280,0.000384,0.903460
0.420241,0.017473,0.202440,0.273866,0.001696,0.000320,0.924388
0.420144,0.017504,0.202504,0.259690,0.001441,0.000384,0.908644
0.420400,0.017632,0.202088,0.253546,0.001216,0.000352,0.901987
0.420529,0.017441,0.202312,0.257578,0.001216,0.000352,0.907684
0.435217,0.017633,0.202472,0.248874,0.001280,0.000416,0.913412
0.420689,0.017472,0.202152,0.261131,0.001376,0.000384,0.910436
0.420369,0.017696,0.202312,0.262699,0.001216,0.000384,0.911620
0.420433,0.017504,0.202440,0.282443,0.001280,0.000416,0.931781
0.416752,0.017697,0.202440,0.261194,0.001504,0.000480,0.907363
0.420656,0.017441,0.202248,0.249642,0.001344,0.000416,0.898819
0.421233,0.017632,0.202568,0.259435,0.001312,0.000416,0.910660
0.444306,0.017505,0.202408,0.253290,0.001280,0.000384,0.927077
0.420241,0.017569,0.202088,0.268266,0.001344,0.000384,0.916708
0.415152,0.017697,0.202376,0.267434,0.001376,0.000416,0.913283
0.420464,0.017344,0.202120,0.276267,0.001376,0.000384,0.925380
0.420305,0.017729,0.202503,0.254218,0.001216,0.000384,0.904068
0.420080,0.017536,0.201928,0.252458,0.001376,0.000288,0.900675
0.467283,0.017505,0.202279,0.253450,0.001249,0.000384,0.949350
0.449361,0.017664,0.202344,0.262954,0.001376,0.000576,0.942117
0.416112,0.017729,0.202280,0.257578,0.001440,0.000416,0.902787
0.415824,0.017665,0.202408,0.285099,0.001440,0.000640,0.930212
0.420560,0.017729,0.220200,0.263371,0.001280,0.000352,0.931140
0.420465,0.017697,0.202568,0.268874,0.001312,0.000384,0.918116
0.416464,0.017760,0.203496,0.255754,0.001408,0.000352,0.903235
0.415696,0.017569,0.202248,0.246665,0.001280,0.000384,0.891011
0.420336,0.017889,0.203464,0.260618,0.001216,0.000384,0.911011
0.420336,0.017729,0.202952,0.263114,0.001344,0.000385,0.912804
0.420464,0.017633,0.202440,0.246602,0.001280,0.000384,0.895587
0.422672,0.017664,0.234442,0.299819,0.002785,0.000864,0.988967
0.416112,0.017601,0.203240,0.262986,0.001824,0.000384,0.908740
0.417105,0.017505,0.203208,0.277770,0.002049,0.000608,0.930117
0.415825,0.017664,0.202792,0.283403,0.001249,0.000384,0.928933
0.419889,0.017569,0.202312,0.259082,0.001280,0.000320,0.907652
0.420433,0.017760,0.202215,0.262379,0.001312,0.000352,0.911716
0.415825,0.017537,0.202343,0.270378,0.001664,0.000416,0.915140
0.435441,0.018049,0.201992,0.255882,0.001248,0.000480,0.919844
0.420464,0.017569,0.202312,0.262602,0.001440,0.000384,0.910467
0.415792,0.017601,0.202344,0.250410,0.001248,0.000384,0.894563
0.420592,0.017665,0.202120,0.276907,0.001216,0.000352,0.926468
0.420209,0.017729,0.202408,0.257098,0.001344,0.000416,0.906084
