Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-8],OUT[8],TEE[5-8],Layer[9],Layer[10],classifier
0.415043,0.017344,0.203073,0.004832,0.047393,0.105056,0.047585,0.060352,0.216161,0.001536,0.000448,0.912710
0.416035,0.017472,0.203105,0.004928,0.047297,0.113281,0.054912,0.059904,0.231489,0.001440,0.000416,0.928646
0.416323,0.017569,0.203937,0.004832,0.047584,0.116033,0.063713,0.066368,0.249538,0.001312,0.000416,0.948839
0.415523,0.017472,0.203234,0.004960,0.047328,0.109185,0.051776,0.065441,0.229730,0.001472,0.000416,0.926503
0.432356,0.017312,0.203425,0.004928,0.048257,0.112032,0.062401,0.061664,0.239329,0.001344,0.000384,0.953447
0.415267,0.017472,0.202658,0.004832,0.048352,0.111969,0.051040,0.062753,0.229090,0.001280,0.000416,0.925319
0.415395,0.017568,0.202401,0.004992,0.049057,0.111936,0.051457,0.061152,0.228129,0.001344,0.000384,0.925382
0.415427,0.017312,0.203233,0.004896,0.048321,0.105281,0.075872,0.066273,0.251170,0.001504,0.000384,0.948263
0.415395,0.017152,0.202690,0.004896,0.047296,0.108065,0.051872,0.060545,0.223810,0.001408,0.000384,0.920039
0.415587,0.017408,0.202945,0.004992,0.047617,0.104288,0.062401,0.067424,0.236993,0.001248,0.000320,0.933062
0.415235,0.018016,0.202658,0.004896,0.047328,0.108993,0.063648,0.062273,0.238210,0.001376,0.000320,0.934375
0.434339,0.017568,0.202305,0.004864,0.047681,0.109824,0.051969,0.060704,0.225985,0.001312,0.000448,0.941030
0.416195,0.017504,0.202338,0.004864,0.049184,0.101345,0.050560,0.060161,0.215266,0.001440,0.000416,0.912999
0.414947,0.017568,0.202498,0.004896,0.048448,0.103937,0.062688,0.060737,0.230242,0.001216,0.000288,0.925543
0.414627,0.017408,0.202785,0.004864,0.064321,0.098752,0.058561,0.058752,0.219137,0.001248,0.000480,0.930726
0.414723,0.017312,0.202913,0.004896,0.047585,0.101185,0.051872,0.061216,0.217281,0.001152,0.000416,0.911718
