Layer[0],Layer[1],IN[2],INFER[2-7],OUT[7],TEE[2-7],Layer[8],Layer[9],Layer[10],classifier
0.400844,0.017312,0.152421,0.597618,0.070498,0.824697,0.003264,0.001184,0.000448,1.253989
0.396395,0.038882,0.135140,0.592561,0.075586,0.807095,0.003041,0.001216,0.000416,1.253381
0.396460,0.017505,0.136900,0.584913,0.069634,0.794839,0.003168,0.001184,0.000416,1.218884
0.395532,0.017600,0.134340,0.583313,0.073122,0.794104,0.003072,0.001120,0.000320,1.216420
0.398476,0.017344,0.122756,0.591506,0.068098,0.785496,0.003008,0.001120,0.000480,1.211396
0.395947,0.017537,0.128964,0.583505,0.066370,0.782775,0.002816,0.001056,0.000448,1.206947
0.395307,0.017473,0.124036,0.597617,0.071042,0.795895,0.003489,0.001024,0.000448,1.218372
0.395692,0.017568,0.124292,0.578417,0.064706,0.770359,0.004704,0.001152,0.000384,1.194979
0.398220,0.017665,0.137828,0.584945,0.076962,0.803671,0.002752,0.001281,0.000448,1.230501
0.395532,0.017568,0.136868,0.620947,0.078114,0.839577,0.003040,0.001248,0.000480,1.263621
0.400588,0.017505,0.137732,0.582449,0.067842,0.791415,0.002592,0.001088,0.000384,1.218788
0.396332,0.018017,0.132835,0.583537,0.067074,0.786839,0.002720,0.001536,0.000416,1.211332
0.413708,0.017633,0.138404,0.592817,0.069475,0.804216,0.002432,0.001120,0.000384,1.245285
0.396236,0.017345,0.135876,0.583921,0.069922,0.793463,0.003360,0.000992,0.000352,1.217348
0.396012,0.017504,0.126564,0.582065,0.067682,0.779608,0.002720,0.001024,0.000480,1.202628
0.400268,0.017376,0.135780,0.580337,0.064866,0.784568,0.002496,0.001120,0.000448,1.211492
0.400012,0.017665,0.135140,0.581713,0.069602,0.789783,0.003072,0.001088,0.000384,1.216644
0.400876,0.017568,0.135396,0.602578,0.083139,0.824601,0.003136,0.001024,0.000480,1.252901
0.396619,0.017729,0.132612,0.580753,0.064994,0.781943,0.002816,0.001216,0.000416,1.206915
0.400620,0.017664,0.141669,0.585809,0.068738,0.799672,0.003456,0.001184,0.000384,1.228452
0.396396,0.017473,0.141188,0.597042,0.066594,0.809944,0.003200,0.001088,0.000352,1.234117
0.396683,0.017665,0.121796,0.581905,0.066498,0.773911,0.003008,0.001632,0.000448,1.199427
0.400268,0.017568,0.145317,0.583121,0.066082,0.797912,0.003008,0.001184,0.000384,1.225796
0.416812,0.017536,0.136356,0.591185,0.067586,0.800184,0.003616,0.001088,0.000480,1.245380
0.400044,0.017824,0.120900,0.581553,0.067138,0.772983,0.003232,0.001216,0.000544,1.200515
0.400140,0.017664,0.131012,0.582481,0.088675,0.806872,0.005472,0.000992,0.000448,1.237380
0.400204,0.017280,0.131460,0.580881,0.064834,0.780727,0.002464,0.001025,0.000352,1.207524
0.400172,0.017408,0.131428,0.581746,0.070946,0.787288,0.002400,0.001024,0.000448,1.214372
0.401131,0.017697,0.137188,0.603634,0.078338,0.823864,0.003008,0.001345,0.000480,1.255461
0.395820,0.017696,0.122692,0.581489,0.066434,0.774871,0.004192,0.001248,0.000449,1.199588
0.395916,0.017313,0.137508,0.581969,0.067938,0.790551,0.003552,0.001184,0.000448,1.214404
0.418989,0.017920,0.130692,0.593650,0.069922,0.797560,0.002720,0.001312,0.000448,1.244453
0.396076,0.017760,0.135556,0.584210,0.068354,0.791384,0.003488,0.001152,0.000448,1.216036
0.395659,0.017345,0.121059,0.582610,0.067138,0.774327,0.003648,0.001152,0.000352,1.197379
0.400012,0.017568,0.122020,0.583633,0.067394,0.776311,0.003680,0.001057,0.000352,1.204164
0.400460,0.017408,0.124580,0.583761,0.064897,0.777047,0.003425,0.001088,0.000416,1.205284
0.400492,0.017761,0.139172,0.606322,0.075874,0.825080,0.002752,0.001120,0.000416,1.252901
0.396555,0.017792,0.104515,0.586258,0.066402,0.761047,0.003296,0.001152,0.000448,1.186787
0.396203,0.017665,0.127172,0.583089,0.067202,0.780855,0.002560,0.001312,0.000416,1.205187
0.400204,0.017632,0.121796,0.616466,0.079106,0.821113,0.003200,0.001216,0.000416,1.249605
0.396780,0.017761,0.145316,0.584081,0.067298,0.800375,0.002816,0.001344,0.000384,1.225316
0.395756,0.017601,0.135972,0.585457,0.066082,0.790999,0.003328,0.001248,0.000416,1.215076
0.418060,0.017761,0.141060,0.594161,0.068514,0.806840,0.003296,0.001088,0.000352,1.253189
0.399820,0.017377,0.132708,0.597713,0.069027,0.802680,0.004928,0.001024,0.000416,1.231493
0.394955,0.017569,0.133124,0.584465,0.065954,0.786807,0.005152,0.000992,0.000320,1.210851
0.400364,0.017345,0.134020,0.582033,0.064386,0.783991,0.002496,0.001056,0.000416,1.211140
0.400236,0.017568,0.137508,0.582513,0.066497,0.789847,0.005536,0.001280,0.000480,1.220388
0.400300,0.017473,0.122787,0.600754,0.075139,0.801944,0.004224,0.001120,0.000608,1.230789
0.400811,0.018528,0.136612,0.585361,0.070370,0.795896,0.002880,0.001152,0.000736,1.226244
0.400780,0.017600,0.132356,0.585874,0.066690,0.788472,0.004736,0.001120,0.000384,1.218372
0.397003,0.017505,0.143300,0.614930,0.067746,0.829656,0.003105,0.001088,0.000640,1.255173
0.395755,0.017345,0.138596,0.585329,0.071875,0.799384,0.003680,0.001216,0.000480,1.223108
0.400876,0.017505,0.126596,0.581361,0.064450,0.776151,0.004032,0.001120,0.000512,1.205540
0.418252,0.017441,0.124451,0.593298,0.066850,0.788055,0.002496,0.001056,0.000416,1.233348
0.396459,0.017472,0.137412,0.582993,0.064577,0.788695,0.004065,0.001184,0.000384,1.214180
0.396332,0.017281,0.119299,0.583729,0.105667,0.830360,0.003296,0.001248,0.000640,1.254565
0.396044,0.017345,0.137988,0.583057,0.068834,0.794007,0.003296,0.001088,0.000640,1.219972
