REE[299],TEE[299]
4.670623,8.099187
4.512602,8.064114
4.091915,8.057362
4.085674,8.062226
4.087339,8.086323
4.090379,8.083250
4.094412,8.070995
4.102283,8.078323
4.092779,8.063314
4.088907,8.064530
4.091051,8.066034
4.088779,8.055282
4.090379,8.057041
4.090827,8.072050
4.096875,8.057362
4.098187,8.056498
4.094859,8.064018
4.097515,8.061490
4.100204,8.064370
4.098604,8.059922
4.098412,8.054866
4.088843,8.100660
4.088523,8.049330
4.087947,8.059378
4.091659,8.082386
4.091211,8.056274
4.085867,8.058034
4.089963,8.060690
4.081419,8.119700
4.093227,8.064402
4.088938,8.057874
4.100684,8.087507
4.086091,8.058098
4.093996,8.071218
4.095499,8.060466
4.095563,8.085906
4.100076,8.054545
4.087051,8.066930
4.089931,8.052946
4.092427,8.056562
4.091915,8.059090
4.091051,8.082035
4.089163,8.099475
4.095563,8.078514
4.093739,8.080370
4.090379,8.047570
4.098539,8.062450
4.088427,8.058545
4.095403,8.055954
4.096779,8.088915
4.084843,8.105267
4.088811,8.059442
4.090667,8.053874
4.076267,8.058322
4.081354,8.061330
4.092748,8.058802
4.089867,8.058770
4.096651,8.049169
4.097963,8.054386
4.089131,8.053714
4.088523,8.080179
4.099147,8.075923
4.096779,8.077395
4.089227,8.075826
4.095307,8.076818
4.086923,8.111636
4.086187,8.083282
4.079882,8.072466
4.102187,8.062930
4.092459,8.062770
4.092395,8.072946
4.086443,8.094387
4.089707,8.068626
4.093451,8.071666
4.085866,8.057905
4.091051,8.044913
4.090603,8.077523
4.096523,8.047026
4.092523,8.049778
4.096267,8.071250
4.094475,8.053233
4.092363,8.046705
4.087339,8.053426
4.092875,8.073074
4.090667,8.080659
4.098635,8.089395
4.090091,8.101971
4.091019,8.085555
4.093035,8.052465
4.089803,8.076307
4.092427,8.083154
4.091723,8.062322
4.092747,8.071730
4.086282,8.050897
4.096428,8.071890
4.090059,8.095859
4.089323,8.064242
4.088203,8.058162
4.088971,8.072851
4.091659,8.134548
4.085291,8.096787
4.090955,8.054258
4.093131,8.062994
4.086667,8.084178
4.086891,8.058002
4.090283,8.050514
4.092811,8.065522
4.091179,8.066802
4.085835,8.091603
4.097803,8.050961
4.100588,8.062418
4.089579,8.075250
4.101899,8.056657
4.092971,8.056946
4.091019,8.070195
4.090251,8.123380
4.097707,8.076082
4.098699,8.061842
4.084235,8.093619
4.092395,8.058130
4.093611,8.069010
4.088203,8.081170
4.089643,8.080659
4.085355,8.096403
4.092747,8.094579
4.088907,8.050642
4.086411,8.052594
4.087563,8.065010
4.089707,8.069714
4.087819,8.076947
4.089995,8.070546
4.095339,8.075987
4.093899,8.053074
4.090251,8.085779
4.087019,8.051921
4.089195,8.055825
4.097387,8.087795
4.108812,8.050098
4.090027,8.097972
4.114668,8.081363
4.096299,8.077971
4.089579,8.079954
4.093739,8.061650
4.090827,8.058482
4.073482,8.058482
4.089035,8.127188
4.088459,8.065203
4.086635,8.056018
4.099563,8.076915
4.088587,8.059890
4.089387,8.075539
4.107020,8.053842
4.090763,8.072467
4.095211,8.068082
4.093259,8.052530
4.093355,8.092339
4.093995,8.049842
4.085066,8.051474
4.089611,8.071026
4.092587,8.098355
4.088203,8.071026
4.088107,8.076626
4.086059,8.071027
4.091595,8.063026
4.099115,8.075731
4.092299,8.077363
4.091147,8.106067
4.094763,8.086227
4.093324,8.100563
4.099947,8.072434
4.096555,8.085459
4.092843,8.073234
4.095531,8.074706
4.083914,8.080595
4.087403,8.051730
4.089547,8.055282
4.092267,8.087314
4.090187,8.095027
4.085131,8.075763
4.103787,8.057201
4.091915,8.065522
4.093388,8.058322
4.079147,8.066514
4.088394,8.069202
4.086987,8.077778
4.088139,8.066354
4.091083,8.071474
4.093067,8.080306
4.093004,8.064626
4.093931,8.093427
4.093388,8.057330
4.095307,8.053937
4.086571,8.059954
4.090027,8.050322
4.102988,8.067218
4.091723,8.054258
4.095115,8.074643
4.092235,8.076819
4.093323,8.048178
4.083723,8.056978
4.094155,8.061682
4.091467,8.070834
4.089227,8.068370
4.088971,8.119091
4.090155,8.049330
4.083787,8.063186
4.093547,8.074674
4.080043,8.069106
4.094731,8.047409
4.084779,8.058098
4.091787,8.073842
4.090123,8.049330
4.091499,8.050290
4.089867,8.055282
4.081931,8.065554
4.091723,8.052530
4.088907,8.063090
4.093355,8.065106
4.095851,8.099251
4.092907,8.077522
4.092043,8.061650
4.082698,8.086994
4.086443,8.077427
4.091179,8.068946
4.089323,8.095188
4.091243,8.057682
4.097196,8.073138
4.091563,8.074866
4.097643,8.074227
4.100971,8.060882
4.095211,8.069747
4.086251,8.069714
4.094315,8.073426
4.086731,8.076434
4.093675,8.071955
4.090155,8.077682
4.091883,8.058738
4.095019,8.062866
4.097355,8.093811
4.090091,8.094643
4.093131,8.059538
4.093195,8.057042
4.089003,8.051122
4.089739,8.083059
4.091371,8.105075
4.091627,8.050609
4.080811,8.074098
4.094827,8.077555
4.086634,8.084722
4.091947,8.054802
4.097387,8.078834
4.095275,8.094099
4.095500,8.066418
4.089291,8.048626
4.088555,8.073074
4.088907,8.075218
4.096011,8.089619
4.093195,8.075570
