REE[165],TEE[165]
1.561494,2.475764
1.508244,2.489141
1.230986,2.482996
1.243978,2.460819
1.228970,2.469044
1.241098,2.486036
1.231818,2.468852
1.233322,2.487285
1.231562,2.510037
1.231978,2.498869
1.230762,2.470804
1.229706,2.466932
1.245802,2.450387
1.232265,2.467668
1.244234,2.452243
1.231498,2.461395
1.244554,2.450003
1.232330,2.472628
1.240811,2.446707
1.230090,2.459636
1.239146,2.462099
1.231305,2.466708
1.231242,2.474548
1.229834,2.461363
1.230506,2.467508
1.232554,2.464500
1.229898,2.463924
1.230698,2.447571
1.230954,2.461619
1.242987,2.457652
1.232426,2.459987
1.239626,2.451380
1.233706,2.457491
1.241770,2.456308
1.229321,2.459956
1.242410,2.448115
1.230730,2.460820
1.244874,2.458964
1.230314,2.459379
1.233194,2.465748
1.231434,2.451091
1.233194,2.459635
1.233066,2.447731
1.231050,2.491637
1.244586,2.457939
1.229994,2.457812
1.239946,2.461108
1.230250,2.514005
1.239434,2.455860
1.230346,2.459764
1.237482,2.445459
1.230730,2.465492
1.240586,2.466804
1.230410,2.485141
1.229738,2.474004
1.230474,2.448435
1.230505,2.463124
1.230057,2.460628
1.231881,2.468532
1.229610,2.463059
1.231530,2.465908
1.241930,2.447667
1.230506,2.465332
1.243147,2.446611
1.230857,2.461172
1.239242,2.454388
1.229002,2.461363
1.241642,2.455507
1.230186,2.465875
1.241803,2.471444
1.232010,2.491509
1.231273,2.466356
1.230538,2.457235
1.230634,2.473268
1.232362,2.447059
1.229706,2.458291
1.240778,2.447124
1.231146,2.459444
1.245898,2.453555
1.231114,2.468148
1.244042,2.457235
1.230218,2.466708
1.260875,2.459924
1.230410,2.461171
1.242699,2.460307
1.230218,2.462291
1.230122,2.458772
1.231498,2.453844
1.230506,2.461907
1.231370,2.457299
1.230570,2.466932
1.230730,2.446899
1.229514,2.477076
1.245802,2.456148
1.232618,2.506485
1.243978,2.472628
1.230922,2.463508
1.242346,2.456947
1.230922,2.461843
1.243370,2.468148
1.231338,2.483509
1.232394,2.461716
1.230890,2.459923
1.231306,2.465492
1.231594,2.447251
1.231146,2.456115
1.232042,2.456340
1.230570,2.458068
1.246410,2.455092
1.232522,2.457299
1.243146,2.460532
1.231146,2.474484
1.245194,2.464563
1.230122,2.463091
1.243722,2.451987
1.232746,2.472148
1.245418,2.485845
1.231658,2.459668
1.230409,2.458516
1.230410,2.460660
1.230026,2.465395
1.231594,2.458675
1.231338,2.478836
1.229866,2.449620
1.230666,2.460691
1.242826,2.452980
1.230858,2.464084
1.242442,2.464051
1.230954,2.482293
1.242762,2.450067
1.230729,2.465012
1.242763,2.448275
1.232650,2.459348
1.243082,2.464467
1.230121,2.508790
1.233898,2.476500
1.231465,2.465556
1.232074,2.467283
1.232650,2.470292
1.234154,2.466676
1.241003,2.447667
1.231626,2.458803
1.244362,2.445492
1.229994,2.469428
1.244426,2.471156
1.232266,2.467636
1.246634,2.452851
1.230474,2.476341
1.244778,2.483156
1.231978,2.468916
1.229066,2.466292
1.230538,2.459284
1.228937,2.463156
1.229514,2.447475
1.231242,2.461172
1.231562,2.445875
1.230762,2.458099
1.241898,2.454547
1.230505,2.471028
1.244810,2.453267
1.228713,2.493141
1.247146,2.460851
1.232393,2.461395
1.248043,2.471860
1.231946,2.458003
1.245514,2.461075
1.231786,2.459891
1.231594,2.463924
1.230570,2.473524
1.230570,2.460019
1.232394,2.446547
1.232042,2.460723
1.231882,2.453524
1.233866,2.459828
1.242186,2.447923
1.231594,2.479797
1.240779,2.472308
1.232394,2.460883
1.242474,2.451764
1.231882,2.468308
1.242251,2.467347
1.230025,2.468339
1.243370,2.468564
1.232106,2.458804
1.230602,2.457075
1.229961,2.466484
1.230698,2.460212
1.232202,2.448084
1.230025,2.459540
1.229834,2.458931
1.231690,2.462675
1.234698,2.449620
1.230634,2.464212
1.245835,2.460052
1.229257,2.471156
1.245162,2.457331
1.229322,2.461555
1.243626,2.463283
1.229994,2.467444
1.241867,2.456660
1.230185,2.461204
1.242251,2.459252
1.229802,2.486900
1.229258,2.472756
1.233354,2.475764
1.230506,2.461363
1.229674,2.447348
1.231914,2.459475
1.231274,2.448499
1.230570,2.480756
1.230377,2.444819
1.231242,2.461108
1.243722,2.449108
1.230026,2.458867
1.245322,2.461107
1.231146,2.466644
1.241770,2.463156
1.229898,2.495892
1.244138,2.448691
1.230249,2.460660
1.242666,2.453972
1.231434,2.464948
1.242890,2.460084
1.229609,2.460180
1.229513,2.494101
1.230857,2.448883
1.232170,2.458419
1.230250,2.446772
1.231690,2.480788
1.230730,2.447155
1.231818,2.460787
1.239498,2.445587
1.230762,2.462964
1.240586,2.469555
1.230698,2.470324
1.244394,2.449715
1.231242,2.479892
1.244010,2.495829
1.230122,2.457715
1.242378,2.459059
1.231081,2.460339
1.241770,2.458900
1.231401,2.460660
1.232041,2.458452
1.230986,2.471156
1.230730,2.467604
1.228618,2.447923
1.230602,2.458740
1.231817,2.460276
1.232810,2.465428
1.243050,2.449172
1.230409,2.466803
1.239114,2.446771
1.230954,2.466900
1.241322,2.446803
1.230250,2.460788
1.242538,2.448852
1.231689,2.473620
1.245002,2.454323
1.231050,2.459571
1.243978,2.475156
1.231082,2.468660
1.230698,2.473268
1.232458,2.461940
1.230762,2.469652
1.231594,2.445524
1.230889,2.459987
1.230378,2.454003
1.229674,2.460788
1.229738,2.454355
1.230762,2.459732
1.240458,2.447379
1.231626,2.461939
1.242538,2.455763
1.230602,2.460531
1.242155,2.450515
1.231689,2.458483
1.239530,2.454419
1.230922,2.463603
1.238858,2.454356
1.231050,2.516533
1.240490,2.460212
1.230218,2.466868
1.230634,2.468116
1.232361,2.450611
1.230314,2.467540
1.231338,2.446163
1.230538,2.463028
1.230922,2.449684
1.232458,2.470964
1.241162,2.467508
1.230121,2.462964
1.241770,2.447603
1.229994,2.467924
1.243723,2.446931
1.232490,2.490068
1.245130,2.459508
1.233130,2.461907
1.242378,2.449620
1.229801,2.457811
1.242538,2.513590
1.231882,2.461011
1.230346,2.456788
1.230410,2.453492
1.230506,2.462772
1.232138,2.446995
1.230858,2.481268
1.230922,2.447699
1.230570,2.479540
1.242571,2.451475
1.230538,2.466804
1.240650,2.462707
1.229930,2.467668
1.242026,2.447731
1.230090,2.458772
1.243082,2.453075
1.231306,2.466964
1.241162,2.445875
1.230858,2.457779
1.238954,2.462612
1.231018,2.464883
1.231210,2.459828
1.230794,2.459188
1.230922,2.462964
1.231209,2.491381
1.230346,2.460403
1.229450,2.448979
1.230954,2.480820
1.243178,2.451923
1.232362,2.492085
1.242571,2.464916
1.230377,2.460051
1.243882,2.447379
1.229577,2.464211
1.243274,2.447635
1.229737,2.460051
1.243786,2.455220
1.229930,2.477076
1.238538,2.470836
1.229993,2.478804
1.230442,2.463604
1.232842,2.465108
1.230378,2.468020
1.230858,2.447700
1.231818,2.458804
1.231433,2.451828
1.230794,2.471508
1.230378,2.449683
1.231593,2.474452
1.241034,2.455251
1.229962,2.461396
1.242987,2.465780
1.231113,2.461460
1.241514,2.446547
1.229610,2.466484
1.243307,2.454292
1.229993,2.463540
1.244202,2.488085
1.230858,2.459923
1.231114,2.464116
1.230378,2.488373
1.231562,2.463060
1.231274,2.445364
1.230953,2.460980
1.228778,2.454131
1.231434,2.458771
1.234666,2.471764
1.231593,2.459956
1.241674,2.446195
1.230250,2.456787
1.242666,2.461427
1.229994,2.502133
1.244298,2.463220
1.230249,2.458163
1.239594,2.446387
1.230218,2.471508
1.240010,2.469044
1.230762,2.466484
1.238762,2.475668
1.231210,2.467892
1.229354,2.467316
1.230218,2.448339
1.231050,2.459220
1.231402,2.446483
1.230346,2.465908
1.226730,2.461204
1.230186,2.460499
1.246442,2.457204
1.231273,2.457715
1.241162,2.477269
1.230794,2.487860
1.242858,2.448627
1.228394,2.467092
1.246571,2.486549
1.229674,2.482068
1.245674,2.462228
1.230890,2.481876
1.241738,2.463859
1.229546,2.475156
1.228426,2.457428
1.230922,2.469044
1.231530,2.458292
1.229898,2.447859
1.230410,2.462708
1.230954,2.459603
1.229994,2.468980
1.244939,2.454643
1.231434,2.462740
1.241962,2.446419
1.231658,2.483989
1.240842,2.453492
1.230570,2.489077
1.243114,2.453428
1.230281,2.462004
1.243115,2.465300
1.231402,2.472404
1.242987,2.465780
1.232106,2.460083
1.230602,2.459443
1.229001,2.478516
1.232714,2.489172
1.231082,2.447475
1.230922,2.505173
1.231210,2.451187
1.231114,2.456979
1.241642,2.458227
1.230537,2.468372
1.241706,2.489300
1.229674,2.470995
1.239338,2.455924
1.233322,2.468948
1.241802,2.453491
1.226090,2.487540
1.245674,2.464659
1.231146,2.459668
