Layer[0],IN[1],INFER[1-4],OUT[4],TEE[1-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.506479,0.119972,8.002061,0.069282,8.195795,0.000960,0.014656,0.000609,0.001504,0.012192,0.000576,8.740163
0.396140,0.172037,0.620915,0.072354,0.869658,0.001184,0.015424,0.000608,0.001504,0.001376,0.000352,1.292646
0.396588,0.165541,0.591729,0.070210,0.831544,0.001056,0.015009,0.000448,0.001504,0.001472,0.000384,1.254373
0.394923,0.163205,0.590898,0.069314,0.827513,0.001024,0.015392,0.000416,0.001504,0.001088,0.000384,1.248453
0.395435,0.162148,0.602642,0.068866,0.837849,0.001312,0.015201,0.000416,0.001472,0.000928,0.000384,1.258789
0.394828,0.131300,0.588593,0.066114,0.790167,0.001600,0.015137,0.000384,0.001408,0.001056,0.000384,1.211044
0.395628,0.139364,0.599890,0.062177,0.805976,0.001536,0.014688,0.000448,0.001472,0.000960,0.000384,1.227044
0.413228,0.172645,0.589361,0.064353,0.830776,0.001569,0.015040,0.000416,0.001536,0.001248,0.000352,1.271301
0.396427,0.137636,0.600657,0.062018,0.805080,0.001856,0.015233,0.000608,0.001504,0.000928,0.000416,1.227876
0.394860,0.145508,0.594130,0.067330,0.830840,0.001216,0.014209,0.000416,0.001504,0.000928,0.000384,1.249861
0.394955,0.146181,0.597489,0.066498,0.814168,0.000992,0.014177,0.000416,0.001472,0.000864,0.000320,1.232612
0.394892,0.138436,0.596337,0.063585,0.802583,0.000832,0.014273,0.000416,0.001408,0.000992,0.000320,1.221092
0.394732,0.144644,0.614962,0.073059,0.837945,0.000704,0.016448,0.000416,0.001472,0.000800,0.000352,1.258725
0.396204,0.190438,0.585297,0.061890,0.841273,0.001056,0.014849,0.000416,0.001472,0.001024,0.000384,1.262918
0.394443,0.149733,0.585425,0.060418,0.799448,0.001088,0.014913,0.000384,0.001504,0.000928,0.000416,1.218628
0.408973,0.159012,0.594706,0.060386,0.817816,0.001024,0.014208,0.000352,0.001440,0.000896,0.000384,1.250885
0.396204,0.165925,0.590514,0.066338,0.826969,0.000736,0.014144,0.000384,0.001472,0.001184,0.000384,1.248677
0.397964,0.151428,0.587954,0.061313,0.804503,0.000992,0.014177,0.000608,0.001536,0.001088,0.000416,1.226820
0.395372,0.135556,0.588401,0.062690,0.791095,0.000992,0.014849,0.000416,0.001440,0.000960,0.000448,1.212100
0.394219,0.147461,0.600978,0.065250,0.818201,0.001120,0.015040,0.000384,0.001504,0.000928,0.000384,1.237572
0.395308,0.172805,0.602514,0.115715,0.894362,0.000800,0.014017,0.000384,0.001440,0.000864,0.000352,1.312775
0.396811,0.141765,0.600530,0.061697,0.808408,0.000768,0.014465,0.000448,0.001472,0.000896,0.000384,1.229060
0.394923,0.193574,0.588210,0.061538,0.847034,0.000768,0.014272,0.000608,0.001376,0.000960,0.000448,1.267621
0.394796,0.207078,0.602706,0.061122,0.874906,0.000992,0.015072,0.000416,0.001472,0.000928,0.000416,1.295014
