TEE[0-8],Layer[9],Layer[10],classifier
1.780180,0.001344,0.000416,1.787893
1.757267,0.001216,0.000384,1.764115
1.780276,0.001344,0.000352,1.787924
1.742098,0.001184,0.000384,1.748979
1.738834,0.001312,0.000416,1.746867
1.727377,0.001344,0.000417,1.734514
1.774195,0.001184,0.000448,1.781235
1.744914,0.001280,0.000480,1.752178
1.793013,0.001344,0.000384,1.800661
1.732977,0.001376,0.000416,1.740369
1.790068,0.001472,0.000608,1.797653
1.753139,0.001248,0.000384,1.760371
1.835831,0.002976,0.000864,1.848247
1.751506,0.002017,0.000352,1.759603
1.744050,0.001408,0.000544,1.752179
1.756818,0.001504,0.000352,1.764947
1.753267,0.001280,0.000640,1.760499
1.748530,0.001344,0.000384,1.756595
1.766131,0.001376,0.000672,1.773492
1.743602,0.001376,0.000576,1.751378
1.767411,0.001600,0.000384,1.774836
1.758963,0.001248,0.000416,1.766131
1.717201,0.001376,0.000384,1.724465
1.752787,0.001216,0.000608,1.760499
1.794421,0.003136,0.000992,1.807509
1.781812,0.001536,0.000384,1.789588
1.771699,0.001376,0.000352,1.779540
1.731025,0.001216,0.000320,1.738578
1.761747,0.001344,0.000384,1.769459
1.754131,0.001376,0.000384,1.761619
1.732721,0.001280,0.000384,1.740081
1.778323,0.001344,0.000416,1.787188
1.749874,0.001248,0.000416,1.756978
1.769972,0.001312,0.000352,1.777140
1.744050,0.001473,0.000448,1.752147
1.795349,0.001120,0.000416,1.801877
1.759059,0.001248,0.000352,1.766323
1.767027,0.001344,0.000672,1.775059
1.774612,0.001504,0.000416,1.782580
1.773076,0.001408,0.000416,1.780852
1.728177,0.001536,0.000640,1.736178
1.750611,0.001216,0.000608,1.758003
1.753075,0.001216,0.000416,1.760371
1.781236,0.001249,0.000416,1.788181
1.734834,0.001568,0.000384,1.742930
1.771411,0.001376,0.000384,1.778580
1.727505,0.001216,0.000320,1.734097
1.783316,0.001280,0.000448,1.789876
1.759282,0.001216,0.000384,1.765875
1.745138,0.001216,0.000416,1.751858
1.743314,0.001216,0.000416,1.749842
1.773203,0.001344,0.000480,1.780595
1.748051,0.001216,0.000416,1.754707
1.786292,0.001152,0.000448,1.792724
1.753106,0.001408,0.000384,1.761107
1.749651,0.001280,0.000480,1.757203
1.744178,0.001184,0.000416,1.750834
1.783156,0.001376,0.000384,1.789908
1.754706,0.001216,0.000384,1.761619
1.757715,0.001280,0.000416,1.764755
1.759251,0.001216,0.000416,1.766099
1.855191,0.003168,0.000640,1.869431
1.740370,0.001792,0.000416,1.748690
1.785396,0.001536,0.000384,1.794517
1.744049,0.001184,0.000416,1.751283
1.770547,0.001312,0.000384,1.777492
1.746739,0.001152,0.000384,1.752307
1.783668,0.001248,0.000352,1.789748
1.714481,0.001152,0.000384,1.720209
1.745426,0.001408,0.000480,1.752562
1.743954,0.001344,0.000352,1.749842
1.765651,0.001344,0.000384,1.772723
1.728977,0.001248,0.000448,1.734833
1.769491,0.001376,0.000416,1.777876
1.727761,0.001216,0.000416,1.734194
1.764115,0.001120,0.000384,1.770228
1.745362,0.001120,0.000416,1.750866
1.769203,0.001280,0.000384,1.775091
1.744337,0.001120,0.000416,1.750450
1.760819,0.001024,0.000384,1.765875
1.742738,0.001121,0.000416,1.748723
1.760914,0.001344,0.000448,1.767347
1.744274,0.001056,0.000416,1.750867
1.804213,0.001376,0.000416,1.812149
1.742802,0.001184,0.000384,1.749650
1.739218,0.001120,0.000384,1.745170
1.722193,0.001088,0.000416,1.728625
1.739058,0.001120,0.000416,1.745266
1.749138,0.001120,0.000384,1.756114
1.772371,0.001281,0.000384,1.778964
1.746130,0.001216,0.000384,1.752818
1.746738,0.001280,0.000384,1.753458
1.719889,0.001184,0.000384,1.727089
1.794581,0.001376,0.000384,1.803157
1.754515,0.001248,0.000384,1.761651
1.758483,0.001344,0.000384,1.764755
1.751282,0.001312,0.000320,1.758162
1.768275,0.001376,0.000352,1.775411
1.757138,0.001281,0.000384,1.764179
1.809909,0.001408,0.000640,1.818197
1.743474,0.001249,0.000384,1.750803
1.736882,0.001120,0.000384,1.743346
1.742610,0.001216,0.000352,1.749842
1.761842,0.001312,0.000352,1.769619
1.739794,0.001280,0.000416,1.746770
1.734738,0.001248,0.000384,1.740946
1.743858,0.001152,0.000416,1.749906
1.765362,0.001216,0.000512,1.771891
1.745746,0.001312,0.000448,1.752338
1.769299,0.001472,0.000416,1.776884
1.744306,0.001280,0.000320,1.751218
1.760435,0.001376,0.000352,1.767411
1.743954,0.001216,0.000416,1.751698
1.763571,0.001248,0.000416,1.770387
1.718705,0.001184,0.000480,1.724721
1.760883,0.001024,0.000384,1.766099
1.731793,0.001408,0.000640,1.739089
1.695280,0.001120,0.000416,1.701520
1.746514,0.001184,0.000353,1.752723
1.748146,0.001120,0.000352,1.753651
1.748626,0.001312,0.000416,1.755891
1.741106,0.001088,0.000416,1.746866
1.739377,0.001281,0.000416,1.747826
1.747058,0.001152,0.000416,1.753554
1.718705,0.001152,0.000352,1.724497
1.747506,0.001120,0.000384,1.753458
1.706800,0.001088,0.000385,1.713201
1.714928,0.001120,0.000416,1.721040
1.712433,0.001184,0.000384,1.718449
1.738482,0.001120,0.000384,1.744786
1.752722,0.001312,0.000448,1.759795
1.765939,0.001376,0.000416,1.773235
1.743058,0.001376,0.000448,1.750898
1.740209,0.001120,0.000416,1.747570
1.771187,0.001184,0.000385,1.777588
1.742194,0.001312,0.000384,1.749138
1.754451,0.001216,0.000352,1.761523
1.717584,0.001184,0.000416,1.723569
1.761874,0.001280,0.000416,1.768659
1.735569,0.001120,0.000352,1.742386
1.748401,0.001344,0.000352,1.755698
1.734322,0.001344,0.000480,1.742002
1.773491,0.001504,0.000512,1.782996
1.725297,0.001249,0.000352,1.732562
1.745105,0.001441,0.000416,1.752083
1.732689,0.001216,0.000384,1.738769
1.777971,0.001376,0.000448,1.784500
1.741362,0.001248,0.000384,1.747410
1.787796,0.001216,0.000384,1.793908
1.743889,0.001184,0.000384,1.750450
1.788275,0.001249,0.000384,1.795572
1.802485,0.001728,0.000416,1.810869
1.823381,0.003072,0.000928,1.834934
1.785812,0.002912,0.000864,1.795380
1.727985,0.001472,0.000416,1.734642
1.790388,0.001504,0.000544,1.799060
1.771795,0.001632,0.000416,1.780467
1.786387,0.001600,0.000416,1.794292
1.752178,0.002240,0.000384,1.760466
1.760467,0.001472,0.000384,1.768755
1.764851,0.001280,0.000448,1.772371
1.765011,0.001408,0.000608,1.772947
1.770291,0.001376,0.000640,1.779060
1.773491,0.001600,0.000448,1.781556
1.713840,0.001152,0.000384,1.720305
1.774643,0.001281,0.000384,1.781780
1.709936,0.001120,0.000608,1.716784
1.765363,0.001376,0.000480,1.773043
1.761458,0.001344,0.000448,1.769234
1.764818,0.001440,0.000704,1.772595
1.729873,0.001248,0.000416,1.736689
1.775155,0.001696,0.000640,1.783411
1.747538,0.001216,0.000576,1.754514
1.770547,0.001344,0.000640,1.777939
1.726097,0.001152,0.000352,1.732753
1.780436,0.001312,0.000416,1.787924
1.755539,0.001344,0.000608,1.762579
1.774835,0.001504,0.000448,1.782548
1.765331,0.001568,0.000384,1.773171
1.747858,0.001504,0.000416,1.755634
1.751986,0.001248,0.000384,1.759027
1.749329,0.001344,0.000384,1.756978
1.749298,0.001408,0.000480,1.757331
1.772851,0.001344,0.000416,1.780467
1.748050,0.001345,0.000608,1.756339
1.787796,0.001376,0.000416,1.794964
1.745393,0.001152,0.000608,1.752306
1.774419,0.001216,0.000608,1.781459
1.756786,0.001216,0.000352,1.763411
1.745778,0.001216,0.000416,1.753106
1.760627,0.001280,0.000384,1.767667
1.785139,0.001505,0.000512,1.793812
1.716785,0.001408,0.000320,1.724209
1.756114,0.001088,0.000352,1.762098
1.703088,0.001216,0.000384,1.709232
1.752530,0.001344,0.000448,1.759698
1.740913,0.001120,0.000320,1.747537
1.768434,0.001057,0.000384,1.774707
1.740209,0.001120,0.000384,1.746001
1.781972,0.001472,0.000320,1.789940
1.747089,0.001216,0.000320,1.753330
1.727440,0.001440,0.000416,1.735441
1.755314,0.001440,0.000416,1.763794
1.778932,0.001376,0.000544,1.786964
1.727665,0.001344,0.000384,1.735121
1.764403,0.001632,0.000416,1.772819
1.765618,0.001377,0.000608,1.774323
1.791060,0.001664,0.000480,1.799540
1.757042,0.001376,0.000384,1.764786
1.775091,0.001408,0.000512,1.783028
1.714672,0.001248,0.000417,1.721937
1.789139,0.001504,0.000384,1.797684
1.753618,0.001504,0.000416,1.761810
1.784947,0.001376,0.000416,1.791315
1.728465,0.001344,0.000384,1.735601
1.774643,0.001472,0.000448,1.782259
1.746514,0.001280,0.000384,1.754002
1.773043,0.001312,0.000416,1.780275
1.749746,0.001216,0.000416,1.756786
1.779219,0.001249,0.000416,1.786260
1.740465,0.001504,0.000448,1.749106
1.769715,0.001472,0.000416,1.778131
1.756018,0.001248,0.000384,1.762994
1.782707,0.001312,0.000416,1.789331
1.732561,0.001376,0.000384,1.740081
1.741425,0.001440,0.000416,1.749553
1.750706,0.001376,0.000384,1.758578
1.772371,0.001312,0.000384,1.779155
1.745746,0.001376,0.000384,1.752210
1.725873,0.001408,0.000416,1.733553
1.810549,0.002880,0.000928,1.824405
1.769811,0.001312,0.000672,1.778163
1.753170,0.001024,0.000384,1.759410
1.774611,0.001281,0.000416,1.781684
1.719313,0.001184,0.000576,1.726353
1.778195,0.001376,0.000608,1.785587
1.751954,0.001312,0.000352,1.759090
1.755634,0.001344,0.000384,1.762834
1.743601,0.001312,0.000416,1.750930
1.761458,0.001377,0.000416,1.768979
1.713744,0.001440,0.000352,1.721104
1.757651,0.001472,0.000416,1.765587
1.741202,0.001408,0.000480,1.748338
1.780083,0.001472,0.000704,1.788371
1.756978,0.001568,0.000608,1.765362
1.778355,0.001504,0.000672,1.787028
1.758514,0.001504,0.000800,1.766547
1.796020,0.001728,0.000448,1.805076
1.760370,0.001312,0.000416,1.767730
1.778227,0.001696,0.000672,1.786643
1.772243,0.001440,0.000640,1.780499
1.756722,0.001568,0.000416,1.764850
1.772083,0.001664,0.000448,1.780403
1.783603,0.001408,0.000416,1.791699
1.766771,0.001280,0.000384,1.774035
1.755826,0.001408,0.000512,1.764147
1.735761,0.001408,0.000384,1.742897
1.805108,0.001440,0.000480,1.813269
1.754386,0.001440,0.000288,1.762098
1.753393,0.001344,0.000544,1.761074
1.765555,0.001344,0.000448,1.772627
1.762322,0.001728,0.000416,1.770867
1.751986,0.001344,0.000384,1.758866
1.774931,0.001408,0.000384,1.782419
1.737553,0.001376,0.000416,1.745393
1.749362,0.001408,0.000384,1.757426
1.762099,0.001376,0.000416,1.769587
1.790675,0.001249,0.000448,1.797972
1.732561,0.001184,0.000416,1.739313
1.790196,0.001376,0.000352,1.798164
1.745937,0.001248,0.000448,1.752946
1.800724,0.001440,0.000384,1.806964
1.759315,0.001312,0.000384,1.766675
1.757938,0.001440,0.000416,1.765778
1.762354,0.001344,0.000384,1.769298
1.761714,0.001312,0.000416,1.768563
1.756498,0.001344,0.000384,1.763442
1.788372,0.001216,0.000416,1.795284
1.770258,0.001185,0.000480,1.777619
1.782163,0.001344,0.000384,1.789780
1.758578,0.001312,0.000384,1.765874
1.788659,0.001376,0.000448,1.795667
1.766066,0.001280,0.000480,1.773394
1.756946,0.001344,0.000384,1.764050
1.722225,0.001216,0.000416,1.729201
1.784948,0.001344,0.000416,1.792820
1.751154,0.001344,0.000448,1.757906
1.759538,0.001408,0.000384,1.767251
1.733681,0.001376,0.000416,1.741265
1.755762,0.001280,0.000384,1.763027
1.755090,0.001312,0.000416,1.762002
1.789236,0.001408,0.000448,1.796372
1.763634,0.001376,0.000416,1.770642
1.784083,0.001472,0.000384,1.791988
1.738449,0.001184,0.000416,1.745265
1.778771,0.001184,0.000384,1.785107
1.754066,0.001312,0.000416,1.761683
1.750481,0.001216,0.000384,1.757042
1.752114,0.001184,0.000384,1.759026
1.792179,0.001248,0.000384,1.799540
1.719409,0.001376,0.000448,1.726513
1.740177,0.001152,0.000384,1.746193
1.757458,0.001120,0.000384,1.763378
1.806260,0.001312,0.000385,1.814165
1.745169,0.001216,0.000416,1.752401
1.769458,0.001153,0.000384,1.776019
1.716272,0.001216,0.000384,1.722192
1.786515,0.001408,0.000416,1.794868
1.741233,0.001280,0.000352,1.748337
1.791156,0.001408,0.000416,1.799028
1.759634,0.001249,0.000384,1.766803
1.777362,0.001376,0.000384,1.785107
1.758994,0.001504,0.000416,1.768883
1.787475,0.001376,0.000416,1.795347
1.729520,0.001248,0.000416,1.737041
1.801044,0.001376,0.000416,1.809044
1.761970,0.001280,0.000416,1.768850
1.775731,0.001216,0.000609,1.782868
