TEE[0-8],Layer[9],Layer[10],classifier
1.782006,0.001216,0.000416,1.788598
1.745204,0.001152,0.000384,1.751540
1.772085,0.001472,0.000448,1.780118
1.761588,0.001185,0.000384,1.768597
1.749236,0.001120,0.000384,1.755700
1.737331,0.001216,0.000416,1.743955
1.760052,0.001280,0.000416,1.766325
1.755476,0.001568,0.000416,1.764244
1.730099,0.001280,0.000416,1.736628
1.706706,0.001152,0.000480,1.713842
1.726867,0.001376,0.000288,1.733908
1.714162,0.001344,0.000352,1.720818
1.787126,0.001632,0.000640,1.794262
1.718835,0.001280,0.000256,1.725459
1.776054,0.001504,0.000384,1.783158
1.749812,0.001408,0.000416,1.756916
1.770292,0.001344,0.000448,1.777173
1.721523,0.001280,0.000320,1.728467
1.746708,0.001408,0.000384,1.754228
1.755893,0.001376,0.000416,1.763765
1.750868,0.001408,0.000320,1.757844
1.733171,0.001152,0.000384,1.739828
1.734899,0.001216,0.000320,1.741395
1.739124,0.001280,0.000576,1.746356
1.757493,0.001376,0.000608,1.764437
1.727026,0.001184,0.000352,1.733235
1.770837,0.001344,0.000385,1.777718
1.750996,0.001376,0.000448,1.758004
1.775989,0.001440,0.000288,1.783445
1.750196,0.001408,0.000576,1.757652
1.782485,0.001376,0.000288,1.789173
1.713810,0.001472,0.000384,1.719986
1.762324,0.001248,0.000416,1.769205
1.733139,0.001281,0.000416,1.739924
1.762485,0.001408,0.000352,1.770229
1.756564,0.001280,0.000608,1.763285
1.804822,0.001536,0.000416,1.812503
1.739348,0.001344,0.000640,1.746580
1.717202,0.001249,0.000640,1.725299
1.737460,0.001472,0.000416,1.744884
1.723347,0.001376,0.000480,1.730707
1.749716,0.001152,0.000416,1.756404
1.753588,0.001408,0.000416,1.761460
1.735667,0.001344,0.000416,1.743476
1.757492,0.001280,0.000417,1.765109
1.731123,0.001344,0.000384,1.738227
1.767028,0.001536,0.000608,1.774901
1.733779,0.001472,0.000609,1.741780
1.768629,0.001344,0.000416,1.792694
1.728339,0.001312,0.000384,1.735411
1.785045,0.001505,0.000544,1.793526
1.733075,0.001408,0.000417,1.740468
1.780214,0.001344,0.000384,1.787446
1.747924,0.001344,0.000416,1.755380
1.756564,0.001280,0.000384,1.764148
1.754292,0.001408,0.000384,1.761428
1.746580,0.001376,0.000416,1.754100
1.735667,0.001344,0.000384,1.743316
1.790454,0.001536,0.000448,1.799542
1.753556,0.001344,0.000384,1.761428
1.743251,0.001377,0.000384,1.751220
1.746356,0.001312,0.000416,1.753748
1.750964,0.001312,0.000416,1.757556
1.745620,0.001344,0.000384,1.752276
1.770324,0.001376,0.000416,1.778485
1.734387,0.001216,0.000384,1.741876
1.732947,0.001440,0.000416,1.740723
1.732115,0.001504,0.000384,1.739571
1.776405,0.001376,0.000384,1.785110
1.710834,0.001312,0.000416,1.717842
1.768053,0.001344,0.000384,1.775509
1.762804,0.001440,0.000384,1.770292
1.787734,0.001376,0.000416,1.795350
1.742611,0.001248,0.000416,1.749363
1.765397,0.001344,0.000416,1.772245
1.729747,0.001216,0.000416,1.736787
1.774293,0.001280,0.000384,1.781461
1.735667,0.001312,0.000384,1.743955
1.744532,0.001600,0.000416,1.753172
1.755476,0.001280,0.000480,1.763061
1.762100,0.001377,0.000448,1.770293
1.731859,0.001344,0.000416,1.738803
1.776981,0.001344,0.000384,1.783349
1.750164,0.001312,0.000416,1.757204
1.787701,0.001441,0.000384,1.794966
1.754292,0.001408,0.000384,1.761940
1.794326,0.001536,0.000448,1.802582
1.772117,0.001728,0.000448,1.779381
1.778293,0.001472,0.000384,1.785781
1.729331,0.001280,0.000480,1.736436
1.781365,0.001440,0.000416,1.788917
1.745459,0.001376,0.000384,1.752980
1.801334,0.001280,0.000384,1.808598
1.734515,0.001408,0.000416,1.742163
1.780373,0.001472,0.000448,1.788789
1.753588,0.001728,0.000384,1.761780
1.776149,0.001376,0.000384,1.784438
1.763764,0.001312,0.000384,1.770933
1.746132,0.001248,0.000448,1.753172
1.750900,0.001344,0.000416,1.758004
1.763316,0.001248,0.000448,1.770900
1.745107,0.001344,0.000416,1.752403
1.789366,0.001344,0.000416,1.797334
1.743251,0.001312,0.000384,1.750739
1.749908,0.001216,0.000416,1.756596
1.760468,0.001184,0.000384,1.767508
1.786902,0.001472,0.000416,1.795030
1.753396,0.001376,0.000448,1.761012
