Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-10],OUT[10],TEE[4-10],classifier
0.396780,0.017600,0.191654,0.004800,0.110179,0.103235,0.065314,0.281896,0.897242
0.396907,0.017537,0.191686,0.004832,0.110115,0.103779,0.063618,0.280744,0.896250
0.397036,0.017568,0.191654,0.004864,0.112356,0.104835,0.063202,0.283977,0.902203
0.421644,0.017537,0.192550,0.005216,0.127876,0.108515,0.066722,0.306505,0.948636
0.397356,0.017568,0.193190,0.004832,0.115140,0.101603,0.064674,0.284969,0.904219
0.397292,0.017440,0.192550,0.005248,0.111427,0.102947,0.065122,0.282921,0.900507
0.397259,0.017409,0.192166,0.005088,0.106947,0.102915,0.085827,0.299241,0.915707
0.396492,0.017536,0.192166,0.004864,0.112452,0.103363,0.065410,0.284521,0.901275
0.397483,0.017537,0.191654,0.004896,0.108707,0.102467,0.065442,0.280104,0.896154
0.396172,0.017729,0.193606,0.004864,0.127300,0.103491,0.065698,0.299977,0.919100
0.415437,0.017600,0.192262,0.005184,0.114148,0.109635,0.065410,0.292681,0.928284
0.396844,0.017376,0.192998,0.005152,0.116675,0.107299,0.065154,0.292681,0.910171
0.397323,0.017504,0.192390,0.005152,0.118403,0.106884,0.065378,0.294473,0.912315
0.395660,0.017537,0.191813,0.005313,0.113571,0.123364,0.069250,0.310505,0.925468
0.396491,0.017729,0.193094,0.005248,0.113987,0.105219,0.065666,0.288296,0.906746
0.396556,0.017856,0.192294,0.005216,0.105987,0.112067,0.069474,0.290793,0.907451
0.397227,0.017313,0.192454,0.004960,0.108547,0.103171,0.062978,0.278120,0.894746
0.414988,0.017409,0.192806,0.004832,0.118179,0.104579,0.065217,0.291368,0.926140
0.395980,0.017569,0.192293,0.004865,0.108579,0.101667,0.064514,0.278088,0.893499
0.395916,0.017472,0.192198,0.004928,0.108675,0.100931,0.063138,0.275912,0.891098
0.395788,0.017601,0.192101,0.004865,0.112515,0.109507,0.096867,0.322537,0.937756
0.396204,0.017696,0.192102,0.004864,0.111620,0.098978,0.063105,0.277064,0.892346
0.396971,0.017409,0.192582,0.005120,0.114275,0.112196,0.064930,0.294953,0.912923
0.397004,0.017441,0.192133,0.005153,0.108323,0.103363,0.064354,0.279368,0.895707
0.731894,0.017600,0.192294,0.005088,0.118308,0.105859,0.065186,0.292969,1.246245
0.396492,0.017857,0.192325,0.005313,0.107907,0.099939,0.064834,0.275816,0.892379
0.397068,0.017504,0.192294,0.005216,0.125988,0.107235,0.063330,0.300233,0.917243
0.397100,0.017408,0.207846,0.005249,0.114659,0.116227,0.069475,0.303881,0.936572
0.397643,0.017473,0.191494,0.004896,0.132452,0.115811,0.063170,0.314569,0.930491
0.395884,0.017376,0.191910,0.004896,0.112099,0.101347,0.062466,0.279304,0.893882
0.396620,0.017569,0.192005,0.004928,0.116580,0.100771,0.064066,0.285001,0.901467
0.396076,0.017697,0.192229,0.004800,0.111523,0.111875,0.066690,0.293448,0.908923
0.397932,0.017600,0.191942,0.005056,0.120836,0.106883,0.065954,0.297481,0.915547
0.396460,0.017665,0.192581,0.005280,0.115620,0.108899,0.069442,0.297577,0.914075
0.397772,0.017857,0.213222,0.005472,0.115556,0.109827,0.070210,0.299081,0.940252
0.396876,0.017793,0.191941,0.005376,0.108579,0.106051,0.064354,0.282472,0.899227
0.396556,0.017344,0.192614,0.004864,0.109092,0.114147,0.065954,0.292553,0.908699
0.397292,0.017569,0.191717,0.004864,0.115012,0.104195,0.064290,0.287241,0.903547
0.395916,0.017537,0.192421,0.004865,0.111523,0.102339,0.064258,0.281544,0.897563
0.397516,0.017409,0.192293,0.004833,0.113379,0.101219,0.062914,0.281352,0.897691
0.397068,0.017409,0.191749,0.004800,0.110788,0.100963,0.064258,0.279561,0.895643
0.418284,0.017473,0.192197,0.005121,0.103907,0.102403,0.066946,0.276680,0.914427
0.397580,0.017568,0.195622,0.004864,0.114788,0.104579,0.066594,0.290441,0.911707
0.397548,0.017569,0.192549,0.004865,0.108227,0.107139,0.064834,0.283816,0.901339
0.397612,0.017505,0.192453,0.004928,0.111747,0.107555,0.092451,0.316009,0.934460
0.396364,0.017697,0.192869,0.005024,0.114788,0.103427,0.064930,0.287529,0.904315
0.396331,0.017441,0.192230,0.004928,0.112899,0.104131,0.064962,0.285544,0.901594
0.397387,0.017569,0.192134,0.004864,0.111523,0.103683,0.066850,0.286088,0.902938
0.414445,0.017408,0.192262,0.004832,0.134404,0.107235,0.064994,0.310313,0.944796
0.397835,0.017632,0.192358,0.004832,0.107651,0.103427,0.063554,0.278280,0.895706
0.397580,0.017569,0.192069,0.004961,0.108739,0.116099,0.065602,0.294248,0.911611
0.396716,0.017568,0.192102,0.004864,0.114659,0.118627,0.079298,0.316777,0.933211
0.397067,0.017409,0.191974,0.005056,0.116291,0.104259,0.065410,0.289448,0.905946
0.396972,0.017408,0.191782,0.005344,0.107555,0.106275,0.068194,0.285896,0.902363
0.397356,0.017729,0.192389,0.004960,0.112100,0.107331,0.069218,0.292585,0.910555
0.414188,0.017537,0.191781,0.004832,0.110884,0.108067,0.068258,0.291209,0.924443
0.397324,0.017409,0.191589,0.005121,0.111043,0.102659,0.063970,0.281448,0.897883
0.396364,0.017601,0.191845,0.004928,0.109668,0.108515,0.066946,0.288553,0.903931
0.399436,0.017377,0.191718,0.004960,0.119299,0.101283,0.069570,0.294120,0.912731
0.397708,0.017504,0.192262,0.004864,0.110467,0.101699,0.064290,0.280296,0.897626
0.397323,0.017473,0.191974,0.004864,0.108195,0.101731,0.062690,0.276104,0.892474
0.397388,0.017441,0.191877,0.004992,0.111268,0.102179,0.064002,0.281033,0.897851
0.410284,0.017313,0.191973,0.005345,0.111203,0.109475,0.069858,0.293768,0.923419
