IN[0],INFER[0-0],OUT[0],TEE[0-0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.151457,0.999496,0.087969,1.245546,0.017728,0.204706,0.005120,0.048928,0.000896,0.013921,0.000384,0.001728,0.001120,0.000352,1.545773
0.159105,1.000040,0.085184,1.251338,0.017536,0.204098,0.005440,0.048832,0.000832,0.014081,0.000352,0.001696,0.001088,0.000416,1.551085
0.160577,1.000584,0.082497,1.249706,0.017760,0.204673,0.005120,0.048481,0.000832,0.014400,0.000384,0.001472,0.001408,0.000384,1.550092
0.158337,1.010600,0.085313,1.261258,0.017760,0.203746,0.005344,0.048160,0.000864,0.013792,0.000352,0.001440,0.001312,0.000384,1.559884
0.159362,1.017096,0.086080,1.269930,0.017793,0.203713,0.005248,0.049345,0.000864,0.013984,0.000352,0.001728,0.001568,0.000608,1.570605
0.151457,0.999752,0.084577,1.241898,0.020608,0.203554,0.005248,0.048672,0.000864,0.013696,0.000352,0.001568,0.000992,0.000384,1.543148
0.153697,1.017736,0.085089,1.263978,0.020416,0.203490,0.005120,0.048704,0.000832,0.014049,0.000352,0.001536,0.001216,0.000352,1.565549
0.187457,1.003720,0.093505,1.291722,0.022272,0.203522,0.005344,0.048576,0.000864,0.013920,0.000384,0.001472,0.001120,0.000608,1.595276
0.163938,1.024200,0.091552,1.286410,0.017953,0.204513,0.005216,0.049153,0.000864,0.013984,0.000416,0.001792,0.001472,0.000576,1.587693
0.160705,1.002184,0.097601,1.268970,0.017984,0.203778,0.005344,0.048448,0.000864,0.014400,0.000384,0.001504,0.001376,0.000352,1.568780
0.157410,1.001992,0.115137,1.280683,0.017984,0.203905,0.005120,0.048577,0.000864,0.013888,0.000352,0.001472,0.001024,0.000384,1.579565
0.153217,1.000328,0.083489,1.242794,0.018080,0.203554,0.005280,0.048704,0.000864,0.014272,0.000384,0.001728,0.001312,0.000640,1.543020
0.142913,0.996712,0.078849,1.223722,0.017664,0.204321,0.005632,0.049313,0.000832,0.014016,0.000384,0.001504,0.001440,0.000384,1.524396
0.155265,1.002856,0.085600,1.249929,0.020929,0.203617,0.005312,0.048993,0.000864,0.013984,0.000384,0.001536,0.001440,0.000608,1.552972
0.157090,1.002248,0.085216,1.252426,0.017952,0.203554,0.005120,0.049280,0.000896,0.013857,0.000352,0.001408,0.001472,0.000352,1.552237
0.202946,1.006536,0.084704,1.300010,0.017921,0.204545,0.005088,0.047937,0.000864,0.013952,0.000352,0.001472,0.001056,0.000832,1.599437
0.148417,0.999976,0.082177,1.237066,0.017920,0.204034,0.005376,0.048960,0.000800,0.013696,0.000384,0.001408,0.001440,0.000352,1.537132
0.173697,1.016264,0.086785,1.283978,0.017824,0.203938,0.005088,0.048640,0.000896,0.013568,0.000448,0.001376,0.001120,0.000384,1.582540
0.144162,1.003848,0.083872,1.240074,0.018016,0.204898,0.005152,0.048161,0.000832,0.013824,0.000416,0.001600,0.001152,0.000384,1.539885
0.155905,1.021384,0.086112,1.270218,0.017825,0.204897,0.005216,0.048769,0.000832,0.013728,0.000384,0.001504,0.001376,0.000384,1.570221
