Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],IN[8],INFER[8-9],OUT[9],TEE[8-9],Layer[10],classifier
0.419180,0.017505,0.191814,0.004864,0.047169,0.000576,0.013505,0.000384,0.102435,0.037121,0.060482,0.203046,0.000576,0.904923
0.395404,0.017313,0.191749,0.004896,0.047106,0.000576,0.013504,0.000384,0.101955,0.034369,0.055682,0.195238,0.000608,0.872666
0.395627,0.017312,0.191622,0.004800,0.047169,0.000576,0.013537,0.000384,0.105411,0.044193,0.060834,0.213958,0.000608,0.893594
0.395820,0.017216,0.191622,0.004928,0.047617,0.000608,0.013569,0.000384,0.124483,0.041633,0.060322,0.230087,0.000608,0.908987
0.396171,0.017569,0.191845,0.004896,0.047233,0.000640,0.013568,0.000384,0.106083,0.038433,0.059234,0.206950,0.000608,0.887162
0.396812,0.017537,0.191365,0.004897,0.047265,0.000640,0.013568,0.000448,0.106020,0.037345,0.068258,0.214727,0.000608,0.894235
0.396492,0.017600,0.191622,0.004864,0.047650,0.000608,0.013664,0.000448,0.111331,0.037505,0.058594,0.210918,0.000704,0.893114
0.428845,0.017633,0.191941,0.005089,0.048353,0.000608,0.013696,0.000416,0.104964,0.044065,0.060994,0.213287,0.000608,0.927612
0.396876,0.017632,0.191398,0.005056,0.049025,0.000768,0.013729,0.000384,0.109059,0.037633,0.060194,0.210726,0.000608,0.892762
0.396236,0.017376,0.191462,0.004960,0.048290,0.000576,0.013696,0.000384,0.111427,0.037986,0.059201,0.212038,0.000640,0.892282
0.395467,0.017377,0.191654,0.004832,0.048129,0.000608,0.013473,0.000384,0.128323,0.075683,0.099363,0.306569,0.000640,0.986717
0.396236,0.017376,0.191590,0.005088,0.048386,0.000832,0.013568,0.000384,0.106339,0.038113,0.061922,0.209734,0.000704,0.890522
0.395372,0.017536,0.191494,0.004832,0.048994,0.000640,0.013536,0.000416,0.106083,0.037633,0.059106,0.205894,0.000576,0.886362
0.395723,0.017504,0.191622,0.005024,0.048993,0.000736,0.013633,0.000416,0.108579,0.038049,0.060802,0.210950,0.000608,0.892506
0.415308,0.017665,0.192102,0.004832,0.049761,0.000576,0.013793,0.000384,0.106531,0.045089,0.060898,0.215622,0.000768,0.918267
0.396012,0.017632,0.192870,0.005024,0.050242,0.000608,0.013792,0.000384,0.105507,0.038081,0.058466,0.205542,0.000672,0.889434
0.396139,0.017472,0.191846,0.005024,0.048801,0.000640,0.013793,0.000416,0.109827,0.037761,0.059042,0.210342,0.000608,0.892890
0.396012,0.017568,0.191462,0.004896,0.048961,0.000608,0.014401,0.000416,0.151876,0.053794,0.072290,0.283336,0.000576,0.964860
0.396396,0.017505,0.192293,0.005056,0.050530,0.000608,0.014016,0.000448,0.107524,0.034625,0.055681,0.201094,0.000608,0.885594
0.396492,0.017632,0.191686,0.005152,0.047938,0.000608,0.013824,0.000416,0.106275,0.037537,0.058785,0.205702,0.000640,0.887002
0.395980,0.017568,0.191653,0.005056,0.048610,0.000608,0.013728,0.000384,0.102627,0.042082,0.057249,0.205286,0.000576,0.886266
0.413548,0.017696,0.192134,0.004992,0.049442,0.000608,0.013760,0.000384,0.104611,0.044290,0.060226,0.212423,0.000608,0.912091
0.396748,0.017665,0.192069,0.005089,0.049313,0.000576,0.013536,0.000448,0.111203,0.046689,0.064610,0.226054,0.000576,0.909979
0.396363,0.017409,0.191878,0.004864,0.047841,0.000576,0.013537,0.000384,0.111203,0.047041,0.064866,0.226694,0.000672,0.907514
0.395980,0.017536,0.192006,0.004896,0.048546,0.000608,0.013600,0.000384,0.126500,0.038465,0.068514,0.237191,0.000704,0.918715
0.395500,0.017408,0.191782,0.004864,0.048129,0.000608,0.013537,0.000384,0.105123,0.037537,0.058882,0.204646,0.000672,0.884154
0.396268,0.017344,0.191686,0.004896,0.048225,0.000576,0.013601,0.000416,0.109347,0.037633,0.059458,0.210246,0.000672,0.892346
0.396236,0.017344,0.191558,0.004800,0.048258,0.000608,0.013568,0.000384,0.098947,0.037249,0.056962,0.196198,0.000672,0.876058
0.411468,0.017408,0.191942,0.004864,0.048450,0.000832,0.013600,0.000416,0.101251,0.038113,0.057602,0.200262,0.000608,0.896826
0.396716,0.017504,0.191494,0.004832,0.048321,0.000608,0.013568,0.000416,0.105187,0.038785,0.057410,0.204582,0.000608,0.885242
0.396172,0.017536,0.191366,0.004896,0.048353,0.000608,0.013537,0.000352,0.106051,0.038113,0.059586,0.207174,0.000608,0.887482
0.396332,0.017792,0.191622,0.004896,0.048897,0.000577,0.013728,0.000416,0.131332,0.046433,0.065538,0.246439,0.000576,0.928091
0.396172,0.017728,0.191654,0.004928,0.048354,0.000576,0.013536,0.000416,0.106019,0.034273,0.055298,0.198886,0.000608,0.879898
0.396011,0.017600,0.191526,0.004992,0.047777,0.000608,0.013537,0.000352,0.107331,0.047745,0.077443,0.236231,0.000672,0.916219
0.395980,0.017664,0.191558,0.005216,0.049217,0.000609,0.013568,0.000352,0.107907,0.037985,0.061442,0.210822,0.000640,0.893146
0.414765,0.017824,0.192006,0.005056,0.049281,0.000608,0.013601,0.000384,0.108419,0.037281,0.059298,0.208166,0.000608,0.909659
0.398732,0.017633,0.192166,0.005088,0.047969,0.000640,0.013601,0.000416,0.111555,0.038209,0.059810,0.213254,0.000672,0.898203
0.395372,0.017408,0.191846,0.005312,0.049153,0.000800,0.013472,0.000352,0.100867,0.038049,0.059426,0.202150,0.000704,0.883066
0.395148,0.017504,0.191686,0.004864,0.049473,0.000577,0.013600,0.000416,0.124260,0.042433,0.064194,0.234375,0.000608,0.915483
0.394763,0.017505,0.191621,0.004929,0.048225,0.000608,0.013505,0.000352,0.107491,0.037729,0.058914,0.207366,0.000576,0.886810
0.395435,0.017633,0.191942,0.004896,0.049185,0.000608,0.013569,0.000384,0.105539,0.035265,0.056770,0.200710,0.000640,0.881850
0.395403,0.017408,0.192006,0.004928,0.048257,0.000576,0.013569,0.000384,0.107043,0.039681,0.059650,0.209606,0.000608,0.889818
0.411340,0.017377,0.191653,0.005248,0.049089,0.000576,0.013793,0.000416,0.106499,0.038721,0.059010,0.207718,0.000608,0.904987
0.395371,0.017537,0.191494,0.004960,0.048545,0.000608,0.013633,0.000384,0.107107,0.038465,0.058946,0.207910,0.000576,0.888090
0.395179,0.017601,0.191525,0.004865,0.048129,0.000608,0.013664,0.000384,0.097794,0.037890,0.056065,0.195077,0.000640,0.874361
0.395532,0.017408,0.192390,0.004864,0.047714,0.000640,0.013568,0.000416,0.098147,0.033537,0.074658,0.211046,0.000640,0.892442
0.394828,0.017601,0.191493,0.004864,0.050242,0.000832,0.013536,0.000416,0.107332,0.039521,0.058049,0.208455,0.000672,0.890427
0.395148,0.017537,0.191781,0.004896,0.047874,0.000608,0.013536,0.000384,0.108228,0.038337,0.061089,0.210759,0.000704,0.889467
0.395115,0.017505,0.191654,0.005056,0.048225,0.000576,0.013537,0.000416,0.108579,0.037953,0.061282,0.210982,0.000672,0.890746
0.413836,0.017696,0.191654,0.005312,0.049922,0.000992,0.013600,0.000384,0.106659,0.047426,0.060098,0.217575,0.000608,0.918843
0.395435,0.017633,0.192998,0.004960,0.048065,0.000768,0.013761,0.000384,0.107619,0.038209,0.065378,0.214790,0.000704,0.896858
0.396076,0.017568,0.191686,0.004896,0.049953,0.000608,0.013536,0.000416,0.099811,0.039393,0.058658,0.201766,0.000640,0.884442
0.395244,0.017569,0.191685,0.004864,0.048802,0.000480,0.013472,0.000416,0.101411,0.039490,0.058401,0.203142,0.000576,0.882810
0.395628,0.017376,0.191686,0.004864,0.049474,0.000576,0.013536,0.000352,0.100003,0.038881,0.059330,0.201542,0.000512,0.882490
0.394284,0.017537,0.191973,0.005120,0.050178,0.000576,0.013568,0.000352,0.090723,0.037889,0.055746,0.187622,0.000576,0.867994
0.394699,0.017537,0.191814,0.004832,0.048961,0.000576,0.013633,0.000416,0.107619,0.038017,0.058018,0.207334,0.000640,0.888314
0.395084,0.017760,0.206150,0.004960,0.050530,0.000608,0.013856,0.000416,0.108772,0.037985,0.067138,0.216967,0.000576,0.913723
0.395692,0.017505,0.191717,0.004928,0.048546,0.000800,0.013408,0.000384,0.090243,0.040129,0.054978,0.188966,0.000448,0.869018
0.394252,0.017473,0.191429,0.004928,0.049762,0.000768,0.013632,0.000384,0.105763,0.037985,0.060929,0.207911,0.000576,0.887099
0.394412,0.017376,0.191462,0.004992,0.049090,0.000576,0.013536,0.000384,0.096259,0.036193,0.055554,0.191398,0.000672,0.870458
0.404620,0.017664,0.192390,0.004864,0.048898,0.000576,0.013440,0.000416,0.100995,0.037825,0.057474,0.199750,0.000544,0.889818
0.395852,0.017697,0.191909,0.004864,0.048514,0.000608,0.013472,0.000416,0.100003,0.039553,0.056545,0.199526,0.000576,0.880538
0.395180,0.017280,0.191558,0.004800,0.048578,0.000608,0.013440,0.000352,0.091651,0.041217,0.061410,0.197446,0.000672,0.875770
0.395468,0.017376,0.191557,0.004896,0.049826,0.000608,0.013440,0.000384,0.087715,0.049729,0.064546,0.205510,0.000544,0.886202
0.395948,0.017633,0.191493,0.004864,0.049186,0.000608,0.013472,0.000416,0.102819,0.040450,0.058785,0.205094,0.000640,0.885467
0.394988,0.017440,0.191430,0.004864,0.047938,0.000576,0.013536,0.000416,0.108931,0.037538,0.062209,0.212326,0.000576,0.892091
0.394956,0.017472,0.191590,0.004832,0.048258,0.000640,0.013728,0.000416,0.101635,0.037441,0.059522,0.202150,0.000608,0.881082
0.409132,0.017568,0.191526,0.005312,0.048450,0.000576,0.013600,0.000384,0.106243,0.034913,0.056066,0.200454,0.000512,0.894426
0.395883,0.017377,0.191269,0.005057,0.049089,0.000800,0.013601,0.000384,0.101635,0.038817,0.061666,0.205414,0.000640,0.886395
0.394699,0.017664,0.191750,0.004896,0.048417,0.000608,0.013441,0.000416,0.102499,0.037441,0.055714,0.198950,0.000704,0.878522
0.394795,0.017600,0.191302,0.004864,0.048289,0.000576,0.013473,0.000352,0.085698,0.037089,0.053698,0.179429,0.000736,0.857433
0.395563,0.017345,0.191942,0.004864,0.048129,0.000576,0.013569,0.000416,0.106147,0.038049,0.058146,0.205766,0.000608,0.886522
0.394444,0.017344,0.191590,0.004928,0.049377,0.000608,0.013729,0.000384,0.101443,0.038593,0.066626,0.210790,0.000512,0.889946
0.395180,0.017376,0.190918,0.004896,0.048514,0.000576,0.013504,0.000384,0.091939,0.033185,0.054274,0.183622,0.000544,0.862426
0.395788,0.017376,0.191526,0.004832,0.047329,0.000608,0.013856,0.000384,0.099043,0.036993,0.058978,0.199174,0.000672,0.890042
0.394827,0.017345,0.191333,0.004865,0.047233,0.000608,0.013568,0.000416,0.108612,0.038401,0.057282,0.207751,0.000576,0.886106
