Layer[0],TEE[1-10],classifier
0.438545,0.717981,1.224336
0.416208,0.708157,1.190063
0.416368,0.697660,1.181775
0.416049,0.711677,1.196368
0.416048,0.711869,1.195087
0.416145,0.723901,1.213297
0.415697,0.711932,1.195216
0.416945,0.709628,1.194384
0.416496,0.722908,1.209392
0.416400,0.733726,1.215792
0.415729,0.708700,1.193424
0.447762,0.697948,1.211441
0.415697,0.706396,1.189103
0.415888,0.714300,1.201424
0.435313,0.739006,1.242929
0.416017,0.707580,1.191760
0.415952,0.712861,1.224080
0.415537,0.710300,1.192912
0.416720,0.731550,1.216304
0.416561,0.725629,1.216656
0.415793,0.704860,1.188591
0.418257,0.703932,1.191951
0.416400,0.733662,1.219856
0.415761,0.703420,1.189840
0.416560,0.716221,1.201872
0.434354,0.702076,1.203185
0.414801,0.714621,1.200528
0.416081,0.710141,1.196560
0.415888,0.711837,1.198992
0.415985,0.706268,1.189328
0.417040,0.729405,1.214256
0.415984,0.710525,1.197327
0.416433,0.709180,1.192784
0.414960,0.720829,1.209360
0.415985,0.713212,1.197232
0.416049,0.707516,1.190640
0.434065,0.707197,1.210128
0.414993,0.699452,1.181743
0.416145,0.699004,1.183951
0.418225,0.734301,1.222065
0.415505,0.706684,1.188208
0.415569,0.731133,1.222705
0.416049,0.711676,1.194832
0.416081,0.709853,1.195312
0.415824,0.753214,1.245810
0.415505,0.727453,1.209841
0.415505,0.712637,1.197712
0.431473,0.709468,1.213072
0.415761,0.705148,1.185776
0.415664,0.703517,1.183535
0.444658,0.711389,1.225137
0.415921,0.699996,1.184112
0.416081,0.707548,1.191984
0.416049,0.710461,1.195088
0.416240,0.710429,1.195407
0.416433,0.727485,1.214897
0.414545,0.708828,1.191184
0.415825,0.738717,1.221777
0.416081,0.725885,1.214896
0.415505,0.696892,1.184143
0.415665,0.706332,1.191343
0.434161,0.707100,1.208401
0.415313,0.696924,1.176847
0.415568,0.705885,1.194767
0.431825,0.717309,1.216497
0.414992,0.711677,1.198576
0.416241,0.725853,1.218897
0.415729,0.705116,1.186703
0.415536,0.705373,1.188207
0.416432,0.747262,1.236785
0.416785,0.693499,1.176047
0.416945,0.705148,1.189551
0.415601,0.725533,1.209009
0.415952,0.707996,1.193647
0.415249,0.713052,1.197424
0.433426,0.703740,1.207408
0.415633,0.709308,1.190768
0.415664,0.695195,1.175663
0.415344,0.700283,1.180239
0.415760,0.697500,1.180847
0.415889,0.773759,1.263923
0.416081,0.703100,1.185359
0.415313,0.708092,1.191792
0.415665,0.765598,1.251570
0.417008,0.704605,1.186511
0.416016,0.692764,1.174510
0.415281,0.715452,1.201904
0.415633,0.724253,1.217937
0.416081,0.684347,1.176719
0.433842,0.703132,1.200592
0.415152,0.705244,1.186575
0.416401,0.690620,1.170703
0.415696,0.698076,1.183983
0.415761,0.728253,1.220241
0.415505,0.710268,1.192304
0.416177,0.744542,1.234322
0.415409,0.726493,1.206864
0.415504,0.721181,1.204912
0.415536,0.721725,1.204880
0.415504,0.700860,1.179887
0.416432,0.706045,1.190319
0.417200,0.691484,1.173838
0.415760,0.698588,1.178320
0.433458,0.703132,1.204880
0.415856,0.702268,1.183887
0.415889,0.708316,1.193520
0.426641,0.726973,1.221041
0.416240,0.690171,1.172655
0.415792,0.703772,1.199120
0.415889,0.691515,1.172527
0.415377,0.695387,1.175279
0.416849,0.719164,1.203184
0.417489,0.735389,1.227633
0.416625,0.699068,1.182608
0.415409,0.739325,1.231953
0.415665,0.736733,1.223825
0.416017,0.698908,1.187024
0.434033,0.702908,1.203120
0.415313,0.722845,1.214769
0.415345,0.698812,1.182479
0.415313,0.704540,1.191952
0.416080,0.702268,1.184751
0.416305,0.722589,1.206960
0.415281,0.721757,1.204496
0.414865,0.704092,1.186096
0.415409,0.729405,1.220113
0.416081,0.704060,1.196880
0.415792,0.695035,1.174799
0.415760,0.709213,1.194479
0.415953,0.691739,1.179471
0.415441,0.702364,1.185167
0.433489,0.738077,1.241330
0.416529,0.703548,1.191120
0.415761,0.706844,1.198032
0.416049,0.701340,1.185711
0.416016,0.710044,1.199600
0.415760,0.732382,1.215760
0.416369,0.718173,1.205872
0.415601,0.715996,1.200208
0.415313,0.744062,1.233361
0.416561,0.697660,1.186096
0.416401,0.704412,1.192560
0.434001,0.700316,1.206768
0.416112,0.699644,1.189647
0.415697,0.710556,1.193840
