Layer[0],TEE[1-10],classifier
0.433266,0.704412,1.211889
0.415505,0.711292,1.193072
0.415632,0.693691,1.197456
0.417616,0.714461,1.203152
0.416784,0.694556,1.177647
0.416529,0.718364,1.205552
0.417297,0.703836,1.190160
0.416112,0.708957,1.198991
0.416209,0.720637,1.210608
0.416465,0.735741,1.218929
0.415921,0.693787,1.175759
0.434673,0.736029,1.242609
0.416240,0.715164,1.202352
0.416881,0.709372,1.198576
0.416848,0.718012,1.204528
0.416656,0.714748,1.200400
0.416529,0.734045,1.222961
0.416336,0.700188,1.184975
0.416816,0.710045,1.196207
0.416657,0.742813,1.230641
0.416529,0.703964,1.193487
0.417200,0.704540,1.191215
0.437042,0.744734,1.254226
0.416048,0.704988,1.190543
0.416112,0.710460,1.194447
0.415857,0.731997,1.218001
0.415665,0.713276,1.198128
0.416368,0.723677,1.210832
0.415728,0.703324,1.189935
0.415728,0.710269,1.194671
0.415953,0.717085,1.205744
0.415664,0.696668,1.178510
0.417936,0.719549,1.211248
0.415824,0.724381,1.212689
0.415025,0.696443,1.182927
0.415664,0.697852,1.178318
0.432721,0.705564,1.208848
0.416145,0.704540,1.189391
0.415537,0.727133,1.209585
0.415857,0.705340,1.188239
0.415121,0.706876,1.197200
0.415792,0.758143,1.249681
0.417040,0.711965,1.199375
0.415664,0.707901,1.194223
0.415313,0.721277,1.210065
0.415857,0.702940,1.192368
0.416176,0.711837,1.198095
0.432881,0.713308,1.213168
0.416176,0.732285,1.217520
0.415889,0.701724,1.183887
0.416817,0.719325,1.209072
0.416656,0.755582,1.242769
0.416176,0.731582,1.221200
0.415600,0.716989,1.205808
0.416496,0.740894,1.231889
0.416048,0.733213,1.221104
0.415888,0.714973,1.205712
0.415345,0.714460,1.201840
0.435922,0.714460,1.218673
0.415984,0.702844,1.189263
0.415760,0.714780,1.203568
0.416721,0.715292,1.205712
0.416080,0.720477,1.214032
0.415601,0.732861,1.220561
0.416081,0.699388,1.183119
0.417361,0.709981,1.204080
0.416656,0.721373,1.214608
0.417169,0.752126,1.242802
0.416241,0.712572,1.199664
0.442194,0.707516,1.222417
0.417041,0.735389,1.235761
0.416305,0.744509,1.235761
0.416305,0.710812,1.196880
0.416465,0.717148,1.203312
0.416016,0.731965,1.222001
0.416304,0.733853,1.224337
0.416849,0.716829,1.207056
