Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-7],Layer[8],Layer[9],Layer[10],classifier
0.414864,0.017473,0.202664,0.005280,0.049154,0.226121,0.002304,0.001024,0.000384,0.926340
0.416208,0.017632,0.202440,0.005248,0.048098,0.192424,0.002080,0.000992,0.000384,0.891939
0.415216,0.017281,0.203272,0.004992,0.048962,0.183655,0.002112,0.001024,0.000352,0.883778
0.415760,0.017217,0.202184,0.005184,0.047874,0.195656,0.002112,0.000992,0.000384,0.893731
0.432977,0.017345,0.202376,0.004832,0.048642,0.194312,0.002176,0.000960,0.000384,0.911268
0.416081,0.017408,0.202984,0.005057,0.048449,0.190568,0.002112,0.000928,0.000384,0.890659
0.415696,0.017505,0.202056,0.005088,0.047874,0.189511,0.002048,0.000960,0.000416,0.888291
0.416080,0.017409,0.202728,0.005280,0.048706,0.189480,0.002080,0.000896,0.000352,0.889667
0.416592,0.017313,0.202216,0.005184,0.049282,0.204104,0.002336,0.000960,0.000352,0.905828
0.416816,0.017569,0.202120,0.005024,0.048866,0.195912,0.002336,0.000928,0.000384,0.896899
0.415760,0.017441,0.202056,0.005248,0.049410,0.202056,0.001984,0.000960,0.000352,0.902659
0.432945,0.017377,0.202024,0.005088,0.049058,0.195176,0.002176,0.001152,0.000384,0.912164
0.416976,0.017249,0.201832,0.005152,0.048706,0.199080,0.002144,0.000960,0.000544,0.899491
0.415856,0.017345,0.201799,0.005249,0.050818,0.196583,0.002049,0.000896,0.000352,0.896771
0.417937,0.017536,0.202440,0.005281,0.047937,0.224936,0.002048,0.000960,0.000609,0.925989
0.417169,0.017248,0.202472,0.005024,0.048578,0.198152,0.001952,0.001056,0.000608,0.898115
0.417296,0.017216,0.202472,0.005088,0.047842,0.193288,0.002080,0.000960,0.000608,0.893059
0.416048,0.017473,0.201959,0.004992,0.048770,0.192391,0.002112,0.000832,0.000352,0.891330
0.447761,0.017440,0.202696,0.005056,0.048962,0.202984,0.002144,0.000864,0.000577,0.935909
0.416625,0.017536,0.202088,0.005216,0.048834,0.202664,0.002272,0.001024,0.000416,0.903268
0.417233,0.017280,0.201959,0.005089,0.049474,0.190183,0.002048,0.000992,0.000352,0.891299
