Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-7],Layer[8],Layer[9],Layer[10],classifier
0.415504,0.017696,0.202344,0.005120,0.048194,0.232809,0.002017,0.000864,0.000384,0.931365
0.430481,0.017505,0.202184,0.004832,0.048418,0.197096,0.001952,0.000960,0.000352,0.910852
0.415921,0.017312,0.202216,0.004801,0.047393,0.191560,0.001984,0.000960,0.000384,0.888643
0.416112,0.017313,0.201896,0.004832,0.047618,0.192743,0.002016,0.000993,0.000608,0.891203
0.415344,0.017313,0.218344,0.005217,0.048737,0.196904,0.001952,0.000992,0.000384,0.911363
0.415824,0.017889,0.202408,0.005056,0.048290,0.200904,0.002112,0.000992,0.000384,0.901123
0.415856,0.017537,0.201928,0.005248,0.048706,0.196808,0.002080,0.000896,0.000352,0.895235
0.415697,0.017376,0.202248,0.005249,0.048706,0.192039,0.001984,0.000992,0.000608,0.891043
0.430737,0.018016,0.202280,0.005185,0.048866,0.193671,0.001984,0.000960,0.000384,0.908771
0.415472,0.017281,0.201832,0.005248,0.048386,0.192583,0.002112,0.000864,0.000576,0.890402
0.414992,0.017441,0.201928,0.005088,0.049410,0.194759,0.002113,0.000864,0.000384,0.893123
0.415409,0.017888,0.202215,0.005121,0.065954,0.193576,0.001952,0.000896,0.000352,0.909924
0.415313,0.017696,0.202504,0.004865,0.047970,0.193639,0.002336,0.001056,0.000384,0.891299
0.415696,0.017793,0.202312,0.004896,0.048290,0.195111,0.002080,0.000960,0.000320,0.893315
0.415920,0.017568,0.201864,0.004864,0.048674,0.193512,0.002048,0.000960,0.000608,0.891843
0.431217,0.017313,0.202792,0.005216,0.048418,0.183943,0.002048,0.001024,0.000352,0.898915
0.416208,0.017377,0.202024,0.005248,0.049186,0.199144,0.001984,0.000928,0.000576,0.899235
0.415601,0.017664,0.202440,0.005089,0.048098,0.186279,0.002016,0.000960,0.000384,0.885379
0.415312,0.017729,0.202248,0.005248,0.048354,0.211336,0.002080,0.001248,0.000320,0.910659
0.416561,0.017632,0.202088,0.004833,0.049154,0.187239,0.002112,0.000960,0.000384,0.887779
0.417744,0.017697,0.202664,0.004864,0.048610,0.196615,0.002176,0.000960,0.000416,0.898339
0.417616,0.017473,0.202152,0.004832,0.048322,0.202088,0.001984,0.000960,0.000352,0.902787
0.435441,0.017889,0.203144,0.004800,0.049058,0.187175,0.002176,0.001120,0.000384,0.908387
0.416624,0.017729,0.202408,0.004768,0.048962,0.196263,0.002209,0.000960,0.000352,0.897699
0.416817,0.017376,0.201896,0.004960,0.049634,0.193640,0.002272,0.001184,0.000384,0.894595
0.416240,0.017697,0.202312,0.005056,0.047970,0.206024,0.002208,0.001184,0.000384,0.907107
0.417392,0.017473,0.202504,0.005056,0.049282,0.197640,0.002208,0.001120,0.000352,0.899779
0.416433,0.017504,0.202600,0.005089,0.049506,0.203079,0.002272,0.001120,0.000384,0.904612
0.416784,0.017633,0.202472,0.004992,0.049218,0.192712,0.002080,0.000896,0.000384,0.894051
0.432048,0.017664,0.202472,0.005056,0.048962,0.192424,0.002080,0.000864,0.000416,0.908899
0.417136,0.018209,0.202120,0.004896,0.048930,0.194119,0.002048,0.000928,0.000353,0.895396
0.415088,0.017921,0.202056,0.004832,0.049154,0.187048,0.002048,0.000960,0.000288,0.886243
0.415984,0.017665,0.202344,0.004832,0.048354,0.211272,0.002337,0.001024,0.000352,0.911460
0.415440,0.017537,0.203976,0.004992,0.048674,0.186920,0.002144,0.000832,0.000352,0.886755
0.415856,0.017761,0.201992,0.005216,0.049570,0.185735,0.002209,0.000896,0.000352,0.885379
0.415920,0.017665,0.202728,0.004800,0.048738,0.200008,0.002432,0.000960,0.000352,0.900611
0.435442,0.018112,0.202408,0.005056,0.049250,0.183912,0.002016,0.000928,0.000384,0.903396
0.415440,0.017472,0.202248,0.004800,0.049122,0.202472,0.001952,0.000736,0.000384,0.900931
0.416272,0.017441,0.202120,0.004864,0.048354,0.191975,0.002177,0.000832,0.000352,0.891011
0.415312,0.017473,0.202952,0.004832,0.048706,0.200648,0.002080,0.000896,0.000608,0.900259
0.415729,0.017248,0.202056,0.004865,0.048353,0.200040,0.002080,0.000864,0.000577,0.897828
0.416368,0.017281,0.202088,0.004832,0.047746,0.192328,0.002368,0.000864,0.000608,0.891715
0.416593,0.017792,0.202440,0.004833,0.047905,0.191239,0.002144,0.000864,0.000384,0.891075
0.415792,0.017857,0.220617,0.004960,0.048642,0.194023,0.002112,0.000864,0.000577,0.912676
0.415536,0.017825,0.202600,0.004864,0.049186,0.195399,0.002209,0.000928,0.000608,0.895683
0.415184,0.017632,0.202920,0.005024,0.048418,0.202152,0.002240,0.000992,0.000416,0.902947
0.415569,0.017632,0.202408,0.005056,0.048226,0.199368,0.002080,0.001056,0.000352,0.899043
0.415120,0.017793,0.202600,0.004864,0.049218,0.197319,0.001952,0.000896,0.000416,0.897251
0.415280,0.017249,0.202504,0.004896,0.048450,0.192008,0.002080,0.000800,0.000416,0.889827
0.415120,0.017633,0.201863,0.004865,0.048258,0.196839,0.002048,0.000832,0.000384,0.894467
0.415696,0.017825,0.220201,0.004896,0.048802,0.221800,0.002081,0.000800,0.000384,0.939141
0.416401,0.017664,0.202088,0.004800,0.048642,0.187496,0.002048,0.000896,0.000608,0.887363
0.416305,0.017312,0.202376,0.005024,0.048002,0.194664,0.002144,0.000960,0.000512,0.894595
0.415089,0.017728,0.202056,0.005249,0.048321,0.192968,0.002048,0.000896,0.000352,0.891523
0.415504,0.017473,0.202248,0.005280,0.047874,0.186919,0.002176,0.000864,0.000384,0.885506
0.415568,0.017889,0.202120,0.005248,0.048642,0.196616,0.002016,0.000960,0.000352,0.896739
0.415697,0.017536,0.201960,0.005249,0.048546,0.183079,0.002208,0.000992,0.000320,0.883043
0.415312,0.017409,0.222088,0.005121,0.049089,0.184968,0.002112,0.000928,0.000416,0.904291
0.414929,0.017664,0.202056,0.004833,0.048545,0.189096,0.002016,0.000928,0.000352,0.887491
0.414960,0.017377,0.201767,0.004801,0.048674,0.200167,0.002081,0.000896,0.000352,0.897443
0.415088,0.017729,0.202024,0.004800,0.048322,0.201064,0.001856,0.000992,0.000384,0.898339
0.434481,0.017473,0.202472,0.004896,0.048930,0.189160,0.002048,0.000992,0.000384,0.907812
0.414992,0.017665,0.202088,0.004992,0.049506,0.189447,0.002080,0.000992,0.000352,0.890338
0.415536,0.021057,0.201896,0.005376,0.048610,0.200008,0.002080,0.000928,0.000352,0.903843
0.416336,0.017473,0.229897,0.005248,0.050242,0.197576,0.002048,0.000928,0.000352,0.927364
0.416144,0.017985,0.204584,0.005344,0.048738,0.203656,0.002272,0.000992,0.000576,0.907843
0.415761,0.017345,0.202471,0.004865,0.048706,0.189895,0.001984,0.000864,0.000384,0.889507
0.415312,0.017441,0.202184,0.004832,0.048482,0.205544,0.001952,0.001056,0.000416,0.904867
0.434065,0.017537,0.202248,0.004896,0.049122,0.200904,0.002048,0.000928,0.000384,0.918820
0.416241,0.017376,0.202440,0.004833,0.049250,0.194951,0.002208,0.000896,0.000416,0.896035
0.415952,0.017504,0.202312,0.005280,0.048546,0.187976,0.001856,0.000896,0.000416,0.888835
0.416912,0.017281,0.219464,0.005024,0.048386,0.199048,0.002048,0.000864,0.000608,0.916963
0.415696,0.017729,0.202184,0.004896,0.047778,0.196680,0.002080,0.000992,0.000352,0.896899
0.415120,0.017633,0.202920,0.004992,0.048578,0.193320,0.002112,0.000768,0.000384,0.892771
0.416720,0.017761,0.203624,0.004992,0.048962,0.204776,0.002240,0.001216,0.000352,0.908803
0.416272,0.017441,0.203432,0.004864,0.048290,0.187976,0.002176,0.000992,0.000576,0.889891
0.416144,0.017281,0.203496,0.004800,0.048546,0.198024,0.001952,0.001024,0.000352,0.898659
0.415409,0.017824,0.202984,0.005217,0.048674,0.200423,0.002081,0.000960,0.000384,0.901028
0.415601,0.017888,0.221193,0.005152,0.048258,0.192680,0.002048,0.001184,0.000384,0.911940
0.416048,0.017857,0.201928,0.004864,0.048834,0.190791,0.002368,0.000928,0.000416,0.891426
0.416049,0.017888,0.202472,0.004896,0.048898,0.194600,0.002048,0.001024,0.000352,0.895427
0.415152,0.017505,0.202376,0.004800,0.048226,0.193703,0.002209,0.001024,0.000608,0.892675
0.431985,0.017473,0.202952,0.004832,0.047330,0.190535,0.002240,0.000928,0.000384,0.905956
0.415248,0.017825,0.202248,0.004832,0.048834,0.189000,0.002176,0.000928,0.000384,0.888035
0.415664,0.017633,0.202184,0.004800,0.049026,0.193799,0.002080,0.001184,0.000608,0.894563
0.415953,0.017664,0.219241,0.005024,0.047202,0.187880,0.002208,0.000960,0.000384,0.903844
0.416112,0.017953,0.202248,0.004768,0.048994,0.200712,0.002208,0.001184,0.000320,0.902627
0.415920,0.017665,0.202344,0.004768,0.048610,0.198056,0.002304,0.001024,0.000576,0.898243
0.415728,0.017697,0.202376,0.004800,0.048482,0.197384,0.002144,0.000928,0.000608,0.897475
0.430481,0.017696,0.203335,0.004865,0.047682,0.205928,0.002048,0.000960,0.000576,0.920868
0.414896,0.017953,0.204008,0.004800,0.047298,0.197768,0.002272,0.001056,0.000608,0.897795
0.415536,0.017920,0.202984,0.004800,0.049858,0.196008,0.002208,0.000928,0.000352,0.898051
0.415729,0.017505,0.219784,0.005120,0.048834,0.189064,0.002272,0.000960,0.000576,0.907652
0.416016,0.017217,0.201992,0.005216,0.048642,0.199688,0.002144,0.001184,0.000576,0.899939
0.415696,0.017344,0.202440,0.005024,0.048514,0.197352,0.002272,0.000992,0.000576,0.897923
0.417136,0.017537,0.202792,0.005216,0.048098,0.196231,0.002240,0.001120,0.000384,0.898467
0.416592,0.017760,0.202408,0.005184,0.048578,0.197064,0.002080,0.001120,0.000416,0.898627
0.415664,0.017697,0.202024,0.005056,0.048194,0.190375,0.001985,0.001120,0.000384,0.889603
0.416817,0.017920,0.202056,0.005249,0.049345,0.192776,0.002112,0.000928,0.000384,0.894819
0.415344,0.017441,0.221416,0.005217,0.048257,0.181896,0.001952,0.000928,0.000384,0.899459
0.416400,0.017473,0.202152,0.004800,0.047682,0.186215,0.001952,0.000929,0.000384,0.884547
0.416080,0.017633,0.202920,0.004800,0.047458,0.200648,0.001984,0.000960,0.000416,0.899555
0.416752,0.017505,0.202184,0.005056,0.047778,0.184647,0.002144,0.000928,0.000384,0.885218
0.431633,0.017633,0.202376,0.005056,0.047298,0.200711,0.002017,0.000960,0.000384,0.914628
0.416656,0.017249,0.202344,0.004800,0.047554,0.193352,0.001952,0.000992,0.000352,0.892899
0.417136,0.017632,0.202152,0.004800,0.047362,0.188104,0.002304,0.001056,0.000608,0.888035
0.416081,0.017632,0.220617,0.005056,0.047426,0.198920,0.001952,0.000928,0.000384,0.916612
0.415761,0.017473,0.201991,0.004769,0.047138,0.192455,0.001984,0.000896,0.000384,0.889475
0.416241,0.017248,0.202408,0.004800,0.047490,0.225865,0.001984,0.000832,0.000384,0.923844
0.415632,0.017377,0.202183,0.004801,0.047682,0.219528,0.001984,0.000864,0.000352,0.917155
0.434801,0.017537,0.202248,0.004768,0.047010,0.179879,0.001888,0.000928,0.000352,0.896035
0.415696,0.017921,0.202504,0.004800,0.047970,0.176743,0.001888,0.000928,0.000416,0.875554
0.416688,0.017249,0.202696,0.004864,0.047810,0.187303,0.001920,0.000928,0.000352,0.886562
0.416337,0.017600,0.202472,0.004833,0.047361,0.216137,0.002048,0.000896,0.000384,0.914116
0.416272,0.018017,0.202952,0.004800,0.047234,0.194152,0.002144,0.000928,0.000608,0.894051
0.416881,0.017472,0.202024,0.005024,0.047650,0.180295,0.002049,0.000928,0.000352,0.878499
0.416560,0.018145,0.202280,0.004832,0.047298,0.190759,0.001952,0.000896,0.000352,0.889027
0.432784,0.017312,0.202600,0.004768,0.047042,0.182247,0.001984,0.000929,0.000384,0.895907
0.414897,0.017216,0.202376,0.004801,0.046977,0.181799,0.001952,0.000864,0.000608,0.877955
0.415824,0.017153,0.202952,0.004832,0.046978,0.185831,0.001921,0.000960,0.000576,0.883619
0.415344,0.017472,0.202248,0.004800,0.046946,0.187272,0.001952,0.000960,0.000384,0.884771
0.414288,0.017409,0.202184,0.004768,0.046882,0.182087,0.002048,0.000960,0.000384,0.878434
0.415120,0.017665,0.202568,0.004832,0.046914,0.221512,0.002048,0.000960,0.000385,0.920100
0.415440,0.017441,0.202120,0.004800,0.047266,0.184263,0.002112,0.000992,0.000384,0.881506
0.431857,0.017409,0.202696,0.004864,0.047042,0.186503,0.002208,0.001088,0.000384,0.902531
0.416689,0.017793,0.202056,0.004832,0.047266,0.188743,0.001984,0.001024,0.000320,0.886915
0.415601,0.017184,0.202248,0.004833,0.046913,0.181768,0.001920,0.000992,0.000320,0.878563
0.415024,0.017312,0.202120,0.004896,0.047074,0.192328,0.001856,0.000928,0.000384,0.888163
0.414960,0.017313,0.202728,0.004800,0.046978,0.184807,0.001920,0.000832,0.000320,0.882403
0.416400,0.017473,0.203656,0.004832,0.046978,0.187911,0.001921,0.000864,0.000320,0.886051
0.415409,0.017440,0.202376,0.004768,0.046946,0.176647,0.002112,0.000800,0.000320,0.874754
0.415664,0.017281,0.220073,0.005120,0.047042,0.194887,0.001920,0.000896,0.000384,0.910691
0.415152,0.017153,0.202120,0.004800,0.047042,0.190376,0.001856,0.000960,0.000352,0.886467
0.415728,0.017313,0.202184,0.004864,0.047106,0.179527,0.002016,0.000928,0.000352,0.875842
0.415216,0.017313,0.202536,0.004800,0.047074,0.190279,0.002016,0.001088,0.000320,0.889731
0.432433,0.017441,0.202440,0.004832,0.047298,0.193479,0.001985,0.000896,0.000352,0.907716
0.415760,0.017665,0.202696,0.004800,0.046946,0.180135,0.001952,0.000928,0.000320,0.877538
0.414897,0.017760,0.201992,0.004832,0.047138,0.186024,0.001984,0.000896,0.000384,0.882211
0.415184,0.017665,0.202024,0.004800,0.064515,0.182407,0.001856,0.000928,0.000384,0.896323
0.416464,0.017345,0.202152,0.004832,0.047138,0.176967,0.001824,0.000864,0.000352,0.873890
0.415185,0.017280,0.202472,0.004833,0.046945,0.183432,0.001920,0.000832,0.000320,0.879299
0.415024,0.017217,0.202536,0.004864,0.047010,0.192135,0.002112,0.000928,0.000384,0.889346
0.431248,0.017632,0.202280,0.004864,0.047106,0.187016,0.001920,0.000896,0.000352,0.899747
0.415248,0.017280,0.201896,0.004864,0.047458,0.197320,0.001952,0.000896,0.000352,0.893955
0.415824,0.017313,0.202376,0.004864,0.047298,0.199976,0.002080,0.001120,0.000416,0.900291
0.415760,0.017345,0.201704,0.004832,0.048386,0.214728,0.002048,0.001056,0.000576,0.912995
0.418193,0.017344,0.202856,0.004833,0.048386,0.188839,0.002112,0.000960,0.000384,0.891203
0.416944,0.017505,0.203272,0.004896,0.048450,0.194280,0.001920,0.000928,0.000352,0.894915
0.415921,0.017568,0.202344,0.004833,0.047553,0.183944,0.001856,0.000928,0.000320,0.881859
0.432753,0.017345,0.202216,0.004800,0.047042,0.192231,0.001888,0.000928,0.000320,0.905923
0.415568,0.017345,0.201896,0.004832,0.047170,0.175751,0.002080,0.000928,0.000384,0.872674
0.415313,0.017601,0.202055,0.004929,0.047266,0.183815,0.001952,0.000960,0.000384,0.881443
0.415440,0.017633,0.201863,0.004897,0.046850,0.215400,0.002080,0.001088,0.000352,0.912323
0.415345,0.017216,0.201672,0.004832,0.047009,0.193512,0.001952,0.000928,0.000384,0.889315
0.416368,0.017825,0.202056,0.004864,0.047458,0.230761,0.001952,0.001024,0.000576,0.930020
0.415024,0.017313,0.202312,0.004832,0.047298,0.183143,0.001952,0.000992,0.000384,0.880066
0.433521,0.017281,0.202376,0.004768,0.048866,0.204168,0.001792,0.001024,0.000416,0.920836
0.414960,0.017345,0.202088,0.004800,0.047970,0.200776,0.001856,0.000960,0.000352,0.897315
0.415120,0.017185,0.202248,0.004832,0.047106,0.206856,0.001856,0.000960,0.000384,0.903203
0.416401,0.017280,0.201864,0.004897,0.047361,0.204456,0.001921,0.001024,0.000320,0.902148
0.414992,0.017153,0.202696,0.004896,0.046978,0.204040,0.001952,0.000992,0.000384,0.900291
0.415601,0.017504,0.202152,0.004864,0.047138,0.209225,0.002144,0.000928,0.000384,0.907460
0.415600,0.017281,0.202824,0.004864,0.047938,0.224361,0.001920,0.000928,0.000576,0.922692
0.434930,0.017536,0.203016,0.004864,0.047362,0.191016,0.001888,0.000960,0.000608,0.909156
0.416081,0.017536,0.202248,0.004801,0.047457,0.187016,0.002016,0.000928,0.000384,0.886595
0.416336,0.017921,0.201992,0.005120,0.047394,0.205512,0.002112,0.000928,0.000384,0.904355
0.416240,0.017409,0.202632,0.004832,0.047586,0.189511,0.002304,0.000832,0.000320,0.888354
0.416625,0.017312,0.202248,0.004833,0.047265,0.187720,0.002112,0.000896,0.000352,0.885987
0.416176,0.017281,0.202504,0.004800,0.047426,0.197095,0.001921,0.000736,0.000320,0.894659
0.415856,0.017313,0.202312,0.004832,0.047458,0.193352,0.001856,0.000768,0.000352,0.890787
0.432945,0.017440,0.202472,0.004800,0.047010,0.216681,0.001888,0.000800,0.000352,0.931045
0.415857,0.017888,0.202440,0.005025,0.047041,0.203368,0.001984,0.000929,0.000384,0.901860
0.416241,0.017472,0.202664,0.005024,0.046914,0.195848,0.002176,0.000896,0.000352,0.894147
0.415696,0.017505,0.203624,0.005024,0.047298,0.190695,0.002048,0.000896,0.000352,0.889858
0.415920,0.017921,0.202536,0.005248,0.047170,0.193927,0.002112,0.001024,0.000384,0.893379
0.416080,0.017697,0.202216,0.005056,0.048418,0.193096,0.002080,0.000960,0.000352,0.892259
0.418225,0.017504,0.202248,0.004800,0.047522,0.177927,0.002112,0.000896,0.000352,0.878083
0.417008,0.017857,0.218665,0.005056,0.047106,0.181959,0.001920,0.000864,0.000416,0.898307
0.416017,0.017632,0.202760,0.005025,0.047297,0.181800,0.002016,0.000832,0.000352,0.881539
0.416817,0.017696,0.202088,0.005121,0.047393,0.194312,0.002016,0.000928,0.000384,0.893251
0.416880,0.017697,0.202664,0.004864,0.047010,0.199048,0.001984,0.000864,0.000352,0.897731
0.415760,0.017505,0.202216,0.004832,0.047106,0.186311,0.002016,0.000864,0.000384,0.885698
0.417168,0.017408,0.202472,0.004960,0.047522,0.189384,0.002016,0.000864,0.000416,0.888675
0.415312,0.017249,0.203080,0.005024,0.047234,0.186599,0.001952,0.000864,0.000416,0.884227
0.416464,0.017345,0.217160,0.005248,0.047618,0.207368,0.002176,0.000832,0.000352,0.922084
0.415729,0.017472,0.202120,0.004801,0.047009,0.200296,0.002112,0.000896,0.000320,0.896932
0.416944,0.017249,0.202568,0.005024,0.047554,0.194984,0.002240,0.000864,0.000352,0.894179
0.416625,0.017312,0.202856,0.004769,0.047329,0.188808,0.001888,0.000928,0.000352,0.887331
0.428241,0.017409,0.202760,0.004800,0.047714,0.190631,0.001984,0.000960,0.000384,0.901252
0.416784,0.017217,0.203944,0.004832,0.047234,0.194055,0.001856,0.000960,0.000384,0.893923
0.415568,0.017345,0.202056,0.004768,0.047074,0.192423,0.001856,0.000960,0.000352,0.888930
0.417232,0.017249,0.202024,0.021152,0.050050,0.230249,0.001793,0.000992,0.000416,0.948965
0.415216,0.017473,0.202248,0.004768,0.047138,0.199688,0.001888,0.001024,0.000352,0.896163
0.415952,0.017313,0.202344,0.004832,0.046914,0.200552,0.001984,0.000896,0.000384,0.897571
0.416144,0.017633,0.202344,0.005248,0.047298,0.193895,0.002048,0.001024,0.000416,0.893251
0.433265,0.017761,0.202824,0.004832,0.048674,0.186599,0.002145,0.000992,0.000384,0.904516
0.415728,0.017505,0.202280,0.004864,0.047938,0.190792,0.001824,0.000960,0.000384,0.888579
0.415857,0.017216,0.202568,0.004800,0.047298,0.189352,0.001920,0.000992,0.000352,0.886691
0.415984,0.017441,0.202504,0.005280,0.047202,0.210344,0.001984,0.000960,0.000384,0.908452
0.416816,0.017089,0.202536,0.004864,0.047266,0.189127,0.001888,0.000896,0.000384,0.886850
0.416816,0.017249,0.202792,0.005088,0.048770,0.205192,0.002400,0.000992,0.000384,0.907587
0.418608,0.017472,0.203880,0.005057,0.048641,0.201799,0.002081,0.001536,0.000384,0.909924
0.451089,0.017409,0.203432,0.005280,0.048386,0.200296,0.002272,0.001056,0.000384,0.937316
0.418289,0.017504,0.204488,0.005184,0.048514,0.204840,0.002208,0.001344,0.000352,0.912644
0.416432,0.017601,0.205384,0.004992,0.049314,0.204296,0.002528,0.001024,0.000352,0.909283
0.416592,0.017312,0.222441,0.005184,0.049634,0.201384,0.001984,0.001024,0.000352,0.924228
0.417008,0.017313,0.202600,0.005216,0.048770,0.192776,0.002144,0.001280,0.000352,0.894563
0.416976,0.017441,0.202952,0.004992,0.050306,0.200168,0.002432,0.001088,0.000352,0.904899
0.416464,0.017313,0.202344,0.005280,0.051266,0.199112,0.002368,0.000992,0.000352,0.903171
0.416689,0.017664,0.202184,0.005249,0.048097,0.198248,0.001984,0.001024,0.000384,0.900067
0.416560,0.017473,0.202152,0.004832,0.048610,0.203688,0.002208,0.000960,0.000576,0.904131
0.415664,0.017632,0.202280,0.004768,0.048738,0.204296,0.002113,0.001024,0.000384,0.905668
0.415856,0.049826,0.203080,0.004800,0.047650,0.206664,0.002048,0.000992,0.000320,0.938469
0.414577,0.017344,0.202120,0.004833,0.047681,0.197704,0.002240,0.001056,0.000576,0.895939
0.416432,0.017505,0.202408,0.004896,0.049122,0.203880,0.002240,0.001088,0.000384,0.905283
0.416528,0.017345,0.202504,0.004832,0.048642,0.201512,0.002368,0.001056,0.000352,0.902307
0.416625,0.017408,0.202088,0.004800,0.049570,0.195240,0.002400,0.001344,0.000608,0.898243
0.416144,0.017313,0.202600,0.004800,0.049250,0.204328,0.002176,0.001056,0.000576,0.906787
0.416048,0.017633,0.202536,0.004800,0.048610,0.200840,0.002464,0.001280,0.000352,0.902819
0.433009,0.017312,0.202600,0.004833,0.048641,0.204104,0.002049,0.001120,0.000544,0.923268
0.416752,0.017313,0.202248,0.005216,0.047874,0.206184,0.002112,0.001120,0.000576,0.907171
0.416272,0.017473,0.202504,0.005216,0.049346,0.194151,0.002240,0.001088,0.000544,0.897284
0.415664,0.017281,0.202792,0.005248,0.049154,0.233577,0.002368,0.001376,0.000608,0.935269
0.415953,0.017505,0.202536,0.005216,0.048386,0.196327,0.002272,0.001120,0.000576,0.899076
0.415792,0.017473,0.202664,0.005248,0.049122,0.200808,0.002400,0.001088,0.000640,0.902499
0.415824,0.017345,0.202536,0.004768,0.048162,0.191175,0.002240,0.001088,0.000577,0.891491
0.432849,0.017505,0.202504,0.004800,0.049442,0.198440,0.002016,0.001056,0.000576,0.916580
0.416112,0.017889,0.202600,0.004800,0.048642,0.197640,0.002080,0.000992,0.000384,0.898659
0.416209,0.017569,0.202247,0.005056,0.049218,0.197511,0.002017,0.001024,0.000608,0.899108
0.416528,0.017537,0.221065,0.005152,0.050146,0.188391,0.002017,0.001120,0.000320,0.910948
0.416432,0.017345,0.202888,0.005280,0.048546,0.195623,0.002305,0.001024,0.000416,0.897379
0.416208,0.018177,0.202600,0.004832,0.048866,0.199720,0.002048,0.000992,0.000384,0.901603
0.416464,0.017825,0.202440,0.004800,0.048546,0.190023,0.001984,0.001024,0.000352,0.890851
0.415824,0.017473,0.203272,0.004832,0.049026,0.189863,0.002208,0.000929,0.000608,0.893059
0.416304,0.017953,0.203048,0.004992,0.048482,0.191111,0.002336,0.001216,0.000576,0.893283
0.416016,0.017729,0.202440,0.004864,0.048418,0.201736,0.002176,0.001280,0.000576,0.903203
0.417521,0.017505,0.222632,0.004961,0.048161,0.190472,0.002176,0.000960,0.000576,0.912836
0.416561,0.017664,0.202536,0.004801,0.047841,0.202056,0.002145,0.001056,0.000384,0.903236
0.415312,0.017377,0.202344,0.004832,0.048258,0.198344,0.002208,0.001024,0.000608,0.897923
0.415473,0.017344,0.204360,0.004897,0.049378,0.201703,0.002081,0.001056,0.000320,0.904676
0.416208,0.017697,0.202312,0.005184,0.047682,0.201512,0.002240,0.001088,0.000576,0.902115
0.415089,0.017792,0.202952,0.004864,0.048961,0.197704,0.002112,0.000928,0.000352,0.898755
0.416304,0.017728,0.202760,0.004800,0.049922,0.189448,0.002048,0.001056,0.000384,0.891555
0.416528,0.035585,0.202824,0.005024,0.049090,0.195176,0.002400,0.001120,0.000352,0.917668
0.415696,0.017761,0.202664,0.005216,0.048994,0.183047,0.002016,0.001121,0.000608,0.885283
0.415664,0.017249,0.202312,0.005408,0.049410,0.207048,0.001984,0.000928,0.000608,0.907907
0.415824,0.017249,0.202504,0.004864,0.048610,0.193288,0.001888,0.000928,0.000384,0.892035
0.415568,0.017505,0.202248,0.004832,0.047554,0.182343,0.001856,0.000896,0.000320,0.879906
0.415792,0.017249,0.202376,0.004832,0.047266,0.203560,0.001888,0.000960,0.000384,0.900771
0.416368,0.017344,0.202280,0.004896,0.047618,0.199592,0.002048,0.000928,0.000352,0.898979
0.416144,0.017665,0.222824,0.005057,0.047906,0.196135,0.002080,0.001120,0.000609,0.919332
0.416240,0.017889,0.203144,0.004768,0.048866,0.213160,0.002112,0.000992,0.000384,0.915684
0.415952,0.017569,0.202376,0.004832,0.049698,0.200648,0.002016,0.001056,0.000352,0.902755
0.415632,0.017312,0.202216,0.005024,0.049442,0.198952,0.002144,0.000992,0.000352,0.900931
0.417137,0.018432,0.202568,0.004865,0.048514,0.201479,0.002304,0.001152,0.000384,0.905348
0.417521,0.017472,0.202471,0.004929,0.048994,0.190279,0.002144,0.000992,0.000352,0.893187
0.416496,0.017665,0.203240,0.004832,0.050818,0.199784,0.002176,0.000960,0.000384,0.904099
0.431089,0.017536,0.201960,0.004833,0.049378,0.196039,0.002080,0.000960,0.000352,0.912963
0.417009,0.017889,0.202311,0.004897,0.048770,0.200519,0.002112,0.001216,0.000352,0.903332
0.416944,0.017312,0.202184,0.004832,0.048770,0.199240,0.001984,0.001024,0.000384,0.900323
0.416369,0.017312,0.202216,0.004897,0.049506,0.230313,0.002592,0.001088,0.000320,0.933317
0.415536,0.017313,0.202504,0.004832,0.048930,0.196615,0.002209,0.001024,0.000608,0.896643
0.415664,0.017729,0.202696,0.005024,0.048834,0.201224,0.002016,0.000960,0.000576,0.902115
0.415824,0.017761,0.202216,0.005024,0.048450,0.193352,0.002784,0.001056,0.000384,0.895523
0.432720,0.017376,0.202344,0.005024,0.048418,0.189096,0.002144,0.001056,0.000416,0.906627
0.415952,0.017537,0.202536,0.005280,0.048930,0.200648,0.002144,0.001056,0.000576,0.902435
0.416304,0.017568,0.201864,0.004864,0.049154,0.188392,0.002112,0.000960,0.000576,0.889251
0.416304,0.017249,0.201960,0.004832,0.049026,0.208232,0.002144,0.001025,0.000352,0.909284
0.415664,0.017313,0.202600,0.004832,0.049442,0.187239,0.002144,0.000992,0.000416,0.889667
0.415729,0.017440,0.202216,0.004801,0.048033,0.227497,0.002177,0.001056,0.000608,0.926725
0.416240,0.017632,0.202568,0.004832,0.048513,0.192936,0.002304,0.001152,0.000416,0.895811
0.431664,0.017600,0.202152,0.004896,0.049282,0.190760,0.002272,0.001024,0.000608,0.907203
0.415921,0.017248,0.202440,0.004896,0.049026,0.190056,0.002144,0.000992,0.000352,0.890435
0.416657,0.017344,0.202632,0.005248,0.049921,0.205193,0.002048,0.001024,0.000576,0.907524
0.415664,0.017889,0.202376,0.005248,0.051394,0.192520,0.002112,0.001024,0.000576,0.915972
0.415696,0.017729,0.202600,0.005344,0.049154,0.197608,0.002208,0.001056,0.000576,0.898819
0.415952,0.017569,0.202632,0.005216,0.048738,0.200936,0.001984,0.000992,0.000384,0.901315
0.417136,0.017473,0.202568,0.005248,0.048770,0.195016,0.002016,0.001024,0.000384,0.896547
