Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.436049,0.017473,0.202056,0.004832,0.221353,0.014272,0.000480,0.001568,0.001152,0.000320,0.908963
0.420753,0.017441,0.202728,0.004928,0.224585,0.014176,0.000480,0.001600,0.001121,0.000352,0.897764
0.420464,0.017441,0.202376,0.004928,0.233353,0.014241,0.000480,0.001440,0.001120,0.000800,0.905571
0.420592,0.017377,0.202600,0.005248,0.256938,0.014177,0.000512,0.001472,0.001024,0.000416,0.929412
0.415696,0.017153,0.201960,0.004960,0.223145,0.014240,0.000512,0.001472,0.000992,0.000800,0.888451
0.421072,0.017377,0.202344,0.004864,0.219305,0.015520,0.000480,0.001440,0.000993,0.000352,0.891299
0.416784,0.017409,0.202120,0.004768,0.237833,0.014113,0.000512,0.001504,0.001024,0.000384,0.906115
0.432369,0.017345,0.201992,0.004832,0.226249,0.014529,0.000480,0.001504,0.001024,0.000384,0.909252
0.419920,0.017345,0.201832,0.004832,0.221033,0.014016,0.000480,0.001440,0.000928,0.000384,0.889474
0.414961,0.017472,0.201800,0.004897,0.230729,0.014400,0.000448,0.001504,0.001056,0.000384,0.896067
0.416816,0.017281,0.201928,0.004832,0.250954,0.014497,0.000512,0.001536,0.000992,0.000352,0.918308
0.419665,0.017377,0.201864,0.004896,0.235433,0.014657,0.000512,0.002336,0.001152,0.000352,0.908516
0.419952,0.017249,0.201960,0.004928,0.233961,0.014177,0.000480,0.001504,0.001120,0.000288,0.904003
0.420048,0.017312,0.201736,0.004864,0.226473,0.014017,0.000544,0.001440,0.000960,0.000800,0.897411
0.438737,0.017345,0.201928,0.004992,0.235882,0.014144,0.000544,0.001408,0.001088,0.000608,0.925380
0.415536,0.017184,0.201672,0.004832,0.230761,0.014049,0.000480,0.001536,0.001024,0.000352,0.896131
0.419729,0.017441,0.202056,0.004864,0.238697,0.014209,0.000512,0.001472,0.001152,0.000320,0.911684
0.415025,0.017376,0.202248,0.004864,0.232522,0.014560,0.000480,0.001472,0.000992,0.000320,0.899651
0.421488,0.017248,0.202056,0.004800,0.232841,0.013952,0.000480,0.001472,0.000960,0.000320,0.902723
0.415696,0.017313,0.201736,0.004768,0.227433,0.014049,0.000480,0.001440,0.001088,0.000352,0.892387
0.419793,0.017312,0.202984,0.004865,0.215880,0.014369,0.000448,0.001472,0.000992,0.000384,0.886339
0.435697,0.017505,0.201992,0.004960,0.248746,0.015392,0.000448,0.001504,0.001024,0.000384,0.936965
0.420080,0.017505,0.201864,0.004896,0.217544,0.013824,0.000512,0.001472,0.000928,0.000352,0.886978
0.419888,0.017376,0.203688,0.004832,0.220841,0.013953,0.000480,0.001472,0.000960,0.000352,0.891971
0.419792,0.017249,0.201800,0.004832,0.221033,0.014433,0.000480,0.001408,0.001056,0.000384,0.891331
0.420048,0.017440,0.202248,0.004960,0.219497,0.013985,0.000480,0.001408,0.000992,0.000384,0.889891
0.420080,0.017441,0.202184,0.004800,0.231369,0.015169,0.000480,0.001408,0.000960,0.000416,0.903299
0.420369,0.017152,0.201768,0.004833,0.228617,0.014368,0.000512,0.001536,0.000928,0.000352,0.899011
0.432817,0.017441,0.202408,0.004864,0.223113,0.014112,0.000480,0.001440,0.000960,0.000288,0.906051
0.419793,0.017185,0.201831,0.004929,0.217416,0.013921,0.000480,0.001472,0.001024,0.000384,0.886723
0.420752,0.017216,0.202216,0.004800,0.219721,0.014081,0.000512,0.001504,0.000928,0.000352,0.890243
0.419984,0.017217,0.202184,0.004832,0.236297,0.014145,0.000480,0.001440,0.000992,0.000352,0.907683
0.419696,0.017441,0.201896,0.004864,0.228009,0.013953,0.000512,0.001472,0.000960,0.000384,0.897443
0.419600,0.017249,0.202184,0.004832,0.238345,0.013984,0.000480,0.001472,0.000992,0.000384,0.907459
0.415121,0.017440,0.201864,0.004864,0.237162,0.013856,0.000448,0.001504,0.001057,0.000352,0.901828
0.435282,0.018176,0.202088,0.004833,0.244745,0.014145,0.000480,0.001536,0.000896,0.000352,0.932133
0.415024,0.017377,0.202344,0.004768,0.226793,0.014113,0.000512,0.001536,0.000928,0.000384,0.891491
0.414992,0.017313,0.202152,0.004896,0.222441,0.013888,0.000480,0.001536,0.001024,0.000384,0.886339
0.419953,0.017505,0.202183,0.004833,0.227113,0.015456,0.000512,0.001472,0.000992,0.000320,0.898307
0.419824,0.017504,0.202312,0.004960,0.229065,0.013921,0.000544,0.001472,0.000896,0.000320,0.898531
0.420080,0.017216,0.202344,0.004832,0.220745,0.015425,0.000512,0.001472,0.001088,0.000352,0.892099
0.419856,0.017312,0.202120,0.004896,0.228009,0.014273,0.000544,0.001440,0.000960,0.000384,0.897955
0.415792,0.017569,0.221832,0.005121,0.236457,0.014305,0.000512,0.001504,0.001152,0.000576,0.923812
0.415376,0.017280,0.202408,0.004832,0.234730,0.014144,0.000512,0.001504,0.001152,0.000320,0.900931
0.422129,0.017537,0.204296,0.004864,0.236521,0.014561,0.000448,0.001536,0.001216,0.000608,0.913892
0.414097,0.017408,0.202728,0.004801,0.233993,0.014400,0.000512,0.001505,0.000928,0.000800,0.899812
0.416176,0.017472,0.202600,0.004800,0.247338,0.016769,0.000448,0.001408,0.000992,0.000384,0.918084
0.415088,0.017441,0.202888,0.004800,0.232969,0.016577,0.000480,0.001440,0.000992,0.000352,0.902179
0.415504,0.017473,0.202568,0.004832,0.227657,0.017280,0.000480,0.001536,0.000896,0.000416,0.898211
0.429265,0.017377,0.202664,0.004832,0.221512,0.016576,0.000480,0.001472,0.000928,0.000352,0.904003
0.416144,0.018049,0.202600,0.004800,0.232649,0.014209,0.000512,0.001472,0.001184,0.000384,0.902723
0.415600,0.017281,0.202504,0.004864,0.226761,0.014273,0.000448,0.001568,0.000800,0.000288,0.892227
0.415792,0.017569,0.202088,0.004960,0.227881,0.014241,0.000352,0.001472,0.000928,0.000288,0.893091
0.419792,0.017473,0.202408,0.004896,0.228681,0.014049,0.000480,0.001536,0.001248,0.000384,0.899747
0.419696,0.017281,0.202632,0.004832,0.234121,0.016096,0.000480,0.001536,0.001248,0.000384,0.908067
0.415728,0.017249,0.202280,0.004896,0.234569,0.014273,0.000512,0.001504,0.001088,0.000320,0.902787
0.436466,0.017376,0.202504,0.004960,0.235466,0.014240,0.000480,0.001504,0.001121,0.000352,0.923365
0.415216,0.017441,0.202280,0.005344,0.233257,0.015105,0.000480,0.001408,0.001024,0.000352,0.901123
0.420048,0.017313,0.202664,0.004832,0.229353,0.015009,0.000480,0.001440,0.000960,0.000320,0.901251
0.416272,0.017345,0.202088,0.004832,0.219433,0.014432,0.000481,0.001408,0.001088,0.000352,0.886115
0.419888,0.017281,0.202408,0.004864,0.222377,0.014432,0.000512,0.001472,0.001088,0.000576,0.895171
0.420689,0.017600,0.202568,0.004992,0.229865,0.014144,0.000512,0.001440,0.000992,0.000384,0.902627
0.420784,0.018081,0.202920,0.005056,0.255562,0.015681,0.000512,0.001792,0.002272,0.000576,0.938660
0.441906,0.017728,0.202952,0.005025,0.253642,0.015552,0.000544,0.001536,0.002752,0.000609,0.953446
0.419377,0.017825,0.203656,0.005024,0.257066,0.017121,0.000480,0.001792,0.002592,0.000608,0.938021
0.419824,0.017633,0.202664,0.005152,0.240874,0.016256,0.000512,0.001664,0.001248,0.000320,0.914660
0.415600,0.017505,0.222505,0.005248,0.230505,0.014497,0.000480,0.001408,0.000992,0.000320,0.918212
0.414864,0.017473,0.201736,0.004800,0.223017,0.014080,0.000544,0.001440,0.000992,0.000352,0.887458
0.419889,0.017505,0.202440,0.004832,0.233545,0.015457,0.000512,0.001536,0.001344,0.000352,0.907076
0.415984,0.017664,0.203016,0.004832,0.236202,0.014112,0.000480,0.001472,0.001056,0.000352,0.902979
0.433809,0.017761,0.202536,0.004992,0.221768,0.014112,0.000448,0.001536,0.001088,0.000672,0.907523
0.420305,0.017505,0.201799,0.005024,0.227081,0.014304,0.000448,0.001504,0.001056,0.000544,0.898307
0.415120,0.017537,0.202120,0.004896,0.221769,0.014176,0.000512,0.001568,0.001024,0.000352,0.888034
0.416048,0.017473,0.219177,0.005024,0.246538,0.014272,0.000512,0.001440,0.001024,0.000416,0.931205
0.419984,0.017665,0.201992,0.004992,0.230921,0.014305,0.000448,0.001440,0.001344,0.000384,0.902595
0.420528,0.017248,0.202728,0.004832,0.238410,0.014368,0.000480,0.001632,0.001088,0.000416,0.911364
0.420624,0.017665,0.201960,0.005056,0.236745,0.014145,0.000512,0.001408,0.001312,0.000384,0.908515
0.416145,0.017441,0.202023,0.004993,0.231721,0.016224,0.000480,0.001472,0.001024,0.000384,0.901700
0.416080,0.017409,0.202536,0.004832,0.228937,0.014976,0.000576,0.001440,0.001056,0.000352,0.896323
0.420368,0.017249,0.201928,0.004832,0.229897,0.014113,0.000512,0.001536,0.000992,0.000352,0.899683
0.419792,0.017313,0.220457,0.005120,0.227369,0.014240,0.000448,0.001568,0.001217,0.000384,0.917668
0.414961,0.017376,0.203368,0.004865,0.231721,0.014208,0.000512,0.001504,0.001312,0.000353,0.898404
0.419792,0.017185,0.201832,0.005024,0.231209,0.014145,0.000480,0.001536,0.001504,0.000384,0.900259
0.416368,0.017505,0.201960,0.004832,0.231049,0.013985,0.000480,0.001536,0.001152,0.000352,0.897411
0.419888,0.017505,0.202568,0.004864,0.238666,0.013952,0.000512,0.001504,0.001056,0.000832,0.910339
0.416048,0.017504,0.202504,0.005056,0.246474,0.015265,0.000480,0.001536,0.001184,0.000352,0.916836
0.415280,0.017505,0.201896,0.005024,0.222633,0.014176,0.000480,0.001536,0.001024,0.000352,0.888354
0.419696,0.017537,0.220905,0.005184,0.236041,0.015361,0.000480,0.001504,0.001024,0.000320,0.927588
0.420145,0.017601,0.201863,0.004833,0.211528,0.014881,0.000512,0.001504,0.000992,0.000384,0.883651
0.419921,0.017472,0.201544,0.004864,0.224329,0.016097,0.000448,0.001472,0.001056,0.000320,0.896739
0.420273,0.017952,0.202184,0.005217,0.234793,0.015040,0.000512,0.001505,0.001024,0.000832,0.910404
0.415728,0.017696,0.202376,0.004832,0.235562,0.014592,0.000480,0.001536,0.000928,0.000608,0.902563
0.419792,0.017473,0.201928,0.004864,0.235945,0.014497,0.000512,0.001472,0.000992,0.000384,0.906563
0.419696,0.017377,0.202664,0.005024,0.229097,0.014273,0.000512,0.001472,0.001472,0.000608,0.901539
0.415953,0.033345,0.202312,0.005088,0.235562,0.014592,0.000480,0.001472,0.001056,0.000384,0.918884
0.419697,0.017633,0.202408,0.004832,0.231305,0.014753,0.000480,0.001504,0.001152,0.000384,0.903844
0.420016,0.017473,0.201864,0.005024,0.232745,0.014145,0.000512,0.001536,0.001184,0.000800,0.903651
0.419888,0.017089,0.201800,0.004800,0.227305,0.014529,0.000512,0.001408,0.001056,0.000416,0.896867
0.419536,0.017473,0.202344,0.004800,0.214153,0.014272,0.000480,0.001536,0.001024,0.000384,0.884194
0.419664,0.017441,0.202024,0.004800,0.266155,0.016128,0.000512,0.001408,0.001089,0.000352,0.938373
0.419952,0.017313,0.202504,0.004832,0.227401,0.014977,0.000512,0.001600,0.001056,0.000416,0.900931
0.449681,0.017409,0.202248,0.005024,0.236457,0.014240,0.000512,0.001504,0.001184,0.000832,0.937572
0.415825,0.017505,0.202087,0.005024,0.229097,0.014176,0.000480,0.001504,0.000960,0.000384,0.895876
0.419952,0.017345,0.202376,0.005056,0.223561,0.014177,0.000480,0.001536,0.001024,0.000576,0.893827
0.420304,0.017537,0.202760,0.004768,0.235433,0.014432,0.000480,0.001472,0.000992,0.000352,0.906467
0.420433,0.017280,0.203048,0.004833,0.231369,0.014432,0.000384,0.001536,0.000928,0.000576,0.903427
0.419824,0.017505,0.202376,0.005152,0.224681,0.014113,0.000512,0.001504,0.000992,0.000352,0.895555
0.419600,0.017537,0.202056,0.004832,0.230217,0.014817,0.000480,0.001472,0.001024,0.000416,0.901795
0.435377,0.017473,0.202152,0.005280,0.236042,0.014208,0.000480,0.001440,0.001056,0.000384,0.922468
0.415312,0.017760,0.202088,0.005024,0.246442,0.016065,0.000512,0.001504,0.001056,0.000384,0.915300
0.419793,0.017537,0.202120,0.005152,0.227273,0.014496,0.000768,0.002113,0.001408,0.000832,0.900676
0.415024,0.017505,0.202280,0.005248,0.276683,0.014977,0.000480,0.001536,0.001024,0.000384,0.944549
0.419857,0.017313,0.202152,0.004832,0.221640,0.014336,0.000480,0.001440,0.001088,0.000384,0.891875
0.419664,0.017633,0.202088,0.004832,0.224105,0.014208,0.000512,0.001472,0.001601,0.000384,0.895747
0.419792,0.017537,0.201608,0.004832,0.229513,0.014273,0.000480,0.001504,0.000960,0.000384,0.899971
0.433297,0.017537,0.202184,0.004864,0.237545,0.014497,0.000512,0.001472,0.001376,0.000352,0.924068
0.415601,0.017632,0.203048,0.004993,0.232585,0.014048,0.000480,0.001440,0.001152,0.000417,0.900324
0.415056,0.017601,0.202152,0.004896,0.225673,0.013984,0.000480,0.001440,0.001056,0.000320,0.890882
0.415088,0.017313,0.202311,0.004865,0.246185,0.014913,0.000480,0.001440,0.001056,0.000384,0.912804
0.416048,0.017281,0.201832,0.004800,0.239306,0.014432,0.000480,0.001408,0.001024,0.000384,0.904899
0.419984,0.017441,0.202568,0.004832,0.241226,0.014304,0.000480,0.001472,0.001088,0.000352,0.913955
0.419920,0.017601,0.201864,0.005088,0.229193,0.016001,0.000480,0.001440,0.001536,0.000640,0.903363
0.433137,0.017505,0.201832,0.005152,0.235369,0.016097,0.000512,0.001408,0.001024,0.000352,0.921956
0.415312,0.017632,0.202760,0.005056,0.223177,0.014369,0.000512,0.001440,0.001184,0.000384,0.890851
0.419505,0.017248,0.202312,0.005312,0.232778,0.015072,0.000480,0.001440,0.001120,0.000384,0.903811
0.420080,0.017537,0.202888,0.004832,0.265387,0.014272,0.000512,0.001504,0.001024,0.000416,0.937541
0.420560,0.017377,0.202856,0.005024,0.222089,0.014144,0.000480,0.001504,0.001025,0.000544,0.894595
0.415377,0.017472,0.202984,0.004865,0.228105,0.014272,0.000480,0.001504,0.001120,0.000416,0.896611
0.415504,0.017633,0.202536,0.004992,0.226473,0.014240,0.000512,0.001504,0.001088,0.000384,0.893795
0.431185,0.017441,0.202440,0.005056,0.236521,0.013985,0.000512,0.001568,0.001056,0.000832,0.920260
0.419856,0.017440,0.202344,0.004864,0.235338,0.014208,0.000544,0.001472,0.001248,0.000416,0.907172
0.419920,0.017633,0.202184,0.004864,0.242922,0.015040,0.000512,0.001376,0.001056,0.000352,0.915204
0.414865,0.017504,0.202919,0.004865,0.255242,0.014560,0.000480,0.001408,0.001088,0.000385,0.922213
0.420369,0.017377,0.201799,0.004768,0.241257,0.014113,0.000480,0.001440,0.001024,0.000384,0.911300
0.415281,0.017537,0.202151,0.004864,0.236521,0.014401,0.000448,0.001504,0.001024,0.000384,0.903428
0.416240,0.017569,0.202216,0.005152,0.230185,0.014305,0.000480,0.001440,0.001024,0.000384,0.897891
0.430801,0.017632,0.202120,0.004993,0.226824,0.014336,0.000480,0.001536,0.001120,0.000384,0.909411
0.419952,0.017281,0.201704,0.005024,0.223145,0.015713,0.000512,0.001504,0.001056,0.000416,0.895139
0.419952,0.017441,0.201832,0.004800,0.235274,0.014528,0.000480,0.001440,0.001152,0.000352,0.906691
0.415984,0.017473,0.202472,0.004896,0.218248,0.015072,0.000544,0.001408,0.001024,0.000384,0.904387
0.415152,0.017281,0.202440,0.004992,0.227625,0.014305,0.000512,0.001504,0.001088,0.000384,0.893571
0.419697,0.017472,0.202151,0.005249,0.235369,0.014112,0.000513,0.001536,0.001088,0.000416,0.906148
0.419728,0.017536,0.202600,0.004864,0.227273,0.014945,0.000480,0.001504,0.001088,0.000384,0.898979
0.435921,0.017440,0.202600,0.004800,0.227401,0.014977,0.000480,0.001600,0.000992,0.000352,0.915652
0.414993,0.017537,0.203015,0.004800,0.224521,0.014272,0.000416,0.001440,0.001024,0.000832,0.893059
0.415376,0.017761,0.202088,0.005280,0.224329,0.014272,0.000512,0.001536,0.001217,0.000352,0.892195
0.419984,0.017281,0.219529,0.004928,0.248618,0.015072,0.000448,0.001440,0.001089,0.000384,0.938437
0.416432,0.017249,0.202120,0.005184,0.255946,0.015041,0.000448,0.001408,0.001152,0.000352,0.925028
0.415344,0.017281,0.202184,0.004832,0.231913,0.014081,0.000512,0.001504,0.001152,0.000384,0.898083
0.420081,0.017345,0.202248,0.004896,0.210248,0.014273,0.000448,0.001472,0.001120,0.000352,0.881411
0.415888,0.017440,0.201512,0.004928,0.223625,0.014401,0.000512,0.001472,0.001152,0.000320,0.890563
0.415472,0.017281,0.202472,0.005120,0.230505,0.014401,0.000512,0.001472,0.001120,0.000384,0.898211
0.420048,0.017761,0.201928,0.005056,0.229545,0.014881,0.000512,0.001536,0.001248,0.000352,0.902371
0.420273,0.017504,0.217865,0.005248,0.233321,0.014401,0.000480,0.001440,0.001056,0.000384,0.920964
0.417009,0.017281,0.202023,0.004865,0.231209,0.015168,0.000512,0.001569,0.001056,0.000384,0.901188
0.419889,0.017472,0.202856,0.005056,0.229352,0.014240,0.000512,0.001472,0.000992,0.000384,0.901795
0.415537,0.017248,0.201928,0.004865,0.221256,0.014305,0.000480,0.001376,0.001024,0.000352,0.886019
0.416464,0.017217,0.201992,0.005216,0.257994,0.016065,0.000960,0.001472,0.000992,0.000352,0.927652
0.415216,0.017409,0.201768,0.004800,0.218569,0.014208,0.000480,0.001600,0.001088,0.000352,0.884354
0.420465,0.017281,0.202440,0.004992,0.220713,0.014240,0.000480,0.001440,0.000896,0.000352,0.892611
0.420176,0.017345,0.221257,0.005312,0.241705,0.014144,0.000512,0.001440,0.001056,0.000320,0.932996
0.420593,0.017345,0.201736,0.004800,0.234281,0.014657,0.000448,0.001472,0.000896,0.000320,0.904772
0.415824,0.017601,0.201736,0.004800,0.220937,0.014496,0.000512,0.001505,0.000960,0.000352,0.886563
0.420336,0.017440,0.202280,0.004864,0.224585,0.014273,0.000480,0.001504,0.001152,0.000352,0.895491
0.415025,0.017728,0.202408,0.004897,0.235017,0.014528,0.000513,0.001440,0.000992,0.000352,0.903012
0.415408,0.017537,0.201896,0.004832,0.247626,0.014496,0.000480,0.001440,0.001153,0.000672,0.914244
0.415120,0.017569,0.201992,0.004960,0.235017,0.014401,0.000512,0.001472,0.000992,0.000384,0.900291
0.420369,0.017728,0.223849,0.005056,0.254890,0.015104,0.000480,0.001440,0.000992,0.000352,0.949477
0.415281,0.017440,0.202280,0.004801,0.229513,0.014112,0.000480,0.001472,0.000992,0.000320,0.894531
0.419953,0.017473,0.202504,0.004896,0.224425,0.014176,0.000512,0.001536,0.000992,0.000800,0.896899
0.420016,0.017665,0.202536,0.005024,0.230921,0.015649,0.000512,0.001472,0.001088,0.000352,0.904707
0.415184,0.017409,0.202023,0.004865,0.235113,0.014785,0.000480,0.001440,0.000992,0.000608,0.901764
0.419601,0.017856,0.202664,0.004864,0.236073,0.016128,0.000512,0.001441,0.001088,0.000384,0.909316
0.415248,0.017217,0.202024,0.004800,0.232681,0.014433,0.000480,0.001408,0.001088,0.000384,0.899331
0.437489,0.017345,0.202600,0.005088,0.245706,0.016225,0.000544,0.001472,0.001024,0.000384,0.937733
0.416240,0.017505,0.202216,0.004864,0.238762,0.014176,0.000480,0.001408,0.001056,0.000352,0.906595
0.415184,0.017473,0.202600,0.004896,0.221001,0.014656,0.000512,0.001504,0.001056,0.000352,0.888642
0.415472,0.017537,0.202248,0.004768,0.232105,0.014624,0.000544,0.001505,0.001056,0.000352,0.898180
0.420336,0.017601,0.201960,0.004864,0.238121,0.014401,0.000480,0.001472,0.001120,0.000384,0.908419
0.420112,0.017665,0.202344,0.005120,0.226121,0.015809,0.000448,0.001472,0.001152,0.000416,0.901027
0.416144,0.021024,0.202408,0.004992,0.238249,0.014240,0.000449,0.001440,0.001120,0.000384,0.908676
0.435633,0.017537,0.202440,0.005248,0.229193,0.014177,0.000512,0.001504,0.001056,0.000384,0.916036
0.420496,0.017281,0.201832,0.004864,0.227305,0.014273,0.000480,0.001504,0.001056,0.000832,0.898179
0.420017,0.017376,0.202024,0.004801,0.225928,0.014753,0.000480,0.001440,0.001024,0.000320,0.896707
0.415793,0.017280,0.202504,0.004800,0.254761,0.015808,0.000480,0.001504,0.001024,0.000352,0.923780
0.420209,0.017568,0.202632,0.004833,0.238409,0.014177,0.000512,0.001472,0.001024,0.000384,0.910788
0.419888,0.017857,0.201736,0.004992,0.223305,0.014401,0.000480,0.001600,0.000928,0.000576,0.894947
0.415504,0.017409,0.201928,0.004896,0.222345,0.015136,0.000480,0.001408,0.000992,0.000448,0.889763
0.438065,0.017697,0.202824,0.004832,0.236745,0.015009,0.000480,0.001504,0.001056,0.000352,0.927908
0.415504,0.017505,0.202440,0.004832,0.235433,0.014977,0.000480,0.001440,0.001152,0.000384,0.904227
0.415216,0.017345,0.202088,0.004800,0.226985,0.015072,0.000544,0.001440,0.001024,0.000320,0.894307
0.420336,0.017216,0.202088,0.004832,0.256426,0.015808,0.000544,0.001440,0.001152,0.000384,0.930596
0.415761,0.017440,0.202536,0.004865,0.228137,0.014176,0.000480,0.001504,0.001088,0.000352,0.894627
0.415472,0.017377,0.202568,0.005088,0.226121,0.015232,0.000480,0.001472,0.001185,0.000384,0.894019
0.416369,0.017313,0.201927,0.004801,0.235593,0.014433,0.000480,0.001536,0.001056,0.000352,0.902948
0.437777,0.017729,0.202696,0.005248,0.239209,0.016353,0.000512,0.001504,0.001056,0.000352,0.931300
0.420433,0.017601,0.203048,0.004800,0.226761,0.014272,0.000544,0.001568,0.001120,0.000320,0.899876
0.415664,0.017345,0.201960,0.004832,0.232521,0.014336,0.000449,0.001504,0.000928,0.000352,0.897795
0.421616,0.017153,0.202344,0.004928,0.255434,0.014433,0.000512,0.001568,0.000960,0.000768,0.929124
0.415216,0.017792,0.202920,0.004896,0.231434,0.014464,0.000480,0.001536,0.001088,0.000832,0.899459
0.415153,0.017568,0.202664,0.004865,0.218856,0.014785,0.000512,0.001504,0.001184,0.000832,0.887331
0.419824,0.017761,0.202664,0.004992,0.228617,0.014369,0.000480,0.001504,0.001152,0.000800,0.901283
0.434737,0.017537,0.202088,0.004800,0.225513,0.014337,0.000512,0.001568,0.001056,0.000352,0.911844
0.415409,0.017472,0.201863,0.005249,0.241417,0.014113,0.000512,0.001568,0.001056,0.000384,0.908868
0.420272,0.017473,0.202344,0.005376,0.235689,0.014305,0.000512,0.001376,0.001088,0.000384,0.908067
0.420048,0.017825,0.201640,0.004896,0.249930,0.016353,0.000512,0.001504,0.001024,0.000384,0.923364
0.414896,0.017441,0.201832,0.004864,0.215656,0.014240,0.000512,0.001472,0.001024,0.000352,0.880354
0.420145,0.017537,0.202056,0.004896,0.225897,0.014272,0.000480,0.001536,0.001056,0.000352,0.897636
0.420912,0.017505,0.201992,0.005312,0.225161,0.014241,0.000544,0.001536,0.000896,0.000352,0.896899
0.430545,0.017633,0.201704,0.004768,0.230185,0.014176,0.000545,0.001536,0.000960,0.000384,0.912100
0.414992,0.017345,0.202440,0.005024,0.239785,0.014241,0.000480,0.001568,0.000832,0.000352,0.905635
0.420017,0.017665,0.203336,0.004864,0.234633,0.015233,0.000480,0.001536,0.000960,0.000384,0.907396
0.420368,0.018241,0.201800,0.005344,0.251626,0.014465,0.000448,0.001408,0.001216,0.000320,0.923588
0.415057,0.017472,0.202120,0.004769,0.251081,0.015393,0.000512,0.001472,0.000896,0.000352,0.917540
0.415633,0.017569,0.203207,0.004832,0.238089,0.014241,0.000512,0.001536,0.000960,0.000352,0.906500
0.415536,0.017569,0.202152,0.005024,0.240170,0.014208,0.000512,0.001504,0.000960,0.000352,0.906723
0.437681,0.017313,0.202824,0.005088,0.244554,0.014208,0.000448,0.001440,0.000928,0.000320,0.933028
0.415888,0.017473,0.202760,0.004800,0.245961,0.015328,0.000448,0.001408,0.000992,0.000448,0.914659
0.419985,0.017281,0.202440,0.004864,0.220680,0.014176,0.000512,0.001504,0.001152,0.000832,0.893379
0.420144,0.018337,0.219625,0.004992,0.241641,0.014273,0.000480,0.001472,0.000992,0.000384,0.932484
0.420560,0.017216,0.202312,0.004800,0.234026,0.014208,0.000512,0.001440,0.000960,0.000352,0.904419
0.420209,0.017505,0.201799,0.004993,0.222792,0.016065,0.000448,0.001408,0.001088,0.000384,0.895043
0.420177,0.017409,0.202600,0.004768,0.222153,0.014432,0.000960,0.001504,0.000960,0.000384,0.893923
0.421936,0.017505,0.201992,0.004832,0.232265,0.016321,0.000512,0.001440,0.000992,0.000384,0.907459
0.415504,0.018496,0.202280,0.005568,0.242442,0.014401,0.000544,0.001440,0.001056,0.000352,0.912228
0.419889,0.018112,0.202696,0.005249,0.227433,0.014400,0.000448,0.001440,0.001088,0.000384,0.900515
0.415313,0.017280,0.220009,0.005152,0.226377,0.014241,0.000512,0.001536,0.000960,0.000384,0.911556
0.420432,0.017473,0.202536,0.004896,0.225449,0.014273,0.000512,0.001472,0.001088,0.000352,0.896451
0.415696,0.017249,0.202152,0.004800,0.230313,0.015169,0.000480,0.001536,0.001024,0.000384,0.898211
0.415344,0.017665,0.202536,0.004832,0.244010,0.014272,0.000385,0.001440,0.001120,0.000384,0.911524
0.419601,0.017280,0.202120,0.005313,0.227017,0.015520,0.000480,0.001472,0.000960,0.000320,0.898787
0.419761,0.017505,0.201768,0.004832,0.228969,0.014176,0.000480,0.001472,0.001152,0.000352,0.899076
0.415920,0.017505,0.202952,0.005184,0.222473,0.014177,0.000480,0.001536,0.001120,0.000352,0.890499
0.415120,0.017121,0.220808,0.005025,0.240297,0.014337,0.000512,0.001472,0.001056,0.000352,0.924740
0.420177,0.017761,0.202952,0.004896,0.240425,0.015137,0.000512,0.001536,0.000992,0.000384,0.912228
0.417297,0.017537,0.202503,0.004801,0.222344,0.014241,0.000480,0.001536,0.001056,0.000320,0.890851
0.420209,0.017473,0.202312,0.005056,0.238089,0.014241,0.000480,0.001568,0.001120,0.000352,0.910116
0.420593,0.017248,0.201928,0.004832,0.221993,0.015361,0.000480,0.001504,0.001024,0.000352,0.894627
0.420081,0.017729,0.202728,0.004864,0.215688,0.014241,0.000544,0.001536,0.001120,0.000320,0.887779
0.415984,0.017505,0.203656,0.004992,0.231753,0.014177,0.000448,0.001408,0.000960,0.000384,0.899811
0.421041,0.017504,0.217417,0.004992,0.234921,0.014593,0.000512,0.001568,0.001152,0.000352,0.922820
0.420465,0.017505,0.202152,0.004992,0.220424,0.014049,0.000480,0.001472,0.000960,0.000352,0.891619
0.421297,0.017377,0.202856,0.004832,0.219144,0.014049,0.000512,0.001504,0.000992,0.000352,0.890915
0.415344,0.017249,0.202152,0.004832,0.228713,0.014273,0.000480,0.001568,0.000960,0.000416,0.895043
0.419761,0.017376,0.202152,0.005025,0.232297,0.015232,0.000480,0.001472,0.001024,0.000384,0.904388
0.420176,0.017473,0.202376,0.004800,0.229417,0.014017,0.000448,0.001536,0.000960,0.000384,0.899555
0.416944,0.017313,0.202120,0.004832,0.224041,0.013985,0.000480,0.001536,0.000960,0.000352,0.890563
0.420496,0.017313,0.220809,0.004992,0.216712,0.015937,0.000544,0.001440,0.000896,0.000320,0.907971
0.420305,0.017505,0.201928,0.004864,0.210024,0.014881,0.000544,0.001472,0.001024,0.000320,0.882755
0.415568,0.017345,0.201992,0.005248,0.268267,0.014240,0.000352,0.001472,0.000992,0.000352,0.935301
0.416113,0.017697,0.202376,0.004896,0.229513,0.014208,0.000480,0.001504,0.001025,0.000352,0.896932
0.420400,0.017440,0.202216,0.004864,0.240330,0.016096,0.000513,0.001440,0.000992,0.000384,0.913092
0.419952,0.017665,0.202088,0.005216,0.235945,0.014401,0.000512,0.001408,0.001120,0.000352,0.906691
