Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.420497,0.017376,0.220297,0.004960,0.259338,0.016609,0.000480,0.001504,0.001152,0.000320,0.951621
0.420432,0.017473,0.202856,0.004896,0.229289,0.014369,0.000480,0.001568,0.001152,0.000352,0.901092
0.415600,0.017505,0.202120,0.004800,0.235817,0.015553,0.000512,0.001472,0.001056,0.000384,0.904355
0.415792,0.017249,0.202248,0.004864,0.228105,0.014337,0.000448,0.001504,0.001056,0.000320,0.894339
0.420529,0.017536,0.202280,0.004865,0.223048,0.014337,0.000448,0.001568,0.001120,0.000384,0.895587
0.420240,0.017504,0.202280,0.004896,0.232458,0.015840,0.000480,0.001536,0.001088,0.000352,0.906179
0.420144,0.017408,0.202440,0.004928,0.234122,0.014560,0.000512,0.001536,0.001152,0.000320,0.906435
0.421713,0.017761,0.221896,0.005089,0.236809,0.014241,0.000544,0.001536,0.001152,0.000320,0.929957
0.420337,0.017505,0.202504,0.004928,0.236777,0.014433,0.000544,0.001600,0.001152,0.000352,0.909156
0.416304,0.017441,0.202216,0.004832,0.241066,0.014560,0.000512,0.001600,0.001152,0.000384,0.910244
0.415888,0.017504,0.202056,0.004896,0.229801,0.014240,0.000448,0.001472,0.001120,0.000352,0.896259
0.420240,0.017377,0.202344,0.004928,0.231369,0.016353,0.000544,0.001600,0.001152,0.000352,0.906083
0.420337,0.017344,0.203304,0.004800,0.227752,0.015520,0.000480,0.001504,0.001152,0.000384,0.901667
0.420049,0.017376,0.202472,0.004929,0.233161,0.014272,0.000480,0.001632,0.001185,0.000320,0.904036
0.434929,0.017377,0.202184,0.004864,0.234121,0.014721,0.000480,0.001536,0.001184,0.000320,0.921988
0.417232,0.017313,0.202568,0.004832,0.231689,0.014689,0.000512,0.001536,0.001248,0.000384,0.901091
0.420304,0.017377,0.201832,0.004864,0.236874,0.014496,0.000576,0.001536,0.001120,0.000384,0.908739
0.421008,0.017377,0.202184,0.004864,0.253834,0.014177,0.000480,0.001600,0.001184,0.000352,0.926436
0.420177,0.017376,0.202312,0.004865,0.223016,0.014433,0.000512,0.001504,0.001120,0.000352,0.895427
0.420720,0.017569,0.202216,0.004864,0.233417,0.014369,0.000544,0.001600,0.001280,0.000384,0.905891
0.420368,0.017313,0.202280,0.004800,0.223593,0.014433,0.000480,0.001536,0.001056,0.000384,0.895011
0.437073,0.017505,0.202504,0.005312,0.228841,0.014432,0.000512,0.001632,0.001217,0.000384,0.919076
0.421169,0.017313,0.202248,0.004832,0.235593,0.016321,0.000512,0.001440,0.001088,0.000352,0.910372
0.420208,0.017313,0.202568,0.004832,0.234761,0.015873,0.000512,0.001568,0.001056,0.000384,0.907491
0.420144,0.017569,0.202472,0.004896,0.247882,0.015681,0.000512,0.001536,0.001152,0.000416,0.922948
0.420977,0.017473,0.202760,0.004928,0.234633,0.015745,0.000512,0.001568,0.001120,0.000800,0.909092
0.420945,0.017633,0.202824,0.004800,0.231785,0.014433,0.000480,0.001472,0.001120,0.000384,0.904388
0.420113,0.017313,0.202312,0.004928,0.235625,0.014337,0.000512,0.001632,0.001216,0.000832,0.908484
0.435057,0.017345,0.202440,0.004832,0.257802,0.014593,0.000480,0.001632,0.001216,0.000384,0.946405
0.420560,0.017441,0.202952,0.005088,0.232809,0.014305,0.000544,0.001504,0.001056,0.000352,0.905667
0.420881,0.017536,0.202408,0.005281,0.230281,0.014336,0.000512,0.001440,0.001120,0.000384,0.903427
0.416113,0.017441,0.220616,0.004992,0.229545,0.014240,0.000480,0.001472,0.001024,0.000352,0.914980
0.420752,0.017408,0.202600,0.004896,0.231369,0.014304,0.000480,0.001408,0.001216,0.000384,0.903331
0.421457,0.017376,0.202344,0.004865,0.245001,0.014465,0.000480,0.001504,0.001120,0.000352,0.918212
0.420880,0.017313,0.202664,0.005024,0.235401,0.014304,0.000512,0.001472,0.001248,0.000320,0.908515
0.415984,0.017313,0.202248,0.004896,0.227625,0.014273,0.000512,0.001408,0.001120,0.000384,0.895715
0.420561,0.017344,0.202120,0.004865,0.242281,0.014209,0.000480,0.001440,0.001152,0.000384,0.914628
0.420336,0.017249,0.202376,0.004832,0.233641,0.014432,0.000480,0.001568,0.000992,0.000352,0.905187
0.434321,0.017377,0.202568,0.004896,0.230665,0.014561,0.000480,0.001440,0.000960,0.000352,0.917092
0.415568,0.017953,0.202312,0.005056,0.220265,0.014209,0.000480,0.001440,0.001024,0.000384,0.886499
0.419824,0.017441,0.205640,0.004896,0.230825,0.014369,0.000512,0.001504,0.001088,0.000384,0.904835
0.415409,0.017504,0.202536,0.004865,0.236649,0.014433,0.000480,0.001472,0.001024,0.000320,0.903428
0.420624,0.017312,0.202120,0.004800,0.222345,0.014401,0.000576,0.001504,0.001024,0.000384,0.892355
0.415505,0.017504,0.202344,0.005216,0.234058,0.014048,0.000480,0.001600,0.001024,0.000352,0.900643
0.419824,0.017280,0.202152,0.005056,0.223369,0.014145,0.000480,0.001536,0.001088,0.000352,0.893923
0.448338,0.017633,0.202344,0.004864,0.234377,0.015617,0.000480,0.001408,0.000992,0.000352,0.935941
0.416240,0.017313,0.201800,0.004864,0.232585,0.015137,0.000448,0.001504,0.000992,0.000352,0.900643
0.420272,0.017537,0.202344,0.004896,0.230121,0.014209,0.000480,0.001504,0.001088,0.000352,0.901315
0.417937,0.017345,0.202440,0.004768,0.233897,0.032513,0.000576,0.001536,0.001057,0.000384,0.923205
0.415696,0.017377,0.201896,0.004832,0.244010,0.016576,0.000448,0.001440,0.001056,0.000385,0.911940
0.420593,0.017376,0.202568,0.004897,0.223976,0.014337,0.000512,0.001408,0.001184,0.000384,0.896451
0.425488,0.017408,0.202376,0.004768,0.245930,0.014529,0.000512,0.001472,0.001216,0.000800,0.923364
0.436177,0.017312,0.202312,0.004896,0.232009,0.016224,0.000448,0.001440,0.001120,0.000384,0.921284
0.415537,0.017472,0.202824,0.004833,0.221704,0.014017,0.000512,0.001536,0.000928,0.000384,0.888771
0.420465,0.017345,0.201959,0.004961,0.225352,0.015776,0.000544,0.001504,0.000928,0.000352,0.896931
0.421520,0.017281,0.203048,0.004864,0.254666,0.014337,0.000512,0.001504,0.000928,0.000416,0.927300
0.420144,0.017473,0.201864,0.004992,0.230473,0.014529,0.000512,0.001440,0.000896,0.000352,0.900195
0.420305,0.017601,0.202184,0.004832,0.226409,0.014176,0.000576,0.001440,0.001120,0.000352,0.898020
0.420177,0.017697,0.201832,0.004832,0.230025,0.014272,0.000480,0.001505,0.001184,0.000352,0.901828
0.433169,0.017600,0.202024,0.004800,0.234602,0.014272,0.000544,0.001504,0.001152,0.000352,0.919652
0.420561,0.017600,0.202344,0.004833,0.222600,0.014177,0.000480,0.001472,0.001088,0.000320,0.894723
0.420016,0.017345,0.202536,0.004832,0.235914,0.014144,0.000480,0.001536,0.001088,0.000384,0.906595
0.419760,0.017409,0.202088,0.004800,0.251466,0.014241,0.000480,0.001472,0.001056,0.000384,0.922916
0.415792,0.017312,0.202088,0.004832,0.214633,0.014368,0.000512,0.001505,0.001184,0.000832,0.883555
0.417489,0.017312,0.202664,0.004897,0.224904,0.014785,0.000512,0.001536,0.001088,0.000768,0.894307
0.420592,0.017601,0.202120,0.004864,0.238154,0.014912,0.000544,0.001472,0.001504,0.000576,0.911427
0.437649,0.017537,0.201831,0.005313,0.242825,0.014881,0.000480,0.001536,0.001248,0.000800,0.932996
0.420080,0.017473,0.202056,0.004896,0.234377,0.014177,0.000480,0.001504,0.001120,0.000800,0.906979
0.420912,0.017505,0.201960,0.004800,0.237481,0.014816,0.000544,0.001504,0.001248,0.000800,0.911203
0.420785,0.017313,0.218888,0.004961,0.241545,0.014369,0.000512,0.001440,0.001216,0.000832,0.931653
0.415921,0.017344,0.201896,0.004865,0.228169,0.014144,0.000512,0.001504,0.001152,0.000832,0.894819
0.415408,0.017345,0.202472,0.004896,0.231977,0.014304,0.000512,0.001472,0.001120,0.000384,0.899203
