Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],TEE[7-10],classifier
0.415536,0.017793,0.201928,0.004800,0.047426,0.000832,0.013568,0.118277,0.889282
0.416336,0.017473,0.202408,0.005056,0.048418,0.000832,0.013600,0.116517,0.896227
0.416336,0.017504,0.202280,0.004832,0.048066,0.000800,0.013473,0.120037,0.894051
0.438033,0.017536,0.201992,0.005216,0.048546,0.000544,0.013665,0.114500,0.909700
0.420720,0.017569,0.202984,0.005248,0.047714,0.000768,0.013504,0.117349,0.896228
0.416432,0.017505,0.202504,0.005088,0.048386,0.000832,0.013505,0.116324,0.889283
0.420560,0.017664,0.219689,0.005568,0.047490,0.000864,0.013601,0.114212,0.910916
0.416496,0.017473,0.202504,0.004832,0.048610,0.000576,0.013888,0.115813,0.889378
0.419825,0.017473,0.202279,0.004801,0.048418,0.000800,0.013568,0.114853,0.889507
0.416784,0.017665,0.202088,0.004832,0.048258,0.000768,0.013696,0.116645,0.891042
0.430961,0.017536,0.201959,0.004769,0.047874,0.000768,0.014048,0.117701,0.909891
0.420624,0.017633,0.201672,0.004832,0.048738,0.000800,0.013537,0.117540,0.896067
0.420433,0.018048,0.201864,0.004833,0.048513,0.000833,0.013568,0.120421,0.898979
0.415760,0.017504,0.203464,0.004832,0.066243,0.000800,0.013473,0.110468,0.899907
0.420592,0.017505,0.202216,0.004832,0.048834,0.000800,0.013441,0.111780,0.888259
0.420528,0.017825,0.202088,0.004832,0.048194,0.000800,0.013441,0.115940,0.893923
0.420753,0.017504,0.202280,0.004832,0.047746,0.000832,0.013441,0.118373,0.896707
0.437105,0.017664,0.202664,0.004833,0.048226,0.000800,0.013504,0.123493,0.921892
0.416400,0.017505,0.202536,0.004800,0.048290,0.000576,0.013472,0.119141,0.894403
0.420976,0.017473,0.202472,0.004832,0.047906,0.000800,0.013473,0.119332,0.897635
0.420656,0.017473,0.223849,0.005472,0.047906,0.001056,0.013441,0.119492,0.920228
0.420401,0.017505,0.201832,0.004832,0.048130,0.000832,0.013536,0.121861,0.901764
0.420177,0.017505,0.202280,0.004864,0.048098,0.000832,0.013504,0.122213,0.901732
0.420337,0.017761,0.201832,0.005056,0.049218,0.000576,0.013472,0.122597,0.901092
0.416785,0.017728,0.201768,0.004833,0.047905,0.000832,0.013409,0.121029,0.893891
0.420208,0.017569,0.202536,0.005120,0.048290,0.000576,0.013409,0.117732,0.897443
0.422224,0.017569,0.202088,0.005088,0.047554,0.000576,0.013568,0.118021,0.896835
0.420337,0.017537,0.219336,0.005152,0.048770,0.000640,0.013505,0.118052,0.913700
0.420753,0.017473,0.201704,0.004800,0.048130,0.000576,0.013472,0.116741,0.894051
0.420336,0.018209,0.202024,0.004800,0.047938,0.000544,0.013473,0.117828,0.896483
0.416528,0.017697,0.202120,0.005280,0.048322,0.000832,0.013377,0.119717,0.894435
0.420272,0.017729,0.202248,0.005024,0.047874,0.000832,0.013473,0.123876,0.908451
0.420784,0.017921,0.201960,0.005056,0.048066,0.000800,0.013729,0.127012,0.910211
0.420849,0.017537,0.202247,0.005025,0.047970,0.000832,0.014528,0.123973,0.904740
0.420560,0.030465,0.202568,0.004801,0.049057,0.000800,0.013664,0.119013,0.911139
0.420177,0.017728,0.203112,0.005057,0.048449,0.000832,0.013568,0.120997,0.901187
0.420272,0.017984,0.202536,0.005056,0.047874,0.001056,0.013505,0.119301,0.903203
0.421041,0.017504,0.202408,0.004769,0.049122,0.000800,0.013504,0.119141,0.900035
0.422384,0.017729,0.202344,0.004800,0.049730,0.000832,0.013473,0.119908,0.901987
0.415569,0.017728,0.202312,0.004833,0.048898,0.000576,0.013504,0.117733,0.892515
0.420304,0.017537,0.201896,0.004864,0.049186,0.000800,0.014561,0.129381,0.909475
0.439377,0.017569,0.202279,0.004865,0.048898,0.000800,0.014176,0.124165,0.925381
0.416912,0.017633,0.202408,0.004864,0.048194,0.000736,0.014208,0.113893,0.885730
0.416496,0.017761,0.204328,0.004896,0.048514,0.000512,0.014688,0.115173,0.900963
0.415024,0.017569,0.201864,0.004800,0.048354,0.000704,0.013600,0.116101,0.892643
0.416048,0.017697,0.201832,0.005312,0.048066,0.000608,0.013441,0.119428,0.889731
0.420208,0.017569,0.203368,0.004832,0.047906,0.000800,0.013601,0.119012,0.897155
0.420433,0.017633,0.202984,0.004864,0.048418,0.000800,0.013568,0.120741,0.898628
0.436433,0.017600,0.202440,0.004896,0.048738,0.000864,0.013505,0.120517,0.915076
0.420304,0.017505,0.201768,0.004864,0.048226,0.000800,0.013793,0.116580,0.895779
0.420049,0.017728,0.202184,0.004833,0.048353,0.000896,0.013537,0.120325,0.898083
0.420560,0.017632,0.201960,0.004864,0.048418,0.000832,0.013697,0.124037,0.929508
0.420240,0.017729,0.202024,0.005248,0.048770,0.000832,0.013505,0.119908,0.899139
0.420593,0.017600,0.202216,0.004801,0.048162,0.000544,0.013408,0.117125,0.897027
0.421392,0.017537,0.202344,0.004896,0.048098,0.000800,0.013441,0.114916,0.894851
0.440530,0.017600,0.202472,0.004896,0.047394,0.000832,0.013441,0.115940,0.911332
0.420369,0.017728,0.202503,0.004801,0.048482,0.000608,0.013440,0.115365,0.893635
0.415760,0.017505,0.201736,0.004832,0.047522,0.000800,0.013472,0.115141,0.885730
0.420784,0.017505,0.202248,0.004864,0.047138,0.000768,0.013504,0.115173,0.913251
0.420209,0.017696,0.202248,0.004769,0.047233,0.000833,0.013472,0.114981,0.892707
0.415696,0.017473,0.201928,0.004832,0.046946,0.000640,0.013600,0.115141,0.885795
0.420625,0.017665,0.201991,0.004929,0.048130,0.000800,0.013568,0.118245,0.900547
0.442865,0.017633,0.201768,0.004832,0.048322,0.000608,0.013473,0.121028,0.919876
0.415792,0.017600,0.202376,0.004768,0.048258,0.000576,0.013409,0.108996,0.878755
0.416336,0.017601,0.202152,0.004832,0.047682,0.000608,0.013441,0.113764,0.887299
0.415888,0.017889,0.201960,0.004832,0.047554,0.000544,0.013440,0.113477,0.885858
0.421009,0.017537,0.201928,0.004768,0.046946,0.000832,0.013568,0.113669,0.890915
0.416624,0.017696,0.202152,0.004800,0.047106,0.000608,0.013441,0.115300,0.887043
0.420497,0.017728,0.201608,0.004865,0.047137,0.000608,0.013377,0.114340,0.891075
0.433009,0.017889,0.202920,0.004832,0.046946,0.000608,0.013409,0.114820,0.905060
0.420849,0.017537,0.202087,0.004865,0.047938,0.000832,0.013472,0.118341,0.897571
0.417008,0.017537,0.201896,0.004832,0.049026,0.000864,0.013664,0.121796,0.902211
0.420881,0.017601,0.202024,0.004800,0.050050,0.000832,0.013728,0.118501,0.899940
0.416113,0.017568,0.202088,0.004832,0.048226,0.000800,0.013441,0.117349,0.896771
0.416177,0.017536,0.202536,0.004928,0.047682,0.000832,0.013409,0.113540,0.888067
0.420241,0.017473,0.202024,0.004832,0.047362,0.000576,0.013440,0.114533,0.889475
0.439442,0.017632,0.202344,0.004833,0.047361,0.000832,0.013761,0.117733,0.913732
0.420080,0.017793,0.202088,0.004928,0.047106,0.000800,0.013440,0.113701,0.887906
0.416272,0.017665,0.201640,0.004832,0.047042,0.000800,0.013440,0.114693,0.885762
0.416624,0.017633,0.202056,0.004800,0.047266,0.000608,0.013473,0.114532,0.887427
0.421136,0.017473,0.202024,0.004864,0.046978,0.000608,0.013632,0.107525,0.887074
0.420464,0.017697,0.201992,0.004896,0.047522,0.000608,0.013536,0.122085,0.901411
0.415952,0.017665,0.202536,0.004864,0.048802,0.000608,0.013888,0.111748,0.885794
0.439762,0.017824,0.202600,0.004833,0.049122,0.000800,0.013536,0.113221,0.911812
0.421169,0.017505,0.202504,0.004768,0.048194,0.000640,0.013408,0.118181,0.898052
0.420369,0.017537,0.202407,0.004833,0.047074,0.000800,0.013472,0.116805,0.894467
0.421648,0.017665,0.201960,0.004864,0.047298,0.000800,0.013409,0.117764,0.899779
0.420560,0.017728,0.202440,0.004832,0.047170,0.000608,0.013473,0.116932,0.893827
0.420081,0.017568,0.201992,0.004801,0.047137,0.000608,0.013409,0.117413,0.893859
0.420144,0.017505,0.202152,0.004864,0.047042,0.000640,0.013440,0.116805,0.893443
0.449554,0.017696,0.202567,0.004833,0.047426,0.000800,0.013536,0.121957,0.930917
0.416913,0.017601,0.202216,0.004896,0.047778,0.000800,0.013536,0.121349,0.898564
0.416240,0.017665,0.202280,0.004832,0.048034,0.000800,0.013473,0.121925,0.895619
0.416720,0.017601,0.201928,0.005312,0.048290,0.000544,0.013601,0.104324,0.871810
0.416144,0.017505,0.201800,0.004992,0.048546,0.000544,0.013537,0.104324,0.872642
0.415729,0.017664,0.201640,0.004801,0.047457,0.000608,0.013313,0.109828,0.883331
0.415856,0.017728,0.202152,0.004800,0.047170,0.000832,0.013345,0.109988,0.890659
0.415504,0.017440,0.215497,0.004960,0.047522,0.000832,0.013312,0.104516,0.884899
0.416977,0.021057,0.201832,0.004832,0.047714,0.000768,0.013504,0.112613,0.888195
0.417009,0.017568,0.202824,0.004833,0.047809,0.000609,0.013312,0.111204,0.886051
0.418032,0.017856,0.205128,0.004928,0.047746,0.001056,0.013569,0.123621,0.905027
0.429169,0.017665,0.203368,0.005248,0.048066,0.000800,0.013569,0.118980,0.911172
0.416528,0.017761,0.202696,0.004960,0.048706,0.000512,0.014465,0.118148,0.893763
0.421584,0.017729,0.202152,0.004768,0.048130,0.000480,0.013921,0.114340,0.893859
0.416080,0.017697,0.218472,0.005184,0.048546,0.000832,0.013600,0.123077,0.918788
0.420785,0.017601,0.202504,0.004832,0.050402,0.000576,0.013632,0.117221,0.901924
