Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],TEE[7-10],classifier
0.416624,0.017729,0.203400,0.005152,0.047330,0.000576,0.013376,0.119205,0.895811
0.416145,0.017632,0.202216,0.004865,0.048225,0.000609,0.013408,0.120197,0.895683
0.432785,0.017569,0.202120,0.004800,0.048258,0.000800,0.013376,0.119461,0.909252
0.420817,0.017664,0.202472,0.004864,0.047682,0.000576,0.013345,0.120901,0.900835
0.420368,0.017665,0.202280,0.004800,0.049378,0.000768,0.013377,0.119076,0.898947
0.416721,0.017793,0.222312,0.005024,0.048770,0.000800,0.013505,0.130149,0.930469
0.421617,0.017537,0.202536,0.004832,0.048290,0.000928,0.013696,0.121765,0.912452
0.421648,0.017825,0.202600,0.005056,0.048962,0.000864,0.013473,0.124261,0.908835
0.420849,0.017472,0.202536,0.004833,0.048322,0.000800,0.014240,0.123013,0.903780
0.421809,0.017792,0.204904,0.005217,0.048514,0.000800,0.014688,0.134373,0.923108
0.416849,0.017856,0.202376,0.004801,0.048738,0.000864,0.013760,0.122821,0.900932
0.421457,0.017569,0.202664,0.004864,0.047586,0.000832,0.014048,0.121445,0.904804
0.442097,0.017601,0.202632,0.004800,0.048226,0.000800,0.013921,0.123748,0.925668
0.420592,0.017472,0.202664,0.004992,0.047970,0.000768,0.013665,0.146534,0.927300
0.420689,0.017601,0.203047,0.004832,0.047810,0.000832,0.013856,0.121797,0.901476
0.416688,0.017504,0.202568,0.004865,0.048033,0.001024,0.013825,0.120261,0.930949
0.415984,0.017537,0.202248,0.005088,0.048610,0.000832,0.013760,0.122693,0.900227
0.420625,0.017889,0.202760,0.004768,0.049378,0.001024,0.013472,0.117861,0.904708
0.420785,0.017537,0.202536,0.004800,0.047682,0.000768,0.013376,0.113541,0.890051
0.438449,0.017761,0.202920,0.004832,0.047906,0.000832,0.013441,0.122692,0.920164
0.416273,0.017600,0.201832,0.004864,0.047777,0.000832,0.013441,0.119237,0.899907
0.420433,0.017536,0.201704,0.004800,0.048482,0.000640,0.013665,0.118661,0.898307
0.420209,0.017505,0.202536,0.004864,0.048322,0.000992,0.033089,0.122661,0.923909
0.420081,0.017536,0.203112,0.004801,0.048801,0.001025,0.013376,0.120421,0.905444
0.420465,0.017729,0.202375,0.004768,0.048130,0.000832,0.013440,0.115173,0.892707
0.415984,0.017665,0.202728,0.005056,0.048226,0.000832,0.013473,0.124741,0.902531
0.439058,0.017728,0.202120,0.005344,0.049217,0.000768,0.013601,0.116645,0.923876
0.416496,0.017697,0.202408,0.004800,0.049218,0.000832,0.013728,0.124357,0.902723
0.420816,0.017728,0.202824,0.005312,0.047810,0.000864,0.014433,0.124613,0.906307
0.420496,0.017729,0.223657,0.005248,0.048034,0.000992,0.013761,0.122628,0.924772
0.420561,0.017569,0.202312,0.005216,0.048194,0.000800,0.014080,0.119813,0.911044
0.420016,0.017472,0.202024,0.004832,0.047906,0.000768,0.013761,0.119461,0.899747
0.420848,0.017665,0.202056,0.004768,0.048002,0.000832,0.013728,0.117829,0.897699
0.420400,0.017696,0.202056,0.005248,0.048162,0.001024,0.013697,0.118181,0.897667
0.421200,0.017505,0.201992,0.004800,0.048322,0.000992,0.013568,0.120101,0.903811
0.418640,0.017921,0.204200,0.005280,0.049442,0.000832,0.013505,0.125317,0.913892
0.416656,0.017665,0.228873,0.005024,0.048258,0.001024,0.013536,0.121861,0.927876
0.421553,0.017696,0.202600,0.004833,0.048417,0.000833,0.013568,0.120261,0.903683
0.420689,0.017569,0.202120,0.004768,0.047458,0.000800,0.013472,0.119525,0.909892
0.421200,0.017504,0.202248,0.004864,0.048738,0.001024,0.013473,0.118597,0.898371
0.420081,0.017664,0.201959,0.004801,0.047649,0.001024,0.013440,0.113701,0.892035
0.420177,0.017761,0.202056,0.004832,0.048674,0.000832,0.013472,0.118725,0.899492
0.420625,0.017505,0.201960,0.004768,0.048386,0.000992,0.013440,0.118629,0.899588
0.437969,0.017568,0.202024,0.004832,0.048514,0.001056,0.013441,0.119685,0.917444
0.420369,0.017633,0.201640,0.004832,0.048514,0.000800,0.013632,0.116901,0.895748
0.416529,0.017569,0.202760,0.004864,0.048642,0.000800,0.013472,0.122149,0.899140
0.421073,0.017665,0.201991,0.004865,0.047906,0.000832,0.013472,0.120549,0.930469
0.420016,0.017761,0.201736,0.004800,0.048034,0.000800,0.013376,0.111141,0.886563
0.420945,0.017697,0.202248,0.004896,0.047906,0.000768,0.014176,0.119589,0.899268
0.420561,0.017728,0.201767,0.004801,0.048418,0.000768,0.013632,0.114853,0.892675
0.434737,0.017729,0.201928,0.004832,0.047746,0.000800,0.013376,0.113189,0.900931
0.421169,0.017504,0.202695,0.004865,0.048226,0.000832,0.013632,0.119045,0.899203
0.416688,0.017792,0.201896,0.004800,0.048386,0.001056,0.013601,0.117316,0.892035
0.420816,0.017665,0.201672,0.004832,0.047874,0.001056,0.013376,0.142246,0.931172
0.417040,0.017537,0.202088,0.004896,0.047906,0.000832,0.013408,0.120389,0.895907
0.420272,0.017505,0.202248,0.004960,0.048066,0.000800,0.013408,0.122148,0.901827
0.416176,0.017601,0.202024,0.005280,0.048738,0.000832,0.013473,0.122597,0.897475
0.440657,0.017473,0.201640,0.004832,0.048642,0.000768,0.013441,0.114532,0.909540
0.420305,0.017601,0.202535,0.004833,0.047650,0.000800,0.013568,0.120389,0.899395
0.420368,0.017568,0.201480,0.004768,0.047970,0.000800,0.013377,0.118500,0.897315
0.420656,0.017504,0.201608,0.004800,0.066339,0.000832,0.013505,0.113316,0.905699
0.420592,0.017473,0.201832,0.005024,0.047842,0.000864,0.013569,0.119268,0.897923
0.420785,0.017440,0.202056,0.004833,0.047713,0.000801,0.013600,0.113381,0.888675
0.421008,0.017537,0.201800,0.005056,0.047522,0.000800,0.013601,0.114020,0.889923
0.433521,0.017537,0.201704,0.004800,0.048034,0.001056,0.013441,0.118692,0.913060
0.417329,0.017504,0.201832,0.004832,0.048674,0.000832,0.013441,0.121893,0.898659
0.421265,0.017569,0.201960,0.004864,0.048962,0.000608,0.013984,0.119717,0.900484
0.420337,0.017761,0.221384,0.005249,0.048226,0.001024,0.013504,0.120581,0.919460
0.421232,0.017441,0.201864,0.004768,0.047746,0.000768,0.013569,0.117636,0.895779
0.420625,0.017537,0.201767,0.005056,0.047906,0.000576,0.013440,0.116933,0.898243
0.420688,0.017281,0.201928,0.004832,0.047394,0.000576,0.013441,0.116420,0.894083
0.431921,0.017889,0.202119,0.004833,0.047170,0.000832,0.013408,0.117605,0.906595
0.420912,0.017665,0.201864,0.004800,0.047618,0.000800,0.013441,0.119204,0.899011
0.421136,0.017696,0.201992,0.004800,0.047746,0.000608,0.013441,0.120741,0.900611
0.416336,0.017601,0.224009,0.005024,0.048002,0.000832,0.013377,0.122852,0.920772
0.416081,0.017728,0.201960,0.004833,0.047425,0.000993,0.013600,0.121221,0.897539
0.420913,0.017536,0.201832,0.005249,0.047809,0.000992,0.013408,0.114949,0.895139
0.420656,0.017504,0.201736,0.005248,0.048066,0.000800,0.013441,0.118757,0.901731
0.441489,0.017633,0.202504,0.005248,0.047490,0.000832,0.013377,0.119268,0.918788
0.420209,0.017569,0.202632,0.005280,0.047682,0.000800,0.013408,0.114213,0.893059
0.419408,0.017441,0.202056,0.004864,0.047714,0.000992,0.013440,0.118309,0.900387
0.421105,0.017505,0.219592,0.004993,0.047937,0.001056,0.013664,0.115653,0.909124
0.420304,0.017665,0.202408,0.004864,0.048802,0.001024,0.013441,0.118308,0.900035
0.416176,0.017696,0.201960,0.004832,0.047810,0.000864,0.013377,0.118981,0.891427
0.420529,0.017601,0.201896,0.004768,0.050210,0.000832,0.013408,0.119877,0.902692
0.421232,0.017505,0.201736,0.005024,0.049090,0.000832,0.013409,0.119396,0.905763
0.416496,0.017568,0.201800,0.005056,0.048482,0.000832,0.013441,0.113028,0.883299
0.416496,0.017536,0.201640,0.005280,0.047810,0.000576,0.013601,0.116868,0.892003
0.420337,0.017633,0.220328,0.005121,0.047809,0.001024,0.013409,0.117637,0.925957
0.420529,0.017600,0.202312,0.005057,0.048961,0.000801,0.013696,0.118501,0.898467
0.416561,0.017505,0.201544,0.004928,0.048002,0.000800,0.013472,0.115333,0.888707
0.416752,0.017505,0.201704,0.005408,0.048258,0.000832,0.013697,0.115556,0.889027
0.420688,0.017633,0.201800,0.004768,0.048610,0.000800,0.013441,0.116420,0.896035
0.416528,0.017601,0.202440,0.004832,0.049122,0.000768,0.013440,0.116581,0.895395
0.416401,0.017473,0.201767,0.005121,0.048834,0.001024,0.013504,0.123013,0.901732
0.440017,0.017569,0.202024,0.004800,0.048194,0.001024,0.013504,0.120421,0.917572
0.420657,0.017440,0.201831,0.004769,0.048482,0.000800,0.014272,0.120005,0.899587
0.420624,0.017729,0.202024,0.005248,0.047970,0.000800,0.013505,0.117060,0.892803
0.420401,0.017568,0.201832,0.004833,0.048033,0.000832,0.013633,0.116837,0.895683
0.420400,0.017537,0.201992,0.005024,0.049570,0.000800,0.013409,0.116740,0.894179
0.415760,0.017665,0.201832,0.005024,0.048418,0.000864,0.013408,0.120645,0.895555
0.420368,0.017568,0.202184,0.005248,0.048386,0.001056,0.013409,0.117444,0.897763
0.437809,0.017601,0.201704,0.004864,0.048322,0.000768,0.013505,0.122244,0.918404
0.417392,0.018176,0.201992,0.004832,0.047650,0.000576,0.013409,0.117156,0.894659
0.420464,0.017601,0.201832,0.005280,0.047650,0.001056,0.013441,0.123588,0.906403
0.419856,0.017504,0.202280,0.005056,0.048578,0.000832,0.014689,0.118821,0.922212
0.415696,0.017537,0.202152,0.004768,0.048354,0.000832,0.013633,0.118116,0.893187
0.420272,0.017665,0.202568,0.004832,0.048066,0.000832,0.014528,0.118212,0.896291
0.421040,0.017441,0.201992,0.005248,0.047746,0.000832,0.013569,0.115684,0.895107
0.439761,0.017697,0.201832,0.005216,0.048674,0.000768,0.013633,0.119749,0.918340
0.420144,0.017537,0.202376,0.004800,0.048994,0.000800,0.013568,0.116485,0.893795
0.416529,0.017536,0.202088,0.005249,0.047969,0.000832,0.013504,0.118789,0.891747
0.420400,0.017504,0.201960,0.004832,0.048386,0.000832,0.013505,0.139749,0.917796
0.425200,0.018017,0.206280,0.004864,0.049122,0.000992,0.013857,0.177671,0.971622
0.419089,0.018145,0.203784,0.004864,0.048802,0.000800,0.014048,0.162695,0.948901
0.423185,0.017921,0.203400,0.005472,0.048866,0.000832,0.013888,0.146406,0.942949
0.420849,0.017697,0.203432,0.005280,0.048226,0.000768,0.013984,0.122277,0.905284
0.416048,0.017569,0.204648,0.005408,0.048418,0.000832,0.014049,0.117028,0.893795
0.421041,0.017792,0.202727,0.005025,0.048930,0.000800,0.013856,0.113189,0.891235
0.441073,0.017729,0.204232,0.005280,0.048226,0.000800,0.013793,0.119588,0.922052
0.416112,0.017473,0.202664,0.004896,0.048290,0.000832,0.013761,0.116484,0.892675
0.420817,0.017569,0.202215,0.004864,0.047842,0.000992,0.013504,0.117989,0.900964
0.420593,0.017728,0.203080,0.004897,0.047521,0.000993,0.013472,0.120165,0.920452
0.420624,0.017697,0.202344,0.004832,0.048418,0.000832,0.013472,0.115429,0.894275
0.421361,0.017569,0.202376,0.004864,0.048098,0.001056,0.013472,0.118821,0.898979
0.420817,0.017505,0.202951,0.004896,0.048258,0.000768,0.014144,0.118533,0.898979
0.438449,0.017505,0.202696,0.004832,0.047746,0.000832,0.013920,0.119525,0.917060
0.416112,0.017953,0.202856,0.004800,0.048930,0.000832,0.014048,0.112741,0.885315
0.420945,0.017569,0.202760,0.004800,0.047682,0.000800,0.013568,0.115589,0.893379
0.416304,0.017729,0.203272,0.004800,0.048226,0.000800,0.013376,0.117445,0.927716
0.420881,0.017792,0.202440,0.004801,0.047489,0.000832,0.013377,0.116261,0.894019
0.420432,0.017633,0.202376,0.004800,0.049122,0.000832,0.013824,0.116644,0.895427
0.420721,0.017600,0.202888,0.005089,0.048034,0.000832,0.013664,0.118085,0.896291
0.438609,0.017889,0.203144,0.004864,0.048162,0.000768,0.013472,0.115236,0.911940
0.416240,0.017825,0.202760,0.004800,0.048066,0.000832,0.013857,0.119140,0.893027
0.416304,0.017792,0.202856,0.005568,0.048930,0.001024,0.013633,0.115301,0.888707
0.420849,0.017633,0.202632,0.005248,0.048130,0.000640,0.013792,0.140358,0.919844
0.422064,0.017761,0.203272,0.004832,0.047778,0.000832,0.013761,0.113188,0.892323
0.416944,0.017505,0.202856,0.005056,0.048386,0.000800,0.013953,0.113028,0.887651
0.419568,0.017600,0.202824,0.004800,0.048322,0.000832,0.013761,0.114052,0.891363
0.438737,0.017665,0.202152,0.004800,0.048258,0.000992,0.013697,0.114020,0.912356
0.420017,0.017600,0.202631,0.004769,0.048482,0.000768,0.013728,0.115813,0.894883
0.420528,0.017761,0.203048,0.004832,0.048610,0.000832,0.013857,0.128997,0.906723
0.420945,0.017697,0.202216,0.004832,0.049058,0.000832,0.013824,0.116197,0.917092
0.419441,0.017760,0.203528,0.005057,0.049026,0.001056,0.013696,0.118245,0.897443
0.422192,0.017953,0.204104,0.004896,0.048514,0.000832,0.013697,0.120708,0.913060
0.416656,0.017601,0.204200,0.005280,0.048066,0.000768,0.013537,0.112964,0.885475
0.439761,0.017761,0.203656,0.005280,0.048482,0.000800,0.013665,0.120548,0.922724
0.421329,0.017696,0.203656,0.004769,0.048481,0.000833,0.013888,0.117765,0.899331
0.416656,0.017729,0.203208,0.004864,0.048066,0.000800,0.013793,0.114404,0.889315
0.420752,0.017569,0.203752,0.005216,0.047746,0.000544,0.013729,0.116228,0.915844
0.420624,0.017665,0.202600,0.004832,0.047490,0.000608,0.013696,0.117701,0.894019
0.420624,0.017664,0.202472,0.005088,0.047746,0.000704,0.013761,0.115172,0.892547
0.416176,0.017568,0.204776,0.004768,0.048706,0.000608,0.013697,0.115909,0.892099
0.436913,0.017601,0.202600,0.005088,0.047490,0.000800,0.014112,0.122245,0.917604
0.416432,0.017568,0.203336,0.004992,0.049826,0.000832,0.013569,0.117349,0.895235
0.416464,0.017505,0.202984,0.005472,0.047714,0.000832,0.014208,0.114757,0.889282
0.421041,0.017472,0.202184,0.005248,0.047554,0.001056,0.013857,0.114116,0.923236
0.415984,0.017825,0.202376,0.005184,0.048770,0.000832,0.014081,0.111204,0.883395
0.420432,0.017537,0.203720,0.005216,0.047490,0.000800,0.014176,0.111140,0.888802
0.420304,0.017537,0.202088,0.005056,0.048546,0.000800,0.013729,0.118724,0.895491
0.441297,0.017793,0.204040,0.005248,0.048098,0.000832,0.013441,0.117092,0.918340
0.420849,0.017505,0.202952,0.004800,0.047682,0.000832,0.013824,0.114693,0.894307
0.420241,0.017761,0.203624,0.004832,0.048162,0.000832,0.013440,0.116293,0.892803
0.416816,0.017537,0.202888,0.004768,0.048546,0.000800,0.013537,0.115876,0.900643
0.420625,0.017601,0.203144,0.004832,0.048290,0.000832,0.013856,0.118693,0.897092
0.415760,0.017633,0.203816,0.004896,0.048034,0.000736,0.013985,0.116900,0.892515
0.415856,0.017537,0.203272,0.004832,0.048098,0.000608,0.013472,0.113893,0.887874
0.435473,0.017568,0.202952,0.004800,0.048194,0.000576,0.013409,0.116100,0.906180
0.421456,0.017601,0.202792,0.004800,0.048546,0.000800,0.013377,0.114532,0.890979
0.416432,0.017601,0.202472,0.004896,0.048098,0.000576,0.013408,0.115749,0.890339
0.415248,0.017505,0.204392,0.004832,0.047490,0.000608,0.013408,0.115205,0.885634
0.420625,0.017696,0.202408,0.005025,0.047489,0.000800,0.013376,0.115749,0.895203
0.420753,0.017633,0.202760,0.004864,0.047266,0.000832,0.013536,0.113861,0.890275
0.420177,0.017696,0.202728,0.004832,0.047521,0.000832,0.013473,0.118725,0.905636
0.420177,0.035809,0.203176,0.005024,0.048930,0.000832,0.013505,0.118885,0.914916
0.416304,0.017761,0.202824,0.004832,0.047874,0.000768,0.013857,0.111364,0.882403
0.416112,0.017505,0.202152,0.004832,0.049346,0.000576,0.014016,0.120900,0.892547
0.420912,0.017729,0.202344,0.004832,0.048354,0.000576,0.013729,0.113188,0.891587
0.415440,0.017793,0.203240,0.004864,0.047906,0.000608,0.013697,0.113604,0.886627
0.416944,0.017537,0.202184,0.004768,0.048482,0.000736,0.013728,0.113413,0.885314
0.416561,0.017824,0.203560,0.004833,0.047746,0.000800,0.013472,0.116069,0.890083
0.416560,0.017537,0.236745,0.005057,0.047841,0.000992,0.013441,0.124933,0.939749
0.415569,0.017633,0.202567,0.004833,0.047138,0.000832,0.013696,0.115173,0.888451
0.416368,0.017505,0.202792,0.004832,0.047618,0.000832,0.013696,0.121093,0.892898
0.421041,0.017696,0.203528,0.005249,0.048481,0.000608,0.013409,0.116197,0.895875
0.416080,0.017569,0.202280,0.004800,0.048098,0.000800,0.013569,0.115748,0.891395
0.416240,0.017473,0.202600,0.004832,0.048034,0.000576,0.013473,0.114692,0.886210
0.417169,0.017857,0.204296,0.004832,0.047490,0.000832,0.013728,0.118917,0.897123
0.416113,0.017568,0.224745,0.004992,0.047362,0.001056,0.013505,0.120293,0.917956
0.416528,0.017537,0.203304,0.004928,0.046914,0.000832,0.013473,0.112004,0.884483
0.416048,0.017313,0.203528,0.004800,0.046914,0.000640,0.013536,0.112549,0.886114
0.416304,0.017633,0.203304,0.004800,0.047650,0.000800,0.013440,0.112549,0.892034
0.437106,0.017664,0.203080,0.004865,0.048193,0.000992,0.013440,0.121253,0.916740
0.416432,0.017569,0.202632,0.005088,0.047842,0.001024,0.013505,0.117540,0.892835
0.416977,0.017441,0.203784,0.004800,0.048706,0.000800,0.013472,0.115973,0.891811
0.415760,0.017697,0.202952,0.004832,0.068163,0.000864,0.013601,0.114500,0.907012
0.416752,0.017601,0.203400,0.004800,0.048770,0.000832,0.013472,0.118149,0.892771
0.416305,0.017664,0.203048,0.004832,0.048225,0.000736,0.013601,0.108804,0.881027
0.416016,0.017472,0.204456,0.004832,0.047970,0.000832,0.013473,0.116677,0.902531
0.437105,0.017600,0.203143,0.004801,0.047682,0.001024,0.013376,0.110852,0.902723
0.415504,0.017665,0.203176,0.004832,0.047938,0.000832,0.013344,0.110789,0.879490
0.416528,0.017792,0.202984,0.004800,0.047746,0.001024,0.013633,0.111140,0.884675
0.416240,0.017472,0.202696,0.004800,0.048290,0.000832,0.013473,0.137605,0.911780
0.415921,0.017504,0.202536,0.004993,0.048289,0.000800,0.013473,0.117669,0.888483
0.415825,0.017440,0.202824,0.004865,0.048417,0.001057,0.013728,0.140678,0.915524
0.416561,0.017536,0.203047,0.005185,0.048290,0.000832,0.013376,0.115621,0.887875
0.435697,0.017664,0.201832,0.005280,0.048162,0.000832,0.013697,0.116708,0.914660
0.415600,0.017473,0.202600,0.004832,0.048098,0.000768,0.013601,0.106372,0.873986
0.417521,0.017472,0.202664,0.005281,0.048642,0.000576,0.013344,0.115877,0.891811
0.416432,0.017665,0.202984,0.005248,0.048098,0.000800,0.013280,0.136294,0.910467
0.417297,0.017505,0.202856,0.005280,0.048130,0.000832,0.013760,0.111269,0.885571
0.416913,0.017536,0.202440,0.005216,0.047586,0.000832,0.013409,0.112612,0.883395
0.416113,0.017440,0.203304,0.004801,0.047969,0.000833,0.013472,0.114853,0.889187
0.435249,0.017632,0.202824,0.004768,0.047842,0.000832,0.013409,0.115908,0.907748
0.415632,0.017665,0.202696,0.004832,0.047682,0.000800,0.013729,0.115652,0.890851
0.416944,0.017633,0.202728,0.004800,0.048386,0.000800,0.013761,0.112740,0.885795
0.416528,0.017665,0.202920,0.004800,0.048610,0.000800,0.013345,0.113444,0.912420
0.415984,0.018177,0.202056,0.004832,0.047714,0.000832,0.013408,0.109541,0.875778
0.415633,0.017504,0.202312,0.004801,0.047393,0.000864,0.013408,0.110948,0.892067
0.416176,0.017665,0.203304,0.004800,0.046946,0.000832,0.013409,0.111236,0.883363
0.433649,0.017569,0.204008,0.004864,0.046978,0.000800,0.013408,0.120165,0.907875
0.416529,0.017664,0.203368,0.004833,0.047425,0.000608,0.013409,0.111780,0.884483
0.415504,0.017441,0.202280,0.004800,0.048642,0.000800,0.013696,0.120069,0.892002
0.418033,0.017440,0.202376,0.005057,0.048129,0.000832,0.013505,0.111716,0.883235
0.417296,0.017473,0.202408,0.005312,0.049218,0.000832,0.013568,0.112037,0.884259
0.417232,0.017729,0.202792,0.004768,0.048802,0.000800,0.013313,0.106372,0.880930
0.416400,0.017472,0.202184,0.004768,0.048642,0.000576,0.013537,0.113668,0.889219
0.416464,0.035937,0.204392,0.004864,0.047650,0.000800,0.013537,0.115332,0.905252
0.416304,0.017825,0.202312,0.004864,0.048386,0.000544,0.013377,0.114340,0.889283
0.417456,0.017728,0.202824,0.004832,0.047490,0.000800,0.013345,0.114052,0.892259
0.416784,0.017377,0.202696,0.004896,0.048066,0.000576,0.013313,0.115108,0.894211
0.416560,0.017569,0.202760,0.004832,0.048994,0.000576,0.013312,0.114085,0.886946
0.417200,0.017537,0.203112,0.004832,0.047426,0.001088,0.013600,0.118949,0.901859
0.417681,0.017504,0.202632,0.004833,0.047329,0.000961,0.013600,0.113573,0.893443
0.416272,0.017441,0.216808,0.005057,0.047810,0.000608,0.013280,0.111973,0.896867
0.415824,0.017473,0.202184,0.004832,0.048226,0.000736,0.013281,0.112996,0.891523
0.416816,0.017537,0.202248,0.004896,0.048610,0.000576,0.013280,0.108420,0.875939
0.415409,0.017504,0.202376,0.004833,0.047745,0.000768,0.013568,0.097668,0.861154
0.428465,0.017568,0.202056,0.004769,0.047361,0.000576,0.013345,0.139461,0.927748
0.416080,0.017473,0.202536,0.004864,0.046818,0.000960,0.013377,0.110116,0.889411
0.415600,0.017505,0.203112,0.004800,0.046946,0.000800,0.013280,0.106981,0.875202
0.416177,0.017280,0.202696,0.004833,0.047873,0.000833,0.013376,0.144742,0.920452
0.418993,0.017792,0.204584,0.004865,0.048673,0.000832,0.013728,0.123269,0.903907
0.417488,0.017664,0.203048,0.005312,0.048482,0.000800,0.013889,0.115589,0.891843
0.417136,0.017760,0.203624,0.005216,0.048002,0.000736,0.014305,0.117477,0.900611
0.435441,0.017953,0.202632,0.005248,0.048674,0.000832,0.013825,0.120580,0.916548
0.416112,0.017793,0.203656,0.004800,0.048450,0.000576,0.013664,0.117445,0.900131
0.416369,0.017568,0.203272,0.004833,0.047809,0.000544,0.013633,0.114693,0.892451
0.420177,0.017633,0.202632,0.004832,0.048098,0.000800,0.031649,0.121093,0.915844
0.416848,0.017761,0.202824,0.005248,0.048418,0.000800,0.013441,0.116260,0.899459
0.416945,0.017633,0.203112,0.005312,0.048354,0.000800,0.013472,0.115973,0.893315
0.417072,0.017505,0.202536,0.005248,0.048674,0.000768,0.013985,0.117444,0.893251
0.434897,0.017472,0.202696,0.005216,0.048258,0.000768,0.014145,0.128549,0.928357
0.416209,0.017664,0.203080,0.004993,0.049346,0.000768,0.013568,0.118245,0.903236
0.417040,0.017505,0.203176,0.005312,0.048034,0.000736,0.013697,0.119108,0.896195
0.416433,0.017728,0.222728,0.005312,0.048162,0.000800,0.013473,0.119141,0.916932
0.416912,0.017761,0.202792,0.005248,0.048450,0.000800,0.013697,0.119396,0.902147
0.416433,0.017505,0.203048,0.004832,0.048162,0.000800,0.013440,0.119781,0.895171
0.416785,0.017696,0.201928,0.004833,0.048225,0.000992,0.013504,0.118725,0.894371
0.416528,0.017729,0.202568,0.004832,0.047682,0.000800,0.013536,0.119301,0.896483
0.416912,0.017761,0.203560,0.005280,0.047682,0.000832,0.013409,0.118884,0.899779
0.415856,0.017505,0.202408,0.004896,0.048514,0.001088,0.013793,0.119940,0.895363
0.417392,0.017664,0.218985,0.005152,0.048322,0.000864,0.013505,0.124293,0.917572
0.416753,0.017536,0.203400,0.005281,0.047938,0.000800,0.014048,0.118181,0.893571
0.416113,0.017568,0.203464,0.005153,0.047521,0.000800,0.013857,0.119429,0.899459
0.416657,0.017728,0.203911,0.005216,0.047778,0.000800,0.013664,0.115909,0.901028
0.416912,0.017569,0.203016,0.004864,0.047682,0.000800,0.013697,0.116420,0.892963
0.416593,0.017504,0.203720,0.004833,0.047873,0.000800,0.013696,0.112453,0.888643
0.417040,0.017697,0.203368,0.005056,0.048034,0.000800,0.013889,0.117572,0.896515
0.417776,0.017472,0.225161,0.005248,0.047810,0.000832,0.013473,0.115844,0.918372
0.416816,0.017665,0.203112,0.005216,0.048418,0.000832,0.013600,0.116900,0.893795
0.417233,0.017504,0.202024,0.005025,0.048193,0.000832,0.013600,0.119333,0.898371
0.418224,0.017728,0.202632,0.005216,0.048098,0.000864,0.013537,0.120805,0.899843
0.418096,0.017664,0.202888,0.005088,0.049058,0.000768,0.013985,0.119205,0.897987
0.416753,0.017536,0.203272,0.004833,0.048065,0.000576,0.013665,0.120325,0.895683
0.417489,0.017664,0.202472,0.004897,0.048001,0.001024,0.013601,0.114981,0.889283
0.415984,0.017505,0.224009,0.005120,0.047426,0.000768,0.013440,0.117541,0.912292
0.415984,0.017633,0.202728,0.004896,0.048418,0.000704,0.013408,0.115333,0.888418
0.416048,0.017408,0.203432,0.004800,0.047746,0.000832,0.013441,0.118821,0.891811
0.416881,0.017505,0.203432,0.005024,0.047522,0.000800,0.013408,0.117093,0.893411
0.416400,0.017505,0.202856,0.004832,0.047362,0.000608,0.013665,0.115332,0.888803
0.417617,0.017536,0.202952,0.004833,0.047489,0.000865,0.013696,0.122373,0.899299
0.416721,0.017600,0.202632,0.004833,0.048513,0.000801,0.013440,0.120261,0.896259
0.416400,0.017729,0.218440,0.004961,0.048066,0.000832,0.013472,0.118629,0.908771
0.416816,0.017537,0.202152,0.004864,0.048770,0.000576,0.013856,0.117381,0.895523
0.416976,0.017505,0.202248,0.004864,0.047746,0.000800,0.013473,0.117508,0.893059
0.416529,0.017537,0.202535,0.004801,0.047842,0.000768,0.013696,0.144454,0.920100
0.418160,0.017441,0.205032,0.005280,0.047394,0.000608,0.013441,0.110148,0.882978
0.416240,0.017697,0.202280,0.004896,0.048130,0.000832,0.013697,0.117508,0.892035
0.415984,0.017473,0.202696,0.004864,0.047778,0.000800,0.013409,0.115716,0.889219
0.416784,0.017601,0.230761,0.005504,0.047874,0.000832,0.013504,0.125701,0.935908
0.418192,0.017889,0.202920,0.005152,0.049026,0.000608,0.013664,0.118469,0.900227
0.417521,0.017568,0.203176,0.005281,0.048290,0.000800,0.013696,0.102884,0.876355
0.416272,0.017473,0.202888,0.005216,0.047938,0.000832,0.013664,0.114661,0.885826
0.416080,0.017793,0.202888,0.005216,0.047938,0.000768,0.013441,0.116004,0.897347
0.416496,0.017505,0.202728,0.005056,0.047522,0.000832,0.013440,0.112676,0.888611
0.416272,0.017665,0.202600,0.005248,0.048930,0.000608,0.013697,0.117796,0.894179
0.416656,0.037410,0.203496,0.004768,0.047842,0.001024,0.013504,0.116901,0.911875
0.417392,0.017793,0.203112,0.004768,0.048258,0.000800,0.013793,0.116900,0.893667
0.416848,0.017793,0.203080,0.005312,0.048610,0.000768,0.013441,0.116388,0.894115
0.415568,0.017505,0.203656,0.004864,0.049026,0.000800,0.013728,0.118661,0.896515
0.416464,0.017505,0.203272,0.005024,0.047394,0.000800,0.013441,0.117732,0.889763
0.417137,0.017473,0.202760,0.005280,0.048002,0.000832,0.013664,0.122437,0.905828
0.416432,0.017729,0.202472,0.004832,0.048418,0.000768,0.013664,0.121573,0.897155
0.436305,0.017440,0.202536,0.005281,0.048641,0.000832,0.013409,0.117829,0.911652
0.416272,0.017697,0.202600,0.004800,0.047682,0.000832,0.013793,0.117412,0.893059
0.416240,0.017536,0.202088,0.004800,0.047650,0.000544,0.013409,0.116516,0.888867
0.416176,0.017569,0.202984,0.004800,0.047906,0.000800,0.013569,0.121060,0.895651
