TEE[0-0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.205125,0.017698,0.204785,0.005024,0.049092,0.000928,0.013857,0.000448,0.001376,0.001024,0.000384,1.508254
1.210502,0.017762,0.223987,0.005280,0.048676,0.000608,0.013410,0.000352,0.001440,0.001088,0.000352,1.532449
1.187396,0.017858,0.204273,0.005217,0.048868,0.000576,0.013377,0.000416,0.001408,0.001088,0.000384,1.489469
1.186467,0.017857,0.204369,0.005313,0.048548,0.000576,0.013665,0.000416,0.001536,0.001120,0.000352,1.488573
1.189732,0.017665,0.204434,0.005088,0.048580,0.000544,0.013313,0.000352,0.001472,0.000992,0.000352,1.491261
1.173315,0.017985,0.203153,0.005248,0.049348,0.000800,0.013409,0.000384,0.001441,0.000960,0.000352,1.474204
1.223879,0.017634,0.203729,0.005024,0.049445,0.000864,0.013729,0.000384,0.001408,0.001280,0.000384,1.526752
1.191780,0.017826,0.204017,0.005056,0.049124,0.000608,0.013474,0.000352,0.001440,0.001024,0.000384,1.493501
1.214150,0.017794,0.204017,0.005281,0.049604,0.000832,0.013793,0.000384,0.001504,0.001024,0.000384,1.517663
1.226726,0.018049,0.203697,0.005025,0.048516,0.000992,0.013409,0.000384,0.001472,0.000992,0.000384,1.527840
1.179235,0.017793,0.203985,0.005249,0.069670,0.000832,0.013761,0.000352,0.001472,0.001024,0.000384,1.503231
1.212165,0.017793,0.203665,0.005281,0.049188,0.000768,0.013825,0.000352,0.001505,0.001088,0.000352,1.514655
1.186595,0.017697,0.203409,0.005185,0.048100,0.000832,0.013953,0.000416,0.001408,0.001696,0.000609,1.488221
1.214374,0.017570,0.204049,0.005120,0.048324,0.000608,0.013857,0.000384,0.001408,0.001376,0.000384,1.515743
1.203653,0.017761,0.204113,0.005217,0.049316,0.000800,0.014273,0.000352,0.001537,0.001184,0.000384,1.507231
1.229575,0.017889,0.203825,0.005377,0.049092,0.000544,0.013697,0.000352,0.001504,0.000993,0.000384,1.531137
1.182467,0.017857,0.204113,0.005249,0.049572,0.000800,0.013921,0.000352,0.001504,0.000993,0.000416,1.485853
1.240424,0.017857,0.203889,0.005217,0.049124,0.000960,0.013601,0.000384,0.001440,0.001025,0.000384,1.542530
1.179811,0.017729,0.203921,0.004928,0.048772,0.001024,0.013409,0.000352,0.001473,0.001088,0.000384,1.481372
1.176642,0.017921,0.204689,0.005313,0.049508,0.000576,0.013953,0.000384,0.001441,0.000960,0.000416,1.479964
1.186916,0.017569,0.203889,0.005057,0.049092,0.000576,0.013665,0.000384,0.001441,0.000992,0.000384,1.488285
1.226502,0.017633,0.203473,0.005025,0.049764,0.001024,0.013601,0.000352,0.001504,0.000992,0.000416,1.529216
1.215525,0.017569,0.203473,0.005217,0.049156,0.000576,0.013985,0.000384,0.001408,0.000896,0.000352,1.516831
1.182275,0.017697,0.204241,0.005025,0.049092,0.000544,0.013697,0.000384,0.001504,0.001024,0.000384,1.485085
1.244137,0.017857,0.205170,0.005280,0.049316,0.001024,0.013698,0.000352,0.001440,0.001120,0.000640,1.548898
1.179811,0.017825,0.203537,0.005217,0.048772,0.000768,0.014145,0.000352,0.001441,0.001088,0.000352,1.482076
1.226118,0.017761,0.222867,0.005216,0.049349,0.000544,0.013857,0.000416,0.001536,0.001056,0.000384,1.547585
1.218726,0.017890,0.204209,0.005088,0.049060,0.000576,0.013634,0.000352,0.001408,0.001024,0.000416,1.520895
1.207109,0.017794,0.204049,0.005312,0.049253,0.000992,0.013665,0.000384,0.001440,0.000992,0.000384,1.509694
1.166914,0.017601,0.203729,0.005121,0.049188,0.000576,0.013441,0.000352,0.001440,0.001121,0.000352,1.468123
1.165505,0.017665,0.203793,0.005057,0.048676,0.000800,0.013921,0.000352,0.001344,0.000928,0.000353,1.466555
1.206373,0.017826,0.203665,0.005408,0.048228,0.000576,0.013986,0.000384,0.001440,0.001120,0.000384,1.507646
1.216518,0.018113,0.207122,0.005088,0.047748,0.000576,0.013538,0.000384,0.001504,0.001024,0.000352,1.521343
1.205221,0.018017,0.204241,0.005281,0.049284,0.000576,0.013473,0.000384,0.001504,0.001121,0.000384,1.508415
1.184067,0.017730,0.203953,0.005248,0.049381,0.000992,0.013569,0.000384,0.001600,0.001184,0.000384,1.487740
1.187939,0.017794,0.223955,0.005344,0.049092,0.000608,0.013922,0.000384,0.001440,0.001088,0.000384,1.511966
1.220838,0.017986,0.204433,0.005024,0.049060,0.000576,0.013794,0.000384,0.001504,0.001312,0.000352,1.524159
1.225095,0.018018,0.204753,0.005248,0.048452,0.000576,0.014370,0.000416,0.001504,0.001376,0.000416,1.530208
1.172450,0.017825,0.204465,0.005025,0.048004,0.000576,0.013793,0.000384,0.001568,0.001152,0.000384,1.474748
