Layer[0],IN[1],INFER[1-7],OUT[7],TEE[1-7],Layer[8],Layer[9],Layer[10],classifier
0.396940,0.151876,0.602706,0.077058,0.835608,0.002848,0.001248,0.000416,1.242117
0.413868,0.150373,0.618738,0.072770,0.845945,0.003072,0.001184,0.000672,1.270117
0.396364,0.162789,0.621778,0.068514,0.857018,0.003232,0.001280,0.000416,1.263046
0.396715,0.160549,0.603986,0.070434,0.838681,0.002688,0.001184,0.000448,1.244196
0.396076,0.159877,0.603538,0.070018,0.837113,0.002592,0.001216,0.000384,1.242277
0.397068,0.163493,0.601585,0.063970,0.832824,0.002528,0.001248,0.000384,1.238629
0.398571,0.169861,0.629458,0.074466,0.878297,0.002496,0.001248,0.000384,1.286982
0.396940,0.165893,0.604369,0.066562,0.840824,0.002848,0.001248,0.000416,1.247333
0.397515,0.153860,0.604722,0.067554,0.829880,0.002560,0.001248,0.000320,1.236644
0.425613,0.170725,0.604978,0.069602,0.848985,0.002592,0.001216,0.000416,1.283974
0.397420,0.183269,0.601714,0.065826,0.854777,0.002560,0.001184,0.000352,1.261221
0.398539,0.150469,0.606642,0.066338,0.827193,0.002688,0.001280,0.000416,1.234756
0.395179,0.164004,0.604434,0.069474,0.841496,0.002305,0.001280,0.000672,1.245797
0.395563,0.157573,0.600498,0.064194,0.825945,0.002592,0.001248,0.000608,1.230660
0.395436,0.145284,0.619186,0.069954,0.838201,0.002816,0.001312,0.000480,1.243333
0.395180,0.176101,0.600497,0.064098,0.844377,0.002496,0.001216,0.000480,1.248645
0.395468,0.131364,0.601394,0.063906,0.800120,0.002784,0.001312,0.000480,1.204804
0.434573,0.176038,0.602833,0.065345,0.849017,0.002497,0.001216,0.000384,1.292711
0.395180,0.148420,0.600050,0.065058,0.817304,0.002784,0.001120,0.000672,1.222020
0.395052,0.160165,0.599249,0.062914,0.826456,0.002880,0.001248,0.000641,1.231109
0.397804,0.165573,0.607762,0.069666,0.847865,0.003009,0.001152,0.000672,1.256710
0.395148,0.169989,0.607538,0.077442,0.859097,0.003616,0.001280,0.000672,1.264645
0.395500,0.166341,0.624242,0.093283,0.887834,0.002752,0.001312,0.000640,1.293126
