Layer[0],Layer[1],IN[2],INFER[2-5],OUT[5],TEE[2-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.400908,0.017696,0.132868,0.570737,0.069538,0.776887,0.015329,0.000544,0.001440,0.001280,0.000384,1.221188
0.395211,0.017377,0.138628,0.570801,0.064706,0.777495,0.015168,0.000480,0.001473,0.001088,0.000416,1.215044
0.396588,0.017376,0.123396,0.589937,0.092355,0.810808,0.015521,0.000544,0.001568,0.001088,0.000384,1.250629
0.401580,0.017441,0.137060,0.573713,0.069378,0.785207,0.015168,0.000576,0.001536,0.001056,0.000384,1.229093
0.400556,0.017632,0.131588,0.569297,0.066818,0.771095,0.015393,0.000480,0.001504,0.000928,0.000416,1.214084
0.415916,0.017729,0.159013,0.621650,0.096963,0.881818,0.015137,0.000544,0.001504,0.001088,0.000448,1.341192
0.400396,0.017568,0.132772,0.568369,0.064610,0.769079,0.015585,0.000576,0.001472,0.001184,0.000416,1.212356
0.399628,0.017568,0.135140,0.570001,0.090627,0.800152,0.015489,0.000480,0.001504,0.001152,0.000384,1.243269
0.399916,0.017408,0.133508,0.572017,0.067682,0.776759,0.015457,0.000512,0.001504,0.000992,0.000384,1.219556
0.399467,0.018016,0.186310,0.577809,0.070786,0.838905,0.018241,0.000768,0.002016,0.002624,0.000864,1.290310
0.395979,0.017697,0.135140,0.589873,0.083971,0.812792,0.016736,0.000480,0.001536,0.001440,0.000352,1.253669
0.395340,0.017600,0.130052,0.570129,0.069250,0.772791,0.015745,0.000512,0.001600,0.001088,0.000608,1.211268
0.399788,0.017505,0.134148,0.570673,0.064290,0.772695,0.015552,0.000512,0.001472,0.001056,0.000416,1.216548
0.414893,0.017728,0.136068,0.589874,0.065730,0.794968,0.015840,0.000512,0.001536,0.001024,0.000352,1.253381
0.399851,0.017793,0.131396,0.571601,0.064930,0.773047,0.015072,0.000512,0.001504,0.000992,0.000416,1.215684
0.400268,0.017825,0.129763,0.571057,0.130692,0.836504,0.015489,0.000544,0.001568,0.001312,0.000640,1.281638
0.400748,0.017889,0.143492,0.568625,0.068834,0.784823,0.015169,0.000512,0.001504,0.001504,0.000384,1.229349
0.399788,0.017664,0.130468,0.570481,0.064930,0.769335,0.014880,0.000512,0.001537,0.001248,0.000384,1.212292
0.395948,0.017601,0.146532,0.586577,0.077411,0.814360,0.015040,0.000512,0.001568,0.001216,0.000384,1.253605
0.395244,0.017568,0.125156,0.571633,0.065410,0.766199,0.015360,0.000768,0.001600,0.001184,0.000352,1.204643
0.399980,0.017632,0.141765,0.568816,0.067682,0.781752,0.014976,0.000544,0.001472,0.001088,0.000608,1.224356
0.416172,0.017857,0.133124,0.569265,0.065346,0.771319,0.015328,0.000544,0.001376,0.001216,0.000608,1.230596
0.395788,0.017536,0.128292,0.567697,0.064994,0.764535,0.014880,0.000512,0.001408,0.001281,0.000416,1.202596
0.396140,0.017281,0.142052,0.570001,0.067906,0.784247,0.014720,0.018401,0.001760,0.001184,0.000640,1.242213
0.395820,0.017440,0.123876,0.572081,0.067362,0.766711,0.015296,0.000736,0.001504,0.001088,0.000384,1.205283
0.396748,0.017761,0.139812,0.572977,0.071362,0.788343,0.014753,0.000736,0.001408,0.001152,0.000416,1.228677
0.400044,0.017632,0.139493,0.591025,0.094179,0.830169,0.015680,0.000609,0.001472,0.001120,0.000576,1.274790
0.396940,0.017825,0.126019,0.569041,0.070850,0.769398,0.014497,0.000544,0.001408,0.001248,0.000384,1.209060
0.397003,0.017760,0.130052,0.573137,0.065954,0.773207,0.014816,0.000512,0.001568,0.001217,0.000416,1.213540
0.416621,0.017536,0.136036,0.573041,0.070210,0.783223,0.015073,0.000544,0.001408,0.001216,0.000384,1.242437
0.396780,0.017537,0.128739,0.567313,0.063586,0.763350,0.015265,0.000576,0.001504,0.001152,0.000384,1.202756
0.399276,0.017601,0.124612,0.570000,0.068131,0.766199,0.015328,0.000480,0.001472,0.001216,0.000384,1.208900
0.395308,0.017504,0.126052,0.567377,0.063554,0.760631,0.014848,0.000576,0.001472,0.001248,0.000416,1.198595
0.396652,0.017632,0.125412,0.567505,0.064002,0.760695,0.014944,0.000512,0.001504,0.001120,0.000384,1.199875
0.399852,0.017441,0.135844,0.583953,0.069986,0.794007,0.015201,0.000512,0.001472,0.001152,0.000384,1.236613
0.397132,0.017760,0.146084,0.571377,0.069570,0.791127,0.015680,0.000480,0.001504,0.001537,0.000384,1.232965
0.400204,0.017825,0.144132,0.569521,0.067490,0.784791,0.015521,0.000448,0.001536,0.001184,0.000384,1.228453
0.399851,0.017537,0.165541,0.590833,0.068002,0.828024,0.014721,0.000576,0.001472,0.001184,0.000384,1.269829
0.397291,0.017792,0.143140,0.568689,0.068610,0.784343,0.015073,0.000480,0.001472,0.001216,0.000352,1.224708
0.399884,0.017665,0.134724,0.572561,0.066946,0.777911,0.014784,0.000512,0.001536,0.001216,0.000384,1.220196
0.411724,0.017793,0.135332,0.570384,0.066209,0.775446,0.014816,0.000448,0.001504,0.001184,0.000384,1.230180
0.397964,0.017408,0.140164,0.566481,0.065794,0.775799,0.015137,0.000512,0.001472,0.001184,0.000384,1.216388
0.396844,0.017633,0.140580,0.590097,0.077571,0.811864,0.014944,0.000576,0.001568,0.001184,0.000384,1.251621
0.397484,0.017633,0.141252,0.569297,0.065122,0.778935,0.015200,0.000512,0.001568,0.001056,0.000416,1.219428
0.400204,0.017632,0.129956,0.565713,0.072450,0.771543,0.015201,0.000576,0.001568,0.001216,0.000416,1.215108
0.399435,0.017377,0.153029,0.592817,0.079970,0.829625,0.014784,0.000512,0.001600,0.001120,0.000384,1.271269
0.395307,0.018241,0.128196,0.571697,0.067746,0.770935,0.015072,0.000544,0.001472,0.001152,0.000384,1.209828
0.394731,0.017760,0.125860,0.570193,0.065474,0.764951,0.015424,0.000512,0.001472,0.001120,0.000352,1.202851
0.421580,0.017441,0.134660,0.581937,0.070146,0.790295,0.014561,0.000544,0.001472,0.001248,0.000384,1.255333
0.394859,0.017601,0.129764,0.570065,0.067874,0.773239,0.015072,0.000512,0.001504,0.001184,0.000384,1.210531
0.396364,0.017600,0.123684,0.569617,0.068418,0.765335,0.014656,0.000513,0.001568,0.001248,0.000640,1.204164
0.400843,0.017760,0.136260,0.567633,0.063426,0.770935,0.015104,0.000544,0.001536,0.001184,0.000384,1.214659
0.399084,0.017345,0.139972,0.570065,0.066210,0.779671,0.015296,0.000576,0.001568,0.001152,0.000672,1.221636
0.394924,0.017600,0.148517,0.584561,0.078050,0.814520,0.015041,0.000512,0.001408,0.001216,0.000640,1.252357
0.394924,0.017409,0.142852,0.566929,0.063874,0.777303,0.014752,0.000512,0.001440,0.001184,0.000416,1.213796
0.395755,0.017440,0.134756,0.567537,0.066594,0.773175,0.015328,0.000544,0.001504,0.000960,0.000384,1.212388
0.426957,0.017440,0.132036,0.571121,0.066018,0.772407,0.014593,0.000512,0.001504,0.001088,0.000704,1.241285
0.396332,0.017568,0.141509,0.568816,0.066946,0.782391,0.015073,0.000512,0.001568,0.001024,0.000384,1.221220
0.394156,0.017473,0.125027,0.566641,0.062658,0.757910,0.015296,0.000512,0.001536,0.001025,0.000384,1.194436
0.395819,0.017441,0.125316,0.566896,0.068675,0.765751,0.015904,0.000544,0.001536,0.001024,0.000352,1.205251
0.399372,0.017377,0.130724,0.566577,0.065025,0.765815,0.014624,0.000480,0.001504,0.000992,0.000352,1.206116
0.399468,0.017344,0.136580,0.584689,0.088002,0.812632,0.014689,0.000512,0.001504,0.001056,0.000320,1.253445
0.397131,0.017633,0.137348,0.571281,0.065378,0.778167,0.014592,0.000544,0.001600,0.001185,0.000352,1.217636
0.396428,0.017761,0.137060,0.570577,0.065666,0.777143,0.015360,0.000512,0.001536,0.001184,0.000352,1.217316
0.400812,0.017665,0.146436,0.605874,0.083683,0.839705,0.015744,0.000480,0.001504,0.002496,0.000576,1.286214
0.396139,0.017569,0.151524,0.574256,0.071394,0.801144,0.015552,0.000512,0.001568,0.002240,0.000320,1.244292
0.399116,0.017760,0.135396,0.568849,0.067298,0.774839,0.015329,0.000544,0.001440,0.001312,0.000640,1.217380
0.422124,0.017601,0.134436,0.573329,0.068226,0.779639,0.015296,0.000544,0.001600,0.001216,0.000608,1.244932
0.395340,0.017504,0.127300,0.571313,0.071330,0.773527,0.016129,0.000544,0.001536,0.001184,0.000416,1.212964
0.399308,0.017569,0.134628,0.589809,0.085955,0.813720,0.014848,0.000544,0.001536,0.001248,0.000384,1.255877
0.395115,0.017569,0.138980,0.570417,0.071202,0.784023,0.014849,0.000576,0.001472,0.001120,0.000640,1.221508
0.395212,0.017536,0.124836,0.579505,0.067810,0.775703,0.014561,0.000480,0.001536,0.001152,0.000640,1.213124
0.399276,0.017792,0.130468,0.587922,0.071170,0.793240,0.015712,0.000480,0.001440,0.001120,0.000672,1.236228
0.395884,0.017440,0.131268,0.571409,0.065858,0.772055,0.014848,0.000480,0.001568,0.001216,0.000384,1.210020
0.394668,0.017441,0.132900,0.568784,0.068642,0.773719,0.015104,0.000544,0.001504,0.001120,0.000640,1.211204
0.413068,0.017825,0.142852,0.580881,0.074850,0.802647,0.015809,0.000544,0.001664,0.001408,0.000640,1.260581
0.400140,0.017568,0.137092,0.575505,0.068738,0.784887,0.015360,0.000576,0.001536,0.001184,0.000384,1.228228
0.400172,0.017601,0.133156,0.573809,0.127843,0.839256,0.015329,0.000480,0.001696,0.001472,0.000384,1.282982
0.400812,0.017792,0.105507,0.567473,0.066786,0.743062,0.014945,0.000544,0.001440,0.001280,0.000384,1.187587
0.399756,0.017441,0.143236,0.571185,0.066370,0.784663,0.015552,0.000576,0.001505,0.001312,0.000384,1.227525
0.395916,0.017376,0.134628,0.588274,0.088098,0.815032,0.015040,0.000544,0.001504,0.001248,0.000640,1.254117
0.397196,0.017345,0.126884,0.570768,0.072451,0.773559,0.015264,0.000480,0.001568,0.001088,0.000384,1.213476
0.395019,0.017537,0.132484,0.572945,0.065570,0.774327,0.014848,0.000544,0.001536,0.001152,0.000640,1.211555
0.414924,0.017760,0.133316,0.570929,0.065314,0.772823,0.015104,0.000480,0.001504,0.001152,0.000640,1.230789
0.397068,0.017536,0.127812,0.567921,0.068226,0.767287,0.014624,0.000544,0.001472,0.001248,0.000608,1.207364
0.395148,0.017568,0.129380,0.571217,0.065570,0.769559,0.015201,0.000512,0.001504,0.001248,0.000608,1.207492
0.394828,0.017633,0.126275,0.567409,0.068002,0.765174,0.014785,0.000768,0.001536,0.001152,0.000640,1.202596
0.396107,0.017537,0.128068,0.569585,0.072002,0.773559,0.015808,0.000704,0.001536,0.001216,0.000384,1.214339
