REE[326],TEE[326]
6.479164,9.541412
5.659937,9.552196
4.877030,9.520483
4.864517,9.574117
4.874022,9.534052
4.862789,9.622023
4.865349,9.547012
4.867206,9.530596
4.867717,9.531780
4.868037,9.531940
4.866309,9.512995
4.868838,9.522019
4.864581,9.522564
4.879846,9.561444
4.877286,9.517283
4.872006,9.520548
4.861733,9.529476
4.875142,9.525220
4.872389,9.527076
4.865702,9.525380
4.863813,9.524356
4.870406,9.563813
4.879238,9.527748
4.876325,9.529284
4.861765,9.527875
4.868070,9.547876
4.863013,9.535236
4.869669,9.531908
4.867141,9.532420
4.867494,9.523555
4.865925,9.531908
4.866502,9.533476
4.872453,9.551589
4.883014,9.539588
4.890087,9.565669
4.876518,9.545828
4.869702,9.520227
4.870854,9.523716
4.866693,9.509795
4.868549,9.532803
4.877158,9.527556
4.874214,9.545477
4.881126,9.547237
4.868389,9.537124
4.868326,9.527908
4.863269,9.513955
4.863014,9.525955
4.870309,9.528420
4.866597,9.610310
4.861637,9.552901
4.879846,9.528964
4.867845,9.541636
4.864549,9.523492
4.869062,9.509059
4.868773,9.530660
4.870918,9.527588
4.870502,9.525060
4.867333,9.524579
4.874182,9.529892
4.873350,9.534756
4.866245,9.533924
4.870982,9.533252
4.873094,9.529028
4.869830,9.522307
4.875814,9.525859
4.874885,9.518371
4.867589,9.520963
4.878150,9.547044
4.874533,9.538308
4.864933,9.530436
4.863078,9.536004
4.867014,9.530180
4.865701,9.533892
4.870661,9.531076
4.870629,9.539268
4.867749,9.523684
4.870374,9.594310
4.878758,9.531300
4.869797,9.542980
4.865862,9.505315
4.866854,9.540868
4.868229,9.530788
4.866438,9.501795
4.866181,9.527268
4.865477,9.521731
4.858342,9.544260
4.874054,9.529347
4.877701,9.530051
4.868006,9.517732
4.870758,9.527716
4.866821,9.532707
4.864581,9.531844
4.860869,9.572261
4.867461,9.519395
4.881222,9.508483
4.869317,9.537796
4.865253,9.522052
4.872485,9.526468
4.870214,9.548453
4.869861,9.524900
4.867590,9.551364
4.868965,9.522115
4.872837,9.523779
4.876582,9.533188
4.868805,9.532644
4.862021,9.527204
4.874181,9.533700
4.872709,9.524963
4.862341,9.560325
4.870374,9.531748
4.867269,9.526403
4.877446,9.529892
4.875846,9.535492
4.868613,9.550020
4.872038,9.540900
4.871494,9.522148
4.879045,9.529604
4.865573,9.549796
4.864389,9.519268
4.870150,9.527940
4.873542,9.574565
4.876934,9.523044
4.873766,9.547652
4.866182,9.534628
4.867301,9.549797
4.874214,9.531939
4.865350,9.528388
4.871302,9.534468
4.866661,9.526532
4.872262,9.544805
4.878469,9.550501
4.873574,9.528932
4.867269,9.523779
4.862309,9.521636
4.875910,9.529188
4.873477,9.506147
4.863814,9.532100
4.869509,9.523939
4.877093,9.538180
4.882470,9.562565
4.876869,9.531748
4.865190,9.531524
4.870502,9.522980
4.866533,9.526148
4.871749,9.528739
4.870534,9.555173
4.873766,9.529092
4.864453,9.587910
4.876837,9.529219
4.875589,9.538340
4.864261,9.511235
4.866982,9.536100
4.862277,9.528804
4.867590,9.529284
4.868582,9.526051
4.871910,9.532132
4.871878,9.525572
4.878822,9.528356
4.868486,9.548996
4.868037,9.530467
4.856741,9.529540
4.866757,9.507555
4.872038,9.524932
4.870438,9.530180
4.869221,9.569157
4.868230,9.551077
4.873638,9.531012
4.872101,9.531076
4.872933,9.584422
4.866182,9.530468
4.865925,9.527395
4.866053,9.526692
4.868102,9.521987
4.869829,9.529444
4.860805,9.519044
4.866693,9.539236
4.871526,9.527396
4.867526,9.525764
4.876197,9.530563
4.870853,9.615847
4.869542,9.524452
4.871557,9.524132
4.867621,9.527427
4.878726,9.543620
4.879270,9.527396
4.861062,9.521828
4.863622,9.526595
4.865414,9.529380
4.862853,9.526211
4.864229,9.526052
4.864325,9.541924
4.870054,9.524452
4.865510,9.529988
4.879750,9.540964
4.867973,9.534660
4.874278,9.528452
4.860102,9.535780
4.865925,9.534660
4.870085,9.519523
4.863461,9.526116
4.873254,9.519908
4.863845,9.536388
4.865094,9.538532
4.865733,9.550949
4.863397,9.536452
4.890790,9.528036
4.866054,9.524804
4.872710,9.523908
4.872901,9.524100
4.867013,9.532420
4.872198,9.535812
4.876454,9.531684
4.869765,9.556325
4.869126,9.531140
4.862181,9.545989
4.871782,9.558693
4.866053,9.524548
4.869382,9.532228
4.868293,9.554629
4.870374,9.529540
4.877446,9.513988
4.873893,9.553349
4.859109,9.530051
4.860133,9.535012
4.868965,9.512644
4.865797,9.527267
4.865350,9.522340
4.864294,9.523427
4.871045,9.525571
4.869509,9.532484
4.868741,9.539941
4.864806,9.531588
4.863941,9.509187
4.872997,9.525923
4.871270,9.545508
4.867045,9.518083
4.870405,9.527396
4.858149,9.578502
4.874086,9.531780
4.865606,9.535364
4.865830,9.527299
4.882662,9.511619
4.853637,9.522564
4.865381,9.523620
4.867045,9.521731
4.871430,9.532228
4.864869,9.530500
4.876454,9.560677
4.865574,9.553764
4.865798,9.540100
4.865029,9.557220
4.869797,9.533604
4.859270,9.524260
4.864326,9.524804
4.864517,9.529604
4.875622,9.544036
4.881382,9.531300
4.880454,9.543140
4.867238,9.540452
4.863974,9.538148
4.865190,9.550244
4.864037,9.557285
4.867430,9.523556
4.864518,9.524612
4.871397,9.551845
4.872613,9.558501
4.858406,9.531652
4.876518,9.534244
4.872005,9.549861
4.868005,9.547940
4.868229,9.556164
4.867430,9.529252
4.866149,9.526148
4.874277,9.528420
4.883398,9.536132
4.872005,9.530627
4.868165,9.549444
4.878374,9.530308
4.866694,9.549605
4.866501,9.528644
4.867653,9.529764
4.860037,9.521092
4.877189,9.529252
4.876262,9.534660
4.868965,9.537284
4.863141,9.560197
4.865605,9.531492
4.864710,9.522692
4.869798,9.551429
4.878214,9.533508
4.876454,9.525540
4.878629,9.531492
4.881094,9.525699
4.867653,9.550084
4.868229,9.526180
4.868198,9.537028
4.873030,9.524900
4.872038,9.523716
4.864486,9.522435
4.868166,9.537988
4.873222,9.535140
4.882662,9.521219
4.862470,9.530531
4.870405,9.530276
4.866502,9.528036
4.859109,9.534180
4.866277,9.529508
4.876518,9.528804
4.866533,9.532420
4.868038,9.531811
4.873094,9.539652
4.871046,9.536452
4.865957,9.531044
4.871238,9.524612
4.864709,9.518340
4.865254,9.538724
4.871237,9.520163
4.871942,9.516323
4.878502,9.574918
4.875077,9.534500
4.871270,9.535812
4.875014,9.526852
4.874181,9.545732
4.866565,9.560196
4.871301,9.525636
4.865478,9.526787
4.858789,9.530372
4.875750,9.533252
4.873638,9.544420
4.870597,9.537764
4.869030,9.530116
4.865926,9.525796
4.872774,9.543844
4.866885,9.526691
4.864293,9.527299
4.872485,9.542148
4.875973,9.558661
4.876614,9.529923
4.873254,9.551685
4.862374,9.528324
4.858373,9.529284
4.869157,9.526467
4.865317,9.522564
4.863781,9.526595
4.870150,9.534148
4.873574,9.552804
4.875590,9.534340
4.864421,9.527012
4.868133,9.536932
4.867685,9.550436
4.867494,9.527363
4.863398,9.560996
4.866982,9.531844
4.872934,9.528804
4.862821,9.530532
4.872709,9.530020
4.865573,9.525220
4.865445,9.528868
4.864229,9.520612
4.866437,9.547556
